frame_id,run_order,run_id,data_scenario_id,reader_scenario,placement,placement_label,sample_scenario,analytical_role,metric_id,instrument_id,availability,row_key_hash,model_frame_hash,participants,participant_days,observations,sites,derivation_hours,min_days_per_participant,median_days_per_participant,max_days_per_participant,primary_family_member,participants_checked,failed_deletions,dfbeta_flags,sign_reversals,material_changes,max_abs_dfbeta,max_abs_estimate_change,influence_assessment
primary__glasses__all_available__mean_timing_above_250__MCTQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,mean_timing_above_250,MCTQ,ESTIMABLE,95c788d9f24f3be5dfcb16df9c55a86a4dd5339929ce9a4751b1104e79c61829,ef95245b9292a64a735ed9f773d12351dae5034066e0edef4af6f4435ebe7505,140,736,736,9,17070.316666666666,2,5.5,7,FALSE,140,0,11,0,0,0.38587568841966463,0.030080104404103435,acceptable
primary__glasses__all_available__mean_timing_above_250__MEQ,1,primary__glasses__all_available,primary,Primary dataset,glasses,Near eye,all_available,primary_near_eye,mean_timing_above_250,MEQ,ESTIMABLE,00d504fedfc57a0513be3fd459fdcd99f63a252d839327f7cee5203d21a65736,429b944ba95b8f9851ad52f7ca2ec6291d37543e80e8071a170537891208bd77,141,742,742,9,17209.633333333335,2,6,7,FALSE,141,0,10,0,0,0.3164523173322274,0.026826549908561148,acceptable
primary__chest__all_available__first_timing_above_250__MCTQ,2,primary__chest__all_available,primary,Primary dataset,chest,Chest,all_available,complementary_chest,first_timing_above_250,MCTQ,ESTIMABLE,2686fa682d40e8ef613b8441d9afefea73b72685097e7455c9bc2f42e073b156,b79a693fa59a427918e9b05aa29d13477332434d17fe551e52af791598e93677,153,797,797,8,18518.416666666668,1,6,7,TRUE,153,0,13,0,0,0.5467767960277471,0.06114732875462986,acceptable
primary__chest__all_available__first_timing_above_250__MEQ,2,primary__chest__all_available,primary,Primary dataset,chest,Chest,all_available,complementary_chest,first_timing_above_250,MEQ,ESTIMABLE,6f770b18d6cbbfbeb5f661f348887869b29d44fe11bdbd349a5dd4662b7c4e43,d6e1bd5da7456bbc54d33c6dbf3e96ae3bebe1b11ab1cff6d6ce30164077482e,154,802,802,8,18634.65,1,6,7,TRUE,154,0,11,0,0,0.3450783697551305,0.039786814105371826,acceptable
primary__chest__all_available__l10_midpoint__MCTQ,2,primary__chest__all_available,primary,Primary dataset,chest,Chest,all_available,complementary_chest,l10_midpoint,MCTQ,ESTIMABLE,7c71e2e3a958ce98e767038ec07d8cd2044de75ee11c46fbf063e8a112b33e2a,96198c05c0e57dc31e47356a0cb9fadf4c7abf0b7422bdb2e163cbd94899345b,153,896,896,8,20752.433333333334,2,6,8,TRUE,153,0,12,0,0,0.5416274646189544,0.04335541725663705,acceptable
primary__chest__all_available__l10_midpoint__MEQ,2,primary__chest__all_available,primary,Primary dataset,chest,Chest,all_available,complementary_chest,l10_midpoint,MEQ,ESTIMABLE,a53255e778373e68d08ff71302616cadee864974760dd069ccfe88d52361e099,a1c7e8a1ccc8bc3545a3a5ec6bc54cb1c9f141ac4d44594fe4d3dbbb49c3717e,154,902,902,8,20891.75,2,6,8,TRUE,154,0,10,0,0,0.33171245363302027,0.0276060163493122,acceptable
primary__chest__all_available__last_timing_above_250__MCTQ,2,primary__chest__all_available,primary,Primary dataset,chest,Chest,all_available,complementary_chest,last_timing_above_250,MCTQ,ESTIMABLE,6d692f12236dbb899e5d86d1c00fd6209cc200edf0ed7c4a7f7f0ba1e4e570a2,5d6857ab479a69dceefafef8dbfada8bb076da744cff597d36ce944007a6ba50,153,783,783,8,18263.85,2,5,7,TRUE,153,0,3,0,0,0.2133723757607003,0.02342627779449863,acceptable
primary__chest__all_available__last_timing_above_250__MEQ,2,primary__chest__all_available,primary,Primary dataset,chest,Chest,all_available,complementary_chest,last_timing_above_250,MEQ,ESTIMABLE,af544e57c0ec2cbfc3370f8bc8a2758575541a6768d247f0b79fe458e2d60b52,6e67065f0522eeb169c7184f6525b7a89e0d3f2313b65df5fbccfdfa5e2ef78a,154,787,787,8,18358.116666666665,2,5,7,TRUE,154,0,9,0,0,0.3610931772235973,0.04386479746685776,acceptable
primary__chest__all_available__longest_period_midpoint__MCTQ,2,primary__chest__all_available,primary,Primary dataset,chest,Chest,all_available,complementary_chest,longest_period_midpoint,MCTQ,ESTIMABLE,a7cc6709b751267c2ee88145f2c47547e5aa1c035f65e819d307a30380048d27,d648d8b4095da8bb330ab92926664015c51e8e2886895208ef7e024e5d880019,149,547,547,8,12980.05,1,4,7,TRUE,149,0,9,0,0,0.5066059992133489,0.0654751790461813,acceptable
primary__chest__all_available__longest_period_midpoint__MEQ,2,primary__chest__all_available,primary,Primary dataset,chest,Chest,all_available,complementary_chest,longest_period_midpoint,MEQ,ESTIMABLE,1907b1e46384901f463be25c32a2f6c825a358de50139ec89478fffe2933eb1f,9dd94b99107b7ecdd32932d90ac68e9e0091a7f95c1366dd8d62b19224971e0d,150,549,549,8,13027.8,1,4,7,TRUE,150,0,11,0,0,0.3337691407114786,0.046766345032014406,acceptable
primary__chest__all_available__m10_midpoint__MCTQ,2,primary__chest__all_available,primary,Primary dataset,chest,Chest,all_available,complementary_chest,m10_midpoint,MCTQ,ESTIMABLE,7c71e2e3a958ce98e767038ec07d8cd2044de75ee11c46fbf063e8a112b33e2a,5bf2f9057cb34327bed3dc16a5899984062b1bb5f2903f66f5b486448cf93d0c,153,896,896,8,20752.433333333334,2,6,8,TRUE,153,0,12,0,0,0.6087779768582096,0.05004315114929045,acceptable
primary__chest__all_available__m10_midpoint__MEQ,2,primary__chest__all_available,primary,Primary dataset,chest,Chest,all_available,complementary_chest,m10_midpoint,MEQ,ESTIMABLE,a53255e778373e68d08ff71302616cadee864974760dd069ccfe88d52361e099,5f2c7bd24d9b1a055922fe7ebe67816eafa759801bdb945144b988bcd19a7943,154,902,902,8,20891.75,2,6,8,TRUE,154,0,9,0,0,0.43162124212626013,0.037112413373935504,acceptable
primary__chest__all_available__mean_timing_above_250__MCTQ,2,primary__chest__all_available,primary,Primary dataset,chest,Chest,all_available,complementary_chest,mean_timing_above_250,MCTQ,ESTIMABLE,00077b75ea786147cf82f8c5d8d5bb8903460ae2561fbdf56ed89c566abb8a4c,3a8b46bb48a6f39018950db55864ee737817a80320a2fa3e7cb626852e343ac7,153,825,825,8,19196.816666666666,2,6,7,FALSE,153,0,9,0,0,0.4473322582020901,0.034823375900144435,acceptable
primary__chest__all_available__mean_timing_above_250__MEQ,2,primary__chest__all_available,primary,Primary dataset,chest,Chest,all_available,complementary_chest,mean_timing_above_250,MEQ,ESTIMABLE,61a7b57f8de7dd440eb961dc8333da2f02c0e811f8cf6532e10f0d1d7175fb90,da4c208a520c3f43f35dd33fc12579d15a450ab28dbee34da18202665c54fe5c,154,831,831,8,19336.133333333335,2,6,7,FALSE,154,0,11,0,0,0.27290971854427815,0.02248375798185076,acceptable
