metric_order,metric_id,manuscript_name,factor_order,factor_id,factor_label,estimate_model_per_sd__alternative_preprocessing,estimate_model_per_sd__main,conf_low_model_per_sd__alternative_preprocessing,conf_low_model_per_sd__main,conf_high_model_per_sd__alternative_preprocessing,conf_high_model_per_sd__main,estimate_difference_mpd_minus_main,sign_concordant,component_intervals_overlap
4,m10_mean_medi,Brightest 10 h mean,2,leba_f3,Using phones and smartwatches in bed before sleep,-0.05206017341729528,-0.051828472132241225,-0.1261039849829389,-0.12811114612611327,0.021983638148348358,0.02445420186163082,-2.3170128505405757e-4,TRUE,TRUE
4,m10_mean_medi,Brightest 10 h mean,3,leba_f4,Controlling and using ambient light before bedtime,-0.0438785301827769,-0.04272448569206302,-0.12054128849516037,-0.1216500179646806,0.03278422812960659,0.03620104658055457,-0.0011540444907138792,TRUE,TRUE
4,m10_mean_medi,Brightest 10 h mean,4,leba_f5,Using light in the morning and during daytime,-0.020016906065028654,-0.031060112874565015,-0.09925638063677464,-0.1124656211416985,0.059222568506717345,0.05034539539256846,0.011043206809536361,TRUE,TRUE
5,l10_mean_medi,Darkest 10 h mean,1,leba_f2,Spending time outdoors,-0.0024799333983106177,-0.0020687762313551868,-0.04320018168982337,-0.043234159052551534,0.03824031489320213,0.039096606589841154,-4.111571669554309e-4,TRUE,TRUE
5,l10_mean_medi,Darkest 10 h mean,2,leba_f3,Using phones and smartwatches in bed before sleep,-0.019508222659288147,-0.01960645989106459,-0.059231714732110474,-0.059784891852460414,0.02021526941353418,0.020571972070331245,9.823723177644281e-5,TRUE,TRUE
5,l10_mean_medi,Darkest 10 h mean,3,leba_f4,Controlling and using ambient light before bedtime,-0.037499569428388266,-0.035659983605245915,-0.07814464822186984,-0.07681455961454499,0.003145509365093302,0.00549459240405315,-0.0018395858231423506,TRUE,TRUE
5,l10_mean_medi,Darkest 10 h mean,4,leba_f5,Using light in the morning and during daytime,-0.009731801974418449,-0.013300557994588453,-0.052079621155349407,-0.056075753997972114,0.03261601720651251,0.029474638008795205,0.003568756020170004,TRUE,TRUE
6,duration_above_1000,"Time above 1,000 lx melEDI",1,leba_f2,Spending time outdoors,0.2153088214166181,0.21062535676267388,0.08514864824572388,0.08095247190135446,0.34546899458751235,0.34029824162399325,0.00468346465394423,TRUE,TRUE
6,duration_above_1000,"Time above 1,000 lx melEDI",2,leba_f3,Using phones and smartwatches in bed before sleep,-0.11340652750541066,-0.11138607406476052,-0.24504512203034526,-0.2425078946337694,0.01823206701952391,0.019735746504248357,-0.0020204534406501468,TRUE,TRUE
6,duration_above_1000,"Time above 1,000 lx melEDI",3,leba_f4,Controlling and using ambient light before bedtime,-0.08989116532038464,-0.09269073809778491,-0.22503566836805972,-0.22711252440258956,0.04525333772729041,0.041731048207019714,0.0027995727774002693,TRUE,TRUE
6,duration_above_1000,"Time above 1,000 lx melEDI",4,leba_f5,Using light in the morning and during daytime,-0.18455826950831547,-0.18459367931841836,-0.32192790812153177,-0.3210843234833529,-0.04718863089509917,-0.04810303515348384,3.5409810102887684e-5,TRUE,TRUE
7,duration_above_250_wake,Time above 250 lx melEDI during wake,1,leba_f2,Spending time outdoors,0.1281210899567094,0.1149954829465285,0.017545020281779185,0.005582021310436471,0.23869715963163962,0.22440894458262053,0.013125607010180895,TRUE,TRUE
7,duration_above_250_wake,Time above 250 lx melEDI during wake,2,leba_f3,Using phones and smartwatches in bed before sleep,-0.10290958319255895,-0.09791249417965144,-0.2121259129348502,-0.20534943119383264,0.006306746549732285,0.009524442834529766,-0.0049970890129075185,TRUE,TRUE
7,duration_above_250_wake,Time above 250 lx melEDI during wake,3,leba_f4,Controlling and using ambient light before bedtime,-0.055026610631696074,-0.04820429906958149,-0.16839623036480703,-0.15961380970098735,0.05834300910141488,0.06320521156182436,-0.006822311562114582,TRUE,TRUE
7,duration_above_250_wake,Time above 250 lx melEDI during wake,4,leba_f5,Using light in the morning and during daytime,-0.05358114640545928,-0.05579636033627214,-0.1715281116855484,-0.17114804250998306,0.06436581887462986,0.059555321837438786,0.002215213930812858,TRUE,TRUE
8,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,1,leba_f2,Spending time outdoors,-0.0040875338824096896,-0.005372046704045527,-0.12460509721797233,-0.13493726787434435,0.11643002945315295,0.1241931744662533,0.0012845128216358373,TRUE,TRUE
8,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,2,leba_f3,Using phones and smartwatches in bed before sleep,0.07685353957058225,0.05235115486237981,-0.04017270975457495,-0.07271532007211835,0.19387978889573942,0.17741762979687797,0.024502384708202436,TRUE,TRUE
8,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,3,leba_f4,Controlling and using ambient light before bedtime,0.019114418423640638,0.027520393442742572,-0.103216983959552,-0.10422077611380347,0.14144582080683327,0.15926156299928862,-0.008405975019101935,TRUE,TRUE
8,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,4,leba_f5,Using light in the morning and during daytime,-0.03849661107813273,-0.03130843345059512,-0.16435800671827264,-0.16735359157208682,0.08736478456200716,0.10473672467089659,-0.007188177627537609,TRUE,TRUE
9,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,1,leba_f2,Spending time outdoors,0.008339010533273893,0.012917704803851725,-0.026497793778010252,-0.02142704496520761,0.04317581484455804,0.047262454572911054,-0.004578694270577832,TRUE,TRUE
9,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,2,leba_f3,Using phones and smartwatches in bed before sleep,0.0040180134539949735,0.00345976656952944,-0.030194464889815555,-0.03028767116830326,0.0382304917978055,0.037207204307362136,5.582468844655335e-4,TRUE,TRUE
9,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,3,leba_f4,Controlling and using ambient light before bedtime,0.025213442591404876,0.018233341128624774,-0.010192905824567017,-0.01681705444788229,0.060619791007376765,0.05328373670513184,0.006980101462780101,TRUE,TRUE
9,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,4,leba_f5,Using light in the morning and during daytime,0.005416383394906417,-0.002174095976075196,-0.031219941489473088,-0.038438925488809374,0.04205270827928593,0.034090733536658986,0.007590479370981612,FALSE,TRUE
10,longest_bout_above_250,Longest continuous period above 250 lx melEDI,1,leba_f2,Spending time outdoors,0.04990351703961612,0.048036425323741506,0.0041705853867061654,0.0032065161070161823,0.09563644869252608,0.09286633454046683,0.0018670917158746109,TRUE,TRUE
10,longest_bout_above_250,Longest continuous period above 250 lx melEDI,2,leba_f3,Using phones and smartwatches in bed before sleep,-0.036320582757291976,-0.034305321770678805,-0.08143822247168539,-0.07856075395198849,0.008797056957101439,0.009950110410630857,-0.002015260986613171,TRUE,TRUE
10,longest_bout_above_250,Longest continuous period above 250 lx melEDI,3,leba_f4,Controlling and using ambient light before bedtime,-0.029050125760228168,-0.02993617823058141,-0.07581844092201992,-0.0757201641261547,0.017718189401563587,0.015847807664991883,8.860524703532408e-4,TRUE,TRUE
10,longest_bout_above_250,Longest continuous period above 250 lx melEDI,4,leba_f5,Using light in the morning and during daytime,-0.02390199198682252,-0.024776258812999524,-0.07216733560794408,-0.07201247213375292,0.02436335163429904,0.022459954507753864,8.742668261770038e-4,TRUE,TRUE
11,m10_midpoint,Midpoint of the brightest 10 hours,1,leba_f2,Spending time outdoors,0.06276304420196813,0.04877270116164541,-0.12259115304259582,-0.13175220611422894,0.2481172414465321,0.22929760843751976,0.01399034304032272,TRUE,TRUE
11,m10_midpoint,Midpoint of the brightest 10 hours,2,leba_f3,Using phones and smartwatches in bed before sleep,0.15493484891783,0.13346895121006394,-0.024837090184460703,-0.042032899046393575,0.3347067880201207,0.30897080146652145,0.021465897707766052,TRUE,TRUE
11,m10_midpoint,Midpoint of the brightest 10 hours,3,leba_f4,Controlling and using ambient light before bedtime,-0.03987586623034554,0.030074295520044904,-0.22750613569487527,-0.15264591394376137,0.14775440323418418,0.21279450498385116,-0.06995016175039044,FALSE,TRUE
11,m10_midpoint,Midpoint of the brightest 10 hours,4,leba_f5,Using light in the morning and during daytime,-0.06615010672748753,-0.08274458198627851,-0.25924648470658734,-0.27041393575846845,0.1269462712516123,0.10492477178591145,0.016594475258790986,TRUE,TRUE
12,l10_midpoint,Midpoint of the darkest 10 hours,1,leba_f2,Spending time outdoors,-0.06939881786377199,-0.13612906545157213,-0.2581679110892968,-0.3167482888675185,0.11937027536175286,0.044490157964374284,0.06673024758780015,TRUE,TRUE
12,l10_midpoint,Midpoint of the darkest 10 hours,2,leba_f3,Using phones and smartwatches in bed before sleep,0.11231310396109334,0.08039834813345959,-0.07169678040512728,-0.0973907526194412,0.29632298832731396,0.25818744888636036,0.031914755827633756,TRUE,TRUE
12,l10_midpoint,Midpoint of the darkest 10 hours,3,leba_f4,Controlling and using ambient light before bedtime,-0.019163780994217762,-0.0201235650513957,-0.21048185447664328,-0.20428285972040258,0.17215429248820777,0.16403572961761118,9.597840571779377e-4,TRUE,TRUE
12,l10_midpoint,Midpoint of the darkest 10 hours,4,leba_f5,Using light in the morning and during daytime,0.12872169548480902,0.13181639012030777,-0.06723805671403124,-0.05647072800598026,0.3246814476836493,0.3201035082465958,-0.003094694635498746,TRUE,TRUE
13,mean_timing_above_250,Mean timing of exposure above 250 lx melEDI,1,leba_f2,Spending time outdoors,0.017998283384820908,0.019868096385266303,-0.1386221252822723,-0.15234424355538914,0.17461869205191408,0.19208043632592173,-0.0018698130004453951,TRUE,TRUE
13,mean_timing_above_250,Mean timing of exposure above 250 lx melEDI,2,leba_f3,Using phones and smartwatches in bed before sleep,0.08402397191982457,0.08625896294419261,-0.06882171354570239,-0.08088075751173257,0.23686965738535154,0.2533986834001178,-0.002234991024368041,TRUE,TRUE
13,mean_timing_above_250,Mean timing of exposure above 250 lx melEDI,3,leba_f4,Controlling and using ambient light before bedtime,-0.08376025094755701,-0.09668792719097208,-0.23931781263743648,-0.266962216320927,0.07179731074232246,0.07358636193898282,0.012927676243415065,TRUE,TRUE
13,mean_timing_above_250,Mean timing of exposure above 250 lx melEDI,4,leba_f5,Using light in the morning and during daytime,-0.1372421065842735,-0.1656609746481092,-0.2974499113737441,-0.3392272679816015,0.022965698205197168,0.007905318685383163,0.0284188680638357,TRUE,TRUE
14,first_timing_above_250,First light timing above 250 lx melEDI,1,leba_f2,Spending time outdoors,-0.21340134362557234,-0.21852079043223874,-0.4715455794580312,-0.4886159206743173,0.04474289220688658,0.05157433980983986,0.0051194468066664,TRUE,TRUE
14,first_timing_above_250,First light timing above 250 lx melEDI,2,leba_f3,Using phones and smartwatches in bed before sleep,0.3352417784429238,0.3236780943464228,0.08509769339552993,0.06192773502145759,0.5853858634903177,0.5854284536713881,0.011563684096500992,TRUE,TRUE
14,first_timing_above_250,First light timing above 250 lx melEDI,3,leba_f4,Controlling and using ambient light before bedtime,0.007829782994030593,0.019374312946101892,-0.25357875542560865,-0.25237757802902316,0.2692383214136699,0.29112620392122696,-0.0115445299520713,TRUE,TRUE
14,first_timing_above_250,First light timing above 250 lx melEDI,4,leba_f5,Using light in the morning and during daytime,-0.13691378023287135,-0.09732107089300505,-0.40629683518990567,-0.37950579038339405,0.13246927472416303,0.18486364859738394,-0.03959270933986629,TRUE,TRUE
15,last_timing_above_250,Last light timing above 250 lx melEDI,1,leba_f2,Spending time outdoors,0.33327861927523145,0.30775784479758755,0.07685473365095098,0.04259238978905668,0.5897025048995119,0.5729232998061184,0.025520774477643893,TRUE,TRUE
15,last_timing_above_250,Last light timing above 250 lx melEDI,2,leba_f3,Using phones and smartwatches in bed before sleep,-0.09818882698017192,-0.06619050328007009,-0.35524735890025555,-0.32802294578602015,0.15886970493991168,0.19564193922587997,-0.03199832370010183,TRUE,TRUE
15,last_timing_above_250,Last light timing above 250 lx melEDI,3,leba_f4,Controlling and using ambient light before bedtime,0.0020712151811784502,-0.010884821593945352,-0.2611819325652604,-0.28033759856932594,0.26532436292761735,0.25856795538143523,0.012956036775123803,FALSE,TRUE
15,last_timing_above_250,Last light timing above 250 lx melEDI,4,leba_f5,Using light in the morning and during daytime,-0.07695322453465972,-0.08054117656785628,-0.3488664876671957,-0.360607963435127,0.19496003859787625,0.19952561029941449,0.003587952033196562,TRUE,TRUE
16,dose_time_sensitive_corrected_medi,melEDI dose,1,leba_f2,Spending time outdoors,0.1145504805249128,0.1066968144222803,0.04027624107137825,0.03320067651417691,0.18882471997844735,0.18019295233038368,0.007853666102632509,TRUE,TRUE
16,dose_time_sensitive_corrected_medi,melEDI dose,2,leba_f3,Using phones and smartwatches in bed before sleep,-0.05779797347693869,-0.052968452995946734,-0.1322770841355418,-0.126208118400867,0.01668113718166441,0.020271212408973543,-0.004829520480991958,TRUE,TRUE
16,dose_time_sensitive_corrected_medi,melEDI dose,3,leba_f4,Controlling and using ambient light before bedtime,-0.05506234532823641,-0.05951932004988299,-0.13213452069531317,-0.13531478443035447,0.022009830038840366,0.0162761443305885,0.004456974721646578,TRUE,TRUE
16,dose_time_sensitive_corrected_medi,melEDI dose,4,leba_f5,Using light in the morning and during daytime,-0.049134373456850323,-0.055160203493019776,-0.1286396999208811,-0.13321862842013546,0.03037095300718045,0.022898221434095926,0.006025830036169452,TRUE,TRUE
17,mder_mean_of_viable_ratios,Melanopic daylight efficacy ratio,1,leba_f2,Spending time outdoors,0.004093923792466327,0.004060282047002446,-0.01136916168675679,-0.01130341303464924,0.019557009271689445,0.01942397712865413,3.364174546388078e-5,TRUE,TRUE
17,mder_mean_of_viable_ratios,Melanopic daylight efficacy ratio,2,leba_f3,Using phones and smartwatches in bed before sleep,-0.0033289654444656797,-0.003882445595903622,-0.018154844332868663,-0.01861982348579025,0.011496913443937305,0.010854932293983006,5.534801514379423e-4,TRUE,TRUE
17,mder_mean_of_viable_ratios,Melanopic daylight efficacy ratio,3,leba_f4,Controlling and using ambient light before bedtime,-0.01053332865629248,-0.010432610475666204,-0.025771815566904034,-0.025589085042657386,0.004705158254319079,0.004723864091324974,-1.0071818062627573e-4,TRUE,TRUE
17,mder_mean_of_viable_ratios,Melanopic daylight efficacy ratio,4,leba_f5,Using light in the morning and during daytime,-0.020201992077072635,-0.019711733714107674,-0.03567865969147077,-0.03509510452823153,-0.004725324462674498,-0.004328362899983818,-4.902583629649605e-4,TRUE,TRUE
