run_id,metric_order,metric_id,site,participants,participant_days,metric_support_valid_hours,metric_support_expected_hours,display_order,display_name
gap_timing_unaware__chest__all_available,5,duration_above_250_wake,TUM,10,60,,,5,Munich (DE)
gap_timing_unaware__chest__all_available,5,duration_above_250_wake,FUSPCEU,22,111,,,6,Madrid (ES)
gap_timing_unaware__chest__all_available,5,duration_above_250_wake,IZTECH,17,99,,,7,Izmir (TR)
gap_timing_unaware__chest__all_available,5,duration_above_250_wake,UCR,39,217,,,8,San José (CR)
gap_timing_unaware__chest__all_available,5,duration_above_250_wake,KNUST,15,83,,,9,Kumasi (GH)
gap_timing_unaware__chest__all_available,6,duration_below_10_pre_sleep,RISE,16,93,,,1,Borås (SE)
gap_timing_unaware__chest__all_available,6,duration_below_10_pre_sleep,THUAS,15,84,,,2,Delft (NL)
gap_timing_unaware__chest__all_available,6,duration_below_10_pre_sleep,BAUA,20,108,,,3,Dortmund (DE)
gap_timing_unaware__chest__all_available,6,duration_below_10_pre_sleep,TUM,10,59,,,5,Munich (DE)
gap_timing_unaware__chest__all_available,6,duration_below_10_pre_sleep,FUSPCEU,22,117,,,6,Madrid (ES)
gap_timing_unaware__chest__all_available,6,duration_below_10_pre_sleep,IZTECH,17,101,,,7,Izmir (TR)
gap_timing_unaware__chest__all_available,6,duration_below_10_pre_sleep,UCR,39,222,,,8,San José (CR)
gap_timing_unaware__chest__all_available,6,duration_below_10_pre_sleep,KNUST,15,83,,,9,Kumasi (GH)
gap_timing_unaware__chest__all_available,7,duration_below_1_sleep_environment,RISE,16,96,,,1,Borås (SE)
gap_timing_unaware__chest__all_available,7,duration_below_1_sleep_environment,THUAS,15,88,,,2,Delft (NL)
gap_timing_unaware__chest__all_available,7,duration_below_1_sleep_environment,BAUA,20,108,,,3,Dortmund (DE)
gap_timing_unaware__chest__all_available,7,duration_below_1_sleep_environment,TUM,10,60,,,5,Munich (DE)
gap_timing_unaware__chest__all_available,7,duration_below_1_sleep_environment,FUSPCEU,22,117,,,6,Madrid (ES)
gap_timing_unaware__chest__all_available,7,duration_below_1_sleep_environment,IZTECH,17,100,,,7,Izmir (TR)
gap_timing_unaware__chest__all_available,7,duration_below_1_sleep_environment,UCR,39,226,,,8,San José (CR)
gap_timing_unaware__chest__all_available,7,duration_below_1_sleep_environment,KNUST,15,83,,,9,Kumasi (GH)
gap_timing_unaware__chest__all_available,8,longest_bout_above_250,RISE,16,96,,,1,Borås (SE)
gap_timing_unaware__chest__all_available,8,longest_bout_above_250,THUAS,15,94,,,2,Delft (NL)
gap_timing_unaware__chest__all_available,8,longest_bout_above_250,BAUA,20,113,,,3,Dortmund (DE)
gap_timing_unaware__chest__all_available,8,longest_bout_above_250,TUM,10,60,,,5,Munich (DE)
gap_timing_unaware__chest__all_available,8,longest_bout_above_250,FUSPCEU,22,122,,,6,Madrid (ES)
gap_timing_unaware__chest__all_available,8,longest_bout_above_250,IZTECH,17,103,,,7,Izmir (TR)
gap_timing_unaware__chest__all_available,8,longest_bout_above_250,UCR,39,226,,,8,San José (CR)
gap_timing_unaware__chest__all_available,8,longest_bout_above_250,KNUST,15,83,,,9,Kumasi (GH)
gap_timing_unaware__chest__all_available,9,dose_time_sensitive_corrected_medi,RISE,16,96,,,1,Borås (SE)
gap_timing_unaware__chest__all_available,9,dose_time_sensitive_corrected_medi,THUAS,15,94,,,2,Delft (NL)
gap_timing_unaware__chest__all_available,9,dose_time_sensitive_corrected_medi,BAUA,20,113,,,3,Dortmund (DE)
gap_timing_unaware__chest__all_available,9,dose_time_sensitive_corrected_medi,TUM,10,60,,,5,Munich (DE)
gap_timing_unaware__chest__all_available,9,dose_time_sensitive_corrected_medi,FUSPCEU,22,122,,,6,Madrid (ES)
gap_timing_unaware__chest__all_available,9,dose_time_sensitive_corrected_medi,IZTECH,17,103,,,7,Izmir (TR)
gap_timing_unaware__chest__all_available,9,dose_time_sensitive_corrected_medi,UCR,39,226,,,8,San José (CR)
gap_timing_unaware__chest__all_available,9,dose_time_sensitive_corrected_medi,KNUST,15,83,,,9,Kumasi (GH)
gap_timing_unaware__chest__main_gap_common_sample,1,daily_geometric_mean_medi,RISE,16,96,,,1,Borås (SE)
gap_timing_unaware__chest__main_gap_common_sample,1,daily_geometric_mean_medi,THUAS,15,93,,,2,Delft (NL)
gap_timing_unaware__chest__main_gap_common_sample,1,daily_geometric_mean_medi,BAUA,20,113,,,3,Dortmund (DE)
gap_timing_unaware__chest__main_gap_common_sample,1,daily_geometric_mean_medi,TUM,10,60,,,5,Munich (DE)
gap_timing_unaware__chest__main_gap_common_sample,1,daily_geometric_mean_medi,FUSPCEU,22,122,,,6,Madrid (ES)
gap_timing_unaware__chest__main_gap_common_sample,1,daily_geometric_mean_medi,IZTECH,17,101,,,7,Izmir (TR)
gap_timing_unaware__chest__main_gap_common_sample,1,daily_geometric_mean_medi,UCR,39,226,,,8,San José (CR)
gap_timing_unaware__chest__main_gap_common_sample,1,daily_geometric_mean_medi,KNUST,15,83,,,9,Kumasi (GH)
gap_timing_unaware__chest__main_gap_common_sample,2,m10_mean_medi,RISE,16,96,,,1,Borås (SE)
gap_timing_unaware__chest__main_gap_common_sample,2,m10_mean_medi,THUAS,15,93,,,2,Delft (NL)
gap_timing_unaware__chest__main_gap_common_sample,2,m10_mean_medi,BAUA,20,113,,,3,Dortmund (DE)
gap_timing_unaware__chest__main_gap_common_sample,2,m10_mean_medi,TUM,10,60,,,5,Munich (DE)
gap_timing_unaware__chest__main_gap_common_sample,2,m10_mean_medi,FUSPCEU,22,122,,,6,Madrid (ES)
gap_timing_unaware__chest__main_gap_common_sample,2,m10_mean_medi,IZTECH,17,101,,,7,Izmir (TR)
gap_timing_unaware__chest__main_gap_common_sample,2,m10_mean_medi,UCR,39,226,,,8,San José (CR)
gap_timing_unaware__chest__main_gap_common_sample,2,m10_mean_medi,KNUST,15,83,,,9,Kumasi (GH)
gap_timing_unaware__chest__main_gap_common_sample,3,l10_mean_medi,RISE,16,96,,,1,Borås (SE)
gap_timing_unaware__chest__main_gap_common_sample,3,l10_mean_medi,THUAS,15,93,,,2,Delft (NL)
gap_timing_unaware__chest__main_gap_common_sample,3,l10_mean_medi,BAUA,20,113,,,3,Dortmund (DE)
gap_timing_unaware__chest__main_gap_common_sample,3,l10_mean_medi,TUM,10,60,,,5,Munich (DE)
gap_timing_unaware__chest__main_gap_common_sample,3,l10_mean_medi,FUSPCEU,22,122,,,6,Madrid (ES)
gap_timing_unaware__chest__main_gap_common_sample,3,l10_mean_medi,IZTECH,17,101,,,7,Izmir (TR)
gap_timing_unaware__chest__main_gap_common_sample,3,l10_mean_medi,UCR,39,226,,,8,San José (CR)
gap_timing_unaware__chest__main_gap_common_sample,3,l10_mean_medi,KNUST,15,83,,,9,Kumasi (GH)
gap_timing_unaware__chest__main_gap_common_sample,4,duration_above_1000,RISE,16,96,,,1,Borås (SE)
gap_timing_unaware__chest__main_gap_common_sample,4,duration_above_1000,THUAS,15,93,,,2,Delft (NL)
gap_timing_unaware__chest__main_gap_common_sample,4,duration_above_1000,BAUA,20,113,,,3,Dortmund (DE)
gap_timing_unaware__chest__main_gap_common_sample,4,duration_above_1000,TUM,10,60,,,5,Munich (DE)
gap_timing_unaware__chest__main_gap_common_sample,4,duration_above_1000,FUSPCEU,22,122,,,6,Madrid (ES)
gap_timing_unaware__chest__main_gap_common_sample,4,duration_above_1000,IZTECH,17,101,,,7,Izmir (TR)
gap_timing_unaware__chest__main_gap_common_sample,4,duration_above_1000,UCR,39,226,,,8,San José (CR)
gap_timing_unaware__chest__main_gap_common_sample,4,duration_above_1000,KNUST,15,83,,,9,Kumasi (GH)
gap_timing_unaware__chest__main_gap_common_sample,5,duration_above_250_wake,RISE,16,87,,,1,Borås (SE)
gap_timing_unaware__chest__main_gap_common_sample,5,duration_above_250_wake,THUAS,14,75,,,2,Delft (NL)
gap_timing_unaware__chest__main_gap_common_sample,5,duration_above_250_wake,BAUA,20,96,,,3,Dortmund (DE)
gap_timing_unaware__chest__main_gap_common_sample,5,duration_above_250_wake,TUM,10,54,,,5,Munich (DE)
gap_timing_unaware__chest__main_gap_common_sample,5,duration_above_250_wake,FUSPCEU,22,108,,,6,Madrid (ES)
gap_timing_unaware__chest__main_gap_common_sample,5,duration_above_250_wake,IZTECH,17,94,,,7,Izmir (TR)
gap_timing_unaware__chest__main_gap_common_sample,5,duration_above_250_wake,UCR,39,206,,,8,San José (CR)
gap_timing_unaware__chest__main_gap_common_sample,5,duration_above_250_wake,KNUST,15,80,,,9,Kumasi (GH)
gap_timing_unaware__chest__main_gap_common_sample,6,duration_below_10_pre_sleep,RISE,16,81,,,1,Borås (SE)
gap_timing_unaware__chest__main_gap_common_sample,6,duration_below_10_pre_sleep,THUAS,14,63,,,2,Delft (NL)
gap_timing_unaware__chest__main_gap_common_sample,6,duration_below_10_pre_sleep,BAUA,20,92,,,3,Dortmund (DE)
gap_timing_unaware__chest__main_gap_common_sample,6,duration_below_10_pre_sleep,TUM,10,52,,,5,Munich (DE)
gap_timing_unaware__chest__main_gap_common_sample,6,duration_below_10_pre_sleep,FUSPCEU,22,102,,,6,Madrid (ES)
gap_timing_unaware__chest__main_gap_common_sample,6,duration_below_10_pre_sleep,IZTECH,17,83,,,7,Izmir (TR)
gap_timing_unaware__chest__main_gap_common_sample,6,duration_below_10_pre_sleep,UCR,39,206,,,8,San José (CR)
gap_timing_unaware__chest__main_gap_common_sample,6,duration_below_10_pre_sleep,KNUST,15,61,,,9,Kumasi (GH)
gap_timing_unaware__chest__main_gap_common_sample,7,duration_below_1_sleep_environment,RISE,16,92,,,1,Borås (SE)
gap_timing_unaware__chest__main_gap_common_sample,7,duration_below_1_sleep_environment,THUAS,15,83,,,2,Delft (NL)
gap_timing_unaware__chest__main_gap_common_sample,7,duration_below_1_sleep_environment,BAUA,20,101,,,3,Dortmund (DE)
gap_timing_unaware__chest__main_gap_common_sample,7,duration_below_1_sleep_environment,TUM,10,60,,,5,Munich (DE)
gap_timing_unaware__chest__main_gap_common_sample,7,duration_below_1_sleep_environment,FUSPCEU,22,114,,,6,Madrid (ES)
gap_timing_unaware__chest__main_gap_common_sample,7,duration_below_1_sleep_environment,IZTECH,17,99,,,7,Izmir (TR)
gap_timing_unaware__chest__main_gap_common_sample,7,duration_below_1_sleep_environment,UCR,39,221,,,8,San José (CR)
gap_timing_unaware__chest__main_gap_common_sample,7,duration_below_1_sleep_environment,KNUST,15,83,,,9,Kumasi (GH)
gap_timing_unaware__chest__main_gap_common_sample,8,longest_bout_above_250,RISE,16,96,,,1,Borås (SE)
gap_timing_unaware__chest__main_gap_common_sample,8,longest_bout_above_250,THUAS,15,93,,,2,Delft (NL)
gap_timing_unaware__chest__main_gap_common_sample,8,longest_bout_above_250,BAUA,20,113,,,3,Dortmund (DE)
gap_timing_unaware__chest__main_gap_common_sample,8,longest_bout_above_250,TUM,10,60,,,5,Munich (DE)
gap_timing_unaware__chest__main_gap_common_sample,8,longest_bout_above_250,FUSPCEU,22,122,,,6,Madrid (ES)
gap_timing_unaware__chest__main_gap_common_sample,8,longest_bout_above_250,IZTECH,17,101,,,7,Izmir (TR)
gap_timing_unaware__chest__main_gap_common_sample,8,longest_bout_above_250,UCR,39,226,,,8,San José (CR)
gap_timing_unaware__chest__main_gap_common_sample,8,longest_bout_above_250,KNUST,15,83,,,9,Kumasi (GH)
gap_timing_unaware__chest__main_gap_common_sample,9,dose_time_sensitive_corrected_medi,RISE,16,90,,,1,Borås (SE)
gap_timing_unaware__chest__main_gap_common_sample,9,dose_time_sensitive_corrected_medi,THUAS,15,89,,,2,Delft (NL)
gap_timing_unaware__chest__main_gap_common_sample,9,dose_time_sensitive_corrected_medi,BAUA,20,104,,,3,Dortmund (DE)
gap_timing_unaware__chest__main_gap_common_sample,9,dose_time_sensitive_corrected_medi,TUM,10,55,,,5,Munich (DE)
gap_timing_unaware__chest__main_gap_common_sample,9,dose_time_sensitive_corrected_medi,FUSPCEU,22,118,,,6,Madrid (ES)
gap_timing_unaware__chest__main_gap_common_sample,9,dose_time_sensitive_corrected_medi,IZTECH,17,98,,,7,Izmir (TR)
gap_timing_unaware__chest__main_gap_common_sample,9,dose_time_sensitive_corrected_medi,UCR,39,214,,,8,San José (CR)
gap_timing_unaware__chest__main_gap_common_sample,9,dose_time_sensitive_corrected_medi,KNUST,15,79,,,9,Kumasi (GH)
gap_timing_unaware__chest__paired_common_sample,1,daily_geometric_mean_medi,RISE,13,78,,,1,Borås (SE)
gap_timing_unaware__chest__paired_common_sample,1,daily_geometric_mean_medi,THUAS,13,78,,,2,Delft (NL)
gap_timing_unaware__chest__paired_common_sample,1,daily_geometric_mean_medi,BAUA,16,93,,,3,Dortmund (DE)
gap_timing_unaware__chest__paired_common_sample,1,daily_geometric_mean_medi,TUM,10,60,,,5,Munich (DE)
gap_timing_unaware__chest__paired_common_sample,1,daily_geometric_mean_medi,FUSPCEU,22,122,,,6,Madrid (ES)
gap_timing_unaware__chest__paired_common_sample,1,daily_geometric_mean_medi,IZTECH,17,102,,,7,Izmir (TR)
gap_timing_unaware__chest__paired_common_sample,1,daily_geometric_mean_medi,UCR,6,30,,,8,San José (CR)
gap_timing_unaware__chest__paired_common_sample,1,daily_geometric_mean_medi,KNUST,15,77,,,9,Kumasi (GH)
gap_timing_unaware__chest__paired_common_sample,2,m10_mean_medi,RISE,13,78,,,1,Borås (SE)
gap_timing_unaware__chest__paired_common_sample,2,m10_mean_medi,THUAS,13,78,,,2,Delft (NL)
gap_timing_unaware__chest__paired_common_sample,2,m10_mean_medi,BAUA,16,93,,,3,Dortmund (DE)
gap_timing_unaware__chest__paired_common_sample,2,m10_mean_medi,TUM,10,60,,,5,Munich (DE)
gap_timing_unaware__chest__paired_common_sample,2,m10_mean_medi,FUSPCEU,22,122,,,6,Madrid (ES)
gap_timing_unaware__chest__paired_common_sample,2,m10_mean_medi,IZTECH,17,102,,,7,Izmir (TR)
gap_timing_unaware__chest__paired_common_sample,2,m10_mean_medi,UCR,6,30,,,8,San José (CR)
gap_timing_unaware__chest__paired_common_sample,2,m10_mean_medi,KNUST,15,77,,,9,Kumasi (GH)
gap_timing_unaware__chest__paired_common_sample,3,l10_mean_medi,RISE,13,78,,,1,Borås (SE)
gap_timing_unaware__chest__paired_common_sample,3,l10_mean_medi,THUAS,13,78,,,2,Delft (NL)
gap_timing_unaware__chest__paired_common_sample,3,l10_mean_medi,BAUA,16,93,,,3,Dortmund (DE)
gap_timing_unaware__chest__paired_common_sample,3,l10_mean_medi,TUM,10,60,,,5,Munich (DE)
gap_timing_unaware__chest__paired_common_sample,3,l10_mean_medi,FUSPCEU,22,122,,,6,Madrid (ES)
gap_timing_unaware__chest__paired_common_sample,3,l10_mean_medi,IZTECH,17,102,,,7,Izmir (TR)
gap_timing_unaware__chest__paired_common_sample,3,l10_mean_medi,UCR,6,30,,,8,San José (CR)
gap_timing_unaware__chest__paired_common_sample,3,l10_mean_medi,KNUST,15,77,,,9,Kumasi (GH)
gap_timing_unaware__chest__paired_common_sample,4,duration_above_1000,RISE,13,78,,,1,Borås (SE)
gap_timing_unaware__chest__paired_common_sample,4,duration_above_1000,THUAS,13,78,,,2,Delft (NL)
gap_timing_unaware__chest__paired_common_sample,4,duration_above_1000,BAUA,16,93,,,3,Dortmund (DE)
gap_timing_unaware__chest__paired_common_sample,4,duration_above_1000,TUM,10,60,,,5,Munich (DE)
gap_timing_unaware__chest__paired_common_sample,4,duration_above_1000,FUSPCEU,22,122,,,6,Madrid (ES)
gap_timing_unaware__chest__paired_common_sample,4,duration_above_1000,IZTECH,17,102,,,7,Izmir (TR)
gap_timing_unaware__chest__paired_common_sample,4,duration_above_1000,UCR,6,30,,,8,San José (CR)
gap_timing_unaware__chest__paired_common_sample,4,duration_above_1000,KNUST,15,77,,,9,Kumasi (GH)
gap_timing_unaware__chest__paired_common_sample,5,duration_above_250_wake,RISE,13,74,,,1,Borås (SE)
gap_timing_unaware__chest__paired_common_sample,5,duration_above_250_wake,THUAS,12,66,,,2,Delft (NL)
gap_timing_unaware__chest__paired_common_sample,5,duration_above_250_wake,BAUA,16,79,,,3,Dortmund (DE)
gap_timing_unaware__chest__paired_common_sample,5,duration_above_250_wake,TUM,10,60,,,5,Munich (DE)
gap_timing_unaware__chest__paired_common_sample,5,duration_above_250_wake,FUSPCEU,22,111,,,6,Madrid (ES)
gap_timing_unaware__chest__paired_common_sample,5,duration_above_250_wake,IZTECH,17,98,,,7,Izmir (TR)
gap_timing_unaware__chest__paired_common_sample,5,duration_above_250_wake,UCR,6,27,,,8,San José (CR)
gap_timing_unaware__chest__paired_common_sample,5,duration_above_250_wake,KNUST,15,77,,,9,Kumasi (GH)
gap_timing_unaware__chest__paired_common_sample,6,duration_below_10_pre_sleep,RISE,13,76,,,1,Borås (SE)
gap_timing_unaware__chest__paired_common_sample,6,duration_below_10_pre_sleep,THUAS,13,70,,,2,Delft (NL)
gap_timing_unaware__chest__paired_common_sample,6,duration_below_10_pre_sleep,BAUA,16,88,,,3,Dortmund (DE)
gap_timing_unaware__chest__paired_common_sample,6,duration_below_10_pre_sleep,TUM,10,59,,,5,Munich (DE)
gap_timing_unaware__chest__paired_common_sample,6,duration_below_10_pre_sleep,FUSPCEU,22,117,,,6,Madrid (ES)
gap_timing_unaware__chest__paired_common_sample,6,duration_below_10_pre_sleep,IZTECH,17,100,,,7,Izmir (TR)
gap_timing_unaware__chest__paired_common_sample,6,duration_below_10_pre_sleep,UCR,6,28,,,8,San José (CR)
gap_timing_unaware__chest__paired_common_sample,6,duration_below_10_pre_sleep,KNUST,15,77,,,9,Kumasi (GH)
gap_timing_unaware__chest__paired_common_sample,7,duration_below_1_sleep_environment,RISE,13,78,,,1,Borås (SE)
gap_timing_unaware__chest__paired_common_sample,7,duration_below_1_sleep_environment,THUAS,13,72,,,2,Delft (NL)
gap_timing_unaware__chest__paired_common_sample,7,duration_below_1_sleep_environment,BAUA,16,88,,,3,Dortmund (DE)
gap_timing_unaware__chest__paired_common_sample,7,duration_below_1_sleep_environment,TUM,10,60,,,5,Munich (DE)
gap_timing_unaware__chest__paired_common_sample,7,duration_below_1_sleep_environment,FUSPCEU,22,117,,,6,Madrid (ES)
gap_timing_unaware__chest__paired_common_sample,7,duration_below_1_sleep_environment,IZTECH,17,99,,,7,Izmir (TR)
gap_timing_unaware__chest__paired_common_sample,7,duration_below_1_sleep_environment,UCR,6,30,,,8,San José (CR)
gap_timing_unaware__chest__paired_common_sample,7,duration_below_1_sleep_environment,KNUST,15,77,,,9,Kumasi (GH)
gap_timing_unaware__chest__paired_common_sample,8,longest_bout_above_250,RISE,13,78,,,1,Borås (SE)
gap_timing_unaware__chest__paired_common_sample,8,longest_bout_above_250,THUAS,13,78,,,2,Delft (NL)
gap_timing_unaware__chest__paired_common_sample,8,longest_bout_above_250,BAUA,16,93,,,3,Dortmund (DE)
gap_timing_unaware__chest__paired_common_sample,8,longest_bout_above_250,TUM,10,60,,,5,Munich (DE)
gap_timing_unaware__chest__paired_common_sample,8,longest_bout_above_250,FUSPCEU,22,122,,,6,Madrid (ES)
gap_timing_unaware__chest__paired_common_sample,8,longest_bout_above_250,IZTECH,17,102,,,7,Izmir (TR)
gap_timing_unaware__chest__paired_common_sample,8,longest_bout_above_250,UCR,6,30,,,8,San José (CR)
gap_timing_unaware__chest__paired_common_sample,8,longest_bout_above_250,KNUST,15,77,,,9,Kumasi (GH)
gap_timing_unaware__chest__paired_common_sample,9,dose_time_sensitive_corrected_medi,RISE,13,78,,,1,Borås (SE)
gap_timing_unaware__chest__paired_common_sample,9,dose_time_sensitive_corrected_medi,THUAS,13,78,,,2,Delft (NL)
gap_timing_unaware__chest__paired_common_sample,9,dose_time_sensitive_corrected_medi,BAUA,16,93,,,3,Dortmund (DE)
gap_timing_unaware__chest__paired_common_sample,9,dose_time_sensitive_corrected_medi,TUM,10,60,,,5,Munich (DE)
gap_timing_unaware__chest__paired_common_sample,9,dose_time_sensitive_corrected_medi,FUSPCEU,22,122,,,6,Madrid (ES)
gap_timing_unaware__chest__paired_common_sample,9,dose_time_sensitive_corrected_medi,IZTECH,17,102,,,7,Izmir (TR)
gap_timing_unaware__chest__paired_common_sample,9,dose_time_sensitive_corrected_medi,UCR,6,30,,,8,San José (CR)
gap_timing_unaware__chest__paired_common_sample,9,dose_time_sensitive_corrected_medi,KNUST,15,77,,,9,Kumasi (GH)
gap_timing_unaware__glasses__all_available,1,daily_geometric_mean_medi,RISE,13,78,,,1,Borås (SE)
gap_timing_unaware__glasses__all_available,1,daily_geometric_mean_medi,THUAS,13,78,,,2,Delft (NL)
gap_timing_unaware__glasses__all_available,1,daily_geometric_mean_medi,BAUA,18,106,,,3,Dortmund (DE)
gap_timing_unaware__glasses__all_available,1,daily_geometric_mean_medi,MPI,26,150,,,4,Tübingen (DE)
gap_timing_unaware__glasses__all_available,1,daily_geometric_mean_medi,TUM,10,60,,,5,Munich (DE)
gap_timing_unaware__glasses__all_available,1,daily_geometric_mean_medi,FUSPCEU,23,127,,,6,Madrid (ES)
gap_timing_unaware__glasses__all_available,1,daily_geometric_mean_medi,IZTECH,17,102,,,7,Izmir (TR)
gap_timing_unaware__glasses__all_available,1,daily_geometric_mean_medi,UCR,6,30,,,8,San José (CR)
gap_timing_unaware__glasses__all_available,1,daily_geometric_mean_medi,KNUST,15,80,,,9,Kumasi (GH)
gap_timing_unaware__glasses__all_available,2,m10_mean_medi,RISE,13,78,,,1,Borås (SE)
gap_timing_unaware__glasses__all_available,2,m10_mean_medi,THUAS,13,78,,,2,Delft (NL)
gap_timing_unaware__glasses__all_available,2,m10_mean_medi,BAUA,18,106,,,3,Dortmund (DE)
gap_timing_unaware__glasses__all_available,2,m10_mean_medi,MPI,26,150,,,4,Tübingen (DE)
gap_timing_unaware__glasses__all_available,2,m10_mean_medi,TUM,10,60,,,5,Munich (DE)
gap_timing_unaware__glasses__all_available,2,m10_mean_medi,FUSPCEU,23,127,,,6,Madrid (ES)
gap_timing_unaware__glasses__all_available,2,m10_mean_medi,IZTECH,17,102,,,7,Izmir (TR)
gap_timing_unaware__glasses__all_available,2,m10_mean_medi,UCR,6,30,,,8,San José (CR)
gap_timing_unaware__glasses__all_available,2,m10_mean_medi,KNUST,15,80,,,9,Kumasi (GH)
gap_timing_unaware__glasses__all_available,3,l10_mean_medi,RISE,13,78,,,1,Borås (SE)
gap_timing_unaware__glasses__all_available,3,l10_mean_medi,THUAS,13,78,,,2,Delft (NL)
gap_timing_unaware__glasses__all_available,3,l10_mean_medi,BAUA,18,106,,,3,Dortmund (DE)
gap_timing_unaware__glasses__all_available,3,l10_mean_medi,MPI,26,150,,,4,Tübingen (DE)
gap_timing_unaware__glasses__all_available,3,l10_mean_medi,TUM,10,60,,,5,Munich (DE)
gap_timing_unaware__glasses__all_available,3,l10_mean_medi,FUSPCEU,23,127,,,6,Madrid (ES)
gap_timing_unaware__glasses__all_available,3,l10_mean_medi,IZTECH,17,102,,,7,Izmir (TR)
gap_timing_unaware__glasses__all_available,3,l10_mean_medi,UCR,6,30,,,8,San José (CR)
gap_timing_unaware__glasses__all_available,3,l10_mean_medi,KNUST,15,80,,,9,Kumasi (GH)
gap_timing_unaware__glasses__all_available,4,duration_above_1000,RISE,13,78,,,1,Borås (SE)
gap_timing_unaware__glasses__all_available,4,duration_above_1000,THUAS,13,78,,,2,Delft (NL)
gap_timing_unaware__glasses__all_available,4,duration_above_1000,BAUA,18,106,,,3,Dortmund (DE)
gap_timing_unaware__glasses__all_available,4,duration_above_1000,MPI,26,150,,,4,Tübingen (DE)
gap_timing_unaware__glasses__all_available,4,duration_above_1000,TUM,10,60,,,5,Munich (DE)
gap_timing_unaware__glasses__all_available,4,duration_above_1000,FUSPCEU,23,127,,,6,Madrid (ES)
gap_timing_unaware__glasses__all_available,4,duration_above_1000,IZTECH,17,102,,,7,Izmir (TR)
gap_timing_unaware__glasses__all_available,4,duration_above_1000,UCR,6,30,,,8,San José (CR)
gap_timing_unaware__glasses__all_available,4,duration_above_1000,KNUST,15,80,,,9,Kumasi (GH)
