metric_order,metric_id,manuscript_name,abbreviation,predictor,placement,standardized_estimate_gap_timing_unaware,standardized_estimate_primary,standardized_conf_low_gap_timing_unaware,standardized_conf_low_primary,standardized_conf_high_gap_timing_unaware,standardized_conf_high_primary,participants_gap_timing_unaware,participants_primary,participant_days_gap_timing_unaware,participant_days_primary,placement_label,predictor_label
12,l10_midpoint,Midpoint of the darkest 10 hours,L10,biological_sex,chest,0.03790320947229041,0.05464145355975235,-0.1424731128723164,-0.13265368592930554,0.2182795318168972,0.24193659304881027,154,154,894,894,Chest,Female minus Male
13,mean_timing_above_250,Mean timing of exposure above 250 lx melEDI,MLIT250,biological_sex,chest,-0.13037108383836066,-0.110124065516985,-0.2848451547048357,-0.2648968171362421,0.02410298702811431,0.04464868610227209,154,154,826,826,Chest,Female minus Male
14,first_timing_above_250,First light timing above 250 lx melEDI,FLIT250,biological_sex,chest,-0.02269599474870812,-0.02872283677191054,-0.21366535541717507,-0.22022366229936172,0.16827336591975883,0.1627779887555406,154,154,795,795,Chest,Female minus Male
15,last_timing_above_250,Last light timing above 250 lx melEDI,LLIT250,biological_sex,chest,-0.14356558839692116,-0.13981144900804204,-0.3388823679072065,-0.3333549270450817,0.05175119111336419,0.05373202902899755,154,154,784,784,Chest,Female minus Male
16,dose_time_sensitive_corrected_medi,melEDI dose,Dose,biological_sex,chest,-0.1158008054397838,-0.11459278040833812,-0.31181135438057206,-0.3102083353735453,0.08020974350100446,0.08102277455686904,154,154,847,847,Chest,Female minus Male
17,mder_mean_of_viable_ratios,Melanopic daylight efficacy ratio,MDER,biological_sex,chest,-0.21998579346460984,-0.21663866610527044,-0.6838138000583224,-0.6749695074859541,0.24384221312910268,0.2416921752754132,152,152,723,723,Chest,Female minus Male
1,interdaily_stability,Interdaily stability,IS,age,glasses,0.10622992510626753,0.12477655785400033,-0.06833292069803855,-0.05041307772010991,0.2807927709105736,0.29996619342811054,141,141,,,Near eye,Age per 10 years
2,intradaily_variability,Intradaily variability,IV,age,glasses,-0.2114344773191228,-0.14661151172114897,-0.3921174907403787,-0.33120322358440724,-0.03075146389786687,0.03798020014210926,141,141,,,Near eye,Age per 10 years
3,daily_geometric_mean_medi,Mean melEDI,Mean,age,glasses,0.11060491559868132,0.10856326290691866,-0.01766700987020794,-0.01955276638852203,0.2388768410675706,0.23667929220235936,141,141,809,809,Near eye,Age per 10 years
4,m10_mean_medi,Brightest 10 h mean,M10mean,age,glasses,0.18092605785330815,0.176137165091156,0.06139370824124894,0.0552957235277513,0.3004584074653674,0.2969786066545607,141,141,809,809,Near eye,Age per 10 years
5,l10_mean_medi,Darkest 10 h mean,L10mean,age,glasses,-0.12327296571011678,-0.1325790559604416,-0.25293344769065457,-0.262044401011462,0.00638751627042102,-0.00311371090942119,141,141,809,809,Near eye,Age per 10 years
6,duration_above_1000,"Time above 1,000 lx melEDI",TAT1000,age,glasses,0.16565466525194936,0.16256279118426187,0.07485887182479198,0.07283398432548734,0.2564504586791067,0.25229159804303636,141,141,809,809,Near eye,Age per 10 years
7,duration_above_250_wake,Time above 250 lx melEDI during wake,TAT250,age,glasses,0.04659400587975847,0.04519462299189173,1.713366170265676e-5,-0.00103232575157328,0.09317087809781428,0.09142157173535675,140,140,719,719,Near eye,Age per 10 years
8,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,TBT10,age,glasses,-0.05090272693536027,-0.05168218448835812,-0.18489320784423868,-0.18568325848434847,0.08308775397351813,0.0823188895076322,139,139,653,653,Near eye,Age per 10 years
9,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,TBT1,age,glasses,0.0053529569551348,0.00593394616459476,-0.01342817719244728,-0.01286181599992451,0.02413409110271689,0.02472970832911403,141,141,771,771,Near eye,Age per 10 years
10,longest_bout_above_250,Longest continuous period above 250 lx melEDI,PAT250,age,glasses,0.14765895274163757,0.1484087403161225,0.028333883524794,0.03001442397882793,0.26698402195848114,0.266803056653417,141,141,809,809,Near eye,Age per 10 years
11,m10_midpoint,Midpoint of the brightest 10 hours,M10,age,glasses,0.02338049355146866,0.03586601252762871,-0.08205112381351877,-0.06444292574551083,0.12881211091645609,0.13617495080076825,141,141,809,809,Near eye,Age per 10 years
12,l10_midpoint,Midpoint of the darkest 10 hours,L10,age,glasses,-0.03739067287594504,-0.02894011732638875,-0.1470405939089258,-0.13699991070569362,0.07225924815703569,0.07911967605291609,141,141,809,809,Near eye,Age per 10 years
13,mean_timing_above_250,Mean timing of exposure above 250 lx melEDI,MLIT250,age,glasses,0.01432509023837543,0.01914482208595324,-0.0779131490544946,-0.07503584895500653,0.10656332953124548,0.113325493126913,141,141,737,737,Near eye,Age per 10 years
14,first_timing_above_250,First light timing above 250 lx melEDI,FLIT250,age,glasses,-0.01851375192197711,-0.01705669393885144,-0.13213376037100624,-0.1306716932718119,0.09510625652705204,0.09655830539410903,140,140,720,720,Near eye,Age per 10 years
15,last_timing_above_250,Last light timing above 250 lx melEDI,LLIT250,age,glasses,0.00462369725860126,0.00242733564573627,-0.10373374246174244,-0.10525430749292324,0.11298113697894498,0.11010897878439578,141,141,684,684,Near eye,Age per 10 years
16,dose_time_sensitive_corrected_medi,melEDI dose,Dose,age,glasses,0.1804355845945029,0.17533324480245624,0.06391213987879679,0.05897296569766485,0.296959029310209,0.2916935239072477,141,141,757,757,Near eye,Age per 10 years
17,mder_mean_of_viable_ratios,Melanopic daylight efficacy ratio,MDER,age,glasses,0.0959164908802886,0.09538438576447404,-0.04087109408299631,-0.04141754184226809,0.23270407584357353,0.2321863133712162,137,137,687,687,Near eye,Age per 10 years
1,interdaily_stability,Interdaily stability,IS,biological_sex,glasses,0.15127437528833776,0.15056614119631956,-0.1693910604502892,-0.1719229779896082,0.4719398110269647,0.4730552603822474,141,141,,,Near eye,Female minus Male
2,intradaily_variability,Intradaily variability,IV,biological_sex,glasses,0.09406257369960846,-0.00472687780169764,-0.24343463836942397,-0.3462460803234126,0.43155978576864096,0.3367923247200173,141,141,,,Near eye,Female minus Male
3,daily_geometric_mean_medi,Mean melEDI,Mean,biological_sex,glasses,-0.24741429002060647,-0.2458569978851345,-0.4819040859447515,-0.4800124691021995,-0.01292449409646144,-0.01170152666806944,141,141,809,809,Near eye,Female minus Male
4,m10_mean_medi,Brightest 10 h mean,M10mean,biological_sex,glasses,-0.22528373380063896,-0.24225224917681343,-0.44943105756840185,-0.4678074127966456,-0.00113641003287603,-0.01669708555698132,141,141,809,809,Near eye,Female minus Male
5,l10_mean_medi,Darkest 10 h mean,L10mean,biological_sex,glasses,-0.15751616822892234,-0.1883916343392348,-0.3971527752632847,-0.4275321105592103,0.08212043880544,0.05074884188074072,141,141,809,809,Near eye,Female minus Male
6,duration_above_1000,"Time above 1,000 lx melEDI",TAT1000,biological_sex,glasses,-0.2072146082395351,-0.20572318439362225,-0.38247117261161273,-0.3787891469221981,-0.03195804386745755,-0.03265722186504645,141,141,809,809,Near eye,Female minus Male
7,duration_above_250_wake,Time above 250 lx melEDI during wake,TAT250,biological_sex,glasses,-0.08953355485581584,-0.08900398148239935,-0.17591958468383537,-0.1746856885190139,-0.00314752502779631,-0.00332227444578483,140,140,719,719,Near eye,Female minus Male
8,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,TBT10,biological_sex,glasses,-0.05890366731612335,-0.05921193631298183,-0.3034319795051279,-0.3037801231794979,0.18562464487288116,0.18535625055353425,139,139,653,653,Near eye,Female minus Male
9,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,TBT1,biological_sex,glasses,0.02611438469295172,0.02585371957672277,-0.00802006789547092,-0.00833376040089996,0.06024883728137437,0.06004119955434551,141,141,771,771,Near eye,Female minus Male
10,longest_bout_above_250,Longest continuous period above 250 lx melEDI,PAT250,biological_sex,glasses,-0.18299095646852293,-0.18427609199812273,-0.4052094350240432,-0.4048273130708188,0.03922752208699734,0.03627512907457331,141,141,809,809,Near eye,Female minus Male
11,m10_midpoint,Midpoint of the brightest 10 hours,M10,biological_sex,glasses,0.07483351246223753,0.00621646451813199,-0.11896803829842018,-0.1789759918579299,0.2686350632228952,0.19140892089419387,141,141,809,809,Near eye,Female minus Male
12,l10_midpoint,Midpoint of the darkest 10 hours,L10,biological_sex,glasses,0.05647795883558161,0.05930388943928472,-0.1453392397763058,-0.13946753669645467,0.25829515744746906,0.2580753155750241,141,141,809,809,Near eye,Female minus Male
13,mean_timing_above_250,Mean timing of exposure above 250 lx melEDI,MLIT250,biological_sex,glasses,-0.10247790463185008,-0.07907732528092362,-0.27291182130858854,-0.2534665805871251,0.06795601204488844,0.0953119300252779,141,141,737,737,Near eye,Female minus Male
14,first_timing_above_250,First light timing above 250 lx melEDI,FLIT250,biological_sex,glasses,0.09109499851831904,0.08791763069674717,-0.12078545361297158,-0.12397374187592972,0.3029754506496097,0.29980900326942406,140,140,720,720,Near eye,Female minus Male
15,last_timing_above_250,Last light timing above 250 lx melEDI,LLIT250,biological_sex,glasses,-0.12516709108882873,-0.12408270634083556,-0.3245962729277742,-0.3223060186209788,0.07426209075011676,0.07414060593930763,141,141,684,684,Near eye,Female minus Male
16,dose_time_sensitive_corrected_medi,melEDI dose,Dose,biological_sex,glasses,-0.18142506275679257,-0.1797131481593436,-0.4018591755281138,-0.39947737428816943,0.03900905001452872,0.04005107796948218,141,141,757,757,Near eye,Female minus Male
17,mder_mean_of_viable_ratios,Melanopic daylight efficacy ratio,MDER,biological_sex,glasses,-0.09575614381278842,-0.09794621320430937,-0.3511991991172611,-0.3533713553139752,0.1596869114916843,0.15747892890535647,137,137,687,687,Near eye,Female minus Male
