run_id,metric_order,metric_id,effect_type,omitted_site_refits,successful_refits,minimum_estimate,maximum_estimate,null_value,range_crosses_null,analysis_unit,response_family,response_transform,effect_scale,preregistered_photoperiod,lower_bound,upper_bound,audit_upper_threshold,diagnostic_note,manuscript_name,abbreviation,manuscript_category,display_unit,variant_label,family_label,analysis_unit_label,run_order,run_label,data_label,placement_label,sample_label
main__glasses__all_available,11,m10_midpoint,difference,9,9,0.04591043052749519,0.25990333722956666,0,FALSE,participant_day,gaussian,clock_hours,difference,FALSE,0,24,,Continuous daytime range check,Midpoint of the brightest 10 hours,M10,timing-based,clock time,Supported 10-hour window,Gaussian on the linear clock scale,Participant-day,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,12,l10_midpoint,difference,9,9,0.0743157073806055,0.18331564844880496,0,FALSE,participant_day,gaussian,clock_hours_midnight_after_16,difference,FALSE,0,24,,Strict-after-16:00 primary conversion with noon sensitivity,Midpoint of the darkest 10 hours,L10,timing-based,clock time,Supported midnight-wrapping 10-hour window,Gaussian on the linear clock scale (strict after-16:00 cut),Participant-day,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,13,mean_timing_above_250,difference,9,9,0.24605023983611077,0.3967421968581337,0,FALSE,participant_day,gaussian,clock_hours,difference,FALSE,0,24,,Continuous daytime-to-evening range check,Mean timing of exposure above 250 lx melEDI,MLIT250,timing-based,clock time,Duration-weighted mean timing,Gaussian on the linear clock scale,Participant-day,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,14,first_timing_above_250,difference,9,9,-0.0575931261477262,0.10303789643529904,0,TRUE,participant_day,gaussian,clock_hours,difference,FALSE,0,24,,Late-evening cluster check,First light timing above 250 lx melEDI,FLIT250,timing-based,clock time,Boundary-censoring rule,Gaussian on the linear clock scale,Participant-day,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,15,last_timing_above_250,difference,9,9,0.26531023035117285,0.5863071044526659,0,FALSE,participant_day,gaussian,clock_hours,difference,FALSE,0,24,,Early-morning cluster check,Last light timing above 250 lx melEDI,LLIT250,timing-based,clock time,Boundary-censoring rule,Gaussian on the linear clock scale,Participant-day,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,16,dose_time_sensitive_corrected_medi,ratio,9,9,0.9773669885201942,1.0885418258024802,1,TRUE,participant_day,gaussian,log10_offset_0.1,ratio,FALSE,0,,,"Offset, influence, and upper-tail checks",melEDI dose,Dose,exposure-history-based,lx·h,Time-sensitive missing-coverage correction,Gaussian after log10(value + 0.1),Participant-day,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,17,mder_mean_of_viable_ratios,difference,9,9,-0.01989762168860695,-0.00255297003792001,0,FALSE,participant_day,gaussian,identity,difference,FALSE,0,,,"Distribution, viable-minute support, upper-tail, and influence checks",Melanopic daylight efficacy ratio,MDER,spectrum-based,dimensionless,Mean of viable one-minute melEDI/illuminance ratios,Gaussian on the identity scale,Participant-day,1,Main near-eye,Main,Near eye,All available
main__chest__all_available,1,interdaily_stability,odds_ratio,8,8,0.9828139146155692,0.9978211417224796,0,FALSE,participant,gaussian,logit,odds_ratio,FALSE,0,1,,Transformed residual and influence checks,Interdaily stability,IS,dynamics-based,dimensionless,Repeated-day regularity,Gaussian after logit transformation,Participant,2,Main chest,Main,Chest,All available
main__chest__all_available,2,intradaily_variability,difference,8,8,-0.03082084295474598,0.04128812162868797,0,TRUE,participant,gaussian,identity,difference,FALSE,0,,,Residual spread and influence checks,Intradaily variability,IV,dynamics-based,dimensionless,Within-day fragmentation,Gaussian on the identity scale,Participant,2,Main chest,Main,Chest,All available
main__chest__all_available,3,daily_geometric_mean_medi,ratio,8,8,0.9216065410834224,1.0978709218792964,1,TRUE,participant_day,gaussian,log10_offset_0.1,ratio,FALSE,0,,,"Offset, influence, and upper-tail checks",Mean melEDI,Mean,level-based,lx,Daily geometric mean,Gaussian after log10(value + 0.1),Participant-day,2,Main chest,Main,Chest,All available
main__chest__all_available,4,m10_mean_medi,ratio,8,8,0.972442290149512,1.2517200554209156,1,TRUE,participant_day,gaussian,log10_offset_0.1,ratio,FALSE,0,,,Influence and upper-tail checks,Brightest 10 h mean,M10mean,level-based,lx,Supported 10-hour window,Gaussian after log10(value + 0.1),Participant-day,2,Main chest,Main,Chest,All available
main__chest__all_available,5,l10_mean_medi,ratio,8,8,0.8959613832212485,0.9483214085951772,1,FALSE,participant_day,gaussian,log10_offset_0.1,ratio,FALSE,0,,,High-risk exact-zero and residual checks,Darkest 10 h mean,L10mean,level-based,lx,Supported 10-hour window,Gaussian after log10(value + 0.1),Participant-day,2,Main chest,Main,Chest,All available
main__chest__all_available,6,duration_above_1000,ratio,8,8,0.9059516984579432,0.9643837837241516,1,FALSE,participant_day,tweedie_log,identity,ratio,TRUE,0,24,,"Zero mass, dispersion, tail, and 24-hour prediction checks","Time above 1,000 lx melEDI",TAT1000,duration-based,h,Full 24-hour cycle,Tweedie with log link,Participant-day,2,Main chest,Main,Chest,All available
main__chest__all_available,7,duration_above_250_wake,ratio,8,8,0.9718276103134906,1.0994729127505456,1,TRUE,participant_day,tweedie_log,identity,ratio,TRUE,0,,,"Zero mass, tail, and waking-duration prediction checks",Time above 250 lx melEDI during wake,TAT250,duration-based,h,Waking near-eye measurement,Tweedie with log link,Participant-day,2,Main chest,Main,Chest,All available
main__chest__all_available,8,duration_below_10_pre_sleep,difference,8,8,-0.01804810052516756,0.04259870002492756,0,TRUE,participant_day,gaussian,identity,difference,TRUE,0,24,6,Calendar-day cumulative duration with a six-hour audit threshold; identity-scale Gaussian response model,Time below 10 lx melEDI before sleep,TBT10,duration-based,h,Three hours before attempted sleep,Gaussian on the identity scale,Participant-day,2,Main chest,Main,Chest,All available
main__chest__all_available,9,duration_below_1_sleep_environment,ratio,8,8,1.0184427572063166,1.0301406941052826,1,FALSE,participant_day,tweedie_log,identity,ratio,TRUE,0,,,Distribution and sleep-window prediction checks,Time below 1 lx melEDI during sleep,TBT1,duration-based,h,Bedside sleep-environment measurement,Tweedie with log link,Participant-day,2,Main chest,Main,Chest,All available
main__chest__all_available,10,longest_bout_above_250,ratio,8,8,0.956328952348092,1.0094343343110943,1,TRUE,participant_day,gaussian,log10_offset_0.1,ratio,TRUE,0,24,,Mandatory exactly-identified-only sensitivity,Longest continuous period above 250 lx melEDI,PAT250,duration-based,h,Observed lower bound,Gaussian after log10(value + 0.1),Participant-day,2,Main chest,Main,Chest,All available
main__chest__all_available,11,m10_midpoint,difference,8,8,0.19753243655042857,0.40879346102492503,0,FALSE,participant_day,gaussian,clock_hours,difference,FALSE,0,24,,Continuous daytime range check,Midpoint of the brightest 10 hours,M10,timing-based,clock time,Supported 10-hour window,Gaussian on the linear clock scale,Participant-day,2,Main chest,Main,Chest,All available
main__chest__all_available,12,l10_midpoint,difference,8,8,0.16466590245815263,0.32922142850403746,0,FALSE,participant_day,gaussian,clock_hours_midnight_after_16,difference,FALSE,0,24,,Strict-after-16:00 primary conversion with noon sensitivity,Midpoint of the darkest 10 hours,L10,timing-based,clock time,Supported midnight-wrapping 10-hour window,Gaussian on the linear clock scale (strict after-16:00 cut),Participant-day,2,Main chest,Main,Chest,All available
main__chest__all_available,13,mean_timing_above_250,difference,8,8,0.25053662992205394,0.5225146220722047,0,FALSE,participant_day,gaussian,clock_hours,difference,FALSE,0,24,,Continuous daytime-to-evening range check,Mean timing of exposure above 250 lx melEDI,MLIT250,timing-based,clock time,Duration-weighted mean timing,Gaussian on the linear clock scale,Participant-day,2,Main chest,Main,Chest,All available
main__chest__all_available,14,first_timing_above_250,difference,8,8,-0.00289880708820877,0.45942670511439654,0,TRUE,participant_day,gaussian,clock_hours,difference,FALSE,0,24,,Late-evening cluster check,First light timing above 250 lx melEDI,FLIT250,timing-based,clock time,Boundary-censoring rule,Gaussian on the linear clock scale,Participant-day,2,Main chest,Main,Chest,All available
main__chest__all_available,15,last_timing_above_250,difference,8,8,0.3038819902940804,0.39862515241176927,0,FALSE,participant_day,gaussian,clock_hours,difference,FALSE,0,24,,Early-morning cluster check,Last light timing above 250 lx melEDI,LLIT250,timing-based,clock time,Boundary-censoring rule,Gaussian on the linear clock scale,Participant-day,2,Main chest,Main,Chest,All available
main__chest__all_available,16,dose_time_sensitive_corrected_medi,ratio,8,8,0.9301080800284044,0.9682420501465056,1,FALSE,participant_day,gaussian,log10_offset_0.1,ratio,FALSE,0,,,"Offset, influence, and upper-tail checks",melEDI dose,Dose,exposure-history-based,lx·h,Time-sensitive missing-coverage correction,Gaussian after log10(value + 0.1),Participant-day,2,Main chest,Main,Chest,All available
main__chest__all_available,17,mder_mean_of_viable_ratios,difference,8,8,-0.05596805468330711,-0.02048482872422255,0,FALSE,participant_day,gaussian,identity,difference,FALSE,0,,,"Distribution, viable-minute support, upper-tail, and influence checks",Melanopic daylight efficacy ratio,MDER,spectrum-based,dimensionless,Mean of viable one-minute melEDI/illuminance ratios,Gaussian on the identity scale,Participant-day,2,Main chest,Main,Chest,All available
