run_id,metric_order,metric_id,refits,successful_refits,maximum_absolute_dfbeta,most_influential_participant,maximum_dfbeta_term,analysis_unit,response_family,response_transform,effect_scale,preregistered_photoperiod,lower_bound,upper_bound,audit_upper_threshold,diagnostic_note,manuscript_name,abbreviation,manuscript_category,display_unit,variant_label,family_label,analysis_unit_label,run_order,run_label,data_label,placement_label,sample_label
main__glasses__all_available,13,mean_timing_above_250,5,5,0.9856692569227768,TUM::TUM_S005,site8,participant_day,gaussian,clock_hours,difference,FALSE,0,24,,Continuous daytime-to-evening range check,Mean timing of exposure above 250 lx melEDI,MLIT250,timing-based,clock time,Duration-weighted mean timing,Gaussian on the linear clock scale,Participant-day,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,14,first_timing_above_250,6,6,0.716667454204001,IZTECH::IZTECH_S015,site3,participant_day,gaussian,clock_hours,difference,FALSE,0,24,,Late-evening cluster check,First light timing above 250 lx melEDI,FLIT250,timing-based,clock time,Boundary-censoring rule,Gaussian on the linear clock scale,Participant-day,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,15,last_timing_above_250,5,5,0.5944428486886594,BAUA::BAUA_S024,site1,participant_day,gaussian,clock_hours,difference,FALSE,0,24,,Early-morning cluster check,Last light timing above 250 lx melEDI,LLIT250,timing-based,clock time,Boundary-censoring rule,Gaussian on the linear clock scale,Participant-day,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,16,dose_time_sensitive_corrected_medi,5,5,0.8780215240770366,THUAS::THUAS_S001,site7,participant_day,gaussian,log10_offset_0.1,ratio,FALSE,0,,,"Offset, influence, and upper-tail checks",melEDI dose,Dose,exposure-history-based,lx·h,Time-sensitive missing-coverage correction,Gaussian after log10(value + 0.1),Participant-day,1,Main near-eye,Main,Near eye,All available
main__glasses__all_available,17,mder_mean_of_viable_ratios,5,5,1.0540743273319912,RISE::RISE_S001,site6,participant_day,gaussian,identity,difference,FALSE,0,,,"Distribution, viable-minute support, upper-tail, and influence checks",Melanopic daylight efficacy ratio,MDER,spectrum-based,dimensionless,Mean of viable one-minute melEDI/illuminance ratios,Gaussian on the identity scale,Participant-day,1,Main near-eye,Main,Near eye,All available
main__chest__all_available,1,interdaily_stability,3,3,0.7792003358236833,TUM::TUM_S003,site7,participant,gaussian,logit,odds_ratio,FALSE,0,1,,Transformed residual and influence checks,Interdaily stability,IS,dynamics-based,dimensionless,Repeated-day regularity,Gaussian after logit transformation,Participant,2,Main chest,Main,Chest,All available
main__chest__all_available,2,intradaily_variability,3,3,0.4686138363407795,IZTECH::IZTECH_S001,site3,participant,gaussian,identity,difference,FALSE,0,,,Residual spread and influence checks,Intradaily variability,IV,dynamics-based,dimensionless,Within-day fragmentation,Gaussian on the identity scale,Participant,2,Main chest,Main,Chest,All available
main__chest__all_available,3,daily_geometric_mean_medi,6,6,0.9203734889724812,TUM::TUM_S005,site7,participant_day,gaussian,log10_offset_0.1,ratio,FALSE,0,,,"Offset, influence, and upper-tail checks",Mean melEDI,Mean,level-based,lx,Daily geometric mean,Gaussian after log10(value + 0.1),Participant-day,2,Main chest,Main,Chest,All available
main__chest__all_available,4,m10_mean_medi,6,6,0.7459212064248214,KNUST::KNUST_S005,site4,participant_day,gaussian,log10_offset_0.1,ratio,FALSE,0,,,Influence and upper-tail checks,Brightest 10 h mean,M10mean,level-based,lx,Supported 10-hour window,Gaussian after log10(value + 0.1),Participant-day,2,Main chest,Main,Chest,All available
main__chest__all_available,5,l10_mean_medi,6,6,0.820474328976372,IZTECH::IZTECH_S013,site3,participant_day,gaussian,log10_offset_0.1,ratio,FALSE,0,,,High-risk exact-zero and residual checks,Darkest 10 h mean,L10mean,level-based,lx,Supported 10-hour window,Gaussian after log10(value + 0.1),Participant-day,2,Main chest,Main,Chest,All available
main__chest__all_available,6,duration_above_1000,6,6,0.7860550047491183,TUM::TUM_S009,site7,participant_day,tweedie_log,identity,ratio,TRUE,0,24,,"Zero mass, dispersion, tail, and 24-hour prediction checks","Time above 1,000 lx melEDI",TAT1000,duration-based,h,Full 24-hour cycle,Tweedie with log link,Participant-day,2,Main chest,Main,Chest,All available
main__chest__all_available,7,duration_above_250_wake,6,6,0.5109397715378464,BAUA::BAUA_S008,site1,participant_day,tweedie_log,identity,ratio,TRUE,0,,,"Zero mass, tail, and waking-duration prediction checks",Time above 250 lx melEDI during wake,TAT250,duration-based,h,Waking near-eye measurement,Tweedie with log link,Participant-day,2,Main chest,Main,Chest,All available
main__chest__all_available,8,duration_below_10_pre_sleep,6,6,0.4349977255768576,IZTECH::IZTECH_S001,site3,participant_day,gaussian,identity,difference,TRUE,0,24,6,Calendar-day cumulative duration with a six-hour audit threshold; identity-scale Gaussian response model,Time below 10 lx melEDI before sleep,TBT10,duration-based,h,Three hours before attempted sleep,Gaussian on the identity scale,Participant-day,2,Main chest,Main,Chest,All available
main__chest__all_available,9,duration_below_1_sleep_environment,6,6,0.7841868774068007,TUM::TUM_S005,site7,participant_day,tweedie_log,identity,ratio,TRUE,0,,,Distribution and sleep-window prediction checks,Time below 1 lx melEDI during sleep,TBT1,duration-based,h,Bedside sleep-environment measurement,Tweedie with log link,Participant-day,2,Main chest,Main,Chest,All available
main__chest__all_available,10,longest_bout_above_250,6,6,0.7452737123338223,TUM::TUM_S009,site7,participant_day,gaussian,log10_offset_0.1,ratio,TRUE,0,24,,Mandatory exactly-identified-only sensitivity,Longest continuous period above 250 lx melEDI,PAT250,duration-based,h,Observed lower bound,Gaussian after log10(value + 0.1),Participant-day,2,Main chest,Main,Chest,All available
main__chest__all_available,11,m10_midpoint,6,6,0.9684706926722344,TUM::TUM_S007,site7,participant_day,gaussian,clock_hours,difference,FALSE,0,24,,Continuous daytime range check,Midpoint of the brightest 10 hours,M10,timing-based,clock time,Supported 10-hour window,Gaussian on the linear clock scale,Participant-day,2,Main chest,Main,Chest,All available
main__chest__all_available,12,l10_midpoint,5,5,1.162735579086395,TUM::TUM_S007,site7,participant_day,gaussian,clock_hours_midnight_after_16,difference,FALSE,0,24,,Strict-after-16:00 primary conversion with noon sensitivity,Midpoint of the darkest 10 hours,L10,timing-based,clock time,Supported midnight-wrapping 10-hour window,Gaussian on the linear clock scale (strict after-16:00 cut),Participant-day,2,Main chest,Main,Chest,All available
main__chest__all_available,13,mean_timing_above_250,6,6,1.013922042284097,TUM::TUM_S007,site7,participant_day,gaussian,clock_hours,difference,FALSE,0,24,,Continuous daytime-to-evening range check,Mean timing of exposure above 250 lx melEDI,MLIT250,timing-based,clock time,Duration-weighted mean timing,Gaussian on the linear clock scale,Participant-day,2,Main chest,Main,Chest,All available
main__chest__all_available,14,first_timing_above_250,6,6,1.0567237566968326,TUM::TUM_S007,site7,participant_day,gaussian,clock_hours,difference,FALSE,0,24,,Late-evening cluster check,First light timing above 250 lx melEDI,FLIT250,timing-based,clock time,Boundary-censoring rule,Gaussian on the linear clock scale,Participant-day,2,Main chest,Main,Chest,All available
main__chest__all_available,15,last_timing_above_250,6,6,0.77768631143941,TUM::TUM_S003,site7,participant_day,gaussian,clock_hours,difference,FALSE,0,24,,Early-morning cluster check,Last light timing above 250 lx melEDI,LLIT250,timing-based,clock time,Boundary-censoring rule,Gaussian on the linear clock scale,Participant-day,2,Main chest,Main,Chest,All available
main__chest__all_available,16,dose_time_sensitive_corrected_medi,5,5,0.6028249017960936,IZTECH::IZTECH_S001,site3,participant_day,gaussian,log10_offset_0.1,ratio,FALSE,0,,,"Offset, influence, and upper-tail checks",melEDI dose,Dose,exposure-history-based,lx·h,Time-sensitive missing-coverage correction,Gaussian after log10(value + 0.1),Participant-day,2,Main chest,Main,Chest,All available
main__chest__all_available,17,mder_mean_of_viable_ratios,6,6,2.6216387719895193,KNUST::KNUST_S007,site4,participant_day,gaussian,identity,difference,FALSE,0,,,"Distribution, viable-minute support, upper-tail, and influence checks",Melanopic daylight efficacy ratio,MDER,spectrum-based,dimensionless,Mean of viable one-minute melEDI/illuminance ratios,Gaussian on the identity scale,Participant-day,2,Main chest,Main,Chest,All available
