placement,instrument_id,metric_id,primary_all_run_id,primary_all_participants,primary_all_participant_days,primary_all_observations,primary_all_sites,primary_all_derivation_hours,primary_all_row_key_hash,primary_all_estimate,primary_all_std_error,primary_all_conf_low,primary_all_conf_high,primary_all_main_p_raw,primary_all_main_p_adjusted,primary_all_main_adjusted_significant,gap_all_run_id,gap_all_participants,gap_all_participant_days,gap_all_observations,gap_all_sites,gap_all_derivation_hours,gap_all_row_key_hash,gap_all_estimate,gap_all_std_error,gap_all_conf_low,gap_all_conf_high,gap_all_main_p_raw,gap_all_main_p_adjusted,gap_all_main_adjusted_significant,primary_common_run_id,primary_common_participants,primary_common_participant_days,primary_common_observations,primary_common_sites,primary_common_derivation_hours,primary_common_row_key_hash,primary_common_estimate,primary_common_std_error,primary_common_conf_low,primary_common_conf_high,primary_common_main_p_raw,primary_common_main_p_adjusted,primary_common_main_adjusted_significant,gap_common_run_id,gap_common_participants,gap_common_participant_days,gap_common_observations,gap_common_sites,gap_common_derivation_hours,gap_common_row_key_hash,gap_common_estimate,gap_common_std_error,gap_common_conf_low,gap_common_conf_high,gap_common_main_p_raw,gap_common_main_p_adjusted,gap_common_main_adjusted_significant,metric_order,manuscript_name,abbreviation,analysis_branch,instrument_name,effect_unit,all_available_stability,common_sample_stability,exact_common_keys,non_estimable_reason,placement_label
chest,MEQ,longest_period_midpoint,primary__chest__all_available,150,549,549,8,13027.8,1907b1e46384901f463be25c32a2f6c825a358de50139ec89478fffe2933eb1f,-0.06673569700099212,0.13909862349712257,-0.33936398935444917,0.2058925953524649,0.6067054766094613,0.6067054766094613,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Midpoint of the longest continuous period above 250 lx melEDI,Longest-period midpoint,registered,MEQ,10 score points,non-estimable,non-estimable,,The approved gap-timing-unaware artifact contains neither the registered metric nor the endpoints needed to construct it,Chest
chest,MEQ,mean_timing_above_250,primary__chest__all_available,154,831,831,8,19336.133333333335,61a7b57f8de7dd440eb961dc8333da2f02c0e811f8cf6532e10f0d1d7175fb90,-0.13750457447918213,0.08065859224291441,-0.29559251031899614,0.020583361360631852,0.08013882680003978,,FALSE,gap__chest__all_available,154,867,867,8,,7b31d3e42c219fa88b2875eb0fc8e2a350c5000f3c64385706facae131cef818,-0.1717035048865883,0.07720454312919764,-0.32302162886268493,-0.02038538091049169,0.022902936435358654,,FALSE,primary__chest__gap_common,154,826,826,8,19236.583333333332,87ef17555413757cf826458620604588bedab24644f07355046790662734023e,-0.13473520573461797,0.08069874459403276,-0.29290183873651854,0.023431427267282562,0.08636248777142003,,FALSE,gap__chest__gap_common,154,826,826,8,,87ef17555413757cf826458620604588bedab24644f07355046790662734023e,-0.15229694950343342,0.07693561036608018,-0.30308797494955697,-0.0015059240573098709,0.04240318110204229,,FALSE,6,Mean timing of exposure above 250 lx melEDI,Mean >250,adapted_mean_timing_sensitivity,MEQ,10 score points,precision-sensitive,precision-sensitive,TRUE,,Chest
glasses,MCTQ,m10_midpoint,primary__glasses__all_available,140,810,810,9,18711.683333333334,ab4c2d2a634dc21d4481bba842ae47f0c092b1b795fca3f506979d601cab8592,0.20524847249744915,0.0818843588855996,0.04475807818452163,0.3657388668103767,0.0101925181916932,0.01698753031948867,TRUE,gap__glasses__all_available,140,805,805,9,,46ae8773269a7fffe08895d619e6f91f8727d90b6212c6ba35dafb3f0709a675,0.18287295252190147,0.08498149567635174,0.0163122816439058,0.34943362339989714,0.027152925561048077,0.04525487593508013,TRUE,primary__glasses__gap_common,140,803,803,9,18574.45,2bb4ced13f077ae6c4bb4e74f4851962ed2331617356e4dfb057e3b4a68950cc,0.20170993623107394,0.0818925511239217,0.04120348542608235,0.3622163870360655,0.011549576144876702,0.019249293574794504,TRUE,gap__glasses__gap_common,140,803,803,9,,2bb4ced13f077ae6c4bb4e74f4851962ed2331617356e4dfb057e3b4a68950cc,0.2002728504760355,0.08158570431368041,0.04036780836788781,0.3601778925841832,0.011828117706995198,0.019713529511658664,TRUE,1,Midpoint of the brightest 10 hours,M10 midpoint,registered,MCTQ MSFsc,1 hour,stable within model uncertainty,stable within model uncertainty,TRUE,,Near eye
glasses,MCTQ,l10_midpoint,primary__glasses__all_available,140,810,810,9,18711.683333333334,ab4c2d2a634dc21d4481bba842ae47f0c092b1b795fca3f506979d601cab8592,0.2764088526112908,0.08102028666525656,0.11761200873027719,0.43520569649230434,5.301090355570175e-4,0.0026505451777850872,TRUE,gap__glasses__all_available,140,805,805,9,,46ae8773269a7fffe08895d619e6f91f8727d90b6212c6ba35dafb3f0709a675,0.28260835764362285,0.08743916696193428,0.11123073956004714,0.45398597572719857,0.0010025311586877791,0.003149557468826194,TRUE,primary__glasses__gap_common,140,803,803,9,18574.45,2bb4ced13f077ae6c4bb4e74f4851962ed2331617356e4dfb057e3b4a68950cc,0.2781707856960605,0.08143184420476784,0.11856730386003889,0.43777426753208215,5.22482091470432e-4,0.0026124104573521604,TRUE,gap__glasses__gap_common,140,803,803,9,,2bb4ced13f077ae6c4bb4e74f4851962ed2331617356e4dfb057e3b4a68950cc,0.27944979779289764,0.08760531399071855,0.10774653751676641,0.45115305806902883,0.0011611380611295772,0.0031804453767474866,TRUE,2,Midpoint of the darkest 10 hours,L10 midpoint,registered,MCTQ MSFsc,1 hour,stable within model uncertainty,stable within model uncertainty,TRUE,,Near eye
glasses,MCTQ,first_timing_above_250,primary__glasses__all_available,139,722,722,9,16716.266666666666,09aca8c67d0f33e3561b5251db458fd11ffd0dd6caf4bc37d546714cd30c53a5,0.3812365428900415,0.11989128289754145,0.1462539463505574,0.6162191394295256,0.0011953084166163469,0.002988271041540867,TRUE,gap__glasses__all_available,140,772,772,9,,4cbf5db2e080bf2bcc55807d295df4a0de7bd0983ab4f790afa4f387420378fa,0.367888240562098,0.11625003418638988,0.14004236035522388,0.5957341207689721,0.0012598229875304776,0.003149557468826194,TRUE,primary__glasses__gap_common,139,715,715,9,16579.033333333333,9135502ad270e83b23bc76163c818d383d99f6782c576cbcb422e1b365b55b5a,0.3827065817739178,0.12042622770566037,0.14667551267680393,0.6187376508710317,0.0012047227396224586,0.0030118068490561467,TRUE,gap__glasses__gap_common,139,715,715,9,,9135502ad270e83b23bc76163c818d383d99f6782c576cbcb422e1b365b55b5a,0.3816684524870805,0.12070552030628495,0.1450899799515939,0.6182469250225671,0.0012721781506989946,0.0031804453767474866,TRUE,3,First light timing above 250 lx melEDI,First >250,registered,MCTQ MSFsc,1 hour,stable within model uncertainty,stable within model uncertainty,TRUE,,Near eye
glasses,MCTQ,last_timing_above_250,primary__glasses__all_available,140,683,683,9,15900.783333333333,1a6f413dca085875bfa1088b9abe8757974a9424f1c646cfca1a056c57402ad1,-0.025149104870303196,0.12202061215856684,-0.26430511007262436,0.21400690033201794,0.810793033579232,0.810793033579232,FALSE,gap__glasses__all_available,140,772,772,9,,4cbf5db2e080bf2bcc55807d295df4a0de7bd0983ab4f790afa4f387420378fa,-0.02531492865045448,0.12034478598976713,-0.26118637491757846,0.2105565176166695,0.8175229222940638,1,FALSE,primary__glasses__gap_common,140,680,680,9,15840.933333333332,540e33ad24567b04f8d5ce2c752eaa5746cf1a77a193120d5c4b2050c6f5c3c2,-0.014215620922335725,0.12335988546249488,-0.2559965535658118,0.22756531172114033,0.8830405044539094,1,FALSE,gap__glasses__gap_common,140,680,680,9,,540e33ad24567b04f8d5ce2c752eaa5746cf1a77a193120d5c4b2050c6f5c3c2,-0.013022512260458889,0.12421171729004096,-0.2564730046068102,0.23042798008589244,0.8922440481267649,1,FALSE,4,Last light timing above 250 lx melEDI,Last >250,registered,MCTQ MSFsc,1 hour,stable within model uncertainty,stable within model uncertainty,TRUE,,Near eye
glasses,MCTQ,longest_period_midpoint,primary__glasses__all_available,131,478,478,9,11325.55,4a84638249c0cb5e0be8b0e5add1eff77115390fcdb24560ff63791921dd35bc,0.16075586608946735,0.13960734192252536,-0.11286949605605107,0.43438122823498576,0.22710511901205502,0.2838813987650688,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Midpoint of the longest continuous period above 250 lx melEDI,Longest-period midpoint,registered,MCTQ MSFsc,1 hour,non-estimable,non-estimable,,The approved gap-timing-unaware artifact contains neither the registered metric nor the endpoints needed to construct it,Near eye
glasses,MCTQ,mean_timing_above_250,primary__glasses__all_available,140,736,736,9,17070.316666666666,95c788d9f24f3be5dfcb16df9c55a86a4dd5339929ce9a4751b1104e79c61829,0.08969909335504386,0.07828432141209792,-0.0637353571668258,0.24313354387691352,0.23950326689504967,,FALSE,gap__glasses__all_available,140,772,772,9,,4cbf5db2e080bf2bcc55807d295df4a0de7bd0983ab4f790afa4f387420378fa,0.1272701954017953,0.07203305984356552,-0.013912007587811498,0.2684523983914021,0.0694058373720023,,FALSE,primary__glasses__gap_common,140,731,731,9,16971.85,a5b9fb18fa9a429e4ff1b158c61861a886fc029e41a81c4bf468ea425c49381e,0.09821620025048491,0.07860673923819886,-0.05585017759851629,0.2522825780994861,0.19955904158924456,,FALSE,gap__glasses__gap_common,140,731,731,9,,a5b9fb18fa9a429e4ff1b158c61861a886fc029e41a81c4bf468ea425c49381e,0.11707096392019908,0.07238992151104114,-0.02481067508512283,0.258952602925521,0.09668815681503193,,FALSE,6,Mean timing of exposure above 250 lx melEDI,Mean >250,adapted_mean_timing_sensitivity,MCTQ MSFsc,1 hour,stable within model uncertainty,stable within model uncertainty,TRUE,,Near eye
glasses,MEQ,m10_midpoint,primary__glasses__all_available,141,816,816,9,18851,25702bb348901735e44c17f7342b6653ed1f1e450a2700c269690472425bb0f1,-0.2780090924393169,0.08822455401268618,-0.4509260408562904,-0.10509214402234332,0.0013237734826680042,0.002206289137780007,TRUE,gap__glasses__all_available,141,811,811,9,,e3cb946628555c4b277767992c79327826b151e78d9a882a930f97da60f36b4b,-0.24744744198302,0.0916669734396794,-0.42711140849658125,-0.0677834754694587,0.005742524388407543,0.009570873980679238,TRUE,primary__glasses__gap_common,141,809,809,9,18713.766666666666,61039a9159cf67f3ff487eb424ac12bc6635491c324a2ba837ea7cbc2f2c4f60,-0.27111612290955533,0.08805543660665087,-0.44370160730154085,-0.09853063851756982,0.0016916440852687302,0.002819406808781217,TRUE,gap__glasses__gap_common,141,809,809,9,,61039a9159cf67f3ff487eb424ac12bc6635491c324a2ba837ea7cbc2f2c4f60,-0.25774055176065963,0.0880077478327948,-0.43023256787342035,-0.08524853564789889,0.002781048016113337,0.004635080026855562,TRUE,1,Midpoint of the brightest 10 hours,M10 midpoint,registered,MEQ,10 score points,stable within model uncertainty,stable within model uncertainty,TRUE,,Near eye
glasses,MEQ,l10_midpoint,primary__glasses__all_available,141,816,816,9,18851,25702bb348901735e44c17f7342b6653ed1f1e450a2700c269690472425bb0f1,-0.31432168701595675,0.08808178242244745,-0.4869588082580469,-0.14168456577386662,2.994539235294659e-4,0.0013034590914294735,TRUE,gap__glasses__all_available,141,811,811,9,,e3cb946628555c4b277767992c79327826b151e78d9a882a930f97da60f36b4b,-0.2899867616622906,0.09568604724844888,-0.4775279680922483,-0.1024455552323329,0.0019875598522849634,0.004968899630712408,TRUE,primary__glasses__gap_common,141,809,809,9,18713.766666666666,61039a9159cf67f3ff487eb424ac12bc6635491c324a2ba837ea7cbc2f2c4f60,-0.31726305554357,0.08833312382607537,-0.4903927968845946,-0.14413331420254535,2.749540382356591e-4,0.0013747701911782954,TRUE,gap__glasses__gap_common,141,809,809,9,,61039a9159cf67f3ff487eb424ac12bc6635491c324a2ba837ea7cbc2f2c4f60,-0.2880524639945467,0.09579765814402011,-0.47581242376010624,-0.10029250422898717,0.0021504486297593316,0.004635080026855562,TRUE,2,Midpoint of the darkest 10 hours,L10 midpoint,registered,MEQ,10 score points,stable within model uncertainty,stable within model uncertainty,TRUE,,Near eye
glasses,MEQ,first_timing_above_250,primary__glasses__all_available,140,727,727,9,16832.5,a653d075b20ac61bca35541b2f59a8912d278179633922b46087063aa2aeaf5a,-0.443907364409369,0.12995603051139015,-0.698616503785482,-0.189198225033256,5.213836365717894e-4,0.0013034590914294735,TRUE,gap__glasses__all_available,141,778,778,9,,524421f35c1dde4a487dc4f1b52f3409ae0aad5a9cf5ec77979ebcbb4f4c433a,-0.4490470260997737,0.12502639635315027,-0.6940942600687781,-0.2039997921307693,2.72489204171041e-4,0.0013624460208552052,TRUE,primary__glasses__gap_common,140,720,720,9,16695.266666666666,1789ef2f9df7e87a099e81595e5020588842d78a8513259e230bd4b532fc7848,-0.43911777156941956,0.13029389315841836,-0.6944891095654292,-0.18374643357340992,6.149175419884713e-4,0.0015372938549711784,TRUE,gap__glasses__gap_common,140,720,720,9,,1789ef2f9df7e87a099e81595e5020588842d78a8513259e230bd4b532fc7848,-0.43675452412217197,0.1306325468778814,-0.6927896112115597,-0.18071943703278426,6.765989373542102e-4,0.0033829946867710513,TRUE,3,First light timing above 250 lx melEDI,First >250,registered,MEQ,10 score points,stable within model uncertainty,stable within model uncertainty,TRUE,,Near eye
glasses,MEQ,last_timing_above_250,primary__glasses__all_available,141,687,687,9,15995.05,19d69ac7ca5c0e39ec329b92242fe35f48e5f068139bfeb96592ff51579a2290,0.029031269578030105,0.1353297301599485,-0.2362101275729928,0.294272666729053,0.8138890608624345,0.8138890608624345,FALSE,gap__glasses__all_available,141,778,778,9,,524421f35c1dde4a487dc4f1b52f3409ae0aad5a9cf5ec77979ebcbb4f4c433a,0.012191321099507572,0.13221722319682655,-0.24694967450216618,0.2713323167011813,0.9193515799982347,1,FALSE,primary__glasses__gap_common,141,684,684,9,15935.2,2c566bd1c6b99aa941be6a3b58cd177055f1222d04f2c5edc2f96c91f5254974,0.02145912573034296,0.13665196097869992,-0.2463737962046816,0.28929204766536754,0.8594781767175571,1,FALSE,gap__glasses__gap_common,141,684,684,9,,2c566bd1c6b99aa941be6a3b58cd177055f1222d04f2c5edc2f96c91f5254974,0.01265866253096336,0.13758797244652926,-0.25700880817012317,0.2823261332320499,0.9131934101763907,1,FALSE,4,Last light timing above 250 lx melEDI,Last >250,registered,MEQ,10 score points,stable within model uncertainty,stable within model uncertainty,TRUE,,Near eye
glasses,MEQ,longest_period_midpoint,primary__glasses__all_available,132,482,482,9,11419.816666666668,25847f9665b9a73dec8045d1f8a79ca480b67e410a1acb06784e078260661ce3,-0.22846388666205275,0.14911784950928597,-0.520729501152317,0.06380172782821142,0.10814279543933511,0.1351784942991689,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Midpoint of the longest continuous period above 250 lx melEDI,Longest-period midpoint,registered,MEQ,10 score points,non-estimable,non-estimable,,The approved gap-timing-unaware artifact contains neither the registered metric nor the endpoints needed to construct it,Near eye
