"id","target","type","mode"
"rId72","https://doi.org/10.1007/s11818-019-00215-x","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId82","https://doi.org/10.1007/s11920-026-01671-7","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId110","https://doi.org/10.1016/0031-9384(86)90427-0","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId118","https://doi.org/10.1016/j.buildenv.2025.112771","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId168","https://doi.org/10.1016/j.clinph.2006.03.011","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId170","https://doi.org/10.1016/j.jad.2016.06.065","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId172","https://doi.org/10.1016/j.jadr.2020.100020","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId90","https://doi.org/10.1016/j.lanepe.2024.100943","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId132","https://doi.org/10.1016/j.measurement.2024.114909","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId108","https://doi.org/10.1016/j.scitotenv.2025.178839","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId206","https://doi.org/10.1037/1082-989X.8.2.129","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId114","https://doi.org/10.1038/s41370-025-00825-8","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId140","https://doi.org/10.1038/s41598-023-43102-0","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId188","https://doi.org/10.1038/s41598-023-48241-y","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId88","https://doi.org/10.1038/s44220-023-00135-8","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId136","https://doi.org/10.1038/s44271-024-00159-5","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId150","https://doi.org/10.1038/s44323-025-00067-9","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId126","https://doi.org/10.1038/s44323-026-00073-5","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId124","https://doi.org/10.1038/s44323-026-00079-z","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId84","https://doi.org/10.1073/pnas.2301608120","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId94","https://doi.org/10.1073/pnas.2405924121","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId142","https://doi.org/10.1080/07420528.2024.2381590","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId112","https://doi.org/10.1093/annweh/wxab092","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId174","https://doi.org/10.1093/jamiaopen/ooac047","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId100","https://doi.org/10.1093/sleep/zsac130","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId152","https://doi.org/10.1093/sleep/zsaf358","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId70","https://doi.org/10.1101/sqb.2007.72.043","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId66","https://doi.org/10.1101/sqb.2007.72.064","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId202","https://doi.org/10.1111/j.1467-9868.2010.00749.x","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId210","https://doi.org/10.1111/j.2517-6161.1987.tb01685.x","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId224","https://doi.org/10.1111/j.2517-6161.1995.tb02031.x","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId78","https://doi.org/10.1111/jpi.12655","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId102","https://doi.org/10.1111/jpi.70023","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId144","https://doi.org/10.1111/jsr.14315","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId106","https://doi.org/10.1126/science.aay3164","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId178","https://doi.org/10.1158/1055-9965.epi-11-0204","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId128","https://doi.org/10.1167/tvst.13.10.28","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId184","https://doi.org/10.1167/tvst.6.4.18","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId96","https://doi.org/10.1177/0004867420968886","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId180","https://doi.org/10.1177/0748730415597520","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId196","https://doi.org/10.1177/07487304251336624","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId200","https://doi.org/10.1177/096228029500400302","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId120","https://doi.org/10.1177/14771535221103258","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId194","https://doi.org/10.1177/14771535231170500","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId134","https://doi.org/10.1186/s12889-024-20206-4","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId74","https://doi.org/10.1186/s12916-025-04608-8","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId208","https://doi.org/10.1198/000313007X188252","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId98","https://doi.org/10.1210/jc.2015-4123","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId198","https://doi.org/10.1214/ss/1177013604","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId148","https://doi.org/10.12688/openreseurope.20985.1","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId156","https://doi.org/10.12688/openreseurope.21304.1","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId158","https://doi.org/10.12688/openreseurope.24060.1","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId116","https://doi.org/10.1289/EHP3431","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId68","https://doi.org/10.1371/journal.pbio.1000145","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId80","https://doi.org/10.1371/journal.pbio.3001571","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId162","https://doi.org/10.1371/journal.pone.0308768","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId214","https://doi.org/10.18637/jss.v067.i01","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId226","https://doi.org/10.21105/joss.01686","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId218","https://doi.org/10.21105/joss.03139","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId222","https://doi.org/10.21105/joss.06962","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId192","https://doi.org/10.21105/joss.07601","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId76","https://doi.org/10.25039/S026.2018","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId122","https://doi.org/10.25039/x051.2025/62xbgg","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId220","https://doi.org/10.32614/CRAN.package.emmeans","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId216","https://doi.org/10.32614/RJ-2017-066","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId160","https://doi.org/10.3389/fpsyt.2023.1199989","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId86","https://doi.org/10.3389/frsle.2023.1268379","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId138","https://doi.org/10.3390/biology8030054","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId146","https://doi.org/10.3390/clockssleep6040042","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId186","https://doi.org/10.3390/ijerph192013599","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId164","https://doi.org/10.3758/s13428-025-02823-y","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId154","https://doi.org/10.48550/arXiv.2606.20719","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId176","https://doi.org/10.5195/jmla.2018.319","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId230","https://doi.org/10.5281/ZENODO.15576731","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId236","https://doi.org/10.5281/ZENODO.16568109","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId232","https://doi.org/10.5281/ZENODO.16834951","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId242","https://doi.org/10.5281/ZENODO.16893901","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId238","https://doi.org/10.5281/ZENODO.16895188","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId240","https://doi.org/10.5281/ZENODO.17289456","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId246","https://doi.org/10.5281/ZENODO.17979893","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId234","https://doi.org/10.5281/ZENODO.18111232","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId244","https://doi.org/10.5281/ZENODO.18925834","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId248","https://doi.org/10.5281/ZENODO.19678543","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId64","https://doi.org/10.5281/zenodo.20547314","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId166","https://doi.org/10.5665/sleep.1642","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId130","https://doi.org/10.64898/2026.07.28.741277","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId204","https://doi.org/10.7717/peerj.6876","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId59","https://github.com/MeLiDosProject","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId62","https://github.com/tscnlab/ZaunerEtAl_bioRxiv_2026","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId250","https://melidosproject.github.io/melidosData/","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId63","https://tscnlab.github.io/ZaunerEtAl_bioRxiv_2026/","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId190","https://www.R-project.org/","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId182","https://www.ncbi.nlm.nih.gov/pubmed/1027738","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId60","https://zenodo.org/communities/22nrm05_melidos/","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
"rId18","mailto:johannes.zauner@tum.de","http://schemas.openxmlformats.org/officeDocument/2006/relationships/hyperlink","External"
