"role","path","sha256","bytes","current_sha256","current_bytes","pre_dispatch_exact","authorized_reader_transition","pass"
"order33f_reader_link_audit","audit/hypotheses/H02/report017_order33f_result_render/reader_link_audit.csv","bb5b14d26df77c5b5773e857593016cd46344494be24e1fcd07762e5842a4206",24777,"bb5b14d26df77c5b5773e857593016cd46344494be24e1fcd07762e5842a4206",24777,TRUE,FALSE,TRUE
"order33f_registration_link_audit","audit/hypotheses/H02/report017_order33f_result_render/registration_link_audit.csv","4bc7c7622a053e940be991c143f1d75c3efae98e51efd1e82cd6a4ef4a08ae61",1993,"4bc7c7622a053e940be991c143f1d75c3efae98e51efd1e82cd6a4ef4a08ae61",1993,TRUE,FALSE,TRUE
"order33f_html_contracts","audit/hypotheses/H02/report017_order33f_result_render/html_contracts.csv","72567d3a1a192645376751092a604430d854b2067cbe201b465fdca492027cbd",627,"72567d3a1a192645376751092a604430d854b2067cbe201b465fdca492027cbd",627,TRUE,FALSE,TRUE
"order33f_table_header_audit","audit/hypotheses/H02/report017_order33f_result_render/table_header_reference_audit.csv","3dc54c2d6c8dd3b7e38bccdfbe87db0c084eb71b0ee287805b13c35478f6462c",39683,"3dc54c2d6c8dd3b7e38bccdfbe87db0c084eb71b0ee287805b13c35478f6462c",39683,TRUE,FALSE,TRUE
"order33f_document_idref_audit","audit/hypotheses/H02/report017_order33f_result_render/document_idref_audit.csv","9d5ad100bc5ef393e004328f1dc680d237e5d3bef85cc64f23aa037adaff1056",31547,"9d5ad100bc5ef393e004328f1dc680d237e5d3bef85cc64f23aa037adaff1056",31547,TRUE,FALSE,TRUE
"order33f_duplicate_id_audit","audit/hypotheses/H02/report017_order33f_result_render/duplicate_id_audit.csv","9119c9eab47ef67bb509da028aa7890cd090a3e9908a0a21b915863f05a45201",26,"9119c9eab47ef67bb509da028aa7890cd090a3e9908a0a21b915863f05a45201",26,TRUE,FALSE,TRUE
"order33f_country_site_audit","audit/hypotheses/H02/report017_order33f_result_render/country_site_audit.csv","ce28c371c3f9c13a3fba93a3f22800cdeab3d17586ae2092421910e8adee4628",231,"ce28c371c3f9c13a3fba93a3f22800cdeab3d17586ae2092421910e8adee4628",231,TRUE,FALSE,TRUE
"order33f_table_endpoint_audit","audit/hypotheses/H02/report017_order33f_result_render/table_endpoint_audit.csv","084037a96a7fa611655083d499c50c21684fc790f3ff32264ca02cd2bd357eaf",1966,"084037a96a7fa611655083d499c50c21684fc790f3ff32264ca02cd2bd357eaf",1966,TRUE,FALSE,TRUE
"order33f_figure_endpoint_audit","audit/hypotheses/H02/report017_order33f_result_render/figure_endpoint_audit.csv","011d35cddda4d6c5d2c84ee6a06741ab9e44933c37e2049b6b18271f43d618c1",4121,"011d35cddda4d6c5d2c84ee6a06741ab9e44933c37e2049b6b18271f43d618c1",4121,TRUE,FALSE,TRUE
"order33f_build_inventory_postrender","audit/hypotheses/H02/report017_order33f_result_render/build_inventory_postrender.csv","a5c0dcbedd6f01d6f0daf0296e5a960be0b93561017e1915549d7da6def9512a",194713,"a5c0dcbedd6f01d6f0daf0296e5a960be0b93561017e1915549d7da6def9512a",194713,TRUE,FALSE,TRUE
"order33f_build_inventory_postqa","audit/hypotheses/H02/report017_order33f_result_render/build_inventory_postqa.csv","a5c0dcbedd6f01d6f0daf0296e5a960be0b93561017e1915549d7da6def9512a",194713,"a5c0dcbedd6f01d6f0daf0296e5a960be0b93561017e1915549d7da6def9512a",194713,TRUE,FALSE,TRUE
"order33f_protected_summary","audit/hypotheses/H02/report017_order33f_result_render/protected_reconciliation_summary.csv","79ec8b37e65f3b6175cb68bb6451eddb74450c9ef9f318bf92338ea247cf12b2",95,"79ec8b37e65f3b6175cb68bb6451eddb74450c9ef9f318bf92338ea247cf12b2",95,TRUE,FALSE,TRUE
"source_acceptance_postqa","audit/hypotheses/H02/report017_order33f_result_render/source_acceptance_15_postqa.csv","2899ec09eb3097d0a265c3c770218f084d7203863ceba6b038a2a11dc8482bac",3829,"2899ec09eb3097d0a265c3c770218f084d7203863ceba6b038a2a11dc8482bac",3829,TRUE,FALSE,TRUE
"accepted_inventory_postqa","audit/hypotheses/H02/report017_order33f_result_render/accepted_inventory_postqa.csv","fb2d943db1db184a6505cbe13951e4cb04d4f8119902cea1598e0f14c3171a97",46283,"fb2d943db1db184a6505cbe13951e4cb04d4f8119902cea1598e0f14c3171a97",46283,TRUE,FALSE,TRUE
"external_semantic_summary","/private/tmp/H02-order33f-semantics.Cux4Wg/gt_html_semantic_post_render_summary.csv","8aa9fdd1f5f5308cfbaf7a3b4ede67f40ae3c99677135b772fbdd7b2fdbc46ff",455,"8aa9fdd1f5f5308cfbaf7a3b4ede67f40ae3c99677135b772fbdd7b2fdbc46ff",455,TRUE,FALSE,TRUE
"external_semantic_ledger","/private/tmp/H02-order33f-semantics.Cux4Wg/001__build__nathealth__notebooks__hypotheses__H02.html_gt_semantic_ledger.csv","54292ba9f39528897b928ce4ccf700f1522918a17ac9beddc0e4ae09bf0c22a9",87132,"54292ba9f39528897b928ce4ccf700f1522918a17ac9beddc0e4ae09bf0c22a9",87132,TRUE,FALSE,TRUE
