page,model_key,placement,predictor,metric_id,metric_order,manuscript_name,placement_display,predictor_display,analysis_unit,response_family,response_transform,adjusted_significant,p_adjusted,effect_95_ci_display,final_assessment,diagnostic_issues,residual_qq_correlation,residual_absolute_fitted_spearman,serial_status,deletion_status,site_influence_assessment
16,glasses__age__dose_time_sensitive_corrected_medi,glasses,age,dose_time_sensitive_corrected_medi,16,melEDI dose,Near eye (primary),"Age, per 10 years",participant_day,gaussian,log10_offset_0.1,TRUE,0.01754715037167054,1.31× (1.09–1.56),acceptable with specified limitations,,0.9559642239604732,-0.11026677907603312,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable with specified limitations
17,glasses__age__mder_mean_of_viable_ratios,glasses,age,mder_mean_of_viable_ratios,17,Melanopic daylight efficacy ratio,Near eye (primary),"Age, per 10 years",participant_day,gaussian,identity,FALSE,0.27666587774072315,0.011 (-0.005–0.027),acceptable with specified limitations,RESIDUAL_QQ_REVIEW,0.8826097691268378,0.07427642611310148,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable with specified limitations
18,glasses__biological_sex__interdaily_stability,glasses,biological_sex,interdaily_stability,1,Interdaily stability,Near eye (primary),"Measured biological sex, Female minus Male",participant,gaussian,logit,FALSE,0.55568380980787635,OR 1.07 (0.93–1.23),acceptable,,0.9908169257781456,0.07998811483115842,NOT_APPLICABLE_PARTICIPANT_LEVEL,PASS_DESCRIPTIVE_CHECK,acceptable
19,glasses__biological_sex__intradaily_variability,glasses,biological_sex,intradaily_variability,2,Intradaily variability,Near eye (primary),"Measured biological sex, Female minus Male",participant,gaussian,identity,FALSE,0.9781980924307592,-0.002 (-0.135–0.131),acceptable with specified limitations,,0.9902814113976268,0.0195557216094237,NOT_APPLICABLE_PARTICIPANT_LEVEL,PASS_DESCRIPTIVE_CHECK,acceptable with specified limitations
20,glasses__biological_sex__daily_geometric_mean_medi,glasses,biological_sex,daily_geometric_mean_medi,3,Mean melEDI,Near eye (primary),"Measured biological sex, Female minus Male",participant_day,gaussian,log10_offset_0.1,FALSE,0.2057260395983865,0.78× (0.62–0.99),acceptable,,0.9760556538479848,-0.18424770192999895,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable
21,glasses__biological_sex__m10_mean_medi,glasses,biological_sex,m10_mean_medi,4,Brightest 10 h mean,Near eye (primary),"Measured biological sex, Female minus Male",participant_day,gaussian,log10_offset_0.1,FALSE,0.2057260395983865,0.69× (0.49–0.98),acceptable,,0.9686846090064088,-0.22580248185599383,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable
22,glasses__biological_sex__l10_mean_medi,glasses,biological_sex,l10_mean_medi,5,Darkest 10 h mean,Near eye (primary),"Measured biological sex, Female minus Male",participant_day,gaussian,log10_offset_0.1,FALSE,0.26552742754651903,0.87× (0.72–1.04),acceptable with specified limitations,RESIDUAL_SPREAD_REVIEW,0.9781373911998328,0.3454662142483238,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable
23,glasses__biological_sex__duration_above_1000,glasses,biological_sex,duration_above_1000,6,"Time above 1,000 lx melEDI",Near eye (primary),"Measured biological sex, Female minus Male",participant_day,tweedie_log,identity,FALSE,0.2057260395983865,0.74× (0.57–0.96),acceptable,,0.965658698114041,0.10964528982716576,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable
24,glasses__biological_sex__duration_above_250_wake,glasses,biological_sex,duration_above_250_wake,7,Time above 250 lx melEDI during wake,Near eye (primary),"Measured biological sex, Female minus Male",participant_day,tweedie_log,identity,FALSE,0.24417569609417508,0.81× (0.66–1.00),acceptable,,0.9849899165941304,-0.11717090507377938,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable
25,glasses__biological_sex__duration_below_10_pre_sleep,glasses,biological_sex,duration_below_10_pre_sleep,8,Time below 10 lx melEDI before sleep,Near eye (primary),"Measured biological sex, Female minus Male",participant_day,gaussian,identity,FALSE,0.7335555208052501,-3.4 min (-18.6–11.7),acceptable with specified limitations,,0.9922523697964348,-0.0628803291846718,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable with specified limitations
26,glasses__biological_sex__duration_below_1_sleep_environment,glasses,biological_sex,duration_below_1_sleep_environment,9,Time below 1 lx melEDI during sleep,Near eye (primary),"Measured biological sex, Female minus Male",participant_day,tweedie_log,identity,FALSE,0.31298212039538376,1.05× (0.98–1.12),acceptable with specified limitations,ZERO_MASS_REVIEW,0.953190378262928,-0.09346039808948264,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable
27,glasses__biological_sex__longest_bout_above_250,glasses,biological_sex,longest_bout_above_250,10,Longest continuous period above 250 lx melEDI,Near eye (primary),"Measured biological sex, Female minus Male",participant_day,gaussian,log10_offset_0.1,FALSE,0.26552742754651903,0.84× (0.69–1.03),acceptable,,0.9974852046358552,-0.12491646145636956,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable
28,glasses__biological_sex__m10_midpoint,glasses,biological_sex,m10_midpoint,11,Midpoint of the brightest 10 hours,Near eye (primary),"Measured biological sex, Female minus Male",participant_day,gaussian,clock_minutes,FALSE,0.9781980924307592,0.5 min (-20.6–21.6),acceptable with specified limitations,,0.977671831806144,0.11144482921736486,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable with specified limitations
29,glasses__biological_sex__l10_midpoint,glasses,biological_sex,l10_midpoint,12,Midpoint of the darkest 10 hours,Near eye (primary),"Measured biological sex, Female minus Male",participant_day,gaussian,clock_minutes_after_16,FALSE,0.6516239875290448,6.4 min (-14.8–27.6),acceptable with specified limitations,RESIDUAL_QQ_REVIEW,0.9187981461218104,0.15191478661291963,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable
30,glasses__biological_sex__mean_timing_above_250,glasses,biological_sex,mean_timing_above_250,13,Mean timing of exposure above 250 lx melEDI,Near eye (primary),"Measured biological sex, Female minus Male",participant_day,gaussian,clock_minutes,FALSE,0.55568380980787635,-8.9 min (-28.6–10.8),acceptable,,0.9927686828035984,0.06850777456446537,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable
31,glasses__biological_sex__first_timing_above_250,glasses,biological_sex,first_timing_above_250,14,First light timing above 250 lx melEDI,Near eye (primary),"Measured biological sex, Female minus Male",participant_day,gaussian,clock_minutes,FALSE,0.55568380980787635,13.1 min (-18.4–44.6),acceptable,,0.9526712653263282,0.15645922990028507,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable
32,glasses__biological_sex__last_timing_above_250,glasses,biological_sex,last_timing_above_250,15,Last light timing above 250 lx melEDI,Near eye (primary),"Measured biological sex, Female minus Male",participant_day,gaussian,clock_minutes,FALSE,0.4441442204331079,-18.2 min (-49.1–12.8),acceptable,,0.984562033499972,-0.1776613438621708,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable
33,glasses__biological_sex__dose_time_sensitive_corrected_medi,glasses,biological_sex,dose_time_sensitive_corrected_medi,16,melEDI dose,Near eye (primary),"Measured biological sex, Female minus Male",participant_day,gaussian,log10_offset_0.1,FALSE,0.26552742754651903,0.77× (0.55–1.07),acceptable,,0.9557868758522844,-0.12505736237151455,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable
34,glasses__biological_sex__mder_mean_of_viable_ratios,glasses,biological_sex,mder_mean_of_viable_ratios,17,Melanopic daylight efficacy ratio,Near eye (primary),"Measured biological sex, Female minus Male",participant_day,gaussian,identity,FALSE,0.55568380980787635,-0.012 (-0.041–0.018),acceptable with specified limitations,RESIDUAL_QQ_REVIEW,0.8820964595311387,0.07274377275369853,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable
35,chest__age__interdaily_stability,chest,age,interdaily_stability,1,Interdaily stability,Chest (complementary),"Age, per 10 years",participant,gaussian,logit,FALSE,0.3402946389686567,OR 1.04 (0.97–1.12),acceptable,,0.9954360566557235,0.03628897487782909,NOT_APPLICABLE_PARTICIPANT_LEVEL,PASS_DESCRIPTIVE_CHECK,acceptable
36,chest__age__intradaily_variability,chest,age,intradaily_variability,2,Intradaily variability,Chest (complementary),"Age, per 10 years",participant,gaussian,identity,FALSE,0.30791782299780845,-0.044 (-0.108–0.021),acceptable,,0.991134939911154,0.12689123455378176,NOT_APPLICABLE_PARTICIPANT_LEVEL,PASS_DESCRIPTIVE_CHECK,acceptable
37,chest__age__daily_geometric_mean_medi,chest,age,daily_geometric_mean_medi,3,Mean melEDI,Chest (complementary),"Age, per 10 years",participant_day,gaussian,log10_offset_0.1,TRUE,0.01665169249288662,1.16× (1.04–1.30),acceptable with specified limitations,,0.977005206015568,-0.17200312997816014,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable with specified limitations
38,chest__age__m10_mean_medi,chest,age,m10_mean_medi,4,Brightest 10 h mean,Chest (complementary),"Age, per 10 years",participant_day,gaussian,log10_offset_0.1,TRUE,5.803526226261967e-4,1.35× (1.15–1.57),acceptable with specified limitations,,0.9706465834758056,-0.21340670052407096,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable with specified limitations
39,chest__age__l10_mean_medi,chest,age,l10_mean_medi,5,Darkest 10 h mean,Chest (complementary),"Age, per 10 years",participant_day,gaussian,log10_offset_0.1,FALSE,0.2340252198929598,0.94× (0.86–1.02),acceptable with specified limitations,RESIDUAL_SPREAD_REVIEW,0.9598282112155996,0.3523573528158812,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable
40,chest__age__duration_above_1000,chest,age,duration_above_1000,6,"Time above 1,000 lx melEDI",Chest (complementary),"Age, per 10 years",participant_day,tweedie_log,identity,TRUE,2.4102474869288793e-5,1.31× (1.18–1.46),acceptable,,0.9567149882426744,0.08603899836729088,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable
41,chest__age__duration_above_250_wake,chest,age,duration_above_250_wake,7,Time above 250 lx melEDI during wake,Chest (complementary),"Age, per 10 years",participant_day,tweedie_log,identity,TRUE,0.00402148974862008,1.16× (1.06–1.26),acceptable,,0.9872168433684492,-0.08415274368462726,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable
42,chest__age__duration_below_10_pre_sleep,chest,age,duration_below_10_pre_sleep,8,Time below 10 lx melEDI before sleep,Chest (complementary),"Age, per 10 years",participant_day,gaussian,identity,FALSE,0.10505414815334474,-6.3 min (-12.8–0.1),acceptable with specified limitations,,0.9922299555100662,-0.04154031946894116,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable with specified limitations
43,chest__age__duration_below_1_sleep_environment,chest,age,duration_below_1_sleep_environment,9,Time below 1 lx melEDI during sleep,Chest (complementary),"Age, per 10 years",participant_day,tweedie_log,identity,FALSE,0.5004375411292554,1.01× (0.98–1.04),acceptable with specified limitations,ZERO_MASS_REVIEW,0.9642188836465309,-0.06560295481859406,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable
44,chest__age__longest_bout_above_250,chest,age,longest_bout_above_250,10,Longest continuous period above 250 lx melEDI,Chest (complementary),"Age, per 10 years",participant_day,gaussian,log10_offset_0.1,TRUE,3.2733622419531055e-4,1.18× (1.09–1.27),acceptable,,0.996223305959009,-0.03354240059786263,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable
45,chest__age__m10_midpoint,chest,age,m10_midpoint,11,Midpoint of the brightest 10 hours,Chest (complementary),"Age, per 10 years",participant_day,gaussian,clock_minutes,FALSE,0.8733959470352263,-1.1 min (-10.9–8.7),acceptable with specified limitations,,0.981028833723388,0.129264454643747,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable with specified limitations
46,chest__age__l10_midpoint,chest,age,l10_midpoint,12,Midpoint of the darkest 10 hours,Chest (complementary),"Age, per 10 years",participant_day,gaussian,clock_minutes_after_16,FALSE,0.8733959470352263,0.8 min (-9.0–10.5),acceptable with specified limitations,,0.9589529819535868,0.06378895477913528,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable with specified limitations
47,chest__age__mean_timing_above_250,chest,age,mean_timing_above_250,13,Mean timing of exposure above 250 lx melEDI,Chest (complementary),"Age, per 10 years",participant_day,gaussian,clock_minutes,FALSE,0.6974651723634314,-2.4 min (-11.6–6.9),acceptable,,0.9903361529495524,0.0065306988890106,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable
48,chest__age__first_timing_above_250,chest,age,first_timing_above_250,14,First light timing above 250 lx melEDI,Chest (complementary),"Age, per 10 years",participant_day,gaussian,clock_minutes,FALSE,0.06277117533281845,-15.4 min (-29.3–-1.6),acceptable with specified limitations,,0.9636594328181034,0.17068016086724402,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable with specified limitations
49,chest__age__last_timing_above_250,chest,age,last_timing_above_250,15,Last light timing above 250 lx melEDI,Chest (complementary),"Age, per 10 years",participant_day,gaussian,clock_minutes,FALSE,0.3402946389686567,8.1 min (-5.8–22.0),acceptable with specified limitations,,0.9807454935504122,-0.05704644658918549,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable with specified limitations
50,chest__age__dose_time_sensitive_corrected_medi,chest,age,dose_time_sensitive_corrected_medi,16,melEDI dose,Chest (complementary),"Age, per 10 years",participant_day,gaussian,log10_offset_0.1,TRUE,3.329659627401548e-5,1.40× (1.21–1.61),acceptable,,0.9620781036400156,-0.07628909657930028,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable
51,chest__age__mder_mean_of_viable_ratios,chest,age,mder_mean_of_viable_ratios,17,Melanopic daylight efficacy ratio,Chest (complementary),"Age, per 10 years",participant_day,gaussian,identity,FALSE,0.6974651723634314,0.009 (-0.028–0.047),acceptable with specified limitations,RESIDUAL_QQ_REVIEW,0.9421024805312512,0.10897502736235314,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable
52,chest__biological_sex__interdaily_stability,chest,biological_sex,interdaily_stability,1,Interdaily stability,Chest (complementary),"Measured biological sex, Female minus Male",participant,gaussian,logit,FALSE,0.6487060965596603,OR 1.04 (0.91–1.20),acceptable,,0.9956773249775648,0.07037736882571241,NOT_APPLICABLE_PARTICIPANT_LEVEL,PASS_DESCRIPTIVE_CHECK,acceptable
53,chest__biological_sex__intradaily_variability,chest,biological_sex,intradaily_variability,2,Intradaily variability,Chest (complementary),"Measured biological sex, Female minus Male",participant,gaussian,identity,FALSE,0.5495289751345099,0.056 (-0.072–0.183),acceptable,,0.9914859209745612,0.05711508895362054,NOT_APPLICABLE_PARTICIPANT_LEVEL,PASS_DESCRIPTIVE_CHECK,acceptable
54,chest__biological_sex__daily_geometric_mean_medi,chest,biological_sex,daily_geometric_mean_medi,3,Mean melEDI,Chest (complementary),"Measured biological sex, Female minus Male",participant_day,gaussian,log10_offset_0.1,TRUE,0.04819861011533095,0.74× (0.60–0.92),acceptable with specified limitations,,0.976877524198642,-0.1667330708852869,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable with specified limitations
55,chest__biological_sex__m10_mean_medi,chest,biological_sex,m10_mean_medi,4,Brightest 10 h mean,Chest (complementary),"Measured biological sex, Female minus Male",participant_day,gaussian,log10_offset_0.1,FALSE,0.13860212772869873,0.70× (0.51–0.96),acceptable with specified limitations,,0.9713948341110188,-0.21862665703459375,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable with specified limitations
56,chest__biological_sex__l10_mean_medi,chest,biological_sex,l10_mean_medi,5,Darkest 10 h mean,Chest (complementary),"Measured biological sex, Female minus Male",participant_day,gaussian,log10_offset_0.1,TRUE,0.01638687081540002,0.76× (0.65–0.90),acceptable with specified limitations,RESIDUAL_SPREAD_REVIEW,0.9607162454763571,0.36423083134375833,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable with specified limitations
57,chest__biological_sex__duration_above_1000,chest,biological_sex,duration_above_1000,6,"Time above 1,000 lx melEDI",Chest (complementary),"Measured biological sex, Female minus Male",participant_day,tweedie_log,identity,FALSE,0.3030469480341897,0.84× (0.67–1.06),acceptable with specified limitations,,0.9594484591701666,0.08867455204020945,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable with specified limitations
58,chest__biological_sex__duration_above_250_wake,chest,biological_sex,duration_above_250_wake,7,Time above 250 lx melEDI during wake,Chest (complementary),"Measured biological sex, Female minus Male",participant_day,tweedie_log,identity,FALSE,0.39729308441589056,0.89× (0.74–1.07),acceptable,,0.988082187404048,-0.07955290160053978,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable
59,chest__biological_sex__duration_below_10_pre_sleep,chest,biological_sex,duration_below_10_pre_sleep,8,Time below 10 lx melEDI before sleep,Chest (complementary),"Measured biological sex, Female minus Male",participant_day,gaussian,identity,FALSE,0.9042231230278678,0.7 min (-12.2–13.7),acceptable with specified limitations,,0.9918457255622176,-0.05316440180634066,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable with specified limitations
60,chest__biological_sex__duration_below_1_sleep_environment,chest,biological_sex,duration_below_1_sleep_environment,9,Time below 1 lx melEDI during sleep,Chest (complementary),"Measured biological sex, Female minus Male",participant_day,tweedie_log,identity,FALSE,0.2167843753703777,1.06× (1.00–1.12),acceptable with specified limitations,ZERO_MASS_REVIEW,0.9649786064036082,-0.06979863412650224,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable
61,chest__biological_sex__longest_bout_above_250,chest,biological_sex,longest_bout_above_250,10,Longest continuous period above 250 lx melEDI,Chest (complementary),"Measured biological sex, Female minus Male",participant_day,gaussian,log10_offset_0.1,FALSE,0.2739567044520248,0.87× (0.73–1.02),acceptable,,0.9962246316764471,-0.04151926769077765,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable
62,chest__biological_sex__m10_midpoint,chest,biological_sex,m10_midpoint,11,Midpoint of the brightest 10 hours,Chest (complementary),"Measured biological sex, Female minus Male",participant_day,gaussian,clock_minutes,FALSE,0.5551296194283123,7.7 min (-11.8–27.2),acceptable,,0.9810906049793914,0.13065037813416375,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable
63,chest__biological_sex__l10_midpoint,chest,biological_sex,l10_midpoint,12,Midpoint of the darkest 10 hours,Chest (complementary),"Measured biological sex, Female minus Male",participant_day,gaussian,clock_minutes_after_16,FALSE,0.6487060965596603,5.4 min (-13.9–24.8),acceptable with specified limitations,,0.95911773526998,0.06359380053610784,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable with specified limitations
64,chest__biological_sex__mean_timing_above_250,chest,biological_sex,mean_timing_above_250,13,Mean timing of exposure above 250 lx melEDI,Chest (complementary),"Measured biological sex, Female minus Male",participant_day,gaussian,clock_minutes,FALSE,0.3030469480341897,-13.6 min (-31.9–4.7),acceptable,,0.9900555621899392,-0.00224406088971664,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable
65,chest__biological_sex__first_timing_above_250,chest,biological_sex,first_timing_above_250,14,First light timing above 250 lx melEDI,Chest (complementary),"Measured biological sex, Female minus Male",participant_day,gaussian,clock_minutes,FALSE,0.823384797307105,-3.9 min (-32.0–24.2),acceptable with specified limitations,,0.962953938116178,0.17175532623243017,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable with specified limitations
66,chest__biological_sex__last_timing_above_250,chest,biological_sex,last_timing_above_250,15,Last light timing above 250 lx melEDI,Chest (complementary),"Measured biological sex, Female minus Male",participant_day,gaussian,clock_minutes,FALSE,0.3030469480341897,-20.2 min (-47.8–7.4),acceptable with specified limitations,,0.9809051840895842,-0.06006205834223532,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable with specified limitations
67,chest__biological_sex__dose_time_sensitive_corrected_medi,chest,biological_sex,dose_time_sensitive_corrected_medi,16,melEDI dose,Chest (complementary),"Measured biological sex, Female minus Male",participant_day,gaussian,log10_offset_0.1,FALSE,0.4275348024229544,0.84× (0.63–1.14),acceptable with specified limitations,,0.963542420578432,-0.0925279539573461,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable with specified limitations
68,chest__biological_sex__mder_mean_of_viable_ratios,chest,biological_sex,mder_mean_of_viable_ratios,17,Melanopic daylight efficacy ratio,Chest (complementary),"Measured biological sex, Female minus Male",participant_day,gaussian,identity,FALSE,0.5368576255488888,-0.035 (-0.108–0.039),acceptable with specified limitations,RESIDUAL_QQ_REVIEW,0.9420951760127824,0.11028320767603154,PASS_DESCRIPTIVE_CHECK,PASS_DESCRIPTIVE_CHECK,acceptable with specified limitations
