metric_order,metric_id,manuscript_name,abbreviation,manuscript_category,predictor,included_in_plot_chest,included_in_plot_glasses,unavailable_reason_chest,unavailable_reason_glasses,standardized_estimate_chest,standardized_estimate_glasses,standardized_conf_low_chest,standardized_conf_low_glasses,standardized_conf_high_chest,standardized_conf_high_glasses,participants_chest,participants_glasses,participant_days_chest,participant_days_glasses,included_in_plot,predictor_label
14,first_timing_above_250,First light timing above 250 lx melEDI,FLIT250,timing-based,age,TRUE,TRUE,,,-0.05768545026102593,0.00483626020562625,-0.17719245152752017,-0.107589151844204,0.06182155100546829,0.11726167225545651,112,112,563,563,TRUE,Age per 10 years
15,last_timing_above_250,Last light timing above 250 lx melEDI,LLIT250,timing-based,age,TRUE,TRUE,,,0.06254443233739405,-0.00871441167013116,-0.04457676665139832,-0.12067635318146314,0.16966563132618642,0.1032475298412008,112,112,524,524,TRUE,Age per 10 years
16,dose_time_sensitive_corrected_medi,melEDI dose,Dose,exposure-history-based,age,TRUE,TRUE,,,0.220314246370844,0.1540292338664335,0.11360222253009368,0.04036469616790972,0.3270262702115943,0.2676937715649572,112,112,598,598,TRUE,Age per 10 years
17,mder_mean_of_viable_ratios,Melanopic daylight efficacy ratio,MDER,spectrum-based,age,TRUE,TRUE,,,0.10150331848752624,0.06355143627463464,-0.05277031499334918,-0.07510547523821795,0.25577695196840167,0.2022083477874872,107,107,489,489,TRUE,Age per 10 years
1,interdaily_stability,Interdaily stability,IS,dynamics-based,biological_sex,FALSE,FALSE,This analysis does not recompute participant-level IS or IV on identical paired participant-day sets; no approximation was made,This analysis does not recompute participant-level IS or IV on identical paired participant-day sets; no approximation was made,,,,,,,,,,,FALSE,Female minus Male
2,intradaily_variability,Intradaily variability,IV,dynamics-based,biological_sex,FALSE,FALSE,This analysis does not recompute participant-level IS or IV on identical paired participant-day sets; no approximation was made,This analysis does not recompute participant-level IS or IV on identical paired participant-day sets; no approximation was made,,,,,,,,,,,FALSE,Female minus Male
3,daily_geometric_mean_medi,Mean melEDI,Mean,level-based,biological_sex,TRUE,TRUE,,,-0.4096861180649013,-0.19517172326108193,-0.6621744025030034,-0.44824038152926055,-0.15719783362679912,0.05789693500709667,112,112,643,643,TRUE,Female minus Male
4,m10_mean_medi,Brightest 10 h mean,M10mean,level-based,biological_sex,TRUE,TRUE,,,-0.3453331276503656,-0.18979904355614527,-0.581929082604684,-0.4299815806301184,-0.10873717269604716,0.05038349351782784,112,112,643,643,TRUE,Female minus Male
5,l10_mean_medi,Darkest 10 h mean,L10mean,level-based,biological_sex,TRUE,TRUE,,,-0.4301765891412363,-0.17366080428554445,-0.6870912897266654,-0.4390213303242645,-0.1732618885558071,0.09169972175317552,112,112,643,643,TRUE,Female minus Male
6,duration_above_1000,"Time above 1,000 lx melEDI",TAT1000,duration-based,biological_sex,TRUE,TRUE,,,-0.20197083862361953,-0.1366233777482989,-0.3808186848394725,-0.30915753262858964,-0.02312299240776646,0.0359107771319918,112,112,643,643,TRUE,Female minus Male
7,duration_above_250_wake,Time above 250 lx melEDI during wake,TAT250,duration-based,biological_sex,TRUE,TRUE,,,-0.08809178651418505,-0.03481356921756251,-0.17497226408949587,-0.11953292531583085,-0.00121130893887422,0.04990578688070582,112,112,578,578,TRUE,Female minus Male
8,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,TBT10,duration-based,biological_sex,TRUE,TRUE,,,0.02261637079395975,-0.02431925775160845,-0.24657425079775872,-0.30212275246647435,0.29180699238567825,0.2534842369632574,110,110,505,505,TRUE,Female minus Male
9,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,TBT1,duration-based,biological_sex,TRUE,TRUE,,,0.03756435388274598,0.01580648908271225,0.00370643843757139,-0.02291597728130345,0.07142226932792056,0.05452895544672796,112,112,608,608,TRUE,Female minus Male
10,longest_bout_above_250,Longest continuous period above 250 lx melEDI,PAT250,duration-based,biological_sex,TRUE,TRUE,,,-0.2337242991019369,-0.08928575379187689,-0.4510020260797646,-0.32095456919864684,-0.01644657212410923,0.14238306161489311,112,112,643,643,TRUE,Female minus Male
11,m10_midpoint,Midpoint of the brightest 10 hours,M10,timing-based,biological_sex,TRUE,TRUE,,,0.01792596832762733,-0.05225344126900752,-0.18592890838361295,-0.2490637740384221,0.2217808450388676,0.14455689150040707,112,112,643,643,TRUE,Female minus Male
12,l10_midpoint,Midpoint of the darkest 10 hours,L10,timing-based,biological_sex,TRUE,TRUE,,,0.07142319564393416,-0.01902525028390547,-0.1406320100432527,-0.2337501989136357,0.283478401331121,0.19569969834582468,112,112,643,643,TRUE,Female minus Male
13,mean_timing_above_250,Mean timing of exposure above 250 lx melEDI,MLIT250,timing-based,biological_sex,TRUE,TRUE,,,-0.12476807533700762,-0.11429348800974684,-0.3164714659342528,-0.3022396856660695,0.06693531526023758,0.07365270964657585,112,112,573,573,TRUE,Female minus Male
14,first_timing_above_250,First light timing above 250 lx melEDI,FLIT250,timing-based,biological_sex,TRUE,TRUE,,,-0.00640089480402399,-0.04387996493369497,-0.2470577925008347,-0.27005486351866353,0.2342560028927867,0.1822949336512736,112,112,563,563,TRUE,Female minus Male
15,last_timing_above_250,Last light timing above 250 lx melEDI,LLIT250,timing-based,biological_sex,TRUE,TRUE,,,-0.2232027744472155,-0.13475937118639036,-0.4324601275293371,-0.3550953128697954,-0.01394542136509385,0.08557657049701467,112,112,524,524,TRUE,Female minus Male
16,dose_time_sensitive_corrected_medi,melEDI dose,Dose,exposure-history-based,biological_sex,TRUE,TRUE,,,-0.20591188064693916,-0.0764616078271146,-0.4313658765286064,-0.3096780192365131,0.01954211523472803,0.15675480358228386,112,112,598,598,TRUE,Female minus Male
17,mder_mean_of_viable_ratios,Melanopic daylight efficacy ratio,MDER,spectrum-based,biological_sex,TRUE,TRUE,,,0.01961594767288042,0.05448662457153805,-0.29417463610725153,-0.2265355110465216,0.33340653145301236,0.3355087601895977,107,107,489,489,TRUE,Female minus Male
