run_id,instrument_id,comparison_id,family_id,planned_members,registered_rows,estimable_raw_p,non_estimable_members,adjusted_values,complete_registered_family,independent_recalculation_matches,family_assessment
primary__chest__gap_common,MEQ,main,H09-F2-MEQ-main__primary__chest__gap_common,5,5,4,1,4,TRUE,TRUE,acceptable
primary__chest__paired_common,MCTQ,interaction,H09-F3-MCTQ-interaction__primary__chest__paired_common,5,5,5,0,5,TRUE,TRUE,acceptable
primary__chest__paired_common,MCTQ,main,H09-F1-MCTQ-main__primary__chest__paired_common,5,5,5,0,5,TRUE,TRUE,acceptable
primary__chest__paired_common,MEQ,interaction,H09-F4-MEQ-interaction__primary__chest__paired_common,5,5,5,0,5,TRUE,TRUE,acceptable
primary__chest__paired_common,MEQ,main,H09-F2-MEQ-main__primary__chest__paired_common,5,5,5,0,5,TRUE,TRUE,acceptable
primary__glasses__all_available,MCTQ,interaction,H09-F3-MCTQ-interaction__primary__glasses__all_available,5,5,5,0,5,TRUE,TRUE,acceptable
primary__glasses__all_available,MCTQ,main,H09-F1-MCTQ-main__primary__glasses__all_available,5,5,5,0,5,TRUE,TRUE,acceptable
primary__glasses__all_available,MEQ,interaction,H09-F4-MEQ-interaction__primary__glasses__all_available,5,5,5,0,5,TRUE,TRUE,acceptable
primary__glasses__all_available,MEQ,main,H09-F2-MEQ-main__primary__glasses__all_available,5,5,5,0,5,TRUE,TRUE,acceptable
primary__glasses__gap_common,MCTQ,interaction,H09-F3-MCTQ-interaction__primary__glasses__gap_common,5,5,4,1,4,TRUE,TRUE,acceptable
primary__glasses__gap_common,MCTQ,main,H09-F1-MCTQ-main__primary__glasses__gap_common,5,5,4,1,4,TRUE,TRUE,acceptable
primary__glasses__gap_common,MEQ,interaction,H09-F4-MEQ-interaction__primary__glasses__gap_common,5,5,4,1,4,TRUE,TRUE,acceptable
primary__glasses__gap_common,MEQ,main,H09-F2-MEQ-main__primary__glasses__gap_common,5,5,4,1,4,TRUE,TRUE,acceptable
primary__glasses__paired_common,MCTQ,interaction,H09-F3-MCTQ-interaction__primary__glasses__paired_common,5,5,5,0,5,TRUE,TRUE,acceptable
primary__glasses__paired_common,MCTQ,main,H09-F1-MCTQ-main__primary__glasses__paired_common,5,5,5,0,5,TRUE,TRUE,acceptable
primary__glasses__paired_common,MEQ,interaction,H09-F4-MEQ-interaction__primary__glasses__paired_common,5,5,5,0,5,TRUE,TRUE,acceptable
primary__glasses__paired_common,MEQ,main,H09-F2-MEQ-main__primary__glasses__paired_common,5,5,5,0,5,TRUE,TRUE,acceptable
