"file","unit","scope","node","expression","candidate","dynamic","exists"
"notebooks/hypotheses/H06_daily.qmd","chunk_1","TOP_LEVEL","4","source(file.path(project_root, ""scripts/pipeline/p_value_display.R""))","scripts/pipeline/p_value_display.R",FALSE,TRUE
"notebooks/hypotheses/H08.qmd","chunk_1","TOP_LEVEL","7","source(file.path(root, ""scripts"", ""pipeline"", ""p_value_display.R""))","scripts/pipeline/p_value_display.R",FALSE,TRUE
"audit/hypotheses/H08/H08_analysis_preparation.qmd","chunk_1","TOP_LEVEL","7","source(file.path(root, ""scripts/pipeline/paths_io.R""))","scripts/pipeline/paths_io.R",FALSE,TRUE
"notebooks/hypotheses/H09.qmd","chunk_1","TOP_LEVEL","9","source(file.path(root, ""scripts"", ""pipeline"", ""p_value_display.R""))","scripts/pipeline/p_value_display.R",FALSE,TRUE
"audit/hypotheses/H09/H09_analysis_preparation.qmd","chunk_1","TOP_LEVEL","9","source(file.path(root, ""scripts/pipeline/paths_io.R""))","scripts/pipeline/paths_io.R",FALSE,TRUE
"notebooks/hypotheses/H10.qmd","chunk_1","TOP_LEVEL","10","source(file.path(root, ""scripts"", ""pipeline"", ""p_value_display.R""))","scripts/pipeline/p_value_display.R",FALSE,TRUE
"audit/hypotheses/H10/H10_analysis_preparation.qmd","chunk_1","TOP_LEVEL","10","source(file.path(root, ""scripts/pipeline/paths_io.R""))","scripts/pipeline/paths_io.R",FALSE,TRUE
"notebooks/hypotheses/H11.qmd","chunk_1","TOP_LEVEL","4","source(file.path(root, ""scripts"", ""pipeline"", ""p_value_display.R""))","scripts/pipeline/p_value_display.R",FALSE,TRUE
"audit/hypotheses/H11/H11_analysis_preparation.qmd","chunk_1","TOP_LEVEL","7","source(file.path(root, ""scripts/pipeline/paths_io.R""))","scripts/pipeline/paths_io.R",FALSE,TRUE
"audit/hypotheses/H11/H11_analysis_preparation.qmd","chunk_1","TOP_LEVEL","8","source(file.path(root, ""scripts/pipeline/p_value_display.R""))","scripts/pipeline/p_value_display.R",FALSE,TRUE
"notebooks/sensitivity_battery.qmd","chunk_1","TOP_LEVEL","2","source(file.path(root, ""scripts/pipeline/paths_io.R""))","scripts/pipeline/paths_io.R",FALSE,TRUE
"notebooks/sensitivity_battery.qmd","chunk_1","TOP_LEVEL","3","source(file.path(root, ""scripts/pipeline/assertions.R""))","scripts/pipeline/assertions.R",FALSE,TRUE
"scripts/report_harmonization/post_render_gt_html_semantics.R","R_SOURCE","load_repair_engine","13/body/6","sys.source(engine_path, envir = engine)","{engine_path}",TRUE,FALSE
"scripts/descriptives/build_descriptives.R","R_SOURCE","source_descriptive_modules","2/body/2","source(file.path(root, ""scripts/pipeline/paths_io.R""), local = globalenv())","scripts/pipeline/paths_io.R",FALSE,TRUE
"scripts/descriptives/build_descriptives.R","R_SOURCE","source_descriptive_modules","2/body/3","source(file.path(root, ""scripts/pipeline/assertions.R""), local = globalenv())","scripts/pipeline/assertions.R",FALSE,TRUE
"scripts/descriptives/build_descriptives.R","R_SOURCE","source_descriptive_modules","2/body/4","source(file.path(root, ""scripts/pipeline/site_solar_context.R""), local = globalenv())","scripts/pipeline/site_solar_context.R",FALSE,TRUE
"scripts/descriptives/build_descriptives.R","R_SOURCE","source_descriptive_modules","2/body/5","source(file.path(root, ""scripts/descriptives/descriptive_contract.R""), local = globalenv())","scripts/descriptives/descriptive_contract.R",FALSE,TRUE
"scripts/descriptives/build_descriptives.R","R_SOURCE","source_descriptive_modules","2/body/7","source(file.path(root, ""scripts/descriptives/build_descriptive_data.R""), local = globalenv())","scripts/descriptives/build_descriptive_data.R",FALSE,TRUE
"scripts/descriptives/build_descriptives.R","R_SOURCE","source_descriptive_modules","2/body/8","source(file.path(root, ""scripts/descriptives/build_descriptive_replications.R""), local = globalenv())","scripts/descriptives/build_descriptive_replications.R",FALSE,TRUE
"scripts/descriptives/build_descriptives.R","R_SOURCE","source_descriptive_modules","2/body/9","source(file.path(root, ""scripts/descriptives/build_previous_comparisons.R""), local = globalenv())","scripts/descriptives/build_previous_comparisons.R",FALSE,TRUE
"scripts/descriptives/build_descriptives.R","R_SOURCE","source_descriptive_modules","2/body/10","source(file.path(root, ""scripts/descriptives/build_publication_tables.R""), local = globalenv())","scripts/descriptives/build_publication_tables.R",FALSE,TRUE
"scripts/descriptives/build_descriptives.R","R_SOURCE","source_descriptive_modules","2/body/11","source(file.path(root, ""scripts/descriptives/plot_descriptive_figures.R""), local = globalenv())","scripts/descriptives/plot_descriptive_figures.R",FALSE,TRUE
"scripts/descriptives/build_descriptives.R","R_SOURCE","source_descriptive_modules","2/body/12","source(file.path(root, ""scripts/descriptives/plot_descriptive_replications.R""), local = globalenv())","scripts/descriptives/plot_descriptive_replications.R",FALSE,TRUE
