"route","source_files","reached_contexts","calls","effect_calls","loaded_sources","disabled_units"
"notebooks/hypotheses/H06_daily.qmd",2,19,760,31,"notebooks/hypotheses/H06_daily.qmd | scripts/pipeline/p_value_display.R",0
"audit/hypotheses/H06_daily/H06_daily_analysis_preparation.qmd",1,5,517,29,"audit/hypotheses/H06_daily/H06_daily_analysis_preparation.qmd",0
"notebooks/hypotheses/H07.qmd",1,14,889,33,"notebooks/hypotheses/H07.qmd",0
"audit/hypotheses/H07/H07_analysis_preparation.qmd",1,5,906,39,"audit/hypotheses/H07/H07_analysis_preparation.qmd",0
"notebooks/hypotheses/H08.qmd",2,13,604,44,"notebooks/hypotheses/H08.qmd | scripts/pipeline/p_value_display.R",0
"audit/hypotheses/H08/H08_analysis_preparation.qmd",2,6,1070,52,"audit/hypotheses/H08/H08_analysis_preparation.qmd | scripts/pipeline/paths_io.R",0
"notebooks/hypotheses/H09.qmd",2,12,603,38,"notebooks/hypotheses/H09.qmd | scripts/pipeline/p_value_display.R",0
"audit/hypotheses/H09/H09_analysis_preparation.qmd",2,5,970,57,"audit/hypotheses/H09/H09_analysis_preparation.qmd | scripts/pipeline/paths_io.R",0
"notebooks/hypotheses/H10.qmd",2,14,613,50,"notebooks/hypotheses/H10.qmd | scripts/pipeline/p_value_display.R",0
"audit/hypotheses/H10/H10_analysis_preparation.qmd",2,8,876,70,"audit/hypotheses/H10/H10_analysis_preparation.qmd | scripts/pipeline/paths_io.R",0
"notebooks/hypotheses/H11.qmd",2,21,842,34,"notebooks/hypotheses/H11.qmd | scripts/pipeline/p_value_display.R",0
"audit/hypotheses/H11/H11_analysis_preparation.qmd",3,8,860,44,"audit/hypotheses/H11/H11_analysis_preparation.qmd | scripts/pipeline/paths_io.R | scripts/pipeline/p_value_display.R",4
"notebooks/sensitivity_battery.qmd",1,1,0,0,"notebooks/sensitivity_battery.qmd",1
"scripts/report_harmonization/post_render_gt_html_semantics.R",2,39,1633,71,"scripts/report_harmonization/post_render_gt_html_semantics.R | scripts/report_harmonization/repair_gt_html_semantics.R",0
