"package","version","library","description_path","description_sha256","direct_or_dependency","built","depends","imports","linking_to"
"yaml","2.3.12","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/yaml/DESCRIPTION","562921d5e2ef7dda75c4cb1770fb01e5f53f26475cc06e53182ddf5238261859","SYNTACTIC_PACKAGE_REQUIREMENT_OR_LOADER_CHECK","R 4.6.0; aarch64-apple-darwin20; 2026-07-28 21:02:52 UTC; unix","","",""
"yaml","2.3.12","/Users/zauner/Library/R/arm64/4.6/library","/Users/zauner/Library/R/arm64/4.6/library/yaml/DESCRIPTION","e1519b75af882b25aebf646a1ec7cff9d9c1b93b88c58ac6c9a87be35c8fc4c6","SYNTACTIC_PACKAGE_REQUIREMENT_OR_LOADER_CHECK","R 4.6.0; aarch64-apple-darwin23; 2026-04-25 15:39:54 UTC; unix","","",""
"readr","2.2.0","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/readr/DESCRIPTION","84dec98a5abba61afbc7f54f6d1bd679fb6a8bc172f3276447c433fde102c0c5","SYNTACTIC_PACKAGE_REQUIREMENT_OR_LOADER_CHECK","R 4.6.0; aarch64-apple-darwin23; 2026-04-26 15:50:28 UTC; unix","R (>= 4.1)","cli, clipr, crayon, glue, hms (>= 0.4.1), lifecycle, methods, R6,
rlang, tibble, utils, vroom (>= 1.7.0), withr","cpp11, tzdb (>= 0.1.1)"
"readr","2.2.0","/Users/zauner/Library/R/arm64/4.6/library","/Users/zauner/Library/R/arm64/4.6/library/readr/DESCRIPTION","91ac13c9c3949e7c8708c951a4ddd2b2dd112ec08ba47de0560946cae645119d","SYNTACTIC_PACKAGE_REQUIREMENT_OR_LOADER_CHECK","R 4.6.0; aarch64-apple-darwin23; 2026-04-26 15:50:28 UTC; unix","R (>= 4.1)","cli, clipr, crayon, glue, hms (>= 0.4.1), lifecycle, methods,
R6, rlang, tibble, utils, vroom (>= 1.7.0), withr","cpp11, tzdb (>= 0.1.1)"
"tibble","3.3.1","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/tibble/DESCRIPTION","d7cfae73163fbb7815355f953c37647cea755f051512d13a6cd42b74b2b0741a","SYNTACTIC_PACKAGE_REQUIREMENT_OR_LOADER_CHECK","R 4.6.0; aarch64-apple-darwin23; 2026-04-26 05:14:40 UTC; unix","R (>= 3.4.0)","cli, lifecycle (>= 1.0.0), magrittr, methods, pillar (>= 1.8.1),
pkgconfig, rlang (>= 1.0.2), utils, vctrs (>= 0.5.0)",""
"tibble","3.3.1","/Users/zauner/Library/R/arm64/4.6/library","/Users/zauner/Library/R/arm64/4.6/library/tibble/DESCRIPTION","7e84d10106f2669ffedc94fce3900c7703981ebeb838b32b40bfafff26382214","SYNTACTIC_PACKAGE_REQUIREMENT_OR_LOADER_CHECK","R 4.6.0; aarch64-apple-darwin23; 2026-04-26 05:14:40 UTC; unix","R (>= 3.4.0)","cli, lifecycle (>= 1.0.0), magrittr, methods, pillar (>=
1.8.1), pkgconfig, rlang (>= 1.0.2), utils, vctrs (>= 0.5.0)",""
"dplyr","1.2.1","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/dplyr/DESCRIPTION","618accb16c5640af5226c0318b11becc0212038e1b25c5065fcedab68b511905","SYNTACTIC_PACKAGE_REQUIREMENT_OR_LOADER_CHECK","R 4.6.0; aarch64-apple-darwin23; 2026-04-26 11:09:07 UTC; unix","R (>= 4.1.0)","cli (>= 3.6.2), generics, glue (>= 1.3.2), lifecycle (>= 1.0.5),
magrittr (>= 1.5), methods, pillar (>= 1.9.0), R6, rlang (>= 1.1.7), tibble
(>= 3.2.0), tidyselect (>= 1.2.0), utils, vctrs (>= 0.7.1)",""
"dplyr","1.2.1","/Users/zauner/Library/R/arm64/4.6/library","/Users/zauner/Library/R/arm64/4.6/library/dplyr/DESCRIPTION","ba5ea66f3ccbb8d27db08041f18e32ce35152e7175c8c9206e7c3de25fc09fbb","SYNTACTIC_PACKAGE_REQUIREMENT_OR_LOADER_CHECK","R 4.6.0; aarch64-apple-darwin23; 2026-04-26 11:09:07 UTC; unix","R (>= 4.1.0)","cli (>= 3.6.2), generics, glue (>= 1.3.2), lifecycle (>=
1.0.5), magrittr (>= 1.5), methods, pillar (>= 1.9.0), R6,
rlang (>= 1.1.7), tibble (>= 3.2.0), tidyselect (>= 1.2.0),
utils, vctrs (>= 0.7.1)",""
"tidyr","1.3.2","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/tidyr/DESCRIPTION","20726612070b046d548adaa6b2703f693d1140a108a0a5fc11df71a67cb22e07","SYNTACTIC_PACKAGE_REQUIREMENT_OR_LOADER_CHECK","R 4.6.0; aarch64-apple-darwin23; 2026-04-26 15:50:18 UTC; unix","R (>= 4.1.0)","cli (>= 3.4.1), dplyr (>= 1.1.0), glue, lifecycle (>= 1.0.3),
magrittr, purrr (>= 1.0.1), rlang (>= 1.1.1), stringr (>= 1.5.0), tibble
(>= 2.1.1), tidyselect (>= 1.2.1), utils, vctrs (>= 0.5.2)","cpp11 (>= 0.4.0)"
"tidyr","1.3.2","/Users/zauner/Library/R/arm64/4.6/library","/Users/zauner/Library/R/arm64/4.6/library/tidyr/DESCRIPTION","570ee59799b89c9a7e322658246b4bb09b11a5bdbc52d7f5f65e442577997a09","SYNTACTIC_PACKAGE_REQUIREMENT_OR_LOADER_CHECK","R 4.6.0; aarch64-apple-darwin23; 2026-04-26 15:50:18 UTC; unix","R (>= 4.1.0)","cli (>= 3.4.1), dplyr (>= 1.1.0), glue, lifecycle (>= 1.0.3),
magrittr, purrr (>= 1.0.1), rlang (>= 1.1.1), stringr (>=
1.5.0), tibble (>= 2.1.1), tidyselect (>= 1.2.1), utils, vctrs
(>= 0.5.2)","cpp11 (>= 0.4.0)"
"utils","4.6.1","/Library/Frameworks/R.framework/Versions/4.6/Resources/library","/Library/Frameworks/R.framework/Versions/4.6/Resources/library/utils/DESCRIPTION","6b3e8d83f3ce48d9c7e0f4c98ea609357005887d4be5ff2b8f28a5a6bf65a11b","SYNTACTIC_PACKAGE_REQUIREMENT_OR_LOADER_CHECK","R 4.6.1; aarch64-apple-darwin23; 2026-06-25 21:53:27 UTC; unix","","",""
"stats","4.6.1","/Library/Frameworks/R.framework/Versions/4.6/Resources/library","/Library/Frameworks/R.framework/Versions/4.6/Resources/library/stats/DESCRIPTION","06ebc99959e70472a2cd566233c35125f69e4082bec460fe539f492aedbb375d","SYNTACTIC_PACKAGE_REQUIREMENT_OR_LOADER_CHECK","R 4.6.1; aarch64-apple-darwin23; 2026-06-25 21:53:35 UTC; unix","","utils, grDevices, graphics",""
"scales","1.4.0","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/scales/DESCRIPTION","ee1385c24fbfe486fb6acd2e111f4036d5b6713ff68849a9e7990c5f44d0931b","SYNTACTIC_PACKAGE_REQUIREMENT_OR_LOADER_CHECK","R 4.6.0; ; 2026-07-28 21:04:11 UTC; unix","R (>= 4.1)","cli, farver (>= 2.0.3), glue, labeling, lifecycle, R6, RColorBrewer,
rlang (>= 1.1.0), viridisLite",""
"scales","1.4.0","/Users/zauner/Library/R/arm64/4.6/library","/Users/zauner/Library/R/arm64/4.6/library/scales/DESCRIPTION","dffd32cffdb9395743982e7dc190af145573079eb86494aeb7e67213dd6b7189","SYNTACTIC_PACKAGE_REQUIREMENT_OR_LOADER_CHECK","R 4.6.0; ; 2026-04-25 23:14:37 UTC; unix","R (>= 4.1)","cli, farver (>= 2.0.3), glue, labeling, lifecycle, R6,
RColorBrewer, rlang (>= 1.1.0), viridisLite",""
"ggplot2","4.0.3","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/ggplot2/DESCRIPTION","224c178358823e51d01e45e51fcbc8d950f1511f253fac79fe3326ec26986bdc","SYNTACTIC_PACKAGE_REQUIREMENT_OR_LOADER_CHECK","R 4.6.0; ; 2026-04-26 05:16:05 UTC; unix","R (>= 4.1)","cli, grDevices, grid, gtable (>= 0.3.6), isoband, lifecycle (> 1.0.1),
rlang (>= 1.1.0), S7, scales (>= 1.4.0), stats, vctrs (>= 0.6.0), withr (>=
2.5.0)",""
"ggplot2","4.0.3","/Users/zauner/Library/R/arm64/4.6/library","/Users/zauner/Library/R/arm64/4.6/library/ggplot2/DESCRIPTION","158ef85cdcc9e4b3d255004748eb2a030c704376ebf1626f70efaa9abe2257da","SYNTACTIC_PACKAGE_REQUIREMENT_OR_LOADER_CHECK","R 4.6.0; ; 2026-04-26 05:16:05 UTC; unix","R (>= 4.1)","cli, grDevices, grid, gtable (>= 0.3.6), isoband, lifecycle (>
1.0.1), rlang (>= 1.1.0), S7, scales (>= 1.4.0), stats, vctrs
(>= 0.6.0), withr (>= 2.5.0)",""
"LightLogR","0.10.3","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/LightLogR/DESCRIPTION","15d8068b1abe14963a9e4a138f13cb59cb4ff9ae3e5b3c5743989ba3066ff27c","SYNTACTIC_PACKAGE_REQUIREMENT_OR_LOADER_CHECK","R 4.6.0; ; 2026-04-28 15:49:15 UTC; unix","R (>= 4.3)","circular, cowplot, dplyr, ggplot2, ggsci, ggtext, gt, gtExtras, hms,
lifecycle, lubridate, magrittr, purrr, readr, rlang, scales, slider,
stringr, suntools, tibble, tidyr",""
"LightLogR","0.10.3","/Users/zauner/Library/R/arm64/4.6/library","/Users/zauner/Library/R/arm64/4.6/library/LightLogR/DESCRIPTION","6409cef304ede804dfa5dc97c8a7edaa6ba089fd99a7c57b76180e979f076d12","SYNTACTIC_PACKAGE_REQUIREMENT_OR_LOADER_CHECK","R 4.6.0; ; 2026-04-28 15:49:15 UTC; unix","R (>= 4.3)","circular, cowplot, dplyr, ggplot2, ggsci, ggtext, gt,
gtExtras, hms, lifecycle, lubridate, magrittr, purrr, readr,
rlang, scales, slider, stringr, suntools, tibble, tidyr",""
"grid","4.6.1","/Library/Frameworks/R.framework/Versions/4.6/Resources/library","/Library/Frameworks/R.framework/Versions/4.6/Resources/library/grid/DESCRIPTION","d7456d1df68e25842ed5725a692324cca503b4a718bb54f404f8d56729936df6","SYNTACTIC_PACKAGE_REQUIREMENT_OR_LOADER_CHECK","R 4.6.1; aarch64-apple-darwin23; 2026-06-25 21:53:49 UTC; unix","","grDevices, utils",""
"tools","4.6.1","/Library/Frameworks/R.framework/Versions/4.6/Resources/library","/Library/Frameworks/R.framework/Versions/4.6/Resources/library/tools/DESCRIPTION","8602abdc42a715b84312908929f70c06cf927665d10b5920429a97db5dd6b7b4","SYNTACTIC_PACKAGE_REQUIREMENT_OR_LOADER_CHECK","R 4.6.1; aarch64-apple-darwin23; 2026-06-25 21:53:16 UTC; unix","","",""
"xfun","0.59","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/xfun/DESCRIPTION","2d9fde3498979d1e24a043bcc383eff7a53ba0db132a018ccd7b52059425bcab","SYNTACTIC_PACKAGE_REQUIREMENT_OR_LOADER_CHECK","R 4.6.1; aarch64-apple-darwin23; 2026-07-29 20:28:07 UTC; unix","R (>= 3.2.0)","grDevices, stats, tools",""
"xfun","0.60","/Users/zauner/Library/R/arm64/4.6/library","/Users/zauner/Library/R/arm64/4.6/library/xfun/DESCRIPTION","8e66c9d202da264ee19093d982ed48f849264e9a052f91a922086c3b6968d0a6","SYNTACTIC_PACKAGE_REQUIREMENT_OR_LOADER_CHECK","R 4.6.1; aarch64-apple-darwin23; 2026-07-09 11:38:03 UTC; unix","R (>= 3.2.0)","grDevices, stats, tools",""
"cowplot","1.2.0","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/cowplot/DESCRIPTION","b60d8092f03f614d69ccaeefafadb2cae983d2ec3a062a43558435e80586d0e5","SYNTACTIC_PACKAGE_REQUIREMENT_OR_LOADER_CHECK","R 4.6.0; ; 2026-04-26 11:08:33 UTC; unix","R (>= 3.5.0)","ggplot2 (>= 3.5.2), grid, gtable, grDevices, methods, rlang, scales",""
"cowplot","1.2.0","/Users/zauner/Library/R/arm64/4.6/library","/Users/zauner/Library/R/arm64/4.6/library/cowplot/DESCRIPTION","04c24f83eb9fcdbf73a634d4fff707c17a9d986355d7bf80d18a84216fe636b9","SYNTACTIC_PACKAGE_REQUIREMENT_OR_LOADER_CHECK","R 4.6.0; ; 2026-04-26 11:08:33 UTC; unix","R (>= 3.5.0)","ggplot2 (>= 3.5.2), grid, gtable, grDevices, methods, rlang,
scales",""
"openssl","2.4.2","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/openssl/DESCRIPTION","224f0ed676f0fa463b9f9338b8df0b7ee96cf9220d85ecf44463d08c9329193d","SYNTACTIC_PACKAGE_REQUIREMENT_OR_LOADER_CHECK","R 4.6.0; aarch64-apple-darwin23; 2026-06-09 16:28:40 UTC; unix","","askpass",""
"openssl","2.4.2","/Users/zauner/Library/R/arm64/4.6/library","/Users/zauner/Library/R/arm64/4.6/library/openssl/DESCRIPTION","13c3e8ac20a23d76757c2e6efbcb7245d9be4c6efe00f7926698ac81782e7588","SYNTACTIC_PACKAGE_REQUIREMENT_OR_LOADER_CHECK","R 4.6.0; aarch64-apple-darwin23; 2026-06-09 16:28:40 UTC; unix","","askpass",""
"ggridges","0.5.7","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/ggridges/DESCRIPTION","4709aed4d2e2a5a15c974655f8201f795e319d0d4cae1cf0938ea8d4d3ec6e50","SYNTACTIC_PACKAGE_REQUIREMENT_OR_LOADER_CHECK","R 4.6.0; ; 2026-07-28 21:06:02 UTC; unix","R (>= 3.2)","ggplot2 (>= 3.5.0), grid (>= 3.0.0), scales (>= 0.4.1), withr (>=
2.1.1)",""
"stringr","1.6.0","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/stringr/DESCRIPTION","03ed09b7ffff2ba245df792bead457f7553bc09557862d8151600e7adce3f413","SYNTACTIC_PACKAGE_REQUIREMENT_OR_LOADER_CHECK","R 4.6.0; ; 2026-04-25 11:14:29 UTC; unix","R (>= 4.1.0)","cli, glue (>= 1.6.1), lifecycle (>= 1.0.3), magrittr, rlang (>=
1.0.0), stringi (>= 1.5.3), vctrs (>= 0.4.0)",""
"stringr","1.6.0","/Users/zauner/Library/R/arm64/4.6/library","/Users/zauner/Library/R/arm64/4.6/library/stringr/DESCRIPTION","f420a338f411d4ff6d2c340a6428ecf71dbd5722d486636f26a9a968eede0975","SYNTACTIC_PACKAGE_REQUIREMENT_OR_LOADER_CHECK","R 4.6.0; ; 2026-04-25 11:14:29 UTC; unix","R (>= 4.1.0)","cli, glue (>= 1.6.1), lifecycle (>= 1.0.3), magrittr, rlang
(>= 1.0.0), stringi (>= 1.5.3), vctrs (>= 0.4.0)",""
"patchwork","1.3.2","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/patchwork/DESCRIPTION","971aeb34faf087262805379d0610b8adead2593b2e01328a6d38c3bcb50dd87d","SYNTACTIC_PACKAGE_REQUIREMENT_OR_LOADER_CHECK","R 4.6.0; ; 2026-04-29 21:37:03 UTC; unix","","ggplot2 (>= 3.0.0), gtable (>= 0.3.6), grid, stats, grDevices, utils,
graphics, rlang (>= 1.0.0), cli, farver",""
"patchwork","1.3.2","/Users/zauner/Library/R/arm64/4.6/library","/Users/zauner/Library/R/arm64/4.6/library/patchwork/DESCRIPTION","c4951436d5d1be8e33b49069bfdb120d2b2cde65e518903676444b5e394202ea","SYNTACTIC_PACKAGE_REQUIREMENT_OR_LOADER_CHECK","R 4.6.0; ; 2026-04-29 21:37:03 UTC; unix","","ggplot2 (>= 3.0.0), gtable (>= 0.3.6), grid, stats, grDevices, utils,
graphics, rlang (>= 1.0.0), cli, farver",""
