"package","version","library","description_path","description_sha256","direct_or_dependency","built","depends","imports","linking_to"
"evaluate","1.0.5","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/evaluate/DESCRIPTION","9541a65b8bba4cac5281583a340bc200902ed557ebc9b815aea5951cb6c6d2ef","DESCRIPTION_DEPENDENCY","R 4.6.0; ; 2026-06-17 18:35:18 UTC; unix","R (>= 3.6.0)","",""
"evaluate","1.0.4","/Users/zauner/Library/R/arm64/4.6/library","/Users/zauner/Library/R/arm64/4.6/library/evaluate/DESCRIPTION","7d2b9f96e0099676d1a90baae60fdfd6743e194ddefdfbd6cbd369c8d2d8d221","DESCRIPTION_DEPENDENCY","R 4.6.1; ; 2026-07-28 17:04:31 UTC; unix","R (>= 3.6.0)","",""
"highr","0.12","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/highr/DESCRIPTION","4a76ea2787d6de22784abc210040748e9017facf8e3c8182b9eccefd7eb4c6f0","DESCRIPTION_DEPENDENCY","R 4.6.0; ; 2026-04-25 23:14:12 UTC; unix","R (>= 3.3.0)","xfun (>= 0.18)",""
"highr","0.11","/Users/zauner/Library/R/arm64/4.6/library","/Users/zauner/Library/R/arm64/4.6/library/highr/DESCRIPTION","2d4ca5250fea299143f2f082279ed22dda6261141be47d38f120901a87647350","DESCRIPTION_DEPENDENCY","R 4.6.1; ; 2026-07-28 17:04:55 UTC; unix","R (>= 3.3.0)","xfun (>= 0.18)",""
"tinytex","0.60","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/tinytex/DESCRIPTION","9e08d2fa2f1bc385d99a6ff875003f6d0f42adb96eedc1c64c29db23fad249ba","DESCRIPTION_DEPENDENCY","R 4.6.0; ; 2026-06-17 18:54:47 UTC; unix","","xfun (>= 0.48)",""
"tinytex","0.57","/Users/zauner/Library/R/arm64/4.6/library","/Users/zauner/Library/R/arm64/4.6/library/tinytex/DESCRIPTION","2fd7b9b2c05ec90adf4800e9820710c9c7bc88afa974c9cf006b364bd748fa6a","DESCRIPTION_DEPENDENCY","R 4.6.1; ; 2026-07-28 17:04:56 UTC; unix","","xfun (>= 0.48)",""
"hms","1.1.4","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/hms/DESCRIPTION","f3567567073a2ce2002a91f5e0daa01fbb55f2735d412e22fd67b78df53a8295","DESCRIPTION_DEPENDENCY","R 4.6.0; ; 2026-04-25 23:15:47 UTC; unix","","cli, lifecycle, methods, pkgconfig, rlang (>= 1.0.2), vctrs (>= 0.3.8)",""
"hms","1.1.3","/Users/zauner/Library/R/arm64/4.6/library","/Users/zauner/Library/R/arm64/4.6/library/hms/DESCRIPTION","2a1de17966571ad4703bae7b18df47b0bf797d00fc342de4efedd89922ff484d","DESCRIPTION_DEPENDENCY","R 4.6.1; ; 2026-07-28 17:05:15 UTC; unix","","lifecycle, methods, pkgconfig, rlang (>= 1.0.2), vctrs (>= 0.3.8)",""
"withr","3.0.3","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/withr/DESCRIPTION","2ba547b412a0fd9c1e29bc81d93e60d91ee94f8e8ea48d379cf752439e1ec6e2","DESCRIPTION_DEPENDENCY","R 4.6.0; ; 2026-06-19 06:07:49 UTC; unix","R (>= 3.6.0)","graphics, grDevices",""
"withr","3.0.2","/Users/zauner/Library/R/arm64/4.6/library","/Users/zauner/Library/R/arm64/4.6/library/withr/DESCRIPTION","2484f897b264c2239e7b612bd29fd1895c3b1ffd8d84d3602bf53974002ce9aa","DESCRIPTION_DEPENDENCY","R 4.6.1; ; 2026-07-28 17:04:40 UTC; unix","R (>= 3.6.0)","graphics, grDevices",""
"ggsci","5.1.0","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/ggsci/DESCRIPTION","1761853621e38c03e1c3616ae31f81059ff32a7171b1a43350ee71c470cfd53b","DESCRIPTION_DEPENDENCY","R 4.6.1; ; 2026-06-26 10:01:22 UTC; unix","R (>= 3.5.0)","ggplot2 (>= 2.0.0), grDevices, rlang, scales",""
"ggsci","3.2.0","/Users/zauner/Library/R/arm64/4.6/library","/Users/zauner/Library/R/arm64/4.6/library/ggsci/DESCRIPTION","b5ce2bc1b342d5b1463a9e7ce8fad4bd638169fb03a4d2239937b6b671186d40","DESCRIPTION_DEPENDENCY","R 4.6.1; ; 2026-07-28 17:05:18 UTC; unix","R (>= 3.5.0)","ggplot2 (>= 2.0.0), grDevices, scales",""
"systemfonts","1.3.2","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/systemfonts/DESCRIPTION","45e04cac8e31311b4ae4eee36420a6c4bb7b73dad13fa07607ca022d8877e05a","DESCRIPTION_DEPENDENCY","R 4.6.0; aarch64-apple-darwin23; 2026-04-25 23:16:44 UTC; unix","R (>= 3.2.0)","base64enc, grid, jsonlite, lifecycle, tools, utils","cpp11 (>= 0.2.1)"
"systemfonts","1.3.1","/Users/zauner/Library/R/arm64/4.6/library","/Users/zauner/Library/R/arm64/4.6/library/systemfonts/DESCRIPTION","f10cbaed6f2f3204fb0441271371b18b0d02387eb391d743a869c2dca2eeb7d2","DESCRIPTION_DEPENDENCY","R 4.6.1; aarch64-apple-darwin23; 2026-07-28 17:05:06 UTC; unix","R (>= 3.2.0)","base64enc, grid, jsonlite, lifecycle, tools, utils","cpp11 (>= 0.2.1)"
"textshaping","1.0.5","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/textshaping/DESCRIPTION","63ec158b69b374f95aaadee11c3145d73c29f443168cf9eb536d700b4960f682","DESCRIPTION_DEPENDENCY","R 4.6.0; aarch64-apple-darwin23; 2026-04-25 23:19:28 UTC; unix","R (>= 3.2.0)","lifecycle, stats, stringi, systemfonts (>= 1.3.0), utils","cpp11 (>= 0.2.1), systemfonts (>= 1.0.0)"
"textshaping","1.0.1","/Users/zauner/Library/R/arm64/4.6/library","/Users/zauner/Library/R/arm64/4.6/library/textshaping/DESCRIPTION","310e3b538ba8a6fecdab04830016579262c9f086788fe3f3d5029d6430f04cea","DESCRIPTION_DEPENDENCY","R 4.6.1; aarch64-apple-darwin23; 2026-07-28 17:05:28 UTC; unix","R (>= 3.2.0)","lifecycle, stats, stringi, systemfonts (>= 1.1.0), utils","cpp11 (>= 0.2.1), systemfonts (>= 1.0.0)"
"s2","1.1.11","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/s2/DESCRIPTION","de135a11ca689ce29f6cac241bccde9e82bd8496ee21d30d73633f2fc3342436","DESCRIPTION_DEPENDENCY","R 4.6.0; aarch64-apple-darwin23; 2026-06-01 15:24:00 UTC; unix","R (>= 3.0.0)","Rcpp, wk (>= 0.6.0)","Rcpp, wk"
"s2","1.1.9","/Users/zauner/Library/R/arm64/4.6/library","/Users/zauner/Library/R/arm64/4.6/library/s2/DESCRIPTION","a9cafe85d6768b472a8a9a796058b24ac336c370370eea4f81a33931056caf21","DESCRIPTION_DEPENDENCY","R 4.6.1; aarch64-apple-darwin23; 2026-07-28 17:05:03 UTC; unix","R (>= 3.0.0)","Rcpp, wk (>= 0.6.0)","Rcpp, wk"
"units","1.0-1","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/units/DESCRIPTION","a7ca4f63eedcf8d8bc97be9babb52aaa0e405c081e85cc44a6680d180d6c0ff9","DESCRIPTION_DEPENDENCY","R 4.6.0; aarch64-apple-darwin23; 2026-04-25 15:40:45 UTC; unix","R (>= 3.5.0)","Rcpp","Rcpp (>= 1.1.0)"
"units","0.8-7","/Users/zauner/Library/R/arm64/4.6/library","/Users/zauner/Library/R/arm64/4.6/library/units/DESCRIPTION","c0d5ba973b3b44014a8b57f1c633708adaa77979790a82924b653c695a6f2ab2","DESCRIPTION_DEPENDENCY","R 4.6.1; aarch64-apple-darwin23; 2026-07-28 17:05:01 UTC; unix","R (>= 3.0.2)","Rcpp","Rcpp (>= 0.12.10)"
"Rcpp","1.1.2","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/Rcpp/DESCRIPTION","b15397aa3cf237521d1345b8b22d92d6f7b5a197663f2e91f41605c489de06bc","DESCRIPTION_DEPENDENCY","R 4.6.1; aarch64-apple-darwin23; 2026-07-05 10:40:15 UTC; unix","R (>= 3.5.0)","methods, utils",""
"Rcpp","1.1.1-1.1","/Users/zauner/Library/R/arm64/4.6/library","/Users/zauner/Library/R/arm64/4.6/library/Rcpp/DESCRIPTION","52df7bdbff9621baae2a529e7a708d9bfb2b8539c35b2d11570be9b2179eab33","DESCRIPTION_DEPENDENCY","R 4.6.1; aarch64-apple-darwin23; 2026-07-28 17:04:38 UTC; unix","R (>= 3.5.0)","methods, utils",""
"timechange","0.4.0","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/timechange/DESCRIPTION","64d30c1c71585cdc9ed871b12dce1b64b99564356a56d569570d965d1044a596","DESCRIPTION_DEPENDENCY","R 4.6.0; aarch64-apple-darwin23; 2026-04-25 15:44:04 UTC; unix","R (>= 3.3)","","cpp11 (>= 0.2.7)"
"timechange","0.3.0","/Users/zauner/Library/R/arm64/4.6/library","/Users/zauner/Library/R/arm64/4.6/library/timechange/DESCRIPTION","19ce6d68acde1a007c18b3049b2c6536050d223b0395e64d8d319c2060242460","DESCRIPTION_DEPENDENCY","R 4.6.1; aarch64-apple-darwin23; 2026-07-28 17:04:46 UTC; unix","R (>= 3.3)","","cpp11 (>= 0.2.7)"
"gridtext","0.1.6","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/gridtext/DESCRIPTION","0b317c38ad2233b53e8788452d65131fbefd748cbf772030b730aad6e93cf42a","DESCRIPTION_DEPENDENCY","R 4.6.0; aarch64-apple-darwin23; 2026-04-26 02:24:42 UTC; unix","R (>= 3.5)","curl, grid, grDevices, markdown, rlang, Rcpp, png, jpeg, stringr, xml2","Rcpp"
"gridtext","0.1.5","/Users/zauner/Library/R/arm64/4.6/library","/Users/zauner/Library/R/arm64/4.6/library/gridtext/DESCRIPTION","2342ab8f9b98fc472924c36573dc380e784e89e42778cf4cb08cb50c5839f832","DESCRIPTION_DEPENDENCY","R 4.6.1; aarch64-apple-darwin23; 2026-07-28 17:05:21 UTC; unix","R (>= 3.5)","curl, grid, grDevices, markdown, rlang, Rcpp, png, jpeg, stringr, xml2","Rcpp"
"litedown","0.9","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/litedown/DESCRIPTION","bb588de52df80633ba11b23b373633f064054159ce503d8b61f8f61a0a1af852","DESCRIPTION_DEPENDENCY","R 4.6.1; ; 2026-07-29 20:28:18 UTC; unix","R (>= 3.2.0)","utils, commonmark (>= 2.0.0), xfun (>= 0.55)",""
"litedown","0.7","/Users/zauner/Library/R/arm64/4.6/library","/Users/zauner/Library/R/arm64/4.6/library/litedown/DESCRIPTION","e02a33901d0215a311ea26bfa7bad92d40ba5cd058209ecd73043c65aa0a63ed","DESCRIPTION_DEPENDENCY","R 4.6.1; ; 2026-07-28 17:04:56 UTC; unix","R (>= 3.2.0)","utils, commonmark (>= 1.9.5), xfun (>= 0.52)",""
"rappdirs","0.3.4","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/rappdirs/DESCRIPTION","09dec50d5dc9309097c477592e1af0b313185b6d5a928d2ef083ff0565628e67","DESCRIPTION_DEPENDENCY","R 4.6.0; aarch64-apple-darwin23; 2026-04-25 09:27:56 UTC; unix","R (>= 4.1)","",""
"rappdirs","0.3.3","/Users/zauner/Library/R/arm64/4.6/library","/Users/zauner/Library/R/arm64/4.6/library/rappdirs/DESCRIPTION","19d4ee70584eb1163acdb3107f448e179a4c0fc2922276f0096bc12b07cf114b","DESCRIPTION_DEPENDENCY","R 4.6.1; aarch64-apple-darwin23; 2026-07-28 17:04:37 UTC; unix","R (>= 3.2)","",""
"mvtnorm","1.4-1","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/mvtnorm/DESCRIPTION","221272b35ed896a34fe52c4bb88ee152c11d66aee0adba5f0c32916021bdd8d4","DESCRIPTION_DEPENDENCY","R 4.6.1; aarch64-apple-darwin23; 2026-07-29 20:28:04 UTC; unix","R(>= 3.5.0)","stats, utils",""
"mvtnorm","1.3-7","/Users/zauner/Library/R/arm64/4.6/library","/Users/zauner/Library/R/arm64/4.6/library/mvtnorm/DESCRIPTION","9527b1de091cb2130f3e230b2a93427399c1fda53e15d70cc26dae925a8ea3d3","DESCRIPTION_DEPENDENCY","R 4.6.1; aarch64-apple-darwin23; 2026-07-28 17:04:34 UTC; unix","R(>= 3.5.0)","stats",""
"paletteer","1.7.0","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/paletteer/DESCRIPTION","2321df9bb0ef01522ff757ff4c6d7c2f8bfc9449a6c834419f053760fcb55764","DESCRIPTION_DEPENDENCY","R 4.6.0; ; 2026-04-26 11:14:17 UTC; unix","R (>= 4.1)","cli, prismatic, rematch2, rlang (>= 1.1.0), rstudioapi",""
"paletteer","1.6.0","/Users/zauner/Library/R/arm64/4.6/library","/Users/zauner/Library/R/arm64/4.6/library/paletteer/DESCRIPTION","fa2883419cca66e47fe4339f6141dea4231b9893497db2fae2a91acc8aa39286","DESCRIPTION_DEPENDENCY","R 4.6.1; ; 2026-07-28 17:05:37 UTC; unix","R (>= 2.10)","prismatic, rematch2, rlang, rstudioapi",""
"wk","0.9.5","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/wk/DESCRIPTION","eda4e1cea1bb5b28bdb08be95414be75895dea9d4657296dd1d5d4c0cb9946a2","DESCRIPTION_DEPENDENCY","R 4.6.0; aarch64-apple-darwin23; 2026-04-25 15:40:40 UTC; unix","R (>= 2.10)","",""
"wk","0.9.4","/Users/zauner/Library/R/arm64/4.6/library","/Users/zauner/Library/R/arm64/4.6/library/wk/DESCRIPTION","b1bc3a89785c3af139bd927a5d80ebf0acb9011ea88dcdae8af98a5f68ce8c37","DESCRIPTION_DEPENDENCY","R 4.6.1; aarch64-apple-darwin23; 2026-07-28 17:04:41 UTC; unix","R (>= 2.10)","",""
"rstudioapi","0.19.0","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23","/Users/zauner/Documents/Arbeit/12-TUM/MeLiDos/WP2.2.5_Data_Analysis/ZaunerEtAl_bioRxiv_2026/renv/library/macos/R-4.6/aarch64-apple-darwin23/rstudioapi/DESCRIPTION","5e954e921c68bfb81c0089c2c9e896e4c9a802a3ce6cc64cdf8b738296bcb517","DESCRIPTION_DEPENDENCY","R 4.6.0; ; 2026-07-28 21:03:04 UTC; unix","","",""
"rstudioapi","0.17.1","/Users/zauner/Library/R/arm64/4.6/library","/Users/zauner/Library/R/arm64/4.6/library/rstudioapi/DESCRIPTION","dc29713030e382887af63bac9a537027bac12d155571e2e60c6c598c1bd2dbbb","DESCRIPTION_DEPENDENCY","R 4.6.1; ; 2026-07-28 17:04:38 UTC; unix","","",""
