"route","key","value","target","external","exists","disposition"
"notebooks/hypotheses/H06.qmd",".resources","../../artifacts/11_source_data/H06/H06_reader_temporal_activity_curves.csv","artifacts/11_source_data/H06/H06_reader_temporal_activity_curves.csv",FALSE,TRUE,"Metadata resource or extension name requiring explicit stage resolution"
"notebooks/hypotheses/H06.qmd",".resources","../../artifacts/11_source_data/H06/H06_reader_temporal_activity_ratios.csv","artifacts/11_source_data/H06/H06_reader_temporal_activity_ratios.csv",FALSE,TRUE,"Metadata resource or extension name requiring explicit stage resolution"
"notebooks/hypotheses/H06.qmd",".resources","../../artifacts/11_source_data/H06/H06_reader_temporal_activity_support.csv","artifacts/11_source_data/H06/H06_reader_temporal_activity_support.csv",FALSE,TRUE,"Metadata resource or extension name requiring explicit stage resolution"
"notebooks/hypotheses/H06.qmd",".resources","../../artifacts/11_source_data/H06/H06_primary_work_free_site_deviations.csv","artifacts/11_source_data/H06/H06_primary_work_free_site_deviations.csv",FALSE,TRUE,"Metadata resource or extension name requiring explicit stage resolution"
"notebooks/hypotheses/H06.qmd",".resources","../../artifacts/06_model_data/H06/employment_eligibility_sensitivity/H06_employment_eligibility_sample_flow.csv","artifacts/06_model_data/H06/employment_eligibility_sensitivity/H06_employment_eligibility_sample_flow.csv",FALSE,TRUE,"Metadata resource or extension name requiring explicit stage resolution"
"notebooks/hypotheses/H06.qmd",".resources","../../artifacts/09_tables/H06/employment_eligibility_sensitivity/H06_employment_eligibility_effect_comparison.csv","artifacts/09_tables/H06/employment_eligibility_sensitivity/H06_employment_eligibility_effect_comparison.csv",FALSE,TRUE,"Metadata resource or extension name requiring explicit stage resolution"
"notebooks/hypotheses/H06.qmd",".resources","../../artifacts/09_tables/H06/employment_eligibility_sensitivity/H06_employment_eligibility_heterogeneity_comparison.csv","artifacts/09_tables/H06/employment_eligibility_sensitivity/H06_employment_eligibility_heterogeneity_comparison.csv",FALSE,TRUE,"Metadata resource or extension name requiring explicit stage resolution"
"notebooks/hypotheses/H06_daily.qmd",".resources","../../artifacts/10_figures/H06_daily/H06_daily_non_l10_production_primary_ratio_effects.png","artifacts/10_figures/H06_daily/H06_daily_non_l10_production_primary_ratio_effects.png",FALSE,TRUE,"Metadata resource or extension name requiring explicit stage resolution"
"notebooks/hypotheses/H06_daily.qmd",".resources","../../artifacts/10_figures/H06_daily/H06_daily_non_l10_production_primary_absolute_effects.png","artifacts/10_figures/H06_daily/H06_daily_non_l10_production_primary_absolute_effects.png",FALSE,TRUE,"Metadata resource or extension name requiring explicit stage resolution"
"notebooks/hypotheses/H06_daily.qmd",".resources","../../artifacts/10_figures/H06_daily/H06_daily_stage3_fdr_overview.png","artifacts/10_figures/H06_daily/H06_daily_stage3_fdr_overview.png",FALSE,TRUE,"Metadata resource or extension name requiring explicit stage resolution"
"notebooks/hypotheses/H06_daily.qmd",".resources","../../artifacts/10_figures/H06_daily/H06_daily_stage3_primary_site_deviations.png","artifacts/10_figures/H06_daily/H06_daily_stage3_primary_site_deviations.png",FALSE,TRUE,"Metadata resource or extension name requiring explicit stage resolution"
"notebooks/hypotheses/H06_daily.qmd",".resources","../../artifacts/10_figures/H06_daily/H06_daily_temporal_h02_primary_context_functions.png","artifacts/10_figures/H06_daily/H06_daily_temporal_h02_primary_context_functions.png",FALSE,TRUE,"Metadata resource or extension name requiring explicit stage resolution"
"notebooks/hypotheses/H06_daily.qmd",".resources","../../artifacts/11_source_data/H06_daily/H06_daily_non_l10_production_primary_ratio_effects.csv","artifacts/11_source_data/H06_daily/H06_daily_non_l10_production_primary_ratio_effects.csv",FALSE,TRUE,"Metadata resource or extension name requiring explicit stage resolution"
"notebooks/hypotheses/H06_daily.qmd",".resources","../../artifacts/11_source_data/H06_daily/H06_daily_non_l10_production_primary_absolute_effects.csv","artifacts/11_source_data/H06_daily/H06_daily_non_l10_production_primary_absolute_effects.csv",FALSE,TRUE,"Metadata resource or extension name requiring explicit stage resolution"
"notebooks/hypotheses/H06_daily.qmd",".resources","../../artifacts/11_source_data/H06_daily/H06_daily_stage3_fdr_overview_figure.csv","artifacts/11_source_data/H06_daily/H06_daily_stage3_fdr_overview_figure.csv",FALSE,TRUE,"Metadata resource or extension name requiring explicit stage resolution"
"notebooks/hypotheses/H06_daily.qmd",".resources","../../artifacts/11_source_data/H06_daily/H06_daily_stage3_primary_results.csv","artifacts/11_source_data/H06_daily/H06_daily_stage3_primary_results.csv",FALSE,TRUE,"Metadata resource or extension name requiring explicit stage resolution"
"notebooks/hypotheses/H06_daily.qmd",".resources","../../artifacts/11_source_data/H06_daily/H06_daily_stage3_placement_results.csv","artifacts/11_source_data/H06_daily/H06_daily_stage3_placement_results.csv",FALSE,TRUE,"Metadata resource or extension name requiring explicit stage resolution"
"notebooks/hypotheses/H06_daily.qmd",".resources","../../artifacts/11_source_data/H06_daily/H06_daily_stage3_gap_results.csv","artifacts/11_source_data/H06_daily/H06_daily_stage3_gap_results.csv",FALSE,TRUE,"Metadata resource or extension name requiring explicit stage resolution"
"notebooks/hypotheses/H06_daily.qmd",".resources","../../artifacts/11_source_data/H06_daily/H06_daily_stage3_gap_decision_changes.csv","artifacts/11_source_data/H06_daily/H06_daily_stage3_gap_decision_changes.csv",FALSE,TRUE,"Metadata resource or extension name requiring explicit stage resolution"
"notebooks/hypotheses/H06_daily.qmd",".resources","../../artifacts/11_source_data/H06_daily/H06_daily_stage3_family_summary.csv","artifacts/11_source_data/H06_daily/H06_daily_stage3_family_summary.csv",FALSE,TRUE,"Metadata resource or extension name requiring explicit stage resolution"
"notebooks/hypotheses/H06_daily.qmd",".resources","../../artifacts/11_source_data/H06_daily/H06_daily_stage3_diagnostic_summary.csv","artifacts/11_source_data/H06_daily/H06_daily_stage3_diagnostic_summary.csv",FALSE,TRUE,"Metadata resource or extension name requiring explicit stage resolution"
"notebooks/hypotheses/H06_daily.qmd",".resources","../../artifacts/11_source_data/H06_daily/H06_daily_stage3_sample_role_summary.csv","artifacts/11_source_data/H06_daily/H06_daily_stage3_sample_role_summary.csv",FALSE,TRUE,"Metadata resource or extension name requiring explicit stage resolution"
"notebooks/hypotheses/H06_daily.qmd",".resources","../../artifacts/11_source_data/H06_daily/H06_daily_stage3_primary_site_interaction_estimates.csv","artifacts/11_source_data/H06_daily/H06_daily_stage3_primary_site_interaction_estimates.csv",FALSE,TRUE,"Metadata resource or extension name requiring explicit stage resolution"
"notebooks/hypotheses/H06_daily.qmd",".resources","../../artifacts/11_source_data/H06_daily/H06_daily_stage3_primary_site_interaction_summary.csv","artifacts/11_source_data/H06_daily/H06_daily_stage3_primary_site_interaction_summary.csv",FALSE,TRUE,"Metadata resource or extension name requiring explicit stage resolution"
"notebooks/hypotheses/H06_daily.qmd",".resources","../../artifacts/11_source_data/H06_daily/H06_daily_stage3_primary_site_deviation_figure.csv","artifacts/11_source_data/H06_daily/H06_daily_stage3_primary_site_deviation_figure.csv",FALSE,TRUE,"Metadata resource or extension name requiring explicit stage resolution"
"notebooks/hypotheses/H06_daily.qmd",".resources","../../artifacts/11_source_data/H06_daily/H06_daily_stage3_primary_site_deviation_figure_alt_text.csv","artifacts/11_source_data/H06_daily/H06_daily_stage3_primary_site_deviation_figure_alt_text.csv",FALSE,TRUE,"Metadata resource or extension name requiring explicit stage resolution"
"notebooks/hypotheses/H06_daily.qmd",".resources","../../artifacts/11_source_data/H06_daily/H06_daily_joint_context_exploratory_stability.csv","artifacts/11_source_data/H06_daily/H06_daily_joint_context_exploratory_stability.csv",FALSE,TRUE,"Metadata resource or extension name requiring explicit stage resolution"
"notebooks/hypotheses/H06_daily.qmd",".resources","../../artifacts/11_source_data/H06_daily/H06_daily_joint_context_exploratory_site_estimates.csv","artifacts/11_source_data/H06_daily/H06_daily_joint_context_exploratory_site_estimates.csv",FALSE,TRUE,"Metadata resource or extension name requiring explicit stage resolution"
"notebooks/hypotheses/H06_daily.qmd",".resources","../../artifacts/11_source_data/H06_daily/H06_daily_stage3_joint_site_interaction_summary.csv","artifacts/11_source_data/H06_daily/H06_daily_stage3_joint_site_interaction_summary.csv",FALSE,TRUE,"Metadata resource or extension name requiring explicit stage resolution"
"notebooks/hypotheses/H06_daily.qmd",".resources","../../artifacts/11_source_data/H06_daily/H06_daily_stage3_main_hourly_comparison.csv","artifacts/11_source_data/H06_daily/H06_daily_stage3_main_hourly_comparison.csv",FALSE,TRUE,"Metadata resource or extension name requiring explicit stage resolution"
"notebooks/hypotheses/H06_daily.qmd",".resources","../../artifacts/11_source_data/H06_daily/H06_daily_stage3_temporal_gamm_summary.csv","artifacts/11_source_data/H06_daily/H06_daily_stage3_temporal_gamm_summary.csv",FALSE,TRUE,"Metadata resource or extension name requiring explicit stage resolution"
"notebooks/hypotheses/H06_daily.qmd",".resources","../../artifacts/11_source_data/H06_daily/H06_daily_temporal_h02_primary_context_functions_figure_source.csv","artifacts/11_source_data/H06_daily/H06_daily_temporal_h02_primary_context_functions_figure_source.csv",FALSE,TRUE,"Metadata resource or extension name requiring explicit stage resolution"
"audit/hypotheses/H06_daily/H06_daily_analysis_preparation.qmd",".resources","../../../artifacts/10_figures/H06_daily/H06_daily_preparation_primary_sample_support.png","artifacts/10_figures/H06_daily/H06_daily_preparation_primary_sample_support.png",FALSE,TRUE,"Metadata resource or extension name requiring explicit stage resolution"
"audit/hypotheses/H06_daily/H06_daily_analysis_preparation.qmd",".resources","../../../artifacts/10_figures/H06_daily/H06_daily_preparation_primary_sample_support.pdf","artifacts/10_figures/H06_daily/H06_daily_preparation_primary_sample_support.pdf",FALSE,TRUE,"Metadata resource or extension name requiring explicit stage resolution"
"audit/hypotheses/H06_daily/H06_daily_analysis_preparation.qmd",".resources","../../../artifacts/10_figures/H06_daily/H06_daily_preparation_primary_sample_support.svg","artifacts/10_figures/H06_daily/H06_daily_preparation_primary_sample_support.svg",FALSE,TRUE,"Metadata resource or extension name requiring explicit stage resolution"
"audit/hypotheses/H06_daily/H06_daily_analysis_preparation.qmd",".resources","../../../artifacts/11_source_data/H06_daily/H06_daily_preparation_primary_sample_figure.csv","artifacts/11_source_data/H06_daily/H06_daily_preparation_primary_sample_figure.csv",FALSE,TRUE,"Metadata resource or extension name requiring explicit stage resolution"
"index.qmd",".bibliography","bibliography.bib","bibliography.bib",FALSE,TRUE,"Metadata resource or extension name requiring explicit stage resolution"
"index.qmd",".format.html.html-math-method.url","https://cdnjs.cloudflare.com/ajax/libs/mathjax/2.7.9/latest.js?config=TeX-MML-AM_CHTML","https://cdnjs.cloudflare.com/ajax/libs/mathjax/2.7.9/latest.js?config=TeX-MML-AM_CHTML",TRUE,,"External client resource: no fetch performed; offline final-output policy required"
"index.qmd",".filters","authors-block","./authors-block",FALSE,FALSE,"Metadata resource or extension name requiring explicit stage resolution"
"index.qmd",".csl","nature.csl","nature.csl",FALSE,TRUE,"Metadata resource or extension name requiring explicit stage resolution"
"supplementary_information.qmd",".bibliography","bibliography.bib","bibliography.bib",FALSE,TRUE,"Metadata resource or extension name requiring explicit stage resolution"
"supplementary_information.qmd",".csl","nature.csl","nature.csl",FALSE,TRUE,"Metadata resource or extension name requiring explicit stage resolution"
