"endpoint","row","column","expected","observed","pass"
"tbl-cross-state-effects",1,4,"Interval includes zero","Interval includes zero",TRUE
"tbl-cross-state-effects",2,1,"Pre-sleep","Pre-sleep",TRUE
"tbl-cross-state-effects",2,2,"-1.1 pp (-2.7 pp to +0.6 pp)","-1.1 pp (-2.7 pp to +0.6 pp)",TRUE
"tbl-cross-state-effects",2,3,"0.258","0.258",TRUE
"tbl-cross-state-effects",2,4,"Interval includes zero","Interval includes zero",TRUE
"tbl-cross-state-effects",3,1,"Sleep","Sleep",TRUE
"tbl-cross-state-effects",3,2,"-2.5 pp (-3.6 pp to -1.5 pp)","-2.5 pp (-3.6 pp to -1.5 pp)",TRUE
"tbl-cross-state-effects",3,3,"<0.001","<0.001",TRUE
"tbl-cross-state-effects",3,4,"Interval excludes zero","Interval excludes zero",TRUE
"tbl-cross-state-effects",4,1,"Pre-sleep","Pre-sleep",TRUE
"tbl-cross-state-effects",4,2,"-3.6 pp (-5.9 pp to -1.2 pp)","-3.6 pp (-5.9 pp to -1.2 pp)",TRUE
"tbl-cross-state-effects",4,3,"0.005","0.005",TRUE
"tbl-cross-state-effects",4,4,"Interval excludes zero","Interval excludes zero",TRUE
"tbl-wake-cycle-groups",1,1,"Any valid period","Any valid period",TRUE
"tbl-wake-cycle-groups",1,2,"Sleep","Sleep",TRUE
"tbl-wake-cycle-groups",1,3,"Low","Low",TRUE
"tbl-wake-cycle-groups",1,4,"254","254",TRUE
"tbl-wake-cycle-groups",1,5,"252","252",TRUE
"tbl-wake-cycle-groups",1,6,"-11.9%","-11.9%",TRUE
"tbl-wake-cycle-groups",1,7,"88.0%","88.0%",TRUE
"tbl-wake-cycle-groups",2,1,"Any valid period","Any valid period",TRUE
"tbl-wake-cycle-groups",2,2,"Sleep","Sleep",TRUE
"tbl-wake-cycle-groups",2,3,"Middle","Middle",TRUE
"tbl-wake-cycle-groups",2,4,"254","254",TRUE
"tbl-wake-cycle-groups",2,5,"253","253",TRUE
"tbl-wake-cycle-groups",2,6,"-0.5%","-0.5%",TRUE
"tbl-wake-cycle-groups",2,7,"87.7%","87.7%",TRUE
"tbl-wake-cycle-groups",3,1,"Any valid period","Any valid period",TRUE
"tbl-wake-cycle-groups",3,2,"Sleep","Sleep",TRUE
"tbl-wake-cycle-groups",3,3,"High","High",TRUE
"tbl-wake-cycle-groups",3,4,"253","253",TRUE
"tbl-wake-cycle-groups",3,5,"253","253",TRUE
"tbl-wake-cycle-groups",3,6,"11.6%","11.6%",TRUE
"tbl-wake-cycle-groups",3,7,"87.3%","87.3%",TRUE
"tbl-wake-cycle-groups",4,1,"Any valid period","Any valid period",TRUE
"tbl-wake-cycle-groups",4,2,"Pre-sleep","Pre-sleep",TRUE
"tbl-wake-cycle-groups",4,3,"Low","Low",TRUE
"tbl-wake-cycle-groups",4,4,"254","254",TRUE
"tbl-wake-cycle-groups",4,5,"185","185",TRUE
"tbl-wake-cycle-groups",4,6,"-11.9%","-11.9%",TRUE
"tbl-wake-cycle-groups",4,7,"65.5%","65.5%",TRUE
"tbl-wake-cycle-groups",5,1,"Any valid period","Any valid period",TRUE
"tbl-wake-cycle-groups",5,2,"Pre-sleep","Pre-sleep",TRUE
"tbl-wake-cycle-groups",5,3,"Middle","Middle",TRUE
"tbl-wake-cycle-groups",5,4,"254","254",TRUE
"tbl-wake-cycle-groups",5,5,"214","214",TRUE
"tbl-wake-cycle-groups",5,6,"-0.5%","-0.5%",TRUE
"tbl-wake-cycle-groups",5,7,"64.2%","64.2%",TRUE
"tbl-wake-cycle-groups",6,1,"Any valid period","Any valid period",TRUE
"tbl-wake-cycle-groups",6,2,"Pre-sleep","Pre-sleep",TRUE
"tbl-wake-cycle-groups",6,3,"High","High",TRUE
"tbl-wake-cycle-groups",6,4,"253","253",TRUE
"tbl-wake-cycle-groups",6,5,"219","219",TRUE
"tbl-wake-cycle-groups",6,6,"11.6%","11.6%",TRUE
"tbl-wake-cycle-groups",6,7,"62.9%","62.9%",TRUE
"tbl-wake-cycle-groups",7,1,"At least 80% coverage","At least 80% coverage",TRUE
"tbl-wake-cycle-groups",7,2,"Sleep","Sleep",TRUE
"tbl-wake-cycle-groups",7,3,"Low","Low",TRUE
"tbl-wake-cycle-groups",7,4,"240","240",TRUE
"tbl-wake-cycle-groups",7,5,"234","234",TRUE
"tbl-wake-cycle-groups",7,6,"-11.7%","-11.7%",TRUE
"tbl-wake-cycle-groups",7,7,"87.9%","87.9%",TRUE
"tbl-wake-cycle-groups",8,1,"At least 80% coverage","At least 80% coverage",TRUE
"tbl-wake-cycle-groups",8,2,"Sleep","Sleep",TRUE
"tbl-wake-cycle-groups",8,3,"Middle","Middle",TRUE
"tbl-wake-cycle-groups",8,4,"239","239",TRUE
"tbl-wake-cycle-groups",8,5,"232","232",TRUE
"tbl-wake-cycle-groups",8,6,"-0.1%","-0.1%",TRUE
"tbl-wake-cycle-groups",8,7,"87.6%","87.6%",TRUE
"tbl-wake-cycle-groups",9,1,"At least 80% coverage","At least 80% coverage",TRUE
"tbl-wake-cycle-groups",9,2,"Sleep","Sleep",TRUE
"tbl-wake-cycle-groups",9,3,"High","High",TRUE
"tbl-wake-cycle-groups",9,4,"239","239",TRUE
"tbl-wake-cycle-groups",9,5,"231","231",TRUE
"tbl-wake-cycle-groups",9,6,"11.7%","11.7%",TRUE
"tbl-wake-cycle-groups",9,7,"87.2%","87.2%",TRUE
"tbl-wake-cycle-groups",10,1,"At least 80% coverage","At least 80% coverage",TRUE
"tbl-wake-cycle-groups",10,2,"Pre-sleep","Pre-sleep",TRUE
"tbl-wake-cycle-groups",10,3,"Low","Low",TRUE
"tbl-wake-cycle-groups",10,4,"240","240",TRUE
"tbl-wake-cycle-groups",10,5,"151","151",TRUE
"tbl-wake-cycle-groups",10,6,"-11.7%","-11.7%",TRUE
"tbl-wake-cycle-groups",10,7,"66.5%","66.5%",TRUE
"tbl-wake-cycle-groups",11,1,"At least 80% coverage","At least 80% coverage",TRUE
"tbl-wake-cycle-groups",11,2,"Pre-sleep","Pre-sleep",TRUE
"tbl-wake-cycle-groups",11,3,"Middle","Middle",TRUE
"tbl-wake-cycle-groups",11,4,"239","239",TRUE
"tbl-wake-cycle-groups",11,5,"173","173",TRUE
"tbl-wake-cycle-groups",11,6,"-0.1%","-0.1%",TRUE
"tbl-wake-cycle-groups",11,7,"65.2%","65.2%",TRUE
"tbl-wake-cycle-groups",12,1,"At least 80% coverage","At least 80% coverage",TRUE
"tbl-wake-cycle-groups",12,2,"Pre-sleep","Pre-sleep",TRUE
"tbl-wake-cycle-groups",12,3,"High","High",TRUE
"tbl-wake-cycle-groups",12,4,"239","239",TRUE
"tbl-wake-cycle-groups",12,5,"178","178",TRUE
"tbl-wake-cycle-groups",12,6,"11.7%","11.7%",TRUE
"tbl-wake-cycle-groups",12,7,"63.8%","63.8%",TRUE
"tbl-coverage-gate",1,1,"Sleep","Sleep",TRUE
"tbl-coverage-gate",1,2,"-0.3 pp","-0.3 pp",TRUE
"tbl-coverage-gate",1,3,"-0.3 pp","-0.3 pp",TRUE
"tbl-coverage-gate",1,4,"0.0 pp","0.0 pp",TRUE
"tbl-coverage-gate",1,5,"Passed","Passed",TRUE
"tbl-coverage-gate",2,1,"Pre-sleep","Pre-sleep",TRUE
"tbl-coverage-gate",2,2,"-1.1 pp","-1.1 pp",TRUE
"tbl-coverage-gate",2,3,"-1.1 pp","-1.1 pp",TRUE
"tbl-coverage-gate",2,4,"0.1 pp","0.1 pp",TRUE
"tbl-coverage-gate",2,5,"Passed","Passed",TRUE
"tbl-coverage-gate",3,1,"Sleep","Sleep",TRUE
"tbl-coverage-gate",3,2,"-2.5 pp","-2.5 pp",TRUE
"tbl-coverage-gate",3,3,"-2.5 pp","-2.5 pp",TRUE
"tbl-coverage-gate",3,4,"0.0 pp","0.0 pp",TRUE
"tbl-coverage-gate",3,5,"Passed","Passed",TRUE
"tbl-coverage-gate",4,1,"Pre-sleep","Pre-sleep",TRUE
"tbl-coverage-gate",4,2,"-3.6 pp","-3.6 pp",TRUE
"tbl-coverage-gate",4,3,"-3.0 pp","-3.0 pp",TRUE
"tbl-coverage-gate",4,4,"0.6 pp","0.6 pp",TRUE
"tbl-coverage-gate",4,5,"Passed","Passed",TRUE
