"role","path","sha256","bytes","r_version"
"order45b stopped evidence","audit/hypotheses/H05/report018_order45b_companion_render/semantic_header_audit.csv","bb98d8c63dcecab8a74ae3e94b4e40d604c4d3cf57e96bb528691965dc4588d4",160820,"4.6.1"
"order45b stopped evidence","audit/hypotheses/H05/report018_order45b_companion_render/source_exact.diff","bfd4f2e1f4f4b590eeff8f73e9bc925a329eeae8d9ae73704f6d72391a5848c6",1365,"4.6.1"
"order45b stopped evidence","audit/hypotheses/H05/report018_order45b_companion_render/source_transition_preflight.csv","c5077fb85ff237d844a0b25773b60c8b0e95e2990a6e1506ba8e74f1ad7a7f32",466,"4.6.1"
"order45b stopped evidence","audit/hypotheses/H05/report018_order45b_companion_render/static_semantic_checks.csv","00af6d058e03b18894db4d6e6d0c2604a42853547c977c15d2ccf29dad06d44e",753,"4.6.1"
"order45b stopped evidence","audit/hypotheses/H05/report018_order45b_companion_render/symlink_audit_postrender.csv","f64c085566ccb5399e4abece0ec96dbd2f47593dc53ab4707ab9a5cf9fdcd09a",16,"4.6.1"
"order45b stopped evidence","audit/hypotheses/H05/report018_order45b_companion_render/symlink_audit_prerender.csv","f64c085566ccb5399e4abece0ec96dbd2f47593dc53ab4707ab9a5cf9fdcd09a",16,"4.6.1"
"order45b stopped evidence","audit/hypotheses/H05/report018_order45b_companion_render/test_failure_classification.csv","29132e58a25b91a29b0215de1b65f606081ce312bae40d5955b9c9c98649d6d5",619,"4.6.1"
"order45b stopped evidence","audit/hypotheses/H05/report018_order45b_companion_render/versions.csv","065f5b9ace5ebb5402f04113232484a2dc9d5d52a94c49493c24cf03444ef5b2",52,"4.6.1"
"companion source","audit/hypotheses/H05/H05_analysis_preparation.qmd","843f60f890daac0e41c6655bc365ab0325e3f582e011610469a799946b2f2811",77823,"4.6.1"
"build source copy","_build/nathealth/audit/hypotheses/H05/H05_analysis_preparation.qmd","843f60f890daac0e41c6655bc365ab0325e3f582e011610469a799946b2f2811",77823,"4.6.1"
"fresh companion HTML","_build/nathealth/audit/hypotheses/H05/H05_analysis_preparation.html","856dbd21920b65dce6437172022d0e6130410d9e357259a4d50aa1f6fe2461d8",926928,"4.6.1"
"preparation manifest","artifacts/12_manifests/H05/H05_preparation_report_manifest.csv","49ab691f8d86852ec034ed49ffa773032c3acdf3312d7fef5de7849c9ff07d80",34269,"4.6.1"
"preparation helper","scripts/hypotheses/H05/build_h05_preparation_report_manifest.R","722659aaf622c6f841c52de1cb08720da1cf8177b9906c0afcddb1d903ea0b96",8729,"4.6.1"
"unchanged preparation test","tests/hypotheses/H05/test_h05_preparation_report.R","ec738f56fb8b3cf94755fd5055d128d1a22bcc31a435554568aaa15acf78890e",15264,"4.6.1"
"accepted result source","notebooks/hypotheses/H05.qmd","7c20e16629729de433d1ab400038e9d32c73aeb25c95ecd44d581b876755d5e0",74309,"4.6.1"
"accepted result HTML","_build/nathealth/notebooks/hypotheses/H05.html","a088e105be1987508280e91b938142773c8fb9275f1e924ac1ec9958a9b199f1",640855,"4.6.1"
"profile","_quarto-nathealth.yml","80dd05573b6c764272d0d0aa1c82571bdaab3cb2bee9ee34441e2456318708e3",7480,"4.6.1"
"semantic wrapper","scripts/report_harmonization/post_render_gt_html_semantics.R","28c1105840834e95a37f84eaded9a2c595b9febd568fbc763daef247a53d7205",21453,"4.6.1"
"semantic engine","scripts/report_harmonization/repair_gt_html_semantics.R","7c949930fec862a4ce783c28d0256d36cb45de7c017bd9fcbb7cb910599463d1",17747,"4.6.1"
"lockfile","renv.lock","3bf99c633fb123626eb14d29f0847b91f71030c92e90331fe401e3204bca8350",603493,"4.6.1"
"owner order","audit/report_harmonization/owner_orders/45b_h05_companion_integrity_classification_and_render.md","517a1faaf8e2bc29615c413e74c928fc263170309a51ab3cdabde11c0039eb55",7026,"4.6.1"
"dispatch manifest","audit/report_harmonization/report018_h05_companion_order45b_dispatch_manifest.csv","b06a98595982499c7003d976cb5e75d9d75a530194e568058e5ffd459fdf017a",4665,"4.6.1"
"accepted order45a stop","audit/report_harmonization/report018_h05_order45a_integrity_stop_independent_acceptance.md","99693e99720d3ac4725a254e1ca570eb8a76f39e50f607d3c4d7ebcb2232f9df",2165,"4.6.1"
"accepted order45a stop manifest","audit/report_harmonization/report018_h05_order45a_integrity_stop_acceptance_manifest.csv","b52430af06c5b9d4f7607e3b28c45d082fa38e099fa4d6b746d9929bab5293cd",2590,"4.6.1"
"harmonizer corpus manifest","audit/report_harmonization/phase4_corpus_manifest.csv","73f1a371f8352f1baf69d38f1613de1a662112642370b0cc89798b4d6d469334",11937,"4.6.1"
