"href","label","class","target_exists","anchor_exists","status"
"#cb3-37","","internal",TRUE,TRUE,"PASS"
"#cb3-38","","internal",TRUE,TRUE,"PASS"
"#cb3-39","","internal",TRUE,TRUE,"PASS"
"#cb3-40","","internal",TRUE,TRUE,"PASS"
"#cb3-41","","internal",TRUE,TRUE,"PASS"
"#cb3-42","","internal",TRUE,TRUE,"PASS"
"#cb3-43","","internal",TRUE,TRUE,"PASS"
"#cb3-44","","internal",TRUE,TRUE,"PASS"
"#cb3-45","","internal",TRUE,TRUE,"PASS"
"#cb3-46","","internal",TRUE,TRUE,"PASS"
"#cb3-47","","internal",TRUE,TRUE,"PASS"
"#cb3-48","","internal",TRUE,TRUE,"PASS"
"#cb3-49","","internal",TRUE,TRUE,"PASS"
"#cb3-50","","internal",TRUE,TRUE,"PASS"
"#cb3-51","","internal",TRUE,TRUE,"PASS"
"#cb3-52","","internal",TRUE,TRUE,"PASS"
"#cb3-53","","internal",TRUE,TRUE,"PASS"
"#cb3-54","","internal",TRUE,TRUE,"PASS"
"#cb3-55","","internal",TRUE,TRUE,"PASS"
"#cb3-56","","internal",TRUE,TRUE,"PASS"
"#cb3-57","","internal",TRUE,TRUE,"PASS"
"#cb3-58","","internal",TRUE,TRUE,"PASS"
"#cb3-59","","internal",TRUE,TRUE,"PASS"
"#cb3-60","","internal",TRUE,TRUE,"PASS"
"#cb3-61","","internal",TRUE,TRUE,"PASS"
"#cb3-62","","internal",TRUE,TRUE,"PASS"
"#cb4-1","","internal",TRUE,TRUE,"PASS"
"#cb4-2","","internal",TRUE,TRUE,"PASS"
"#cb4-3","","internal",TRUE,TRUE,"PASS"
"#cb4-4","","internal",TRUE,TRUE,"PASS"
"#cb4-5","","internal",TRUE,TRUE,"PASS"
"#cb4-6","","internal",TRUE,TRUE,"PASS"
"#cb4-7","","internal",TRUE,TRUE,"PASS"
"#cb4-8","","internal",TRUE,TRUE,"PASS"
"#cb4-9","","internal",TRUE,TRUE,"PASS"
"#cb4-10","","internal",TRUE,TRUE,"PASS"
"#cb4-11","","internal",TRUE,TRUE,"PASS"
"#cb4-12","","internal",TRUE,TRUE,"PASS"
"#cb4-13","","internal",TRUE,TRUE,"PASS"
"#cb4-14","","internal",TRUE,TRUE,"PASS"
"#cb4-15","","internal",TRUE,TRUE,"PASS"
"#cb4-16","","internal",TRUE,TRUE,"PASS"
"#cb4-17","","internal",TRUE,TRUE,"PASS"
"#cb4-18","","internal",TRUE,TRUE,"PASS"
"#cb5-1","","internal",TRUE,TRUE,"PASS"
"#cb5-2","","internal",TRUE,TRUE,"PASS"
"#cb5-3","","internal",TRUE,TRUE,"PASS"
"#cb5-4","","internal",TRUE,TRUE,"PASS"
"#cb5-5","","internal",TRUE,TRUE,"PASS"
"#cb5-6","","internal",TRUE,TRUE,"PASS"
"#cb5-7","","internal",TRUE,TRUE,"PASS"
"#cb5-8","","internal",TRUE,TRUE,"PASS"
"#cb5-9","","internal",TRUE,TRUE,"PASS"
"#cb5-10","","internal",TRUE,TRUE,"PASS"
"#cb5-11","","internal",TRUE,TRUE,"PASS"
"#cb5-12","","internal",TRUE,TRUE,"PASS"
"#cb5-13","","internal",TRUE,TRUE,"PASS"
"#cb5-14","","internal",TRUE,TRUE,"PASS"
"#cb5-15","","internal",TRUE,TRUE,"PASS"
"#cb5-16","","internal",TRUE,TRUE,"PASS"
"#cb5-17","","internal",TRUE,TRUE,"PASS"
"#cb5-18","","internal",TRUE,TRUE,"PASS"
"#cb5-19","","internal",TRUE,TRUE,"PASS"
"#cb5-20","","internal",TRUE,TRUE,"PASS"
"#cb5-21","","internal",TRUE,TRUE,"PASS"
"#cb5-22","","internal",TRUE,TRUE,"PASS"
"#cb5-23","","internal",TRUE,TRUE,"PASS"
"#cb6-1","","internal",TRUE,TRUE,"PASS"
"#cb6-2","","internal",TRUE,TRUE,"PASS"
"#cb6-3","","internal",TRUE,TRUE,"PASS"
"#cb6-4","","internal",TRUE,TRUE,"PASS"
"#cb6-5","","internal",TRUE,TRUE,"PASS"
"#cb6-6","","internal",TRUE,TRUE,"PASS"
"#cb6-7","","internal",TRUE,TRUE,"PASS"
"#cb6-8","","internal",TRUE,TRUE,"PASS"
"#cb6-9","","internal",TRUE,TRUE,"PASS"
"#cb6-10","","internal",TRUE,TRUE,"PASS"
"#cb6-11","","internal",TRUE,TRUE,"PASS"
"#cb6-12","","internal",TRUE,TRUE,"PASS"
"#cb6-13","","internal",TRUE,TRUE,"PASS"
"#cb6-14","","internal",TRUE,TRUE,"PASS"
"#cb6-15","","internal",TRUE,TRUE,"PASS"
"#cb6-16","","internal",TRUE,TRUE,"PASS"
"#cb6-17","","internal",TRUE,TRUE,"PASS"
"#cb6-18","","internal",TRUE,TRUE,"PASS"
"H05_analysis_preparation_files/figure-html/fig-h05-prep-leba-distribution-1.png","","internal",TRUE,TRUE,"PASS"
"../../../artifacts/11_source_data/H05/H05_preparation_leba_score_distribution.csv","figure source data","internal",TRUE,TRUE,"PASS"
"../../../notebooks/preparation/04_metric_derivation.html","Preparation 04","internal",TRUE,TRUE,"PASS"
"../../../notebooks/preparation/06_model_ready_datasets.html","Preparation 06","internal",TRUE,TRUE,"PASS"
"#cb7-1","","internal",TRUE,TRUE,"PASS"
"#cb7-2","","internal",TRUE,TRUE,"PASS"
"#cb7-3","","internal",TRUE,TRUE,"PASS"
"#cb7-4","","internal",TRUE,TRUE,"PASS"
"#cb7-5","","internal",TRUE,TRUE,"PASS"
"#cb7-6","","internal",TRUE,TRUE,"PASS"
"#cb7-7","","internal",TRUE,TRUE,"PASS"
"#cb7-8","","internal",TRUE,TRUE,"PASS"
"#cb7-9","","internal",TRUE,TRUE,"PASS"
"#cb7-10","","internal",TRUE,TRUE,"PASS"
"#cb7-11","","internal",TRUE,TRUE,"PASS"
"#cb7-12","","internal",TRUE,TRUE,"PASS"
"#cb7-13","","internal",TRUE,TRUE,"PASS"
"#cb7-14","","internal",TRUE,TRUE,"PASS"
"#cb7-15","","internal",TRUE,TRUE,"PASS"
"#cb7-16","","internal",TRUE,TRUE,"PASS"
"#cb7-17","","internal",TRUE,TRUE,"PASS"
"#cb7-18","","internal",TRUE,TRUE,"PASS"
"#cb7-19","","internal",TRUE,TRUE,"PASS"
"#cb7-20","","internal",TRUE,TRUE,"PASS"
"#cb7-21","","internal",TRUE,TRUE,"PASS"
"#cb7-22","","internal",TRUE,TRUE,"PASS"
"#cb7-23","","internal",TRUE,TRUE,"PASS"
"#cb7-24","","internal",TRUE,TRUE,"PASS"
"#cb7-25","","internal",TRUE,TRUE,"PASS"
"#cb7-26","","internal",TRUE,TRUE,"PASS"
"#cb7-27","","internal",TRUE,TRUE,"PASS"
"#cb7-28","","internal",TRUE,TRUE,"PASS"
"#cb7-29","","internal",TRUE,TRUE,"PASS"
"#cb7-30","","internal",TRUE,TRUE,"PASS"
"#cb7-31","","internal",TRUE,TRUE,"PASS"
"#cb7-32","","internal",TRUE,TRUE,"PASS"
"#cb7-33","","internal",TRUE,TRUE,"PASS"
"#cb7-34","","internal",TRUE,TRUE,"PASS"
"#cb7-35","","internal",TRUE,TRUE,"PASS"
"#cb7-36","","internal",TRUE,TRUE,"PASS"
"#cb7-37","","internal",TRUE,TRUE,"PASS"
"#cb7-38","","internal",TRUE,TRUE,"PASS"
"#cb8-1","","internal",TRUE,TRUE,"PASS"
"#cb8-2","","internal",TRUE,TRUE,"PASS"
"#cb8-3","","internal",TRUE,TRUE,"PASS"
"#cb8-4","","internal",TRUE,TRUE,"PASS"
"#cb8-5","","internal",TRUE,TRUE,"PASS"
"#cb8-6","","internal",TRUE,TRUE,"PASS"
"#cb8-7","","internal",TRUE,TRUE,"PASS"
"#cb8-8","","internal",TRUE,TRUE,"PASS"
"#cb8-9","","internal",TRUE,TRUE,"PASS"
"#cb8-10","","internal",TRUE,TRUE,"PASS"
"#cb8-11","","internal",TRUE,TRUE,"PASS"
"#cb8-12","","internal",TRUE,TRUE,"PASS"
"#cb8-13","","internal",TRUE,TRUE,"PASS"
"#cb8-14","","internal",TRUE,TRUE,"PASS"
"#cb8-15","","internal",TRUE,TRUE,"PASS"
"#cb8-16","","internal",TRUE,TRUE,"PASS"
"#cb8-17","","internal",TRUE,TRUE,"PASS"
"#cb8-18","","internal",TRUE,TRUE,"PASS"
"#cb8-19","","internal",TRUE,TRUE,"PASS"
"#cb8-20","","internal",TRUE,TRUE,"PASS"
"#cb8-21","","internal",TRUE,TRUE,"PASS"
"#cb8-22","","internal",TRUE,TRUE,"PASS"
"#cb8-23","","internal",TRUE,TRUE,"PASS"
"#cb8-24","","internal",TRUE,TRUE,"PASS"
"#cb8-25","","internal",TRUE,TRUE,"PASS"
"#cb8-26","","internal",TRUE,TRUE,"PASS"
"#cb8-27","","internal",TRUE,TRUE,"PASS"
"#cb8-28","","internal",TRUE,TRUE,"PASS"
"#cb8-29","","internal",TRUE,TRUE,"PASS"
"#cb8-30","","internal",TRUE,TRUE,"PASS"
"#cb8-31","","internal",TRUE,TRUE,"PASS"
"#cb8-32","","internal",TRUE,TRUE,"PASS"
"#cb8-33","","internal",TRUE,TRUE,"PASS"
"#cb8-34","","internal",TRUE,TRUE,"PASS"
"#cb8-35","","internal",TRUE,TRUE,"PASS"
"#cb8-36","","internal",TRUE,TRUE,"PASS"
"#cb8-37","","internal",TRUE,TRUE,"PASS"
"#cb8-38","","internal",TRUE,TRUE,"PASS"
"#cb8-39","","internal",TRUE,TRUE,"PASS"
"#cb8-40","","internal",TRUE,TRUE,"PASS"
"#cb8-41","","internal",TRUE,TRUE,"PASS"
"#cb8-42","","internal",TRUE,TRUE,"PASS"
"../../../artifacts/11_source_data/H05/H05_preparation_sample_support.csv","exact table source","internal",TRUE,TRUE,"PASS"
"#cb9-1","","internal",TRUE,TRUE,"PASS"
"#cb9-2","","internal",TRUE,TRUE,"PASS"
"#cb9-3","","internal",TRUE,TRUE,"PASS"
"#cb9-4","","internal",TRUE,TRUE,"PASS"
"#cb9-5","","internal",TRUE,TRUE,"PASS"
"#cb9-6","","internal",TRUE,TRUE,"PASS"
"#cb9-7","","internal",TRUE,TRUE,"PASS"
"#cb9-8","","internal",TRUE,TRUE,"PASS"
"#cb9-9","","internal",TRUE,TRUE,"PASS"
"#cb9-10","","internal",TRUE,TRUE,"PASS"
"#cb9-11","","internal",TRUE,TRUE,"PASS"
"#cb9-12","","internal",TRUE,TRUE,"PASS"
"#cb9-13","","internal",TRUE,TRUE,"PASS"
"#cb9-14","","internal",TRUE,TRUE,"PASS"
"#cb9-15","","internal",TRUE,TRUE,"PASS"
"#cb9-16","","internal",TRUE,TRUE,"PASS"
"#cb9-17","","internal",TRUE,TRUE,"PASS"
"#cb9-18","","internal",TRUE,TRUE,"PASS"
"#cb9-19","","internal",TRUE,TRUE,"PASS"
"#cb9-20","","internal",TRUE,TRUE,"PASS"
"#cb9-21","","internal",TRUE,TRUE,"PASS"
"#cb9-22","","internal",TRUE,TRUE,"PASS"
"#cb9-23","","internal",TRUE,TRUE,"PASS"
"#cb9-24","","internal",TRUE,TRUE,"PASS"
"#cb9-25","","internal",TRUE,TRUE,"PASS"
"#cb9-26","","internal",TRUE,TRUE,"PASS"
"#cb9-27","","internal",TRUE,TRUE,"PASS"
"#cb9-28","","internal",TRUE,TRUE,"PASS"
"#cb9-29","","internal",TRUE,TRUE,"PASS"
"#cb9-30","","internal",TRUE,TRUE,"PASS"
"#cb9-31","","internal",TRUE,TRUE,"PASS"
"#cb9-32","","internal",TRUE,TRUE,"PASS"
"#cb9-33","","internal",TRUE,TRUE,"PASS"
"#cb9-34","","internal",TRUE,TRUE,"PASS"
"#cb9-35","","internal",TRUE,TRUE,"PASS"
"#cb9-36","","internal",TRUE,TRUE,"PASS"
"#cb9-37","","internal",TRUE,TRUE,"PASS"
"#cb9-38","","internal",TRUE,TRUE,"PASS"
"#cb9-39","","internal",TRUE,TRUE,"PASS"
"#cb9-40","","internal",TRUE,TRUE,"PASS"
"#cb9-41","","internal",TRUE,TRUE,"PASS"
"#cb9-42","","internal",TRUE,TRUE,"PASS"
"#cb9-43","","internal",TRUE,TRUE,"PASS"
"#cb9-44","","internal",TRUE,TRUE,"PASS"
"#cb9-45","","internal",TRUE,TRUE,"PASS"
"H05_analysis_preparation_files/figure-html/fig-h05-prep-sample-support-1.png","","internal",TRUE,TRUE,"PASS"
"../../../artifacts/11_source_data/H05/H05_preparation_sample_support.csv","paired source data","internal",TRUE,TRUE,"PASS"
"#cb10-1","","internal",TRUE,TRUE,"PASS"
"#cb10-2","","internal",TRUE,TRUE,"PASS"
"#cb10-3","","internal",TRUE,TRUE,"PASS"
"#cb10-4","","internal",TRUE,TRUE,"PASS"
"#cb10-5","","internal",TRUE,TRUE,"PASS"
"#cb10-6","","internal",TRUE,TRUE,"PASS"
"#cb10-7","","internal",TRUE,TRUE,"PASS"
"#cb10-8","","internal",TRUE,TRUE,"PASS"
"#cb10-9","","internal",TRUE,TRUE,"PASS"
"#cb10-10","","internal",TRUE,TRUE,"PASS"
"#cb10-11","","internal",TRUE,TRUE,"PASS"
"#cb10-12","","internal",TRUE,TRUE,"PASS"
"#cb10-13","","internal",TRUE,TRUE,"PASS"
"#cb10-14","","internal",TRUE,TRUE,"PASS"
"#cb10-15","","internal",TRUE,TRUE,"PASS"
"#cb10-16","","internal",TRUE,TRUE,"PASS"
"#cb10-17","","internal",TRUE,TRUE,"PASS"
"#cb10-18","","internal",TRUE,TRUE,"PASS"
"#cb10-19","","internal",TRUE,TRUE,"PASS"
"#cb10-20","","internal",TRUE,TRUE,"PASS"
"#cb10-21","","internal",TRUE,TRUE,"PASS"
"#cb10-22","","internal",TRUE,TRUE,"PASS"
"#cb10-23","","internal",TRUE,TRUE,"PASS"
"#cb10-24","","internal",TRUE,TRUE,"PASS"
"#cb10-25","","internal",TRUE,TRUE,"PASS"
"#cb10-26","","internal",TRUE,TRUE,"PASS"
"#cb10-27","","internal",TRUE,TRUE,"PASS"
"#cb10-28","","internal",TRUE,TRUE,"PASS"
"#cb10-29","","internal",TRUE,TRUE,"PASS"
"#cb10-30","","internal",TRUE,TRUE,"PASS"
"#cb10-31","","internal",TRUE,TRUE,"PASS"
"#cb10-32","","internal",TRUE,TRUE,"PASS"
"#cb10-33","","internal",TRUE,TRUE,"PASS"
"#cb11-1","","internal",TRUE,TRUE,"PASS"
"#cb11-2","","internal",TRUE,TRUE,"PASS"
"#cb11-3","","internal",TRUE,TRUE,"PASS"
"#cb11-4","","internal",TRUE,TRUE,"PASS"
"#cb11-5","","internal",TRUE,TRUE,"PASS"
"#cb11-6","","internal",TRUE,TRUE,"PASS"
"#cb11-7","","internal",TRUE,TRUE,"PASS"
"#cb11-8","","internal",TRUE,TRUE,"PASS"
"#cb11-9","","internal",TRUE,TRUE,"PASS"
"#cb11-10","","internal",TRUE,TRUE,"PASS"
"#cb11-11","","internal",TRUE,TRUE,"PASS"
"#cb11-12","","internal",TRUE,TRUE,"PASS"
"#cb11-13","","internal",TRUE,TRUE,"PASS"
"#cb11-14","","internal",TRUE,TRUE,"PASS"
"#cb11-15","","internal",TRUE,TRUE,"PASS"
"#cb11-16","","internal",TRUE,TRUE,"PASS"
"#cb11-17","","internal",TRUE,TRUE,"PASS"
"#cb11-18","","internal",TRUE,TRUE,"PASS"
"#cb11-19","","internal",TRUE,TRUE,"PASS"
"#cb11-20","","internal",TRUE,TRUE,"PASS"
"#cb11-21","","internal",TRUE,TRUE,"PASS"
"#cb11-22","","internal",TRUE,TRUE,"PASS"
"#cb11-23","","internal",TRUE,TRUE,"PASS"
"#cb11-24","","internal",TRUE,TRUE,"PASS"
"#cb11-25","","internal",TRUE,TRUE,"PASS"
"#cb11-26","","internal",TRUE,TRUE,"PASS"
"#cb11-27","","internal",TRUE,TRUE,"PASS"
"#cb11-28","","internal",TRUE,TRUE,"PASS"
"#cb11-29","","internal",TRUE,TRUE,"PASS"
"#cb11-30","","internal",TRUE,TRUE,"PASS"
"#cb11-31","","internal",TRUE,TRUE,"PASS"
"#cb11-32","","internal",TRUE,TRUE,"PASS"
"#cb11-33","","internal",TRUE,TRUE,"PASS"
"#cb11-34","","internal",TRUE,TRUE,"PASS"
"#cb11-35","","internal",TRUE,TRUE,"PASS"
"#cb11-36","","internal",TRUE,TRUE,"PASS"
"H05_analysis_preparation_files/figure-html/fig-h05-prep-site-range-1.png","","internal",TRUE,TRUE,"PASS"
"../../../artifacts/11_source_data/H05/H05_preparation_site_support_summary.csv","exact source data","internal",TRUE,TRUE,"PASS"
"../../../artifacts/11_source_data/H05/H05_preparation_site_support.csv","metric-by-site source","internal",TRUE,TRUE,"PASS"
"#cb12-1","","internal",TRUE,TRUE,"PASS"
"#cb12-2","","internal",TRUE,TRUE,"PASS"
"#cb12-3","","internal",TRUE,TRUE,"PASS"
"#cb12-4","","internal",TRUE,TRUE,"PASS"
"#cb12-5","","internal",TRUE,TRUE,"PASS"
"#cb12-6","","internal",TRUE,TRUE,"PASS"
"#cb12-7","","internal",TRUE,TRUE,"PASS"
"#cb12-8","","internal",TRUE,TRUE,"PASS"
"#cb12-9","","internal",TRUE,TRUE,"PASS"
"#cb12-10","","internal",TRUE,TRUE,"PASS"
"#cb12-11","","internal",TRUE,TRUE,"PASS"
