"owner","sequence","text"
"H10",34,"Longest continuous"
"H10",35,"period above 250 lx"
"H10",36,"melEDI"
"H10",37,"Time above 250 lx melEDI"
"H10",38,"during wake"
"H10",39,"Time above 1,000 lx"
"H10",40,"melEDI"
"H10",41,"Brightest 10 h mean"
"H10",42,"Mean melEDI"
"H10",43,"Near-eye age"
"H10",44,"Chest age"
"H10",45,"Chest Female–Male"
"H10",46,"0.0"
"H10",47,"0.1"
"H10",48,"0.2"
"H10",49,"0.3"
"H10",50,"0.0"
"H10",51,"0.1"
"H10",52,"0.2"
"H10",53,"0.3"
"H10",54,"-0.6"
"H10",55,"-0.4"
"H10",56,"-0.2"
"H10",57,"0.0"
"H10",58,"melEDI dose"
"H10",59,"Time above 1,000 lx"
"H10",60,"melEDI"
"H10",61,"Brightest 10 h mean"
"H10",62,"Effect on model scale, divided by the fitted-frame response SD"
"H10",63,"Standardized fitted-frame effects and 95% confidence intervals; 11 retained across separate 17-metric FDR families"
"H10",64,"All main associations retained after FDR adjustment"
"H10",65,"B"
"H10",66,"Midpoint of the brightest 10 hours"
"H10",67,"Last light timing above 250 lx melEDI"
"H10",68,"-200"
"H10",69,"0"
"H10",70,"200"
"H10",71,"400"
"H10",72,"-200"
"H10",73,"0"
"H10",74,"200"
"H10",75,"400"
"H10",76,"Kumasi (GH)"
"H10",77,"San José (CR)"
"H10",78,"Izmir (TR)"
"H10",79,"Madrid (ES)"
"H10",80,"Munich (DE)"
"H10",81,"Dortmund (DE)"
"H10",82,"Delft (NL)"
"H10",83,"Borås (SE)"
"H10",84,"Clock-time difference per decade (minutes; 95% CI)"
"H10",85,"Chest placement; site-specific estimates are descriptive components of the two omnibus age-by-site interactions, not separate site-level tests"
"H10",86,"Site-specific age estimates for two retained age-by-site interactions"
"H10",87,"C"
"H10",88,"Main-effect standardization is for display only; practical estimates, exact samples, and FDR-adjusted p-values are reported in the accompanying table."
"H10",89,"Near-eye evidence is primary and chest evidence complementary; placements are not pooled"
"H10",90,"Age distributions and associations retained after FDR adjustment"
"H11",1,"0"
"H11",2,"1"
"H11",3,"10"
"H11",4,"250"
"H11",5,"0"
"H11",6,"6"
"H11",7,"12"
"H11",8,"18"
"H11",9,"24"
"H11",10,"melEDI (lx)"
"H11",11,"Female"
"H11",12,"Male"
"H11",13,"Equal-site conditional means; 141 participants, 816 participant-days, 37,756"
"H11",14,"30-minute observations"
"H11",15,"A Sex-specific near-eye curves"
"H11",16,"0.50"
"H11",17,"0.75"
"H11",18,"1.00"
"H11",19,"1.50"
"H11",20,"2.00"
"H11",21,"0"
"H11",22,"6"
"H11",23,"12"
"H11",24,"18"
"H11",25,"24"
"H11",26,"Local clock time (hours)"
"H11",27,"Female / Male ratio"
"H11",28,"Ribbons are participant-cluster-robust pointwise 95% intervals; open circles"
"H11",29,"mark displayed bins whose interval excludes 1."
"H11",30,"B  Female-to-Male shifted-value ratio"
"H11",31,"Grey shading spans midnight to equal-site mean civil dawn and equal-site mean civil dusk to midnight."
"H11",32,"Intervals are pointwise, not simultaneous; the global participant-cluster-robust curve test is the"
"H11",33,"inferential test and the display cannot establish a familywise-significant time period. The melEDI axis"
"H11",34,"uses the approved symlog scale: linear from 0 to 1 lx and base-10 above 1 lx."
