component,basis_k,.type,.term,.concurvity
positive_magnitude,12,observed,s(participant_key),0.9999999999999993
positive_magnitude,12,observed,s(participant_day_key),0.07697572442500777
positive_magnitude,12,estimate,para,1
positive_magnitude,12,estimate,s(clock_hour):day_activity_groupWork day · Sedentary,0.22223464327421982
positive_magnitude,12,estimate,s(clock_hour):day_activity_groupWork day · Active,0.1721635026887639
positive_magnitude,12,estimate,s(clock_hour):day_activity_groupFree day · Sedentary,0.14949011758958475
positive_magnitude,12,estimate,s(clock_hour):day_activity_groupFree day · Active,0.11626842421251474
positive_magnitude,12,estimate,s(participant_key),1
positive_magnitude,12,estimate,s(participant_day_key),0.19978580341653202
occurrence,16,worst,para,1.0000000000000009
occurrence,16,worst,s(clock_hour):day_activity_groupWork day · Sedentary,0.9847110012370129
occurrence,16,worst,s(clock_hour):day_activity_groupWork day · Active,0.9482297219140389
occurrence,16,worst,s(clock_hour):day_activity_groupFree day · Sedentary,0.12527271515547347
occurrence,16,worst,s(clock_hour):day_activity_groupFree day · Active,0.8082430559098319
occurrence,16,worst,s(participant_key),1.000000000000004
occurrence,16,worst,s(participant_day_key),1.0000000000000027
occurrence,16,observed,para,1.0000000000000004
occurrence,16,observed,s(clock_hour):day_activity_groupWork day · Sedentary,0.1314284487181344
occurrence,16,observed,s(clock_hour):day_activity_groupWork day · Active,0.1189243784806766
occurrence,16,observed,s(clock_hour):day_activity_groupFree day · Sedentary,0.04630559038301216
occurrence,16,observed,s(clock_hour):day_activity_groupFree day · Active,0.07365853889365792
occurrence,16,observed,s(participant_key),1.0000000000000004
occurrence,16,observed,s(participant_day_key),0.09166939001512671
occurrence,16,estimate,para,1
occurrence,16,estimate,s(clock_hour):day_activity_groupWork day · Sedentary,0.14056022256230072
occurrence,16,estimate,s(clock_hour):day_activity_groupWork day · Active,0.13471011935454133
occurrence,16,estimate,s(clock_hour):day_activity_groupFree day · Sedentary,0.04562839497570689
occurrence,16,estimate,s(clock_hour):day_activity_groupFree day · Active,0.08930215571987159
occurrence,16,estimate,s(participant_key),1
occurrence,16,estimate,s(participant_day_key),0.19814952003536002
positive_magnitude,16,worst,para,1.0000000000000004
positive_magnitude,16,worst,s(clock_hour):day_activity_groupWork day · Sedentary,0.6492236715615914
positive_magnitude,16,worst,s(clock_hour):day_activity_groupWork day · Active,0.7712744759075888
positive_magnitude,16,worst,s(clock_hour):day_activity_groupFree day · Sedentary,0.5475070537938784
positive_magnitude,16,worst,s(clock_hour):day_activity_groupFree day · Active,0.584481995631442
positive_magnitude,16,worst,s(participant_key),1.0000000000000089
positive_magnitude,16,worst,s(participant_day_key),1.0000000000000053
positive_magnitude,16,observed,para,1.0000000000000004
positive_magnitude,16,observed,s(clock_hour):day_activity_groupWork day · Sedentary,0.33038569558293435
positive_magnitude,16,observed,s(clock_hour):day_activity_groupWork day · Active,0.42049422730340996
positive_magnitude,16,observed,s(clock_hour):day_activity_groupFree day · Sedentary,0.319593242454273
positive_magnitude,16,observed,s(clock_hour):day_activity_groupFree day · Active,0.3361494268831515
positive_magnitude,16,observed,s(participant_key),0.999999999999999
positive_magnitude,16,observed,s(participant_day_key),0.06358682139454232
positive_magnitude,16,estimate,para,1
positive_magnitude,16,estimate,s(clock_hour):day_activity_groupWork day · Sedentary,0.15900596058016617
positive_magnitude,16,estimate,s(clock_hour):day_activity_groupWork day · Active,0.12653713019975557
positive_magnitude,16,estimate,s(clock_hour):day_activity_groupFree day · Sedentary,0.11440519253548306
positive_magnitude,16,estimate,s(clock_hour):day_activity_groupFree day · Active,0.0822141988286942
positive_magnitude,16,estimate,s(participant_key),1
positive_magnitude,16,estimate,s(participant_day_key),0.19991738248378993
