component,basis_k,residual_type,sequence,observations,lag1
occurrence,12,AR_standardized,BAUA::BAUA_S011::2025-06-26::1,24,0.013883470290660243
occurrence,12,AR_standardized,BAUA::BAUA_S011::2025-06-27::1,24,-0.22222881563858812
occurrence,12,AR_standardized,BAUA::BAUA_S011::2025-06-28::1,24,0.12221943377103173
occurrence,12,AR_standardized,BAUA::BAUA_S011::2025-06-29::1,24,0.1172296558565829
occurrence,12,AR_standardized,BAUA::BAUA_S011::2025-06-30::1,24,0.1145508214398938
occurrence,12,AR_standardized,BAUA::BAUA_S012::2025-07-16::1,20,0.22826483320265795
occurrence,12,AR_standardized,BAUA::BAUA_S012::2025-07-17::1,10,0.22456123143264908
occurrence,12,AR_standardized,BAUA::BAUA_S012::2025-07-17::2,13,-0.8059795408609763
occurrence,12,AR_standardized,BAUA::BAUA_S012::2025-07-18::1,24,0.1687102810376181
occurrence,12,AR_standardized,BAUA::BAUA_S012::2025-07-19::1,21,-0.048043980553682614
occurrence,12,AR_standardized,BAUA::BAUA_S012::2025-07-20::1,10,-0.13875186291060618
occurrence,12,AR_standardized,BAUA::BAUA_S012::2025-07-20::2,10,0.7042805277662172
occurrence,12,AR_standardized,BAUA::BAUA_S012::2025-07-21::1,14,-0.5208167178295693
occurrence,12,AR_standardized,BAUA::BAUA_S012::2025-07-21::2,9,-0.8746937487816027
occurrence,12,AR_standardized,BAUA::BAUA_S013::2025-07-18::1,24,-0.08795145312263407
occurrence,12,AR_standardized,BAUA::BAUA_S013::2025-07-19::1,24,-0.5556637482360692
occurrence,12,AR_standardized,BAUA::BAUA_S013::2025-07-20::1,24,-0.3319326543785735
occurrence,12,AR_standardized,BAUA::BAUA_S013::2025-07-21::1,20,-0.0543141925315597
occurrence,12,AR_standardized,BAUA::BAUA_S014::2025-07-16::1,24,-0.016244905790155594
occurrence,12,AR_standardized,BAUA::BAUA_S014::2025-07-17::1,24,0.18134448518470248
occurrence,12,AR_standardized,BAUA::BAUA_S014::2025-07-18::1,24,-0.020421018992577495
occurrence,12,AR_standardized,BAUA::BAUA_S014::2025-07-19::1,24,0.3722479698435198
occurrence,12,AR_standardized,BAUA::BAUA_S014::2025-07-20::1,24,-0.05861641894505442
occurrence,12,AR_standardized,BAUA::BAUA_S014::2025-07-21::1,24,-0.006191573074402148
occurrence,12,AR_standardized,BAUA::BAUA_S015::2025-07-23::1,24,0.03232482191467372
occurrence,12,AR_standardized,BAUA::BAUA_S015::2025-07-24::1,16,-0.03453562154369502
occurrence,12,AR_standardized,BAUA::BAUA_S015::2025-07-24::2,7,0.9985211743596889
occurrence,12,AR_standardized,BAUA::BAUA_S015::2025-07-25::1,18,-0.14010067868358367
occurrence,12,AR_standardized,BAUA::BAUA_S015::2025-07-26::1,24,0.15752302490544132
occurrence,12,AR_standardized,BAUA::BAUA_S015::2025-07-27::1,12,-0.03454279585502878
occurrence,12,AR_standardized,BAUA::BAUA_S015::2025-07-27::2,11,0.9807583740395595
occurrence,12,AR_standardized,BAUA::BAUA_S015::2025-07-28::1,14,-0.14048126038470507
occurrence,12,AR_standardized,BAUA::BAUA_S015::2025-07-28::3,5,0.9835515846317153
occurrence,12,AR_standardized,BAUA::BAUA_S016::2025-07-23::1,15,0.03834340645010317
occurrence,12,AR_standardized,BAUA::BAUA_S016::2025-07-23::3,6,0.015952640627456882
occurrence,12,AR_standardized,BAUA::BAUA_S016::2025-07-24::1,16,-0.21614980132963424
occurrence,12,AR_standardized,BAUA::BAUA_S016::2025-07-24::2,6,0.013442590611348391
occurrence,12,AR_standardized,BAUA::BAUA_S016::2025-07-25::1,24,0.036753711084512225
occurrence,12,AR_standardized,BAUA::BAUA_S016::2025-07-26::1,11,-0.01893597826715079
occurrence,12,AR_standardized,BAUA::BAUA_S016::2025-07-26::2,4,-0.6418898341387604
occurrence,12,AR_standardized,BAUA::BAUA_S016::2025-07-26::3,7,-0.8376074494926495
occurrence,12,AR_standardized,BAUA::BAUA_S016::2025-07-27::1,11,0.002989492389176636
occurrence,12,AR_standardized,BAUA::BAUA_S016::2025-07-27::2,11,-0.7782955852437515
occurrence,12,AR_standardized,BAUA::BAUA_S016::2025-07-28::1,15,0.033656639185076796
occurrence,12,AR_standardized,BAUA::BAUA_S016::2025-07-28::3,6,-0.7292951168108737
occurrence,12,AR_standardized,BAUA::BAUA_S018::2025-09-09::1,24,-0.29225738681094054
occurrence,12,AR_standardized,BAUA::BAUA_S018::2025-09-10::1,24,-0.24143635934987656
occurrence,12,AR_standardized,BAUA::BAUA_S018::2025-09-11::1,18,-0.6685221572996738
occurrence,12,AR_standardized,BAUA::BAUA_S018::2025-09-11::2,5,0.9864320475429931
occurrence,12,AR_standardized,BAUA::BAUA_S018::2025-09-13::1,13,-0.04812534059597034
occurrence,12,AR_standardized,BAUA::BAUA_S018::2025-09-13::2,10,0.19905344586211315
occurrence,12,AR_standardized,BAUA::BAUA_S022::2025-09-24::1,24,-0.09739852092337117
occurrence,12,AR_standardized,BAUA::BAUA_S022::2025-09-25::1,24,-0.17344991970105367
occurrence,12,AR_standardized,BAUA::BAUA_S022::2025-09-27::1,24,-0.041204354312471915
occurrence,12,AR_standardized,BAUA::BAUA_S022::2025-09-28::1,24,0.06346688138846932
occurrence,12,AR_standardized,BAUA::BAUA_S022::2025-09-29::1,24,-0.11955732848131956
occurrence,12,AR_standardized,BAUA::BAUA_S024::2025-10-14::1,24,-0.16022039762702234
occurrence,12,AR_standardized,BAUA::BAUA_S024::2025-10-15::1,24,-0.12094812461333757
occurrence,12,AR_standardized,BAUA::BAUA_S024::2025-10-16::1,15,-0.18990726306936306
occurrence,12,AR_standardized,BAUA::BAUA_S024::2025-10-16::2,6,-0.8343272701053775
occurrence,12,AR_standardized,BAUA::BAUA_S024::2025-10-17::1,24,0.08220784845024601
occurrence,12,AR_standardized,BAUA::BAUA_S024::2025-10-18::1,24,0.044355208069519
occurrence,12,AR_standardized,BAUA::BAUA_S024::2025-10-19::1,24,0.013986064521286014
occurrence,12,AR_standardized,BAUA::BAUA_S025::2025-10-15::1,24,-0.2439592445551811
occurrence,12,AR_standardized,BAUA::BAUA_S025::2025-10-16::1,24,0.4050739907210174
occurrence,12,AR_standardized,BAUA::BAUA_S025::2025-10-17::1,24,0.04567127454650911
occurrence,12,AR_standardized,BAUA::BAUA_S025::2025-10-19::1,24,0.21977411412583253
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S003::2024-10-08::1,18,-0.18562855283060822
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S003::2024-10-09::1,11,-0.19258699127248352
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S003::2024-10-09::2,12,-0.585460299878731
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S003::2024-10-11::1,24,-0.10998625087834121
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S003::2024-10-12::1,24,0.13268441237901096
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S003::2024-10-13::1,24,0.13211573698130039
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S004::2024-10-08::1,24,-0.16553703929005037
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S004::2024-10-09::1,24,-0.25325950775627226
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S004::2024-10-11::1,24,0.1381053031670802
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S004::2024-10-12::1,12,-0.16278222463359399
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S004::2024-10-12::2,10,0.9876050221739227
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S004::2024-10-13::1,24,-0.03307205912336675
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S005::2024-10-15::1,24,0.3075304698341397
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S005::2024-10-16::1,10,-0.35092421286847236
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S005::2024-10-16::2,3,-1
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S005::2024-10-16::3,8,0.05353547956291117
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S005::2024-10-17::1,16,0.25795627472301236
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S005::2024-10-17::2,6,-0.7390712733606145
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S005::2024-10-18::1,24,0.2532326096188482
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S005::2024-10-19::1,20,0.15436503645051816
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S005::2024-10-19::2,3,-1
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S006::2024-10-15::1,14,-0.12075650451582125
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S006::2024-10-15::2,8,-0.8084405252425609
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S006::2024-10-16::1,24,0.08782620718144526
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S006::2024-10-17::1,24,0.016466230621297012
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S006::2024-10-18::1,14,-0.08753451603588717
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S006::2024-10-18::2,9,0.9976741376898418
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S007::2024-10-22::1,24,-0.18132533093565237
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S007::2024-10-23::1,24,0.3318048742839023
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S007::2024-10-24::1,20,-0.38870492012010777
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S007::2024-10-25::1,24,0.0730704913395414
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S007::2024-10-26::1,24,0.22430320807412663
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S007::2024-10-27::3,19,0.33557881297421505
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S008::2024-10-22::1,24,-0.13090167089009683
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S008::2024-10-23::1,24,-0.13691508675091332
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S008::2024-10-24::1,24,-0.13834144083725894
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S009::2024-11-05::1,24,-0.34328542128791234
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S009::2024-11-06::1,24,0.12245576632819653
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S009::2024-11-07::1,24,0.11578284169058986
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S009::2024-11-08::1,24,0.115216148280548
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S009::2024-11-09::1,24,-0.03202136511488069
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S009::2024-11-10::1,24,-0.23229229308272056
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S010::2024-11-05::1,24,-0.17224243776821763
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S010::2024-11-06::1,24,-0.17224243776821763
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S010::2024-11-07::1,24,0.1432366598215599
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S011::2024-11-12::1,24,-0.2528320277516628
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S011::2024-11-13::1,24,0.05934360029597544
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S011::2024-11-14::1,24,0.23556603231957196
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S012::2024-12-03::1,24,0.0198705139298394
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S012::2024-12-04::1,24,0.12130030076454472
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S012::2024-12-05::1,24,0.0332157641158006
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S012::2024-12-06::1,24,0.09705956868783325
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S012::2024-12-07::1,24,-0.04915617647844108
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S012::2024-12-08::1,24,-0.2979456155566656
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S013::2024-11-19::1,24,0.10310535034883464
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S013::2024-11-20::1,24,-0.23934514932521536
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S013::2024-11-21::1,24,-0.2368008661743567
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S013::2024-11-22::1,24,0.027119693049277003
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S013::2024-11-23::1,24,0.2065133384833576
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S013::2024-11-24::1,24,2.4038486792630066e-4
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S015::2024-11-26::1,24,0.16594732317683036
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S015::2024-11-27::1,24,0.023039763255695542
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S015::2024-11-28::1,24,0.0354473955137397
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S015::2024-11-29::1,24,0.1339855518909885
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S015::2024-11-30::1,19,-0.17361326714168945
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S015::2024-11-30::2,3,1
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S015::2024-12-01::1,24,0.060879169918021274
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S016::2024-11-27::1,20,0.100863763342792
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S016::2024-11-27::2,3,-1
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S016::2024-11-29::1,7,0.9631513158694553
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S016::2024-11-29::2,14,-0.06778455865003642
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S016::2024-11-30::1,24,0.20432620811854332
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S016::2024-12-01::1,14,0.09138055379484335
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S016::2024-12-01::2,8,0.9532517460062709
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S017::2024-12-05::1,24,0.06550169411762982
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S017::2024-12-07::1,16,0.2800111825180199
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S017::2024-12-07::2,5,0.9061052907590927
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S018::2024-12-14::1,19,-0.47802522861420566
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S019::2024-12-10::1,24,-0.05971662196488587
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S019::2024-12-11::1,24,0.11822414394842065
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S019::2024-12-14::1,24,-0.18390653612383234
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S019::2024-12-15::1,24,-0.2165660181167134
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S020::2025-01-21::1,24,-0.15220908230264302
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S020::2025-01-22::1,24,-0.2529270083219982
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S020::2025-01-23::1,24,0.1506330331701714
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S020::2025-01-26::1,24,0.2814659300285713
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S022::2025-01-28::1,24,0.011134342292821075
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S022::2025-01-29::1,24,-0.11990155070830623
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S022::2025-01-30::1,24,0.23942627253328386
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S022::2025-01-31::1,24,-0.19032405136307115
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S022::2025-02-01::1,24,0.4089554158718014
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S022::2025-02-02::1,24,-0.20536090582280347
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S024::2025-02-04::1,24,0.31973552309711795
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S024::2025-02-05::1,19,0.11261380728714517
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S024::2025-02-08::1,24,0.4102882728779038
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S024::2025-02-09::1,24,-0.23851547971598028
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S025::2025-02-04::1,10,-0.03186629896379524
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S025::2025-02-04::2,5,-0.4382115678085593
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S025::2025-02-04::3,5,0.11018591189104938
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S025::2025-02-05::1,19,-0.03830073378007054
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S025::2025-02-06::1,24,0.20568510375519578
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S025::2025-02-09::1,15,0.08181943622965135
occurrence,12,AR_standardized,FUSPCEU::FUSPCEU_S025::2025-02-09::2,5,0.9499313479377347
occurrence,12,AR_standardized,IZTECH::IZTECH_S001::2024-12-25::1,24,0.18310016688955644
occurrence,12,AR_standardized,IZTECH::IZTECH_S001::2024-12-26::1,24,0.17544736955990323
occurrence,12,AR_standardized,IZTECH::IZTECH_S001::2024-12-27::1,24,-0.10074370865034721
occurrence,12,AR_standardized,IZTECH::IZTECH_S001::2024-12-28::1,24,0.1776777371022991
occurrence,12,AR_standardized,IZTECH::IZTECH_S001::2024-12-29::1,24,-0.05086346379193454
occurrence,12,AR_standardized,IZTECH::IZTECH_S001::2024-12-30::1,19,-0.024965798947478926
occurrence,12,AR_standardized,IZTECH::IZTECH_S001::2024-12-30::2,4,0.9575765420408262
occurrence,12,AR_standardized,IZTECH::IZTECH_S002::2025-01-07::1,20,0.12822802730946928
occurrence,12,AR_standardized,IZTECH::IZTECH_S002::2025-01-08::1,24,-0.010718892310359648
occurrence,12,AR_standardized,IZTECH::IZTECH_S002::2025-01-09::1,24,0.09429048625972854
occurrence,12,AR_standardized,IZTECH::IZTECH_S002::2025-01-10::1,17,-0.29077383891006514
occurrence,12,AR_standardized,IZTECH::IZTECH_S002::2025-01-10::2,3,1
occurrence,12,AR_standardized,IZTECH::IZTECH_S002::2025-01-11::1,24,0.19562789003502565
occurrence,12,AR_standardized,IZTECH::IZTECH_S002::2025-01-12::1,24,0.16376475483283037
occurrence,12,AR_standardized,IZTECH::IZTECH_S003::2025-01-07::1,24,0.06392672242112876
occurrence,12,AR_standardized,IZTECH::IZTECH_S003::2025-01-08::1,24,0.1996723946890852
occurrence,12,AR_standardized,IZTECH::IZTECH_S003::2025-01-09::1,24,0.13141460705097321
occurrence,12,AR_standardized,IZTECH::IZTECH_S003::2025-01-10::1,24,0.022664275479246595
occurrence,12,AR_standardized,IZTECH::IZTECH_S003::2025-01-11::1,21,0.021857220370723626
occurrence,12,AR_standardized,IZTECH::IZTECH_S003::2025-01-12::1,24,-0.06245293156866939
occurrence,12,AR_standardized,IZTECH::IZTECH_S004::2025-01-22::1,24,0.31452128549266273
occurrence,12,AR_standardized,IZTECH::IZTECH_S004::2025-01-23::1,24,-0.09298068806957092
occurrence,12,AR_standardized,IZTECH::IZTECH_S004::2025-01-24::1,24,0.1968135203231583
occurrence,12,AR_standardized,IZTECH::IZTECH_S004::2025-01-25::1,24,0.011428384783391365
occurrence,12,AR_standardized,IZTECH::IZTECH_S004::2025-01-26::1,15,0.0766865905322133
occurrence,12,AR_standardized,IZTECH::IZTECH_S004::2025-01-26::2,8,0.9781800351651337
occurrence,12,AR_standardized,IZTECH::IZTECH_S005::2025-01-21::1,24,0.16968943648422644
occurrence,12,AR_standardized,IZTECH::IZTECH_S005::2025-01-22::1,17,-0.3284803063780063
occurrence,12,AR_standardized,IZTECH::IZTECH_S005::2025-01-22::2,6,0.9778037432805915
occurrence,12,AR_standardized,IZTECH::IZTECH_S005::2025-01-23::1,24,0.16968943648422644
occurrence,12,AR_standardized,IZTECH::IZTECH_S005::2025-01-24::1,21,0.041953758037648205
occurrence,12,AR_standardized,IZTECH::IZTECH_S005::2025-01-25::1,24,0.322078638396402
occurrence,12,AR_standardized,IZTECH::IZTECH_S005::2025-01-26::1,21,-0.12941716953550425
occurrence,12,AR_standardized,IZTECH::IZTECH_S006::2025-02-18::1,23,0.10615671056704887
occurrence,12,AR_standardized,IZTECH::IZTECH_S006::2025-02-19::1,24,-0.1359193546333628
occurrence,12,AR_standardized,IZTECH::IZTECH_S006::2025-02-20::1,24,-0.21075931442092244
occurrence,12,AR_standardized,IZTECH::IZTECH_S006::2025-02-21::1,13,-0.25293678099646993
occurrence,12,AR_standardized,IZTECH::IZTECH_S006::2025-02-21::2,8,0.9715967586905255
occurrence,12,AR_standardized,IZTECH::IZTECH_S006::2025-02-22::1,24,0.0028698832154574134
occurrence,12,AR_standardized,IZTECH::IZTECH_S006::2025-02-23::1,23,0.930081780466851
occurrence,12,AR_standardized,IZTECH::IZTECH_S007::2025-02-25::1,9,-0.2203868947587134
occurrence,12,AR_standardized,IZTECH::IZTECH_S007::2025-02-25::2,14,0.9778043723574222
occurrence,12,AR_standardized,IZTECH::IZTECH_S007::2025-02-26::1,9,-0.22010296958773123
occurrence,12,AR_standardized,IZTECH::IZTECH_S007::2025-02-26::2,14,0.9778045140093407
occurrence,12,AR_standardized,IZTECH::IZTECH_S007::2025-02-27::1,24,0.17069014573022886
occurrence,12,AR_standardized,IZTECH::IZTECH_S007::2025-02-28::1,24,-0.1537729979527039
occurrence,12,AR_standardized,IZTECH::IZTECH_S007::2025-03-01::1,14,0.16703226358665382
occurrence,12,AR_standardized,IZTECH::IZTECH_S007::2025-03-01::2,7,0.9566337230265147
occurrence,12,AR_standardized,IZTECH::IZTECH_S007::2025-03-02::1,24,-0.14139597785833205
occurrence,12,AR_standardized,IZTECH::IZTECH_S008::2025-03-04::1,24,0.25720511368171173
occurrence,12,AR_standardized,IZTECH::IZTECH_S008::2025-03-05::1,24,-0.3762075949092423
occurrence,12,AR_standardized,IZTECH::IZTECH_S008::2025-03-06::1,24,-0.3641060473407741
occurrence,12,AR_standardized,IZTECH::IZTECH_S008::2025-03-07::1,24,-0.07759265683702651
occurrence,12,AR_standardized,IZTECH::IZTECH_S008::2025-03-09::1,24,0.1104874502624455
occurrence,12,AR_standardized,IZTECH::IZTECH_S009::2025-03-20::1,21,0.3847692282872011
occurrence,12,AR_standardized,IZTECH::IZTECH_S009::2025-03-21::1,15,-0.18798861993294494
occurrence,12,AR_standardized,IZTECH::IZTECH_S009::2025-03-21::2,7,0.9977766722205083
