deletion_type,deletion_id,full_omnibus_p,deletion_omnibus_p,omnibus_decision_changed,ratio_relative_change_percent,full_ratio_inside_deletion_interval,run_id,placement,scenario_id,working_power,category_order,category_code,light_source,short_label,distribution,expected_mel_edi_lx,expected_conf_low_lx,expected_conf_high_lx,model_ratio_to_indoor,ratio_to_indoor,ratio_conf_low,ratio_conf_high,statistic,df,p_raw,estimability_status,hours,participants,participant_days,sites,family_id,family_n,p_adjusted,full_ratio,full_conf_low,full_conf_high,full_p_adjusted
site,THUAS,6.574149673174995e-45,5.465698175722853e-39,FALSE,4.2147143518215024,TRUE,influence__Chest__site__THUAS,Chest,delete_site,1.539919,2,electric_outdoor,Electric light source outdoors,Outdoor electric,site_standardized,52.82109858929986,26.753243741773836,104.28897830523574,0.6478247935023514,0.6478247935023514,0.35116162938275897,1.1951105358920777,-1.4020612983850813,135,0.16319210585973085,ESTIMABLE,204,53,122,7,H03-I-Chest-site-context-contrasts,6,0.16319210585973085,0.6216250723629494,0.3504659293821016,1.1025828709556054,0.10326768735002957
site,THUAS,6.574149673174995e-45,5.465698175722853e-39,FALSE,4.014864651488548,TRUE,influence__Chest__site__THUAS,Chest,delete_site,1.539919,3,daylight_indoor,Daylight indoors,Indoor daylight,site_standardized,220.76192301398828,187.4192378151279,260.03641472978126,2.7075364013479644,2.7075364013479644,2.1791991842883234,3.3639666431035034,9.074275211147553,135,1.2076627165128616e-15,ESTIMABLE,4507,134,667,7,H03-I-Chest-site-context-contrasts,6,3.622988149538585e-15,2.6030283367861085,2.130029067772513,3.181062936947255,2.2269193902981017e-16
site,THUAS,6.574149673174995e-45,5.465698175722853e-39,FALSE,4.257374598101227,TRUE,influence__Chest__site__THUAS,Chest,delete_site,1.539919,4,daylight_outdoor,Daylight outdoors (including shade),Outdoor daylight,site_standardized,1260.9348642578777,982.2153546870248,1618.745547311933,15.464745904077999,15.464745904077999,11.546410824277217,20.712788546796585,18.53610887787609,135,6.409770871535388e-39,ESTIMABLE,1498,130,488,7,H03-I-Chest-site-context-contrasts,6,3.8458625229212327e-38,14.833239340327344,11.38993185325031,19.317498310110338,8.44917299602186e-44
site,THUAS,6.574149673174995e-45,5.465698175722853e-39,FALSE,-13.158010142713572,TRUE,influence__Chest__site__THUAS,Chest,delete_site,1.539919,5,display,Emissive display light,Emissive display,site_standardized,40.99596056058731,26.451723954838773,63.53721160687476,0.5027952919171771,0.5027952919171771,0.3212636703346683,0.786902251694778,-3.0358174618593865,135,0.0028792521712899,ESTIMABLE,724,85,242,7,H03-I-Chest-site-context-contrasts,6,0.00431887825693485,0.5789771661651881,0.40019526892093327,0.8376274908109929,0.005990299687040589
site,THUAS,6.574149673174995e-45,5.465698175722853e-39,FALSE,15.642774006784022,TRUE,influence__Chest__site__THUAS,Chest,delete_site,1.539919,6,sleep_darkness,Darkness during sleep,Sleep darkness,site_standardized,4.102980268711212,1.574995742919207,10.688566722238493,0.05032103489533453,0.05032103489533453,0.01919516625303247,0.13191896957586574,-6.134255672701324,135,8.879323092554916e-9,ESTIMABLE,4920,127,685,7,H03-I-Chest-site-context-contrasts,6,1.7758646185109833e-8,0.04351420599127319,0.017180138927867815,0.11021366771252016,9.484134431545094e-10
site,THUAS,6.574149673174995e-45,5.465698175722853e-39,FALSE,5.7145562575865005,TRUE,influence__Chest__site__THUAS,Chest,delete_site,1.539919,7,sleep_external_light,Light entering from outside during sleep,External light during sleep,site_standardized,31.862589457821443,13.040978526018526,77.84880597204904,0.39077898770066033,0.39077898770066033,0.17281999914113694,0.8836258418427636,-2.2775889638646905,135,0.02432273634595614,ESTIMABLE,740,58,215,6,H03-I-Chest-site-context-contrasts,6,0.029187283615147365,0.3696548531580451,0.16363561092668968,0.8350548495493074,0.02043582327225783
site,TUM,6.574149673174995e-45,1.2842586016812521e-46,FALSE,0,TRUE,influence__Chest__site__TUM,Chest,delete_site,1.539919,1,electric_indoor,Electric light source indoors,Indoor electric,site_standardized,84.44856246755263,73.99039793809955,96.38493509390786,1,1,1,1,,140,,REFERENCE,5130,139,707,7,H03-I-Chest-site-context-contrasts,,,1,1,1,
site,TUM,6.574149673174995e-45,1.2842586016812521e-46,FALSE,-17.650712873793207,TRUE,influence__Chest__site__TUM,Chest,delete_site,1.539919,2,electric_outdoor,Electric light source outdoors,Outdoor electric,site_standardized,43.22954135656201,23.54279942070849,79.37854851088336,0.511903815688656,0.511903815688656,0.27795946904322016,0.9427472192928235,-2.167930908540225,140,0.03185429177469449,ESTIMABLE,213,57,125,7,H03-I-Chest-site-context-contrasts,6,0.03185429177469449,0.6216250723629494,0.3504659293821016,1.1025828709556054,0.10326768735002957
site,TUM,6.574149673174995e-45,1.2842586016812521e-46,FALSE,3.856011107378432,TRUE,influence__Chest__site__TUM,Chest,delete_site,1.539919,3,daylight_indoor,Daylight indoors,Indoor daylight,site_standardized,228.2983618829189,194.42753852050888,268.0697520270586,2.7034013985807888,2.7034013985807888,2.2433621120992924,3.257779509795471,10.540651421503735,140,1.7395421875963782e-19,ESTIMABLE,4549,138,689,7,H03-I-Chest-site-context-contrasts,6,5.218626562789135e-19,2.6030283367861085,2.130029067772513,3.181062936947255,2.2269193902981017e-16
site,TUM,6.574149673174995e-45,1.2842586016812521e-46,FALSE,4.3375424202349855,TRUE,influence__Chest__site__TUM,Chest,delete_site,1.539919,4,daylight_outdoor,Daylight outdoors (including shade),Outdoor daylight,site_standardized,1306.9797793333896,1038.5316526078925,1644.8185659982973,15.476637389009028,15.476637389009028,11.944587503005568,20.053124882763942,20.906138678365352,140,6.770338426791415e-45,ESTIMABLE,1604,135,513,7,H03-I-Chest-site-context-contrasts,6,4.062203056074849e-44,14.833239340327344,11.38993185325031,19.317498310110338,8.44917299602186e-44
site,TUM,6.574149673174995e-45,1.2842586016812521e-46,FALSE,5.35371778494218,TRUE,influence__Chest__site__TUM,Chest,delete_site,1.539919,5,display,Emissive display light,Emissive display,site_standardized,51.511424882180904,36.24265963331336,73.21280833798411,0.609973969680928,0.609973969680928,0.42682851910074987,0.8717042724141064,-2.7373720664480174,140,0.006997359151605569,ESTIMABLE,827,93,262,7,H03-I-Chest-site-context-contrasts,6,0.008396830981926683,0.5789771661651881,0.40019526892093327,0.8376274908109929,0.005990299687040589
site,TUM,6.574149673174995e-45,1.2842586016812521e-46,FALSE,-10.693840508375697,TRUE,influence__Chest__site__TUM,Chest,delete_site,1.539919,6,sleep_darkness,Darkness during sleep,Sleep darkness,site_standardized,3.281744287178486,1.105589229997646,9.741272141780508,0.03886086620408037,0.03886086620408037,0.013168665211948058,0.11467881503747598,-5.933581573214812,140,2.2153060512674678e-8,ESTIMABLE,5169,133,719,7,H03-I-Chest-site-context-contrasts,6,3.3229590769012017e-8,0.04351420599127319,0.017180138927867815,0.11021366771252016,9.484134431545094e-10
site,TUM,6.574149673174995e-45,1.2842586016812521e-46,FALSE,-71.35625673825677,FALSE,influence__Chest__site__TUM,Chest,delete_site,1.539919,7,sleep_external_light,Light entering from outside during sleep,External light during sleep,site_standardized,8.941666049788159,4.951436707827145,16.147513633678336,0.10588298709316436,0.10588298709316436,0.05767672730354348,0.19438008153216474,-7.3077487560940835,140,1.8896181622723634e-11,ESTIMABLE,630,57,205,6,H03-I-Chest-site-context-contrasts,6,3.779236324544727e-11,0.3696548531580451,0.16363561092668968,0.8350548495493074,0.02043582327225783
site,UCR,6.574149673174995e-45,2.4560024096162027e-32,FALSE,0,TRUE,influence__Chest__site__UCR,Chest,delete_site,1.539919,1,electric_indoor,Electric light source indoors,Indoor electric,site_standardized,96.06388787141888,79.69805249388591,115.79041474922481,1,1,1,1,,112,,REFERENCE,3974,111,558,7,H03-I-Chest-site-context-contrasts,,,1,1,1,
site,UCR,6.574149673174995e-45,2.4560024096162027e-32,FALSE,,,influence__Chest__site__UCR,Chest,delete_site,1.539919,2,electric_outdoor,Electric light source outdoors,Outdoor electric,site_standardized,69.31649845283694,35.52482461456298,135.25125063650515,0.7215666572397816,,,,,112,,SUPPORT_NON_ESTIMABLE,167,43,96,7,H03-I-Chest-site-context-contrasts,,,0.6216250723629494,0.3504659293821016,1.1025828709556054,0.10326768735002957
site,UCR,6.574149673174995e-45,2.4560024096162027e-32,FALSE,-17.43297653942929,TRUE,influence__Chest__site__UCR,Chest,delete_site,1.539919,3,daylight_indoor,Daylight indoors,Indoor daylight,site_standardized,206.4646402434222,171.14876154246318,249.06781262492248,2.1492430175194897,2.1492430175194897,1.6884473323886144,2.7357948688997724,6.28238261892129,112,6.55187526393059e-9,ESTIMABLE,3598,111,541,7,H03-I-Chest-site-context-contrasts,5,1.6379688159826473e-8,2.6030283367861085,2.130029067772513,3.181062936947255,2.2269193902981017e-16
