placement,predictor,metric_order,metric_id,manuscript_name,abbreviation,sites_checked,registered_site_rows,failed_or_nonconverged,sign_reversals,adjusted_support_changes,max_change_in_full_standard_errors,influential_omitted_site,site_influence_assessment
glasses,age,4,m10_mean_medi,Brightest 10 h mean,M10mean,9,9,0,0,2,0.7404398098030278,BAUA,acceptable with specified limitations
glasses,age,5,l10_mean_medi,Darkest 10 h mean,L10mean,9,9,0,0,1,1.4531640311391,FUSPCEU,acceptable with specified limitations
glasses,age,6,duration_above_1000,"Time above 1,000 lx melEDI",TAT1000,9,9,0,0,1,0.7622954809544003,RISE,acceptable with specified limitations
glasses,age,7,duration_above_250_wake,Time above 250 lx melEDI during wake,TAT250,9,9,0,0,0,0.42517033477315597,RISE,acceptable
glasses,age,8,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,TBT10,9,9,0,1,0,1.0770596789944935,FUSPCEU,acceptable with specified limitations
glasses,age,9,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,TBT1,9,9,0,0,0,1.271533703956768,FUSPCEU,acceptable with specified limitations
glasses,age,10,longest_bout_above_250,Longest continuous period above 250 lx melEDI,PAT250,9,9,0,0,2,0.662469402470056,RISE,acceptable with specified limitations
glasses,age,11,m10_midpoint,Midpoint of the brightest 10 hours,M10,9,9,0,1,0,1.7185382725685627,FUSPCEU,acceptable with specified limitations
glasses,age,12,l10_midpoint,Midpoint of the darkest 10 hours,L10,9,9,0,1,0,0.7074558122071428,FUSPCEU,acceptable with specified limitations
glasses,age,13,mean_timing_above_250,Mean timing of exposure above 250 lx melEDI,MLIT250,9,9,0,1,0,0.9565117601388922,FUSPCEU,acceptable with specified limitations
glasses,age,14,first_timing_above_250,First light timing above 250 lx melEDI,FLIT250,9,9,0,1,0,0.9157317411483444,FUSPCEU,acceptable with specified limitations
glasses,age,15,last_timing_above_250,Last light timing above 250 lx melEDI,LLIT250,9,9,0,3,0,0.9185877664607579,RISE,acceptable with specified limitations
glasses,age,16,dose_time_sensitive_corrected_medi,melEDI dose,Dose,9,9,0,0,2,0.6949489153889331,RISE,acceptable with specified limitations
glasses,age,17,mder_mean_of_viable_ratios,Melanopic daylight efficacy ratio,MDER,9,9,0,0,1,1.28670719399629,BAUA,acceptable with specified limitations
glasses,biological_sex,1,interdaily_stability,Interdaily stability,IS,9,9,0,0,0,0.4253047589821422,BAUA,acceptable
glasses,biological_sex,2,intradaily_variability,Intradaily variability,IV,9,9,0,6,0,0.7104295886993055,FUSPCEU,acceptable with specified limitations
glasses,biological_sex,3,daily_geometric_mean_medi,Mean melEDI,Mean,9,9,0,0,0,0.19378923372932744,IZTECH,acceptable
glasses,biological_sex,4,m10_mean_medi,Brightest 10 h mean,M10mean,9,9,0,0,0,0.43746316278210096,KNUST,acceptable
glasses,biological_sex,5,l10_mean_medi,Darkest 10 h mean,L10mean,9,9,0,0,0,0.6496264324567746,BAUA,acceptable
glasses,biological_sex,6,duration_above_1000,"Time above 1,000 lx melEDI",TAT1000,9,9,0,0,0,0.6940841814158987,BAUA,acceptable
glasses,biological_sex,7,duration_above_250_wake,Time above 250 lx melEDI during wake,TAT250,9,9,0,0,0,0.6829348403859946,FUSPCEU,acceptable
glasses,biological_sex,8,duration_below_10_pre_sleep,Time below 10 lx melEDI before sleep,TBT10,9,9,0,1,0,0.6025611055968338,TUM,acceptable with specified limitations
glasses,biological_sex,9,duration_below_1_sleep_environment,Time below 1 lx melEDI during sleep,TBT1,9,9,0,0,0,0.8765492476384045,KNUST,acceptable
glasses,biological_sex,10,longest_bout_above_250,Longest continuous period above 250 lx melEDI,PAT250,9,9,0,0,0,0.5666330060535859,THUAS,acceptable
glasses,biological_sex,11,m10_midpoint,Midpoint of the brightest 10 hours,M10,9,9,0,3,0,0.47286967784624484,IZTECH,acceptable with specified limitations
glasses,biological_sex,12,l10_midpoint,Midpoint of the darkest 10 hours,L10,9,9,0,0,0,0.5256188155977348,MPI,acceptable
glasses,biological_sex,13,mean_timing_above_250,Mean timing of exposure above 250 lx melEDI,MLIT250,9,9,0,0,0,0.6927733839406727,FUSPCEU,acceptable
glasses,biological_sex,14,first_timing_above_250,First light timing above 250 lx melEDI,FLIT250,9,9,0,0,0,0.5944547002507852,MPI,acceptable
glasses,biological_sex,15,last_timing_above_250,Last light timing above 250 lx melEDI,LLIT250,9,9,0,0,0,0.4259355244264692,IZTECH,acceptable
glasses,biological_sex,16,dose_time_sensitive_corrected_medi,melEDI dose,Dose,9,9,0,0,0,0.57863904416448,BAUA,acceptable
glasses,biological_sex,17,mder_mean_of_viable_ratios,Melanopic daylight efficacy ratio,MDER,9,9,0,0,0,0.6122511730832748,RISE,acceptable
