run_id,data_scenario_id,placement,sample_scenario,analytical_role,metric_order,metric_id,analysis_unit,response_family,response_transform,inference_status,pilot_contract_sha256,approximation,measure,estimate,conf_low,conf_high,bootstrap_successful_used,interval_method,status
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,PILOT — NOT FOR INFERENCE OR MANUSCRIPT REPORTING,04e14e6b1303841eb9705784da9c81e9ef096cba77cdb80decb140c7905ecaa1,lognormal,participant_associated_share,0.37632543330028234,0.258339543013408,0.40717590459108083,50,joint_parametric_percentile,PASS
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,PILOT — NOT FOR INFERENCE OR MANUSCRIPT REPORTING,04e14e6b1303841eb9705784da9c81e9ef096cba77cdb80decb140c7905ecaa1,lognormal,site_part_r2,0.11156991471705947,0.06828688779680524,0.20932106813898554,50,joint_parametric_percentile,PASS
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,PILOT — NOT FOR INFERENCE OR MANUSCRIPT REPORTING,04e14e6b1303841eb9705784da9c81e9ef096cba77cdb80decb140c7905ecaa1,lognormal,photoperiod_part_r2,0.03290745593211704,0.005507808981427893,0.0829201415862257,50,joint_parametric_percentile,PASS
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,PILOT — NOT FOR INFERENCE OR MANUSCRIPT REPORTING,04e14e6b1303841eb9705784da9c81e9ef096cba77cdb80decb140c7905ecaa1,lognormal,latitude_model_marginal_r2,0.05985295244088683,0.014760964410110839,0.12675909400919785,50,joint_parametric_percentile,PASS
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,PILOT — NOT FOR INFERENCE OR MANUSCRIPT REPORTING,04e14e6b1303841eb9705784da9c81e9ef096cba77cdb80decb140c7905ecaa1,lognormal,latitude_part_r2,0.0185652767340488,6.149468782820925e-4,0.05195262690888538,50,joint_parametric_percentile,PASS
main__chest__paired_common_sample,main,chest,paired_common_sample,paired_placement_comparison,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,PILOT — NOT FOR INFERENCE OR MANUSCRIPT REPORTING,04e14e6b1303841eb9705784da9c81e9ef096cba77cdb80decb140c7905ecaa1,lognormal,unrepresented_share,0.4717463668785796,0.39995997877009976,0.535622292655548,50,joint_parametric_percentile,PASS
main__glasses__all_available,main,glasses,all_available,primary,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,PILOT — NOT FOR INFERENCE OR MANUSCRIPT REPORTING,04e14e6b1303841eb9705784da9c81e9ef096cba77cdb80decb140c7905ecaa1,lognormal,marginal_r2,0.21983507863013232,0.15380708091626352,0.3170672341035507,50,joint_parametric_percentile,PASS
main__glasses__all_available,main,glasses,all_available,primary,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,PILOT — NOT FOR INFERENCE OR MANUSCRIPT REPORTING,04e14e6b1303841eb9705784da9c81e9ef096cba77cdb80decb140c7905ecaa1,lognormal,conditional_r2,0.6106980375650409,0.5421710002917612,0.6729657094624446,50,joint_parametric_percentile,PASS
main__glasses__all_available,main,glasses,all_available,primary,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,PILOT — NOT FOR INFERENCE OR MANUSCRIPT REPORTING,04e14e6b1303841eb9705784da9c81e9ef096cba77cdb80decb140c7905ecaa1,lognormal,participant_associated_share,0.39086295893490863,0.2978345954065748,0.46294010013466047,50,joint_parametric_percentile,PASS
main__glasses__all_available,main,glasses,all_available,primary,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,PILOT — NOT FOR INFERENCE OR MANUSCRIPT REPORTING,04e14e6b1303841eb9705784da9c81e9ef096cba77cdb80decb140c7905ecaa1,lognormal,site_part_r2,0.13736790889475642,0.0853640717532615,0.22784786301629978,50,joint_parametric_percentile,PASS
main__glasses__all_available,main,glasses,all_available,primary,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,PILOT — NOT FOR INFERENCE OR MANUSCRIPT REPORTING,04e14e6b1303841eb9705784da9c81e9ef096cba77cdb80decb140c7905ecaa1,lognormal,photoperiod_part_r2,0.03432503019031088,0.01344361587277019,0.08095818135613113,50,joint_parametric_percentile,PASS
main__glasses__all_available,main,glasses,all_available,primary,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,PILOT — NOT FOR INFERENCE OR MANUSCRIPT REPORTING,04e14e6b1303841eb9705784da9c81e9ef096cba77cdb80decb140c7905ecaa1,lognormal,latitude_model_marginal_r2,0.08854526781479587,0.042171225421018074,0.135925713408603,50,joint_parametric_percentile,PASS
main__glasses__all_available,main,glasses,all_available,primary,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,PILOT — NOT FOR INFERENCE OR MANUSCRIPT REPORTING,04e14e6b1303841eb9705784da9c81e9ef096cba77cdb80decb140c7905ecaa1,lognormal,latitude_part_r2,0.00467562314423409,-3.448085471132998e-7,0.030881993679637107,50,joint_parametric_percentile,PASS
main__glasses__all_available,main,glasses,all_available,primary,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,PILOT — NOT FOR INFERENCE OR MANUSCRIPT REPORTING,04e14e6b1303841eb9705784da9c81e9ef096cba77cdb80decb140c7905ecaa1,lognormal,unrepresented_share,0.389301962434959,0.3270342905375554,0.45782899970823876,50,joint_parametric_percentile,PASS
main__glasses__paired_common_sample,main,glasses,paired_common_sample,paired_placement_comparison,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,PILOT — NOT FOR INFERENCE OR MANUSCRIPT REPORTING,04e14e6b1303841eb9705784da9c81e9ef096cba77cdb80decb140c7905ecaa1,lognormal,marginal_r2,0.24242143907889568,0.19851049300742768,0.32216788443234584,50,joint_parametric_percentile,PASS
main__glasses__paired_common_sample,main,glasses,paired_common_sample,paired_placement_comparison,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,PILOT — NOT FOR INFERENCE OR MANUSCRIPT REPORTING,04e14e6b1303841eb9705784da9c81e9ef096cba77cdb80decb140c7905ecaa1,lognormal,conditional_r2,0.6268567913276547,0.5457504978989297,0.7021522675505045,50,joint_parametric_percentile,PASS
main__glasses__paired_common_sample,main,glasses,paired_common_sample,paired_placement_comparison,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,PILOT — NOT FOR INFERENCE OR MANUSCRIPT REPORTING,04e14e6b1303841eb9705784da9c81e9ef096cba77cdb80decb140c7905ecaa1,lognormal,participant_associated_share,0.384435352248759,0.2974129585767221,0.45286914238184994,50,joint_parametric_percentile,PASS
main__glasses__paired_common_sample,main,glasses,paired_common_sample,paired_placement_comparison,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,PILOT — NOT FOR INFERENCE OR MANUSCRIPT REPORTING,04e14e6b1303841eb9705784da9c81e9ef096cba77cdb80decb140c7905ecaa1,lognormal,site_part_r2,0.1188782870492511,0.0883922885604753,0.23929301695884325,50,joint_parametric_percentile,PASS
main__glasses__paired_common_sample,main,glasses,paired_common_sample,paired_placement_comparison,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,PILOT — NOT FOR INFERENCE OR MANUSCRIPT REPORTING,04e14e6b1303841eb9705784da9c81e9ef096cba77cdb80decb140c7905ecaa1,lognormal,photoperiod_part_r2,0.04109985329461393,0.009954871551799797,0.09738046543486448,50,joint_parametric_percentile,PASS
main__glasses__paired_common_sample,main,glasses,paired_common_sample,paired_placement_comparison,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,PILOT — NOT FOR INFERENCE OR MANUSCRIPT REPORTING,04e14e6b1303841eb9705784da9c81e9ef096cba77cdb80decb140c7905ecaa1,lognormal,latitude_model_marginal_r2,0.1256931823814236,0.05469906994101785,0.20826979692378672,50,joint_parametric_percentile,PASS
main__glasses__paired_common_sample,main,glasses,paired_common_sample,paired_placement_comparison,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,PILOT — NOT FOR INFERENCE OR MANUSCRIPT REPORTING,04e14e6b1303841eb9705784da9c81e9ef096cba77cdb80decb140c7905ecaa1,lognormal,latitude_part_r2,1.1208539536685032e-4,2.5849779226199197e-6,0.010050174469295306,50,joint_parametric_percentile,PASS
main__glasses__paired_common_sample,main,glasses,paired_common_sample,paired_placement_comparison,5,l10_mean_medi,participant_day,gaussian,log10_offset_0.1,PILOT — NOT FOR INFERENCE OR MANUSCRIPT REPORTING,04e14e6b1303841eb9705784da9c81e9ef096cba77cdb80decb140c7905ecaa1,lognormal,unrepresented_share,0.3731432086723453,0.2978477324494955,0.45424950210107023,50,joint_parametric_percentile,PASS
