"parameter","estimate","standard_error","model_id","sample_id","component","term"
"beta_mu",-0.0576893434043823,,"CS-ANY-F3DATE-R3","primary_any_valid","mean","target_state1:wake_between_centered_10pp"
"beta_mu",-0.0748523905452448,,"CS-ANY-F3DATE-R3","primary_any_valid","mean","target_state1:wake_free_fraction_centered_10pp"
"beta_mu",-0.0178407733324428,,"CS-ANY-F3DATE-R3","primary_any_valid","mean","target_state1:participant_centered_date"
"beta_mu",0.209904087474492,,"CS-ANY-F3DATE-R3","primary_any_valid","mean","target_state1:site1:day_type1"
"beta_mu",0.122260449869512,,"CS-ANY-F3DATE-R3","primary_any_valid","mean","target_state1:site2:day_type1"
"beta_mu",-0.125996948541132,,"CS-ANY-F3DATE-R3","primary_any_valid","mean","target_state1:site3:day_type1"
"beta_mu",-0.0230465830413292,,"CS-ANY-F3DATE-R3","primary_any_valid","mean","target_state1:site4:day_type1"
"beta_mu",-0.265200370113636,,"CS-ANY-F3DATE-R3","primary_any_valid","mean","target_state1:site5:day_type1"
"beta_mu",0.107209538630223,,"CS-ANY-F3DATE-R3","primary_any_valid","mean","target_state1:site6:day_type1"
"beta_mu",0.0277992325965227,,"CS-ANY-F3DATE-R3","primary_any_valid","mean","target_state1:site7:day_type1"
"beta_mu",0.0551973145898601,,"CS-ANY-F3DATE-R3","primary_any_valid","mean","target_state1:site8:day_type1"
"beta_zero",-4.51453332020729,,"CS-ANY-F3DATE-R3","primary_any_valid","extra_all_zero","(Intercept)"
"beta_zero",-0.0143450974053232,,"CS-ANY-F3DATE-R3","primary_any_valid","extra_all_zero","target_state1"
"beta_zero",-0.0928884962747569,,"CS-ANY-F3DATE-R3","primary_any_valid","extra_all_zero","day_type1"
"beta_one",-2.30197665977116,,"CS-ANY-F3DATE-R3","primary_any_valid","extra_all_one","(Intercept)"
"beta_one",0.366962231030499,,"CS-ANY-F3DATE-R3","primary_any_valid","extra_all_one","target_state1"
"beta_one",-0.344449291375682,,"CS-ANY-F3DATE-R3","primary_any_valid","extra_all_one","day_type1"
"beta_one",0.124288229118795,,"CS-ANY-F3DATE-R3","primary_any_valid","extra_all_one","target_state1:day_type1"
"beta_disp",1.21668959226333,,"CS-ANY-F3DATE-R3","primary_any_valid","dispersion","(Intercept)"
"beta_disp",0.351642964144205,,"CS-ANY-F3DATE-R3","primary_any_valid","dispersion","target_state1"
"log_sd_mu_part",-0.285829744432828,,"CS-ANY-F3DATE-R3","primary_any_valid","random_standard_deviation","log_sd_participant"
