"parameter","estimate","standard_error","model_id","sample_id","component","term"
"beta_mu",0.679073626570743,0.132882903966582,"CS-ANY-F3-R3-COMPLETE","primary_any_valid","mean","target_state1:site6"
"beta_mu",-0.421076347066665,0.0995858667410213,"CS-ANY-F3-R3-COMPLETE","primary_any_valid","mean","target_state1:site7"
"beta_mu",-0.37035404512891,0.209359902227025,"CS-ANY-F3-R3-COMPLETE","primary_any_valid","mean","target_state1:site8"
"beta_mu",0.204711365108565,0.0574566469023298,"CS-ANY-F3-R3-COMPLETE","primary_any_valid","mean","target_state1:day_type1"
"beta_mu",0.155564987842603,0.144666854904302,"CS-ANY-F3-R3-COMPLETE","primary_any_valid","mean","site1:day_type1"
"beta_mu",-0.181875126919611,0.14056443114824,"CS-ANY-F3-R3-COMPLETE","primary_any_valid","mean","site2:day_type1"
"beta_mu",0.0967841405184757,0.116757597790884,"CS-ANY-F3-R3-COMPLETE","primary_any_valid","mean","site3:day_type1"
"beta_mu",-0.0254177826823454,0.0946858687685155,"CS-ANY-F3-R3-COMPLETE","primary_any_valid","mean","site4:day_type1"
"beta_mu",-0.0226484952766321,0.132894286575492,"CS-ANY-F3-R3-COMPLETE","primary_any_valid","mean","site5:day_type1"
"beta_mu",0.0835599959968554,0.139363075210848,"CS-ANY-F3-R3-COMPLETE","primary_any_valid","mean","site6:day_type1"
"beta_mu",-0.0141061214944284,0.110956796253498,"CS-ANY-F3-R3-COMPLETE","primary_any_valid","mean","site7:day_type1"
"beta_mu",-0.0670930796320935,0.226957599651812,"CS-ANY-F3-R3-COMPLETE","primary_any_valid","mean","site8:day_type1"
"beta_mu",-0.00713828325892844,0.0315220789765535,"CS-ANY-F3-R3-COMPLETE","primary_any_valid","mean","target_state1:wake_within_10pp"
"beta_mu",-0.0494943570865845,0.0268799448603237,"CS-ANY-F3-R3-COMPLETE","primary_any_valid","mean","target_state1:wake_between_centered_10pp"
"beta_mu",-0.0758820812256254,0.0255865448856751,"CS-ANY-F3-R3-COMPLETE","primary_any_valid","mean","target_state1:wake_free_fraction_centered_10pp"
"beta_mu",-0.0145408765594511,0.152077209202063,"CS-ANY-F3-R3-COMPLETE","primary_any_valid","mean","target_state1:site1:day_type1"
"beta_mu",0.104098227100947,0.13913324197952,"CS-ANY-F3-R3-COMPLETE","primary_any_valid","mean","target_state1:site2:day_type1"
"beta_mu",-0.134587204786203,0.110161863890238,"CS-ANY-F3-R3-COMPLETE","primary_any_valid","mean","target_state1:site3:day_type1"
"beta_mu",-0.0020950994743975,0.0878600571742224,"CS-ANY-F3-R3-COMPLETE","primary_any_valid","mean","target_state1:site4:day_type1"
"beta_mu",-0.288015167624568,0.121233073830227,"CS-ANY-F3-R3-COMPLETE","primary_any_valid","mean","target_state1:site5:day_type1"
"beta_mu",0.13250706383368,0.133811803484645,"CS-ANY-F3-R3-COMPLETE","primary_any_valid","mean","target_state1:site6:day_type1"
"beta_mu",0.0544075504958828,0.104228907104441,"CS-ANY-F3-R3-COMPLETE","primary_any_valid","mean","target_state1:site7:day_type1"
"beta_mu",0.147264441202508,0.205603322813097,"CS-ANY-F3-R3-COMPLETE","primary_any_valid","mean","target_state1:site8:day_type1"
"beta_zero",-12.5326342639371,834.624098602902,"CS-ANY-F3-R3-COMPLETE","primary_any_valid","extra_all_zero","(Intercept)"
"beta_zero",0.050618234510465,0.533528395771386,"CS-ANY-F3-R3-COMPLETE","primary_any_valid","extra_all_zero","target_state1"
"beta_zero",7.65067771429447,834.624047809743,"CS-ANY-F3-R3-COMPLETE","primary_any_valid","extra_all_zero","day_type1"
"beta_one",-2.37615631933974,0.183005228259999,"CS-ANY-F3-R3-COMPLETE","primary_any_valid","extra_all_one","(Intercept)"
"beta_one",0.437217305728952,0.171433003966171,"CS-ANY-F3-R3-COMPLETE","primary_any_valid","extra_all_one","target_state1"
"beta_one",-0.398814656171996,0.165522612707105,"CS-ANY-F3-R3-COMPLETE","primary_any_valid","extra_all_one","day_type1"
"beta_one",0.123218409739429,0.162719713320233,"CS-ANY-F3-R3-COMPLETE","primary_any_valid","extra_all_one","target_state1:day_type1"
"beta_disp",1.22241826691483,0.0585214982047448,"CS-ANY-F3-R3-COMPLETE","primary_any_valid","dispersion","(Intercept)"
"beta_disp",0.28815878079879,0.0649096963948573,"CS-ANY-F3-R3-COMPLETE","primary_any_valid","dispersion","target_state1"
"log_sd_mu_part",-0.245259538964293,0.094153537868482,"CS-ANY-F3-R3-COMPLETE","primary_any_valid","random_standard_deviation","log_sd_participant"
