"index","source","rendered","same"
60,"17 roster(g:14; c:17; p:14)","17 roster (g:14; c:17; p:14)",FALSE
61,"20 roster(g:13; c:15; p:13)","20 roster (g:13; c:15; p:13)",FALSE
62,"24 roster(g:19; c:22; p:19)","24 roster (g:19; c:22; p:19)",FALSE
63,"26 roster(g:26; c:0; p:0)","26 roster (g:26; c:0; p:0)",FALSE
64,"10 roster(g:10; c:10; p:10)","10 roster (g:10; c:10; p:10)",FALSE
65,"23 roster(g:23; c:22; p:22)","23 roster (g:23; c:22; p:22)",FALSE
66,"17 roster(g:17; c:17; p:17)","17 roster (g:17; c:17; p:17)",FALSE
67,"39 roster(g:6; c:39; p:6)","39 roster (g:6; c:39; p:6)",FALSE
68,"15 roster(g:15; c:15; p:15)","15 roster (g:15; c:15; p:15)",FALSE
69,"Participant-days1","Participant-days1",TRUE
70,"1478 roster(g:1134c:1246; p:902)","1478 roster (g:1134 c:1246; p:902)",FALSE
71,"137 roster(g:107c:137; p:107)","137 roster (g:107 c:137; p:107)",FALSE
72,"125 roster(g:107c:124; p:106)","125 roster (g:107 c:124; p:106)",FALSE
73,"176 roster(g:145c:163; p:132)","176 roster (g:145 c:163; p:132)",FALSE
74,"208 roster(g:208c:0; p:0)","208 roster (g:208 c:0; p:0)",FALSE
75,"80 roster(g:80c:80; p:80)","80 roster (g:80 c:80; p:80)",FALSE
76,"182 roster(g:182c:174; p:174)","182 roster (g:182 c:174; p:174)",FALSE
77,"138 roster(g:138c:138; p:138)","138 roster (g:138 c:138; p:138)",FALSE
78,"312 roster(g:48c:312; p:48)","312 roster (g:48 c:312; p:48)",FALSE
79,"120 roster(g:119c:118; p:117)","120 roster (g:119 c:118; p:117)",FALSE
80,"Participant time2","Participant time2",TRUE
81,"116w 4d","116w 4d",TRUE
82,"11w 23h","11w 23h",TRUE
83,"11w 23h","11w 23h",TRUE
84,"15w 2d","15w 2d",TRUE
85,"21w 3d","21w 3d",TRUE
86,"8w 4d","8w 4d",TRUE
87,"18w 3d","18w 3d",TRUE
88,"14w 3d","14w 3d",TRUE
89,"4w 4d","4w 4d",TRUE
90,"11w 4d","11w 4d",TRUE
91,"Declared non-wear2","Declared non-wear2",TRUE
92,"g:4w 1d (3.66%)","g:4w 1d (3.66%)",TRUE
93,"g:2d 14h (3.34%)","g:2d 14h (3.34%)",TRUE
94,"g:3d 1h (3.92%)","g:3d 1h (3.92%)",TRUE
95,"g:3d 15h (3.42%)","g:3d 15h (3.42%)",TRUE
96,"g:6d 10h (4.30%)","g:6d 10h (4.30%)",TRUE
97,"g:2d 17h (4.55%)","g:2d 17h (4.55%)",TRUE
98,"g:2d 20h (2.20%)","g:2d 20h (2.20%)",TRUE
99,"g:3d 3h (3.13%)","g:3d 3h (3.13%)",TRUE
100,"g:1d 11h (4.66%)","g:1d 11h (4.66%)",TRUE
101,"g:3d 21h (4.80%)","g:3d 21h (4.80%)",TRUE
102,"Screened days1,3","Screened days1,3",TRUE
103,"g:816c:902","g:816 c:902",FALSE
104,"g:78c:96","g:78 c:96",FALSE
105,"g:78c:93","g:78 c:93",FALSE
106,"g:107c:114","g:107 c:114",FALSE
107,"g:150c:0","g:150 c:0",FALSE
108,"g:60c:60","g:60 c:60",FALSE
109,"g:129c:123","g:129 c:123",FALSE
110,"g:101c:102","g:101 c:102",FALSE
111,"g:32c:230","g:32 c:230",FALSE
112,"g:81c:84","g:81 c:84",FALSE
113,"Civil photoperiod4,2","Civil photoperiod4,2",TRUE
114,"13.25 h (10.62–18.20)(n=1478 d)","13.25 h (10.62–18.20)(n=1478 d)",TRUE
115,"14.81 h (11.80–20.49)(n=137 d)","14.81 h (11.80–20.49)(n=137 d)",TRUE
116,"14.00 h (11.88–18.09)(n=125 d)","14.00 h (11.88–18.09)(n=125 d)",TRUE
117,"17.88 h (11.76–18.22)(n=176 d)","17.88 h (11.76–18.22)(n=176 d)",TRUE
118,"12.07 h (10.55–15.41)(n=208 d)","12.07 h (10.55–15.41)(n=208 d)",TRUE
119,"17.20 h (16.45–17.45)(n=80 d)","17.20 h (16.45–17.45)(n=80 d)",TRUE
120,"11.01 h (10.35–12.22)(n=182 d)","11.01 h (10.35–12.22)(n=182 d)",TRUE
121,"13.13 h (10.52–15.57)(n=138 d)","13.13 h (10.52–15.57)(n=138 d)",TRUE
122,"13.34 h (13.01–13.47)(n=312 d)","13.34 h (13.01–13.47)(n=312 d)",TRUE
123,"12.54 h (12.49–12.68)(n=120 d)","12.54 h (12.49–12.68)(n=120 d)",TRUE
124,"Participant information","Participant information",TRUE
125,"Age4","Age4",TRUE
126,"28 y (21 y–52 y)(n=191 N)","28 y (21 y–52 y)(n=191 N)",TRUE
127,"38 y (22.6 y–64.8 y)(n=17 N)","38 y (22.6 y–64.8 y)(n=17 N)",TRUE
128,"30.5 y (19.9 y–57.1 y)(n=20 N)","30.5 y (19.9 y–57.1 y)(n=20 N)",TRUE
129,"35.5 y (20.1 y–58.5 y)(n=24 N)","35.5 y (20.1 y–58.5 y)(n=24 N)",TRUE
130,"27 y (22 y–37 y)(n=26 N)","27 y (22 y–37 y)(n=26 N)",TRUE
131,"27.5 y (22.2 y–29 y)(n=10 N)","27.5 y (22.2 y–29 y)(n=10 N)",TRUE
132,"31 y (20.2 y–54.3 y)(n=23 N)","31 y (20.2 y–54.3 y)(n=23 N)",TRUE
133,"24 y (21 y–29.6 y)(n=17 N)","24 y (21 y–29.6 y)(n=17 N)",TRUE
134,"34 y (22 y–48.1 y)(n=39 N)","34 y (22 y–48.1 y)(n=39 N)",TRUE
135,"23 y (20.1 y–25 y)(n=15 N)","23 y (20.1 y–25 y)(n=15 N)",TRUE
136,"Sex5","Sex5",TRUE
137,"F:105 / M:86(n=191)","F:105 / M:86(n=191)",TRUE
138,"F:6 / M:11(n=17)","F:6 / M:11(n=17)",TRUE
139,"F:8 / M:12(n=20)","F:8 / M:12(n=20)",TRUE
140,"F:13 / M:11(n=24)","F:13 / M:11(n=24)",TRUE
141,"F:14 / M:12(n=26)","F:14 / M:12(n=26)",TRUE
142,"F:6 / M:4(n=10)","F:6 / M:4(n=10)",TRUE
143,"F:15 / M:8(n=23)","F:15 / M:8(n=23)",TRUE
144,"F:11 / M:6(n=17)","F:11 / M:6(n=17)",TRUE
145,"F:24 / M:15(n=39)","F:24 / M:15(n=39)",TRUE
146,"F:8 / M:7(n=15)","F:8 / M:7(n=15)",TRUE
147,"Employment status6","Employment status6",TRUE
148,"F:163 / P:26 / N:2(n=191)","F:163 / P:26 / N:2(n=191)",TRUE
149,"F:16 / P:0 / N:1(n=17)","F:16 / P:0 / N:1(n=17)",TRUE
150,"F:11 / P:9 / N:0(n=20)","F:11 / P:9 / N:0(n=20)",TRUE
151,"F:21 / P:3 / N:0(n=24)","F:21 / P:3 / N:0(n=24)",TRUE
152,"F:23 / P:3 / N:0(n=26)","F:23 / P:3 / N:0(n=26)",TRUE
153,"F:9 / P:1 / N:0(n=10)","F:9 / P:1 / N:0(n=10)",TRUE
154,"F:21 / P:2 / N:0(n=23)","F:21 / P:2 / N:0(n=23)",TRUE
155,"F:15 / P:2 / N:0(n=17)","F:15 / P:2 / N:0(n=17)",TRUE
156,"F:34 / P:5 / N:0(n=39)","F:34 / P:5 / N:0(n=39)",TRUE
157,"F:13 / P:1 / N:1(n=15)","F:13 / P:1 / N:1(n=15)",TRUE
158,"Chronotype group7","Chronotype group7",TRUE
159,"m:62 / i:94 / e:30(n=186)","m:62 / i:94 / e:30(n=186)",TRUE
160,"m:8 / i:4 / e:5(n=17)","m:8 / i:4 / e:5(n=17)",TRUE
161,"m:3 / i:9 / e:3(n=15)","m:3 / i:9 / e:3(n=15)",TRUE
162,"m:8 / i:13 / e:3(n=24)","m:8 / i:13 / e:3(n=24)",TRUE
163,"m:9 / i:9 / e:8(n=26)","m:9 / i:9 / e:8(n=26)",TRUE
164,"m:0 / i:8 / e:2(n=10)","m:0 / i:8 / e:2(n=10)",TRUE
165,"m:5 / i:17 / e:1(n=23)","m:5 / i:17 / e:1(n=23)",TRUE
166,"m:2 / i:10 / e:5(n=17)","m:2 / i:10 / e:5(n=17)",TRUE
167,"m:16 / i:20 / e:3(n=39)","m:16 / i:20 / e:3(n=39)",TRUE
168,"m:11 / i:4 / e:0(n=15)","m:11 / i:4 / e:0(n=15)",TRUE
169,"Sleep-corrected midsleep on free days4,8","Sleep-corrected midsleep on free days4,8",TRUE
170,"04:03 (02:08–06:15)(n=185 N)","04:03 (02:08–06:15)(n=185 N)",TRUE
171,"02:55 (02:04–05:09)(n=17 N)","02:55 (02:04–05:09)(n=17 N)",TRUE
172,"04:31 (03:05–05:37)(n=15 N)","04:31 (03:05–05:37)(n=15 N)",TRUE
173,"03:47 (02:17–04:49)(n=24 N)","03:47 (02:17–04:49)(n=24 N)",TRUE
174,"04:33 (02:41–06:04)(n=26 N)","04:33 (02:41–06:04)(n=26 N)",TRUE
175,"05:08 (04:12–06:04)(n=10 N)","05:08 (04:12–06:04)(n=10 N)",TRUE
176,"04:48 (03:10–06:52)(n=22 N)","04:48 (03:10–06:52)(n=22 N)",TRUE
177,"05:29 (03:35–06:49)(n=17 N)","05:29 (03:35–06:49)(n=17 N)",TRUE
178,"03:42 (02:17–05:31)(n=39 N)","03:42 (02:17–05:31)(n=39 N)",TRUE
179,"02:19 (01:22–03:25)(n=15 N)","02:19 (01:22–03:25)(n=15 N)",TRUE
180,"1 Near eye is the primary placement; chest is complementary; paired means the same participant-day is available at both placements.","1 Near eye is the primary placement; chest is complementary; paired means the same participant-day is available at both placements.",TRUE
181,"2 w: weeks; d: days; h: hours; min: minutes. Participant time and declared non-wear use eligible real minutes on screened days; both are shown for near eye only.","2 w: weeks; d: days; h: hours; min: minutes. Participant time and declared non-wear use eligible real minutes on screened days; both are shown for near eye only.",TRUE
182,"3 Screened days are the final participant-days after the 80% completeness screen and exclusion of exact-all-zero melEDI days.","3 Screened days are the final participant-days after the 80% completeness screen and exclusion of exact-all-zero melEDI days.",TRUE
183,"4 Median (5th percentile, 95th percentile).","4 Median (5th percentile, 95th percentile).",TRUE
184,"5 Sex categories: Female and Male.","5 Sex categories: Female and Male.",TRUE
185,"6 Employment categories: Full/studying, Part/marginal, and Not employed.","6 Employment categories: Full/studying, Part/marginal, and Not employed.",TRUE
186,"7 Chronotype groups follow the Morningness–Eveningness Questionnaire score.","7 Chronotype groups follow the Morningness–Eveningness Questionnaire score.",TRUE
187,"8 MCTQ: Munich Chronotype Questionnaire; MEQ: Morningness–Eveningness Questionnaire. Clock summaries are circular.","8 MCTQ: Munich Chronotype Questionnaire; MEQ: Morningness–Eveningness Questionnaire. Clock summaries are circular.",TRUE
