"page","status","observation"
28,"PASS_WITH_EXISTING_WHITESPACE","Discussion continuation ends before the author-required Methods page start."
29,"PASS","Methods, subheadings, citations and technical expressions are complete and readable."
30,"PASS","Methods, subheadings, citations and technical expressions are complete and readable."
31,"PASS","Methods, subheadings, citations and technical expressions are complete and readable."
32,"PASS","Methods, subheadings, citations and technical expressions are complete and readable."
33,"PASS","Methods, subheadings, citations and technical expressions are complete and readable."
34,"PASS","Methods, subheadings, citations and technical expressions are complete and readable."
35,"PASS","Methods, subheadings, citations and technical expressions are complete and readable."
36,"PASS","Methods, subheadings, citations and technical expressions are complete and readable."
37,"PASS","Methods, subheadings, citations and technical expressions are complete and readable."
38,"PASS","Methods ending and AI statement remain present and readable."
39,"PASS_WITH_EXISTING_WHITESPACE","Two final AI-statement lines continue onto this page; no statement was removed."
40,"PASS","Data availability has the author-required new-page start."
41,"PASS","Code availability has the author-required new-page start."
42,"PASS","All reference pages are complete and readable; ordinary entry continuations across page breaks preserve the frozen text."
43,"PASS","All reference pages are complete and readable; ordinary entry continuations across page breaks preserve the frozen text."
44,"PASS","All reference pages are complete and readable; ordinary entry continuations across page breaks preserve the frozen text."
45,"PASS","All reference pages are complete and readable; ordinary entry continuations across page breaks preserve the frozen text."
46,"PASS","All reference pages are complete and readable; ordinary entry continuations across page breaks preserve the frozen text."
47,"PASS","All reference pages are complete and readable; ordinary entry continuations across page breaks preserve the frozen text."
48,"PASS","All reference pages are complete and readable; ordinary entry continuations across page breaks preserve the frozen text."
49,"PASS","All reference pages are complete and readable; ordinary entry continuations across page breaks preserve the frozen text."
50,"PASS","All reference pages are complete and readable; ordinary entry continuations across page breaks preserve the frozen text."
51,"PASS","All reference pages are complete and readable; ordinary entry continuations across page breaks preserve the frozen text."
52,"PASS","Acknowledgements are complete on their requested section page."
53,"PASS","Funding is complete on its requested section page."
54,"PASS","The CRediT contributions list fits completely on one page."
55,"PASS","Competing-interest declarations are complete across the two pages."
56,"PASS","Competing-interest declarations are complete across the two pages."
57,"PASS","Table S1, all sample-flow rows, notes and caption now fit together on one A3 page."
58,"PASS","All three Table S2 parts show all 14 columns, complete right-hand distribution plots, unbroken mean plus/minus SD runs and final notes on A3 landscape pages."
59,"PASS","All three Table S2 parts show all 14 columns, complete right-hand distribution plots, unbroken mean plus/minus SD runs and final notes on A3 landscape pages."
60,"PASS","All three Table S2 parts show all 14 columns, complete right-hand distribution plots, unbroken mean plus/minus SD runs and final notes on A3 landscape pages."
61,"PASS","New Table S3 image has all nine columns, every denominator, all six notes and its caption on one A3 page."
62,"PASS","Figure S1 has all 16 panels, labels and caption."
63,"PASS","Figure S2 has all worked-example panels, notes and caption."
64,"PASS","Figure S3 retains its accepted smaller display size with all content visible."
65,"PASS","Figure S4, section heading, introduction and caption fit completely."
66,"PASS","Both separate Figure S5 appearances have complete three-window forests, labels and bottom notes."
67,"PASS","Both separate Figure S5 appearances have complete three-window forests, labels and bottom notes."
68,"PASS_WITH_PROTECTED_ARRANGEMENT","The unchanged shared Figure S5 caption has its own following page. Shared-caption identity and arrangement were preserved, not silently redesigned."
69,"PASS","Table S4 has two complete ordered parts and its final notes and caption."
70,"PASS","Table S4 has two complete ordered parts and its final notes and caption."
71,"PASS","Figure S6 raincloud, labels and caption are complete."
72,"PASS","Table S5 has complete rows, notes and the accepted sans-serif appearance."
73,"PASS","Table S6 has complete rows, notes and the accepted sans-serif appearance."
74,"PASS","Figure S7A and its shared caption are complete."
75,"PASS","Enlarged Figure S7B has all nine rows and both columns of panels, labels and notes on A3 portrait."
76,"PASS","All four Table S7 parts and final notes are complete; source-image softness on later parts is unchanged."
77,"PASS","All four Table S7 parts and final notes are complete; source-image softness on later parts is unchanged."
78,"PASS","All four Table S7 parts and final notes are complete; source-image softness on later parts is unchanged."
79,"PASS","All four Table S7 parts and final notes are complete; source-image softness on later parts is unchanged."
80,"PASS","Table S8 and caption now fit together on one A3 page."
81,"PASS","Enlarged first Figure S8 appearance contains all panels A-C and notes within the exact accepted crop."
82,"PASS","Enlarged second Figure S8 appearance contains every panel-D table row and notes plus the shared caption; exact accepted crop and intrinsic whitespace are preserved."
83,"RESIDUAL_LAYOUT_FINDING","The Hourly routine analyses Heading2 is stranded alone because the following S9 Heading3 also has a direct pageBreakBefore. Coordinator confirmed the same XML cause. No third assembly or unapproved patch was performed."
84,"PASS","Figure S9 heading, image and caption are now together and complete, although the preceding theme heading remains on page 83."
85,"PASS","Figure S10 panels, labels, source notes and caption are complete; the prior native/browser adjudication remains controlling."
86,"CONVERTER_ONLY_ADJUDICATED","The automated PDF has a panel-B subtitle-edge appearance. Actual served HTML shows the entire subtitle, all panels, bottom notes and caption. Exact unchanged SVG retained; see html_s11_top.bin and html_s11_bottom.bin."
87,"PASS_PRIOR_ADJUDICATION_RETAINED","Figure S12 content is complete; the accepted native/browser adjudication remains closed and no SVG correction was made."
88,"PASS","Table S9 is complete and readable."
89,"PASS","Both Table S10 parts contain all seven rows, final notes and caption; sans-serif source appearance is retained without clipping."
90,"PASS","Both Table S10 parts contain all seven rows, final notes and caption; sans-serif source appearance is retained without clipping."
91,"PASS","Figure S13 panels and caption are complete."
92,"PASS","Both Table S11 parts, notes and caption are complete."
93,"PASS","Both Table S11 parts, notes and caption are complete."
94,"PASS","Figure S14 panels and caption are complete."
95,"PASS","Table S12 rows, notes and caption are complete."
96,"PASS","Figure S15A remains a separate, complete figure appearance."
97,"PASS","Accepted replacement Figure S15B has complete unclipped strip labels, all left and right panels, legend and caption. Actual served HTML independently confirms it."
98,"PASS","Table S13 rows, notes and caption are complete."
99,"PASS","Enlarged Figure S16 has all three panels, labels, notes and caption on A3 portrait."
100,"PASS","Table S14 rows, notes and caption are complete."
101,"PASS_PRIOR_ADJUDICATION_RETAINED","Figure S17 shows the already adjudicated converter-only serif/right-edge appearance. Native/browser acceptance remains closed; no source or placement repair was performed."
102,"PASS","Table S15 rows, notes and caption are complete."
103,"PASS","Final measurement-position and reproducibility text is complete and readable."
