"deviation_id","reader_section","current_status","current_observed_or_approved","current_rationale_or_evidence","current_likely_consequence","superseded_or_related_id","current_source_locator"
"DOC-001","technical_provenance","documentation_pending","Accepted H08-H11 deviations are traceable in their analysis records and current reports. The consolidated reader-facing preregistration-deviation page is the pending documentation repair.","The scientific decisions are complete; the remaining work is to translate the authoritative current dispositions into stable reader anchors without reproducing stale audit wording.","Until the consolidated page is generated and linked, H08-H11 deviation documentation remains distributed across hypothesis reports and analysis records.","","audit/handoffs/H08_worker_handoff.md; audit/handoffs/H09_worker_handoff.md; audit/handoffs/H10_worker_handoff.md; audit/handoffs/H11_worker_handoff.md"
"IMP-001","resolved_implementation_history","resolved_by_current_analysis","The affected accepted analyses now assemble complete p-value vectors and apply FDR correction to the declared family; scalar p.adjust calls with an artificial n are not used for current conclusions.","Focused hypothesis tests and manifests verify the complete-vector families after the repair.","Historical adjusted p-values from scalar calls must not be presented as current. Current reports use the declared family-specific FDR values.","","audit/decisions/p_value_display_conventions.md; audit/handoffs/H01_worker_handoff.md; audit/handoffs/H05_stage3_handoff.md; audit/handoffs/H08_worker_handoff.md; audit/handoffs/H09_worker_handoff.md; audit/handoffs/H10_worker_handoff.md"
"IMP-003","resolved_implementation_history","resolved_by_current_reporting","Accepted reports no longer use one mixed-stage headline denominator. They report exact fitted samples for each placement, model, and sensitivity branch, with participant, participant-day or participant-hour, observation, and site counts as applicable.","Model-specific sample manifests and reader-report tests reconcile the displayed denominators with stored analysis frames.","Sample sizes remain unequal across outcomes and placements, but the earlier provenance ambiguity is resolved in current reporting.","","audit/ledgers/sample_flow.csv; audit/handoffs/H01_worker_handoff.md; audit/handoffs/H02_worker_handoff.md"
"IMP-004","resolved_implementation_history","resolved_by_current_analysis","H01 model-fit summaries are drawn from the selected fitted models and the historical null-model conditional-R-squared indexing error is not used in the accepted report.","The H01 reporting-input and contract tests verify model-to-summary provenance.","The earlier H01 conditional R-squared value is historical and must not be reused.","","audit/handoffs/H01_worker_handoff.md; tests/hypotheses/H01/test_h01_reporting_inputs.R"
"IMP-005","resolved_implementation_history","resolved_by_current_analysis","H02 reports explicitly defined fitted-curve dispersion and conditional Shapley allocation. H11 uses a separate robust complete-curve test and does not inherit the earlier isolated-term variance-explained terminology.","Both hypotheses were reconstructed and their accepted reports state the estimands directly.","Neither H02 nor H11 should be described using the invalid historical isolated-term variance-explained claim.","","audit/decisions/h02_final_analysis.md; audit/handoffs/H02_worker_handoff.md; audit/handoffs/H11_worker_handoff.md"
"IMP-006","resolved_implementation_history","resolved_by_current_analysis","H05 replaces the inconsistent pooled correlation display with site-adjusted factor-association models whose estimates, intervals, raw p-values, and FDR values come from the same fitted analysis.","The accepted 17-metric by four-factor package and complete 68-test families were rebuilt and verified.","The historical Spearman-coefficient/Pearson-p-value pairing is not part of the current evidence.","DEV-028","audit/handoffs/H05_stage2_handoff.md; audit/handoffs/H05_stage3_handoff.md"
"IMP-007","resolved_implementation_history","resolved_by_current_analysis","Main H06 tables and prose are generated from the accepted H06 model outputs; the stale H04 site p-value is no longer used.","Focused H06 tests verify source identities and reader-table provenance.","Current H06 claims are tied to H06 estimates and declared FDR families.","DEV-031","audit/handoffs/H06_worker_handoff.md; tests/hypotheses/H06/test_h06_stage3.R"
"IMP-008","resolved_implementation_history","resolved_by_current_analysis","H07 no longer claims a mechanistic ceiling and no longer uses the duplicated/omitted historical display. It reports a precisely defined derivative-based descriptive plateau pattern for all nine metrics.","The accepted derivative rule and paired fitted-curve/derivative figures were author approved and verified.","The result is descriptive and pointwise; it does not establish an asymptote, equivalence, ceiling, or causal photoperiod effect.","DEV-016","audit/handoffs/H07_worker_handoff.md"
"IMP-009","resolved_implementation_history","resolved_by_current_analysis","H09 fits and reports distinct site-adjusted MCTQ and MEQ models, with estimates and tests taken from the declared model for each instrument.","The accepted report and manifests verify both constructs, formulas, samples, and output provenance.","The historical chronotype-only estimate/model mismatch is not current.","DEV-037|DEV-038","audit/handoffs/H09_worker_handoff.md"
"IMP-010","resolved_implementation_history","resolved_by_current_analysis","Where fixed-effect structures are compared, current mixed-model workflows use maximum likelihood for the comparison and refit the selected structure with REML where appropriate; invalid REML AIC comparisons are not used for accepted decisions.","Hypothesis-specific model registries and tests verify comparison and final-estimation methods.","Historical model preferences based on incomparable REML AIC values are superseded.","","audit/handoffs/H01_worker_handoff.md; audit/handoffs/H07_worker_handoff.md; audit/handoffs/H11_worker_handoff.md"
"IMP-011","resolved_implementation_history","resolved_by_current_analysis","H10 uses distinct deterministic primary and chest output paths and seals both placements separately.","The accepted H10 manifests and tests verify non-overwriting targets and placement-specific outputs.","The historical render-order overwrite risk is resolved and does not affect current H10 tables or figures.","DEV-040|DEV-041","audit/handoffs/H10_worker_handoff.md"
"IMP-014","resolved_implementation_history","shared_repair_implemented_downstream_reseal_in_progress","IS, IV, and continuous-period metrics now use explicit temporal grids and gap-aware continuity rules. Affected hypothesis outputs are being selectively resealed rather than silently retaining the earlier gap-bridging values.","The shared metric decisions define true adjacency, minimum repeated-day support, and gap-terminated periods.","Current values can differ from the historical implementation; downstream reports must use the sealed repaired identities or explicitly state that their selective reseal is pending.","DEV-053|DEV-054","audit/decisions/metric_validity.md; audit/decisions/metric_implementation_parameters.md"
"IMP-015","resolved_implementation_history","shared_repair_implemented_downstream_reseal_in_progress","M10/L10 windows, 30-minute bins, continuous periods, and threshold timings now require explicit interval support and do not compress missing gaps. Affected hypothesis outputs are being selectively resealed.","The repaired preparation enforces complete supported windows, deterministic ties, true boundaries, and clock-aware coverage.","Historical values based on incomplete windows or unsupported bins are superseded; the current consequence is limited to identified affected branches.","DEV-054","audit/decisions/metric_validity.md; audit/decisions/metric_implementation_parameters.md"
"IMP-016","resolved_implementation_history","shared_repair_implemented_downstream_reseal_in_progress","Melanopic EDI dose now distinguishes observed-duration dose from the approved time-sensitive correction and applies the declared support rule.","The shared repair avoids treating an incomplete observed sum as a complete-day dose and avoids unconditional scaling across missing low-exposure periods.","Dose scale, missingness, and affected model samples can change; only resealed outputs should be treated as current.","DEV-052","audit/decisions/metric_validity.md; audit/decisions/metric_implementation_parameters.md"
"DEV-022","scientific_deviation","approved_implemented_verified","H03 retains seven prespecified light-source categories under one placement-independent support rule: indoor electric light, outdoor electric light, indoor daylight, outdoor daylight, emissive display light, darkness during sleep, and external light during sleep.","The accepted reconstruction removed the historical manual placement-specific category deletions and reports unsupported category-site cells transparently.","The H03 association pertains to the seven retained categories; sparse site-category cells are not silently removed to change the construct.","","audit/handoffs/H03_worker_handoff.md"
"DEV-023","scientific_deviation","approved_implemented_verified","H03 uses the additive site-plus-light-source model for the primary six-restriction category omnibus and a separate category-by-site interaction model for site-specific variation and descriptive estimates.","Separating the two models isolates the study-site-average category association from the interaction question.","The primary omnibus is not a joint association-plus-interaction test; site-varying summaries are secondary to that primary test.","DEV-013","audit/handoffs/H03_worker_handoff.md"
"DEV-024","scientific_deviation","approved_implemented_verified","H03 applies FDR correction to explicitly assembled complete contrast families; category and site-interaction questions are labelled separately and no hidden by-group adjustment is described as a single family.","The accepted scripts and tests verify vector-wide adjustment and the reported contrast provenance.","Highlighted contrasts depend on the declared complete family rather than software defaults.","IMP-001","audit/handoffs/H03_worker_handoff.md"
"DEV-025","scientific_deviation","approved_implemented_verified","H04 converts selected activity flags to a long activity variable, collapses outdoor work, outdoor free time, and open-air travel into Outdoors before pivoting, removes duplicate labels within hour, gives each co-selected category weight 1/k, and retains Other only when it is the sole selected category for descriptive display.","This author-approved construction preserves multi-label hours without allowing them to contribute more total weight than single-label hours, while combining sparse conceptually related outdoor activities.","H04 estimates compare the defined activity categories; Other is not part of the primary five-category omnibus and multi-label hours are fractionally weighted.","","audit/handoffs/H04_worker_handoff.md"
"DEV-026","scientific_deviation","approved_implemented_verified","H04 uses the additive site-plus-activity model for the primary activity omnibus and a separate activity-by-site interaction model for site-specific variation and descriptive estimates.","The separation isolates the study-site-average activity association from variation among sites.","The primary result is not a joint main-plus-interaction test.","DEV-013","audit/handoffs/H04_worker_handoff.md"
"DEV-027","scientific_deviation","approved_implemented_verified","H04 applies FDR correction to explicitly assembled complete activity and site-interaction contrast families rather than relying on hidden by-groups or default Dunnett adjustments.","The accepted scripts and tests verify the family definitions and displayed p-value provenance.","Highlighted activity/site comparisons reflect the declared full families.","IMP-001","audit/handoffs/H04_worker_handoff.md"
"IMP-021","resolved_implementation_history","resolved_by_current_analysis","The H04 descriptive activity-by-site screen now uses the actual H04 activity variable and no longer overwrites it with the H03 light-source factor.","The corrected H04 preparation and reader tests verify the activity construction and screen inputs.","The historical screen cannot be used as evidence; the accepted H04 category handling is supported by the corrected reconstruction.","DEV-025","audit/handoffs/H04_worker_handoff.md"
"DEV-028","scientific_deviation","approved_implemented_verified","H05 uses site-adjusted association models for each personal light-exposure metric and LEBA factor rather than participant-level pooled bivariate correlations.","Site adjustment preserves the registered scientific question while the accepted fixed-site implementation supplies a stable population-average estimate and a separate site-interaction assessment.","H05 effects are site-adjusted model associations, not pooled correlation coefficients.","IMP-006","audit/handoffs/H05_stage2_handoff.md; audit/handoffs/H05_stage3_handoff.md"
"DEV-029","scientific_deviation","approved_implemented_verified","H05 analyses four LEBA factors across 17 metrics and treats each declared 68-test vector as a complete FDR family, including non-significant members.","The full factor-by-metric grid was retained prospectively in the reconstructed analysis and verified after metric-specific amendments.","Individual raw associations are interpreted only in the context of their complete 68-test family; the accepted analysis retains no primary association after adjustment.","IMP-001","audit/handoffs/H05_stage3_handoff.md; audit/handoffs/H05_stage4_handoff.md"
"DEV-030","scientific_deviation","approved_implemented_verified","Main H06 uses three primary predictors: work versus free day, Active versus Sedentary day, and previous-night sleep duration. Weekday/weekend is a sensitivity; other registered sleep and exercise predictors are exploratory rather than members of the primary family.","The author approved this narrower predictor set for parsimony and interpretability in the hourly adaptation.","The primary H06 claim is limited to these three predictors and cannot be generalized to all preregistered sleep or exercise variables.","DEV-015","audit/handoffs/H06_worker_handoff.md"
"DEV-031","scientific_deviation","approved_implemented_verified","Main H06 fits a zero-inclusive quasi-Poisson log-mean model with fixed site, participant-cluster HC3 covariance, and finite-cluster inference. The primary additive model estimates study-site-average associations; separate predictor-by-site models evaluate interactions. Local clock is reserved for a distinct exploratory nonlinear analysis.","The robust population-average route addresses repeated supported hours without claiming a Gaussian individual-level error model; the separate nonlinear analysis describes time of day.","Primary ratios are marginal mean comparisons for supported hourly melEDI. Residual zero mass, clustering, site dependence, and temporal-model limitations remain explicit.","DEV-015","audit/handoffs/H06_worker_handoff.md"
"DEV-032","scientific_deviation","approved_implemented_verified","Main H06 uses separately declared complete FDR families for the three primary average associations, three site interactions, three practical contrasts, and corresponding gap-timing-unaware sensitivity families; exploratory site screens are labelled separately.","The accepted reconstruction assembles vector-wide families and separates average effects from interactions.","Adjusted decisions must be read within their declared three-member family and exploratory site screens cannot override a non-retained interaction.","IMP-001","audit/handoffs/H06_worker_handoff.md"
"DEV-033","scientific_deviation","approved_implemented_verified","H07 retains the complete nine-metric outcome set and does not select metrics using H01 significance or H07 AIC. Non-identifiable or diagnostically limited planned members remain visible rather than being dropped from the family.","The complete-family reconstruction prevents upstream or within-analysis significance selection.","The nonlinear descriptive evidence must be interpreted across all nine planned metrics, including non-identifiable and limited branches.","DEV-016","audit/handoffs/H07_worker_handoff.md"
"DEV-034","scientific_deviation","approved_implemented_verified","H07 uses metric-specific response specifications and diagnostics rather than one universal zero-aware log-Gaussian model for level, duration, and dose outcomes.","The metrics differ in units, bounds, exact-zero mass, and tail behaviour; the accepted working families are chosen and assessed per metric.","Model adequacy and the meaning of changes differ by metric, and the sleep-environment Tweedie branch remains descriptive because its zero-mass diagnostic fails.","","audit/handoffs/H07_worker_handoff.md"
"DEV-035","scientific_deviation","approved_implemented_verified","H08 estimates the study-site-average visual-light-sensitivity association separately from the visual-light-sensitivity-by-site interaction for each metric.","Separate nested comparisons preserve the registered distinction between an average association and variation among sites.","A non-significant average association is not a joint statement that both the average and every site difference are absent.","","audit/handoffs/H08_worker_handoff.md"
"DEV-036","scientific_deviation","approved_implemented_verified","H08 uses separate complete nine-metric FDR families for average associations and site interactions; scalar adjustments are not used.","The accepted Stage 2-4 artifacts and focused tests verify both vectors.","No H08 association or site interaction is retained after its declared family adjustment.","IMP-001","audit/handoffs/H08_worker_handoff.md"
"DEV-037","scientific_deviation","approved_implemented_verified","H09 includes both MCTQ midsleep on free days corrected for sleep debt and MEQ morningness score as distinct chronotype constructs, with separate models and families.","The author accepted the available aggregate fields after verifying their provenance and kept the instruments scientifically separate.","MCTQ effects are per one hour later timing; MEQ effects are per ten points greater morning preference. They are not interchangeable measures.","","audit/handoffs/H09_worker_handoff.md"
"DEV-038","scientific_deviation","approved_implemented_verified","H09 reports site-adjusted main chronotype models and evaluates chronotype-by-site interactions separately; estimates and intervals come from the declared fitted model for each instrument and timing outcome.","The reconstruction removed significance-driven model-object substitution and tied every displayed estimate to its stored formula and sample.","Chronotype slopes are study-site-adjusted associations; site interactions are a separate question.","IMP-009","audit/handoffs/H09_worker_handoff.md"
"DEV-039","scientific_deviation","approved_implemented_verified","H09 uses four separate complete five-outcome FDR families: MCTQ average associations, MEQ average associations, MCTQ-by-site interactions, and MEQ-by-site interactions. Model selection is not driven by adjusted significance.","The family partition reflects the two instruments and the distinction between average and interaction tests.","Each reported adjusted p-value belongs to one named five-member family; non-estimable interaction branches remain visible.","IMP-001","audit/handoffs/H09_worker_handoff.md"
"DEV-040","scientific_deviation","approved_implemented_verified","H10 now fits, tests, and reports both age-by-site and biological-sex-by-site interactions for all planned metrics, with non-estimable branches explicitly identified rather than omitted.","The accepted package restores the full registered interaction scope and seals placement-specific outputs.","H10 can distinguish average age/sex associations from variation of those associations among sites; sparse interactions remain qualified by diagnostics.","IMP-011","audit/handoffs/H10_worker_handoff.md"
"DEV-041","scientific_deviation","approved_implemented_verified","H10 uses four separate complete 17-metric FDR families for age average associations, biological-sex average associations, age-by-site interactions, and biological-sex-by-site interactions.","The partition was fixed in the accepted analysis and all planned slots, including non-estimable ones, are retained.","The current conclusion of 11 primary average associations and two chest age-by-site interactions is evaluated within these complete families.","IMP-001","audit/handoffs/H10_worker_handoff.md"
"DEV-042","scientific_deviation","approved_implemented_verified","H11 deliberately inherits H02's zero-aware transformed arithmetic-mean melEDI in 30-minute bins rather than the registered hourly geometric-mean outcome.","Using the finalized H02 temporal frame provides consistent epoch, support, gap, autocorrelation, and placement provenance for the sex-specific curve analysis.","H11 estimates sex-specific 30-minute daily curves on the inherited transformed scale; its sample size and dependence structure differ from the preregistered hourly analysis.","DEV-012","audit/handoffs/H11_worker_handoff.md; scripts/hypotheses/H11/h11_stage1.R"
"DEV-043","scientific_deviation","approved_implemented_verified","The accepted H11 full model contains a parametric biological-sex level term and a cyclic sex-specific time-deviation smooth. The primary test evaluates the complete level-plus-shape Female-minus-Male curve.","The author-approved construction restores the registered distinction between a time-constant level difference and a time-varying shape difference while making their joint curve the primary estimand.","The global result is about the whole sex-specific curve; secondary level and shape tests are attribution analyses and do not replace it.","","audit/handoffs/H11_worker_handoff.md; scripts/hypotheses/H11/h11_stage1.R"
"DEV-044","scientific_deviation","approved_implemented_verified","H11 uses the finalized H02 temporal architecture: a cyclic global time smooth, a cyclic biological-sex deviation, sum-to-zero site time deviations, participant-specific time curves, and a participant-day intercept. The separate registered site random intercept is replaced by this inherited site and participant hierarchy.","The inherited architecture was selected and diagnosed in H02, then audited for H11 with boundary-aware autocorrelation and robust complete-curve inference.","Site and participant temporal structure is richer than the preregistered formula; interpretation is conditional on the accepted inherited architecture and diagnostics.","DEV-011","audit/handoffs/H11_worker_handoff.md; scripts/hypotheses/H11/h11_stage1.R"
"DEV-045","scientific_deviation","approved_implemented_verified","H11 models participant-specific time curves and participant-day intercepts rather than only a participant random intercept.","The accepted hierarchy reflects repeated 30-minute observations within days and repeated days within participants and is inherited from H02.","Uncertainty and weighting account for participant and day structure; variance components are not interpreted using terminology from the superseded analysis.","DEV-011|IMP-005","audit/handoffs/H11_worker_handoff.md"
"DEV-046","resolved_implementation_history","resolved_by_current_analysis","The unregistered photoperiod-state temporal smooth used in the earlier H11 implementation is absent from the accepted H11 primary and null formulas.","The final analysis inherits the accepted H02 temporal formula and adds only the biological-sex level and cyclic sex-deviation terms for the primary comparison.","The accepted sex curve is not conditional on an added photoperiod-state smooth.","","scripts/hypotheses/H11/h11_stage1.R; audit/handoffs/H11_worker_handoff.md"
"DEV-047","scientific_deviation","approved_exploratory_analysis_verified","H11 includes an explicitly exploratory same-sample activity-context sensitivity. It first refits the accepted model without activity on the activity-complete sample and then adds activity on exactly the same observations.","The paired same-sample design separates sample restriction from covariate adjustment as far as the observational data allow.","The analysis cannot establish mediation or a behavioural mechanism; near-eye support was already lost through sample restriction and the chest attenuation is non-causal context only.","","audit/handoffs/H11_worker_handoff.md"
"DEV-048","scientific_deviation","approved_implemented_verified","H11 uses one participant-cluster-robust global complete-curve test per placement as the primary decision. Level and shape form a secondary two-test FDR family. Displayed clock-time intervals are pointwise, not simultaneous, and do not define a familywise-significant period.","The author approved AR-whitened participant-cluster CR1 curve inference with smoothing-bias covariance and a finite-cluster reference distribution.","The supported global curves may be described, but local clock ranges are descriptive and the secondary decomposition does not cleanly attribute the effect to level or shape.","","audit/handoffs/H11_worker_handoff.md"
"DEV-049","technical_provenance","implemented_verification_in_progress","Current scientific computation and targeted renders use R 4.6.1 with the project library and documented package replacements. Hypothesis-specific outputs are resealed under that environment as they are completed.","The author required the R 4.6.1 migration; deterministic environment audits and targeted package/version manifests record version-sensitive identities.","Environment version is a reproducibility record rather than a biological or statistical deviation. Final project-wide closure remains pending until all active branches finish.","","audit/environment/r-4.6.1-baseline.md; audit/environment/deterministic-environment-audit.md; audit/environment/r-4.6.1-lock-snapshot.md"
"DEV-050","technical_provenance","implemented_verification_in_progress","Current preparation uses LightLogR 0.10.3-compatible public APIs, explicit interval bounds, and repaired circular-time calls; affected outputs are selectively rebuilt and resealed.","The API migration prevents partial matching, implicit boundary semantics, and reliance on non-exported helpers.","The changes can affect boundary states and temporal metrics, so only current sealed artifacts should be used. This belongs in technical provenance, not the main scientific-deviation narrative.","","audit/environment/lightlogr-api-audit.md; audit/decisions/metric_implementation_parameters.md"
"DEV-052","scientific_deviation","approved_implemented_downstream_reseal_in_progress","Melanopic EDI dose is defined as observed actual-duration dose, with the approved time-sensitive correction applied only when profile-weighted coverage reaches 0.80. It is not treated as an unqualified complete-day sum when exposure is missing.","The rule preserves the observed integration interval and avoids universal scaling over missing low-exposure night periods.","Dose scale and model samples can differ from the historical calculation; affected hypothesis branches must use their current resealed artifacts.","IMP-016","audit/decisions/metric_implementation_parameters.md; audit/decisions/metric_validity.md"
"DEV-053","scientific_deviation","approved_implemented_downstream_reseal_in_progress","IS and IV use explicit one-hour grids and true temporal support: at least three eligible days, at least 20 repeated clock hours for IS, and at least 24 true adjacent pairs across three days for IV; repeated fall-back hours collapse only for IS.","These rules prevent missing intervals from being treated as observed regularity or adjacency.","Values and estimability can differ from the historical gap-bridging implementation; downstream affected branches are selectively resealed.","IMP-014","audit/decisions/metric_implementation_parameters.md; audit/decisions/metric_validity.md"
"DEV-054","scientific_deviation","approved_implemented_downstream_reseal_in_progress","M10/L10 require 20 consecutive supported 30-minute bins with deterministic ties and midnight wrap for L10; continuous periods terminate at gaps; mean timing is circular and duration-weighted; first and last timing require boundary support.","The rules preserve clock continuity and prevent incomplete windows or observed edges from being treated as complete events.","Window levels, durations, timings, missingness, and affected model samples can change; current resealed artifacts supersede historical gap-unaware calculations.","DEV-008|IMP-015","audit/decisions/metric_implementation_parameters.md; audit/decisions/metric_validity.md"
"DEV-001","scientific_deviation","approved_implemented_verified","Near-eye glasses measurements are primary for the ocular-exposure estimand. Chest measurements are complementary and are compared on placement-matched samples when a direct placement comparison is shown.","The placements measure related but non-interchangeable light fields, so simple pooling or unmatched identity comparisons are not valid.","Primary conclusions come from near-eye data; chest evidence is labelled complementary and does not replace the primary estimand.","REP-001|REP-002","audit/decisions/placement_decision.md; audit/decisions/paired_placement_comparison_display.md"
"DEV-002","technical_provenance","documented_historical_display_change","Site-specific traces were removed from some earlier journal-limited displays but retained where scientifically necessary in the current reports and source artifacts.","The change concerned display density rather than the fitted analysis.","Readers should use the current figures and tables; the historical omission is not a current analytical method.","","audit/ledgers/deviation_register.csv"
"DEV-007","scientific_deviation","approved_implemented_verified","The darkest-window level metric is the geometric mean melEDI during the ten darkest supported hours (L10 mean); no L5 level metric is used.","The ten-hour window is the approved operational definition and is subject to the current complete-window support rule.","Results labelled L10 mean refer to a ten-hour darkest supported window and must not be interpreted as L5.","DEV-054","audit/decisions/metric_implementation_parameters.md; audit/decisions/l10_numerical_zero_normalization.md"
"DEV-010","scientific_deviation","approved_implemented_verified","H02 uses a cyclic common time smooth with sum-to-zero site time deviations whose marginal basis is not forced cyclic; a fully cyclic site and participant formulation is retained as a model-form sensitivity.","The accepted basis comparison favoured the cyclic common smooth and found no residual benefit from replacing it with a non-cyclic global smooth.","Midnight continuity is enforced for the global curve; site-deviation topology is an acknowledged model-form choice tested in sensitivity analysis.","","audit/decisions/h02_final_analysis.md; audit/handoffs/H02_worker_handoff.md"
"DEV-011","scientific_deviation","approved_implemented_verified","H02 uses a cyclic common time smooth, sum-to-zero site time deviations, participant-specific time curves, and a participant-day intercept with boundary-aware AR(1) sequences.","The hierarchy was selected through the H02 model evaluation and is inherited by H11.","Variation and uncertainty are partitioned across time, site, participant, and participant-day under this richer hierarchy rather than the simpler registered structure.","DEV-021","audit/decisions/h02_final_analysis.md; audit/handoffs/H02_worker_handoff.md"
"DEV-012","scientific_deviation","approved_implemented_verified","H02 models arithmetic-mean melEDI in supported 30-minute bins as log10(melEDI + 0.1 lx), while the registered hourly geometric-mean outcome remains documented as the preregistered specification.","The 30-minute zero-aware outcome preserves the temporal curve and exact zeros needed by the accepted model and diagnostic workflow.","H02 estimates, sample counts, and autocorrelation refer to supported 30-minute arithmetic-mean observations, not registered hourly geometric means.","DEV-042","audit/decisions/h02_final_analysis.md; audit/handoffs/H02_worker_handoff.md"
"IMP-002","scientific_deviation","approved_implemented_verified","ActLumus melEDI values at or above 100000 lx are treated as outside the instrument's valid operating range and set to invalid rather than retained.","The strict upper-bound rule follows the approved saturation decision and is applied before metric calculation.","Extremely high invalid readings do not contribute to exposure metrics or model samples.","","audit/decisions/saturation_boundary.md"
"IMP-012","scientific_deviation","approved_implemented_verified","The full-day hybrid record combines worn waking measurements with retained bedside sleep-environment measurements and is described explicitly as such.","This preserves the practical 24-hour environmental record without mislabelling sleep values as ocular exposure.","Full-day metrics are hybrid personal/environmental summaries; sleep-specific interpretations remain environmental.","DEV-005|REP-003","audit/decisions/placement_decision.md; audit/decisions/daily_coverage_denominator.md"
