claim_id,manuscript_locator,claim_text,claim_type,unit,placement,scenario,producer_artifact,producer_field_or_model,artifact_sha256,sample_flow_id,result_difference_id,evidence_status,inferential_scope,notes
"H05-CLAIM-001","notebooks/hypotheses/H05.qmd","After fixed-site adjustment and one complete 68-test Benjamini-Hochberg correction zero primary near-eye associations are retained","multiplicity_qualified_association_family","68 planned tests","near eye","primary all available","artifacts/09_tables/H05/H05_model_results_master.csv","main near-eye fixed-site family; retained count 0 of 68","bf4e96e5a0827e393779d64bc012bf6731e524b15ef47466e780804a119f57e6","","","verified","Observational fixed-site models for four LEBA factors and 17 light-exposure metrics; the four sleep-environment cells remain archived but are unfit for inference","Positive F2 estimates for time above 1,000 lx melEDI and corrected melEDI dose are non-multiplicity-retained"
"H05-CLAIM-002","notebooks/hypotheses/H05.qmd","The complementary all-available chest family retains zero of 68 associations after Benjamini-Hochberg correction","multiplicity_qualified_association_family","68 planned tests","chest","complementary all available","artifacts/09_tables/H05/H05_model_results_master.csv","main chest fixed-site family; retained count 0 of 68","bf4e96e5a0827e393779d64bc012bf6731e524b15ef47466e780804a119f57e6","","","verified","Complementary placement-specific observational models; not a pooled sample-size increase or an equivalence analysis","The smallest chest BH-adjusted p-value is 0.224"
"H05-CLAIM-003","notebooks/hypotheses/H05.qmd","The gap-timing-unaware near-eye sensitivity retains zero of 68 associations after Benjamini-Hochberg correction","data_sensitivity_stability","68 planned tests","near eye","gap-timing-unaware dataset","artifacts/09_tables/H05/H05_manuscript_prepared_comparison.csv","primary-versus-gap-timing-unaware fixed-site comparison","f15b70e9bc3310194487bcdd0292d93f6fa5ca9ce7a3afa9eed637f96ee815ed","","","verified","The sensitivity retains the general 50%-per-hour and 80%-per-day coverage rules but does not use remaining-gap timing for metric-specific adjustment","Sixty-four of 68 estimates preserve direction with overlapping component intervals; the smallest sensitivity BH-adjusted p-value is 0.070"
"H05-CLAIM-004","notebooks/hypotheses/H05.qmd","The four H05 sleep-environment models at each all-available placement are unfit for inference because of material response-support and simulated-residual failures","model_adequacy_disposition","eight model cells","near eye and chest","primary and complementary all available","artifacts/08_diagnostics/H05/H05_model_diagnostics.csv","sleep-environment reader_inference_status and response-support diagnostics","466afec1872dc6ea344921868ff26eedbcbe151b64c3b7c9111b3e7f5a1f7a64","","","verified","Disposition is specific to the H05 response estimand and fitted model; it does not exclude the metric from another hypothesis","Archived estimates and p-values remain in the declared multiplicity family for transparency but are suppressed from reader-facing matrices and support no claim"
"H01-CLAIM-001","notebooks/hypotheses/H01.qmd","In the primary near-eye analysis 8 of 17 metrics supported overall site differences 12 supported photoperiod associations 6 supported latitude associations and 8 indicated that linear latitude did not adequately summarize the complete site pattern after separate 17-test Benjamini-Hochberg corrections","multiplicity_qualified_association_families","17 planned metrics per family","near eye","primary all available","artifacts/09_tables/H01/stage3/H01_stage3_sensitivity_support.csv","main__glasses__all_available; four complete support families","c23f09b1a57535711aa30fca3fbd09963d187fa309adb41da94c3d97e2b2e177","","RDIFF-H01-SUPPORT-FAMILIES","verified","Observational model-level tests with separate vector-wide BH correction; adequacy is a same-frame site-versus-linear-latitude comparison not a residual site test after latitude adjustment","Exact model samples vary by metric and are reported in the linked H01 sample tables"
"H01-CLAIM-002","audit/hypotheses/H01/02_implementation_and_v0_comparison.qmd","Relative to V0 the audited primary analysis adds one supported metric in each of the site photoperiod and latitude families and loses none: 8 versus 7 12 versus 11 and 6 versus 5","submitted_result_comparison","supported metrics","near eye","primary all available versus V0","artifacts/09_tables/H01/reporting/H01_reporting_claim_summary.csv","site photoperiod latitude current_supported_n versus submitted_supported_n","3d5c0757a925459f4013731ecfe7f2a287008fbc0ce4a2fe035b27a26fc08780","","RDIFF-H01-SUPPORT-FAMILIES","verified","Comparison of family support decisions; submitted and audited estimates are not assumed numerically interchangeable where inputs models or correction differ","Newly supported cells are waking time above 250 lx melEDI for site and latitude and darkest-10-hour midpoint for photoperiod"
"H01-CLAIM-003","notebooks/hypotheses/H01.qmd","For the eight metrics with a supported overall site test 72 hierarchical site-versus-equally-weighted-overall-site contrasts localize the pattern with differences or ratios 95% confidence intervals and within-metric adjusted p-values","hierarchical_site_localization","72 site deviations","near eye","primary all available","artifacts/09_tables/H01/reporting/H01_reporting_site_followups.csv","eight supported metrics by nine DISPLAY-001 sites","88e5aa38ad18c0f9df4bbc42fda95c1531f73fc443ee6b923d8e66b309eaf4b8","","","verified","Secondary localization conditional on the supported overall-site family result; not 72 additional primary tests and not causal site effects","Bolding follows the within-metric adjusted p-value only"
"H01-CLAIM-004","notebooks/hypotheses/H01.qmd","The H01 sensitivity battery is qualitatively sensitive at the individual metric-family support level while retaining the broad site and photoperiod pattern","data_sensitivity_stability","68 metric-family cells per run","near eye primary; chest complementary","paired/common-sample gap-timing-unaware and placement scenarios","artifacts/09_tables/H01/stage3/H01_stage3_sensitivity_classification.csv","support_switches and classification across seven non-primary runs","6c56b6dfb6f1aa298f918d8cb61cfcfb8b5098b007c06ee376a7be4b8adc80ee","","","verified","Stability of multiplicity-qualified support decisions not equivalence of effect estimates or placements","The all-available gap-timing-unaware near-eye run switches 8 of 68 support cells and the all-available chest run switches 21"
"H01-CLAIM-005","notebooks/hypotheses/H01.qmd","Chest-level H01 results are complementary evidence and are not pooled with the primary near-eye analysis or interpreted as an equivalence test","placement_scope","four 17-test families","near eye primary; chest complementary","all available and paired/common sample","artifacts/09_tables/H01/stage3/H01_stage3_sensitivity_support.csv","main chest and paired/common-sample placement rows","c23f09b1a57535711aa30fca3fbd09963d187fa309adb41da94c3d97e2b2e177","","","verified","Separately fitted placement-specific models; matched displays are descriptive and do not establish measurement equivalence","Main all-available chest support counts are 13 site 12 photoperiod 9 latitude and 11 adequacy metrics"
"H01-CLAIM-006","notebooks/hypotheses/H01.qmd","All 128 estimable H01 production fits converged with positive-definite Hessians and were nonsingular; WARN_REVIEW diagnostics remain disclosed and do not authorize silent family switching","model_adequacy_disposition","136 run-metric rows","near eye primary; chest complementary","eight declared runs","artifacts/08_diagnostics/H01/H01_model_diagnostics.csv","fit_status and diagnostic_status","240940aeaea41141788d401dfbd86a79d70ecb5d71aeb7a654d53ea8bc9bb34e","","","verified","Model convergence and declared diagnostic review; not evidence that residual limitations are absent","Across 136 rows: 31 PASS 97 WARN_REVIEW 8 predeclared NON_ESTIMABLE and no FAIL_MAJOR_GATE"
