deviation_id,hypothesis_ids,dimension,relationship,status,source_locator
DEV-025,"H04","activity_categories","direct","pending_author_decision","audit/hypotheses/H01-H04_migration_map.md:1094-1117"
DEV-026,"H04","primary_test_estimand","direct","pending_author_decision","audit/hypotheses/H01-H04_migration_map.md:1127-1160"
DEV-027,"H04","multiplicity","direct","pending_author_decision","audit/hypotheses/H01-H04_migration_map.md:1141-1160"
DEV-028,"H05","site_adjustment","direct","pending_author_decision","audit/hypotheses/H05-H08_migration_map.md:263-283"
DEV-029,"H05","metric_factor_family","direct","pending_author_decision","audit/hypotheses/H05-H08_migration_map.md:328-372"
DEV-030,"H06","predictor_scope","direct","pending_author_decision","audit/hypotheses/H05-H08_migration_map.md:565-635"
DEV-031,"H06","model_hierarchy","direct","pending_author_decision","audit/hypotheses/H05-H08_migration_map.md:640-685"
DEV-032,"H06","multiplicity","direct","pending_author_decision","audit/hypotheses/H05-H08_migration_map.md:677-705"
DEV-033,"H07","outcome_selection_and_multiplicity","direct","pending_author_decision","audit/hypotheses/H05-H08_migration_map.md:996-1078"
DEV-034,"H07","response_family","direct","open_reaudit","audit/hypotheses/H05-H08_migration_map.md:1028-1067"
DEV-035,"H08","primary_test_estimand","direct","pending_author_decision","audit/hypotheses/H05-H08_migration_map.md:1289-1304"
DEV-036,"H08","multiplicity","direct","pending_author_decision","audit/hypotheses/H05-H08_migration_map.md:1390-1419"
DEV-037,"H09","chronotype_predictors","direct","pending_author_decision","audit/hypotheses/H09-H11_migration_map.md:280-298"
DEV-038,"H09","site_adjustment","direct","pending_author_decision","audit/hypotheses/H09-H11_migration_map.md:336-392"
DEV-039,"H09","multiplicity_and_selection","direct","pending_author_decision","audit/hypotheses/H09-H11_migration_map.md:394-418"
DEV-040,"H10","sex_site_interaction","direct","open_reaudit","audit/hypotheses/H09-H11_migration_map.md:725-754"
DEV-041,"H10","multiplicity","direct","pending_author_decision","audit/hypotheses/H09-H11_migration_map.md:725-754"
DEV-042,"H11","outcome_epoch","direct","pending_author_decision","audit/hypotheses/H09-H11_migration_map.md:1013-1052"
DEV-043,"H11","sex_estimand","direct","pending_author_decision","audit/hypotheses/H09-H11_migration_map.md:1070-1111"
DEV-044,"H11","temporal_and_site_smooths","direct","pending_author_decision","audit/hypotheses/H09-H11_migration_map.md:1070-1111"
DEV-045,"H11","participant_hierarchy","direct","pending_author_decision","audit/hypotheses/H09-H11_migration_map.md:1070-1111"
DEV-046,"H11","photoperiod_state_smooth","direct","pending_author_decision","audit/hypotheses/H09-H11_migration_map.md:1070-1111"
DEV-047,"H11","activity_context","direct","pending_author_decision","audit/hypotheses/H09-H11_migration_map.md:1188-1221"
DEV-048,"H11","curve_inference_and_multiplicity","direct","pending_author_decision","audit/hypotheses/H09-H11_migration_map.md:1146-1188"
DEV-049,"H01|H02|H03|H04|H05|H06|H07|H08|H09|H10|H11","R_environment","cross_cutting","in_progress","audit/environment/r-4.6.1-baseline.md"
DEV-050,"H01|H02|H03|H04|H05|H06|H07|H08|H09|H10|H11","LightLogR_and_modelling_APIs","cross_cutting","in_progress","audit/environment/lightlogr-api-audit.md"
DEV-051,"H01|H05|H06|H10","metric_MDER","direct_outcome","superseded_by_METRIC_010","audit/decisions/mder_mean_of_viable_ratios.md"
DEV-052,"H01|H05|H06|H07|H08|H10","metric_dose","direct_outcome","in_progress","audit/decisions/metric_implementation_parameters.md:71-84"
DEV-053,"H01|H05|H06|H10","metric_IS_IV","direct_outcome","in_progress","audit/decisions/metric_implementation_parameters.md:111-122"
DEV-054,"H01|H05|H06|H07|H08|H09|H10","metric_windows_bouts_timing","direct_outcome","in_progress","audit/decisions/metric_implementation_parameters.md:86-109"
DEV-055,"H01|H02|H03|H04|H05|H06|H07|H08|H09|H10|H11","daily_coverage_denominator","upstream_input","approved","audit/decisions/daily_coverage_denominator.md; audit/findings/daily_coverage_denominator.md"
DEV-056,"H06","exercise_participant_identity","upstream_predictor_input","approved","config/model_input_source_pins.csv; audit/findings/preparation05_input_provenance_gaps.md; audit/reconciliation/preparation06/normalization_gate.md; tests/test_tum_exercise_source_transition.R"
IMP-022,"H01|H05|H06|H09|H10","metric_windows_bouts_timing","direct_outcome","approved","audit/evidence/preregistration_contract.md; audit/ledgers/decision_register.csv:METRIC-009"
DEV-057,"H01|H02|H03|H04|H05|H06|H07|H08|H09|H10|H11","inclusion","upstream_input","approved","audit/decisions/all_zero_medi_day_exclusion.md"
DEV-058,"H01|H05|H06|H10","metric_MDER","direct_outcome","approved_implemented_independently_verified_gap_repair_complete","audit/decisions/mder_mean_of_viable_ratios.md"
IMP-023,"H01","outcome_estimand","direct_outcome","approved","audit/decisions/h01_gate_resolution.md"
IMP-024,"H01","outcome_estimand","direct_outcome","approved","audit/decisions/h01_gate_resolution.md"
