"metric_id","metric","family","analysis_unit","state_and_placement_domain","current_validity","approved_action","estimand","units","primary_rule","reference_profile_use","sensitivity","failure_condition","retained_data_vs_metric_na","baseline_count_unit","baseline_current_glasses_denominator","baseline_current_glasses_nonmissing","baseline_current_glasses_metric_na","baseline_current_chest_denominator","baseline_current_chest_nonmissing","baseline_current_chest_metric_na","baseline_source","baseline_verification","rationale"
"MV-010","Longest period above 250 lx melanopic EDI","duration/continuity","participant-day","Intentional hybrid day unless a later hypothesis explicitly restricts the state; near-eye primary and chest complementary","modify","Retain with gap-aware period construction and censor flags","Duration of the longest observed contiguous supported period above 250 lx melanopic EDI","h","Use actual interval duration; terminate a period at every missing/invalid interval, disallowed gap, non-wear, device change, day boundary, and out-of-domain state boundary; store onset, offset, and boundary-censor flags","MEDI profile diagnoses whether likely qualifying periods are unsupported; it never joins or scales periods","Pooled profile primary; site-specific and leave-one-site-out profiles; alternative justified maximum-gap rule; paired chest complementary","Continuity cannot be established, the longest period touches an unobserved boundary, or target support is inadequate; adequately observed no-event day has duration 0","Metric-specific NA for unsupported/censored continuity; zero only for an adequately observed no-event day","participant-days","811","811","0","897","897","0","data/metrics_separate_glasses.RData and data/metrics_separate_chest.RData","baseline/current; R-verified 2026-07-29 with R 4.6.1; not final","Current numerical completeness is not evidence that missing rows were prevented from bridging a period"
"MV-011","First time above 250 lx melanopic EDI","timing/threshold","participant-day","Intentional hybrid day with local-clock search window; near-eye primary and chest complementary","modify","Retain with search-window support and left-censor handling; no coverage scaling","Local clock time of the first supported threshold event above 250 lx melanopic EDI","local clock time; model representation in decimal or circular hours","Search on the preserved grid; require the beginning of the search window to be observable; retain left-censor and no-event flags; do not impute or scale time","MEDI profile diagnoses temporal support only","Pooled profile primary; site-specific and leave-one-site-out profiles; common-sample chest complementary; eligible coverage scenarios only if boundary observability is preserved","No threshold event, unobserved left search boundary, unresolved time zone/DST, or insufficient search support","Metric-specific NA with no_threshold_event or left_censored; the day and its durations remain retained","participant-days","811","778","33","897","867","30","data/metrics_separate_glasses.RData and data/metrics_separate_chest.RData","baseline/current; R-verified 2026-07-29 with R 4.6.1; not final","The first observed event is not necessarily the first true event when early time is missing"
"MV-012","Last time above 250 lx melanopic EDI","timing/threshold","participant-day","Intentional hybrid day with local-clock search window; near-eye primary and chest complementary","modify","Retain with search-window support and right-censor handling; no coverage scaling","Local clock time of the last supported threshold event above 250 lx melanopic EDI","local clock time; model representation in decimal or circular hours","Search on the preserved grid; require the end of the search window to be observable; retain right-censor and no-event flags; do not impute or scale time","MEDI profile diagnoses temporal support only","Pooled profile primary; site-specific and leave-one-site-out profiles; common-sample chest complementary; eligible coverage scenarios only if boundary observability is preserved","No threshold event, unobserved right search boundary, unresolved time zone/DST, or insufficient search support","Metric-specific NA with no_threshold_event or right_censored; the day and its durations remain retained","participant-days","811","778","33","897","867","30","data/metrics_separate_glasses.RData and data/metrics_separate_chest.RData","baseline/current; R-verified 2026-07-29 with R 4.6.1; not final","The last observed event is not necessarily the last true event when late time is missing"
"MV-013","Mean timing above 250 lx melanopic EDI","timing/threshold","participant-day","Intentional hybrid day; near-eye primary and chest complementary","modify","Retain the documented replacement metric with circular interval-duration weighting and explicit deviation language","Circular mean local clock time of all supported intervals above 250 lx melanopic EDI, weighted by represented interval duration","local clock time; model representation in circular or decimal hours","Use qualifying intervals on the uncompressed clock axis; weight by actual represented duration; retain no-event and support status; do not relabel as midpoint of the longest period","MEDI profile diagnoses temporal support only","Pooled profile primary; site-specific and leave-one-site-out profiles; paired chest complementary; compare with the registered midpoint of the longest period only as a labelled deviation check if produced","No threshold event, insufficient search-window support, or circular resultant too weak to define a mean","Metric-specific NA with no_threshold_event or insufficient support; the day remains retained","participant-days","811","778","33","897","867","30","data/metrics_separate_glasses.RData and data/metrics_separate_chest.RData","baseline/current; R-verified 2026-07-29 with R 4.6.1; not final","Mean timing avoids reducing the day to one period but is a documented replacement of, not an equivalent name for, the registered midpoint of the longest period"
"MV-014","M10 midpoint","timing/window","participant-day","Brightest supported 10-hour window of the intentional hybrid day; near-eye primary and chest complementary","modify","Retain as midpoint of the same supported candidate used for M10 mean","Circular local clock midpoint of the brightest supported 10-hour window","local clock time; model representation in circular or decimal hours","Select from 20-consecutive-bin supported candidates and derive onset, offset, midpoint, support, and censor flags from one winning candidate","MEDI profile diagnoses candidate support; it does not shift the midpoint","Pooled profile primary; site-specific and leave-one-site-out profiles; paired chest complementary; eligible coverage scenarios with valid candidates","No supported 10-hour candidate, unresolved boundary, or ambiguous winning candidate under the declared tie rule","Metric-specific NA with no_supported_candidate; the day remains retained","participant-days","811","811","0","897","897","0","data/metrics_separate_glasses.RData and data/metrics_separate_chest.RData","baseline/current; R-verified 2026-07-29 with R 4.6.1; not final","Window timing is valid only if the selected 10-hour clock span itself is sufficiently observed"
"MV-015","L10 midpoint","timing/window","participant-day","Darkest supported 10-hour hybrid window, often including bedside sleep-environment observations","modify","Retain as midpoint of the same supported midnight-wrapping candidate used for L10 mean; no L5 timing substitute","Circular local clock midpoint of the darkest supported 10-hour window","local clock time; model representation in circular or decimal hours centered around midnight where required","Select from 20-consecutive-bin candidates with midnight wrap and derive onset, offset, midpoint, support, and censor flags from one winning candidate","MEDI profile diagnoses candidate support; it does not shift the midpoint","Pooled profile primary; site-specific and leave-one-site-out profiles; paired chest complementary; eligible coverage scenarios with valid candidates","No supported 10-hour candidate, unresolved midnight/DST boundary, or ambiguous winning candidate under the declared tie rule","Metric-specific NA with no_supported_candidate; the day remains retained","participant-days","811","811","0","897","897","0","data/metrics_separate_glasses.RData and data/metrics_separate_chest.RData","baseline/current; R-verified 2026-07-29 with R 4.6.1; not final","The registered L10 timing construct is retained, but its sleep-environment component and candidate support must be explicit"
"MV-016","Daily melanopic EDI dose","exposure history/integral","participant-day","Intentional hybrid day: near-eye waking/pre-sleep plus bedside sleep environment; chest is complementary","modify","Retain with actual-time integration and approved fixed-profile time-sensitive coverage correction","Integral of melanopic EDI over the eligible hybrid participant-day","lx·h","Compute observed dose as the sum of MEDI × actual interval hours; obtain primary corrected dose only by the fixed MEDI profile's time-sensitive support correction; export observed dose, profile-weighted coverage, correction factor, and corrected dose","Fixed pooled MEDI profile supplies the additive temporal mass used for correction; it is learned once and never refit by participant-day","Observed uncorrected dose; site-specific and leave-one-site-out profile corrections; eligible 70%/90% scenarios; paired chest complementary","Failed day eligibility, missing or non-positive reference mass, unsupported profile domain, or undefined/unstable correction","Corrected metric is NA with reason while observed dose may remain as a labelled diagnostic; other day metrics remain","participant-days","811","811","0","897","897","0","data/metrics_separate_glasses.RData and data/metrics_separate_chest.RData","baseline/current; R-verified 2026-07-29 with R 4.6.1; not final","Dose is additive and therefore supports a prespecified time-sensitive correction; row-count or naive inverse-coverage scaling ignores when exposure was missing"
"MV-017","Melanopic daylight efficacy ratio (MDER)","spectrum/ratio","participant-day","Identical paired MEDI and photopic LIGHT minutes in the intentional hybrid day; near-eye primary and chest complementary","retain","Use the METRIC-010 arithmetic mean of viable momentary ratios with a metric-specific 50 percent viable-minute requirement","Arithmetic mean of one-minute MEDI/LIGHT ratios where both channels are finite and strictly positive","dimensionless","Place eligible measurements on a complete 1440-minute local wall-clock grid; average duplicated fall-back observations channel-wise within local minute; calculate MEDI/LIGHT only for finite strictly positive pairs; require at least 720 viable minutes; return the arithmetic mean of viable minute ratios; never scale weight or profile-correct MDER","No reference profile is used to calculate weight scale or gate MDER under METRIC-010","Use the same independently reconstructed mean-of-ratios construct in the gap-timing-unaware dataset; compare on common samples and run model-specific current-estimand upper-tail and influence checks; paired/common-sample chest is complementary","No viable momentary ratio or fewer than 720 viable paired minutes on the fixed local wall-clock grid","Metric-specific reason-coded NA only; the participant-day and every other supported metric remain retained","participant-days","816","702","114","902","732","170","artifacts/05_metrics/metrics_glasses_participant_day.rds and artifacts/05_metrics/metrics_chest_participant_day.rds; artifacts/08_diagnostics/mder_METRIC-010/; audit/reconciliation/mder_METRIC-010_gap_repair/","Independent R 4.6.1 reconstruction PASS on 2026-08-11; primary metric manifest 7bb2830c695e5600f0877acca500a187a040fe727a029bdb069f69099abe4f43; gap manifest 4ed62fbe58de65a6d05d8cfc6b5d870d7c74a3c83fe89bcd72bd1dd838698935; 137 near-eye and 152 chest participants represented in each estimable MDER scenario","The author intends moments to contribute equally before daily averaging; ratio of integrals instead weights moments by photopic illuminance and caused the pronounced upward shift; repaired primary and gap-timing-unaware common-day values are nearly identical under the shared formula"
"MV-018","Interdaily stability (IS)","dynamics/regularity","participant","Intentional hybrid repeated-day grid; near-eye waking/pre-sleep and bedside sleep environment; chest complementary","modify","Retain only on a regular one-hour local-clock grid with common-bin repeated-day support","Stability of the participant's hybrid light profile across like local-clock hours on eligible days","dimensionless","Construct the expected one-hour grid; preserve missing hours; compare like clock hours across days; require at least three eligible days and at least 20 of 24 clock hours represented on at least two days; collapse a repeated fall-back wall hour only for the like-clock comparison","Fixed MEDI profile diagnoses systematic clock-bin support but does not fill the participant series","Pooled profile primary; site-specific and leave-one-site-out profiles; 70%/90% eligibility where regularity remains estimable; wake-only analysis is complementary because it changes the estimand","Fewer than three eligible days, fewer than 20 clock hours represented on at least two days, unresolved DST grid, or undefined total variance","Participant-level metric-specific NA; participant-days remain in other analyses","participants","141","141","0","154","154","0","data/metrics_separate_glasses.RData and data/metrics_separate_chest.RData","baseline/current; R-verified 2026-07-29 with R 4.6.1; not final","na.rm on an irregular or systematically incomplete series can produce a number without preserving the whole-day regularity construct"
"MV-019","Intradaily variability (IV)","dynamics/fragmentation","participant","Intentional hybrid repeated-day grid; near-eye waking/pre-sleep and bedside sleep environment; chest complementary","modify","Retain only with true expected-interval adjacency on a regular one-hour absolute-time grid","Fragmentation of the participant's hybrid light series based on changes between truly adjacent supported hours","dimensionless","Construct the expected one-hour real-time grid; calculate differences only for timestamps separated by exactly one hour and within valid continuity; preserve both fall-back hours, gaps, and adjacent-pair support; require at least three eligible days and at least 24 adjacent pairs across three days","Fixed MEDI profile diagnoses systematic support but does not fill gaps or create adjacency","Pooled profile primary; site-specific and leave-one-site-out profiles; justified adjacency/gap sensitivity; wake-only analysis is complementary because it changes the estimand","Fewer than three eligible days, fewer than 24 true adjacent pairs across three days, unresolved DST/device boundary, or undefined variance denominator","Participant-level metric-specific NA; participant-days remain in other analyses","participants","141","141","0","154","154","0","data/metrics_separate_glasses.RData and data/metrics_separate_chest.RData","baseline/current; R-verified 2026-07-29 with R 4.6.1; not final","Rows on opposite sides of missing time are not adjacent; deleting gaps or concatenating states artificially inflates or alters fragmentation"
