"flow_id","run_id","placement","scenario","stage","site","participants","participant_days","hours","observations","excluded_participants","excluded_days","excluded_hours","excluded_observations","reason","producer","artifact_sha256","status"
"FLOW-P04-RULEA-CHEST-KNUST-FINAL","PREP04-R461-ac0325716421","chest","primary_rule_A","hour_and_day_eligible_real_minutes","KNUST",15,83,1914,114840,0,35,918,55080,"canonical Rule A final hourly-and-daily eligible true-UTC minute support; exclusions relative to site aligned_real_minutes","scripts/pipeline/build_coverage_sample_flow.R","f1ac7981e410ed46dd445cf320b3bb744b2d2b7255ea29cbd8713072e89ff8a2","verified_rule_A_site_flow"
"FLOW-P04-RULEA-CHEST-RISE-FINAL","PREP04-R461-ac0325716421","chest","primary_rule_A","hour_and_day_eligible_real_minutes","RISE",16,96,2245,134700,1,41,1042,62520,"canonical Rule A final hourly-and-daily eligible true-UTC minute support; exclusions relative to site aligned_real_minutes","scripts/pipeline/build_coverage_sample_flow.R","f1ac7981e410ed46dd445cf320b3bb744b2d2b7255ea29cbd8713072e89ff8a2","verified_rule_A_site_flow"
"FLOW-P04-RULEA-CHEST-THUAS-FINAL","PREP04-R461-ac0325716421","chest","primary_rule_A","hour_and_day_eligible_real_minutes","THUAS",15,94,2182,130920,0,31,817,49020,"canonical Rule A final hourly-and-daily eligible true-UTC minute support; exclusions relative to site aligned_real_minutes","scripts/pipeline/build_coverage_sample_flow.R","f1ac7981e410ed46dd445cf320b3bb744b2d2b7255ea29cbd8713072e89ff8a2","verified_rule_A_site_flow"
"FLOW-P04-RULEA-CHEST-TUM-FINAL","PREP04-R461-ac0325716421","chest","primary_rule_A","hour_and_day_eligible_real_minutes","TUM",10,60,1390,83400,0,20,530,31800,"canonical Rule A final hourly-and-daily eligible true-UTC minute support; exclusions relative to site aligned_real_minutes","scripts/pipeline/build_coverage_sample_flow.R","f1ac7981e410ed46dd445cf320b3bb744b2d2b7255ea29cbd8713072e89ff8a2","verified_rule_A_site_flow"
"FLOW-P04-RULEA-CHEST-UCR-FINAL","PREP04-R461-ac0325716421","chest","primary_rule_A","hour_and_day_eligible_real_minutes","UCR",39,226,5269,316140,0,86,2219,133140,"canonical Rule A final hourly-and-daily eligible true-UTC minute support; exclusions relative to site aligned_real_minutes","scripts/pipeline/build_coverage_sample_flow.R","f1ac7981e410ed46dd445cf320b3bb744b2d2b7255ea29cbd8713072e89ff8a2","verified_rule_A_site_flow"
"FLOW-P04-METRIC-GLASSES-D01","PREP04-R461-ac0325716421","glasses","primary_rule_A_metric_specific","mder_ratio_of_integrals","ALL",141,733,,733,0,78,,78,"below_medi_profile_support=75|nonpositive_paired_light_integral=2|below_light_profile_support=1; METRIC-008 primary retention approved; 90pct_support|exact_two_day_exclusion|waking_only pending","scripts/pipeline/build_metric_derivation.R","a3964a8d323b0f9cca52b55a56ac03619366ee45a4ecdfda150332e380e41f3d","approved_primary_disposition_sensitivities_pending"
"FLOW-P04-METRIC-GLASSES-D02","PREP04-R461-ac0325716421","glasses","primary_rule_A_metric_specific","daily_geometric_mean_medi","ALL",141,811,,811,0,0,,0,"no metric-specific non-finite participant-days","scripts/pipeline/build_metric_derivation.R","a3964a8d323b0f9cca52b55a56ac03619366ee45a4ecdfda150332e380e41f3d","verified_metric_specific_flow"
"FLOW-P04-METRIC-GLASSES-D03","PREP04-R461-ac0325716421","glasses","primary_rule_A_metric_specific","m10_mean_medi","ALL",141,811,,811,0,0,,0,"no metric-specific non-finite participant-days","scripts/pipeline/build_metric_derivation.R","a3964a8d323b0f9cca52b55a56ac03619366ee45a4ecdfda150332e380e41f3d","verified_metric_specific_flow"
"FLOW-P04-METRIC-GLASSES-D04","PREP04-R461-ac0325716421","glasses","primary_rule_A_metric_specific","m10_midpoint","ALL",141,809,,809,0,2,,2,"all_candidates_tied=2; METRIC-007 verified: 2 all-841-candidate ties are timing-only missing","scripts/pipeline/build_metric_derivation.R","a3964a8d323b0f9cca52b55a56ac03619366ee45a4ecdfda150332e380e41f3d","verified_m10_all_candidate_tie_repair"
"FLOW-P04-METRIC-GLASSES-D05","PREP04-R461-ac0325716421","glasses","primary_rule_A_metric_specific","m10_onset","ALL",141,809,,809,0,2,,2,"all_candidates_tied=2; METRIC-007 verified: 2 all-841-candidate ties are timing-only missing","scripts/pipeline/build_metric_derivation.R","a3964a8d323b0f9cca52b55a56ac03619366ee45a4ecdfda150332e380e41f3d","verified_m10_all_candidate_tie_repair"
"FLOW-P04-METRIC-GLASSES-D06","PREP04-R461-ac0325716421","glasses","primary_rule_A_metric_specific","m10_offset","ALL",141,809,,809,0,2,,2,"all_candidates_tied=2; METRIC-007 verified: 2 all-841-candidate ties are timing-only missing","scripts/pipeline/build_metric_derivation.R","a3964a8d323b0f9cca52b55a56ac03619366ee45a4ecdfda150332e380e41f3d","verified_m10_all_candidate_tie_repair"
"FLOW-P04-METRIC-GLASSES-D07","PREP04-R461-ac0325716421","glasses","primary_rule_A_metric_specific","l10_mean_medi","ALL",141,811,,811,0,0,,0,"no metric-specific non-finite participant-days","scripts/pipeline/build_metric_derivation.R","a3964a8d323b0f9cca52b55a56ac03619366ee45a4ecdfda150332e380e41f3d","verified_metric_specific_flow"
"FLOW-P04-METRIC-GLASSES-D08","PREP04-R461-ac0325716421","glasses","primary_rule_A_metric_specific","l10_midpoint","ALL",141,809,,809,0,2,,2,"low_tie_resultant=2","scripts/pipeline/build_metric_derivation.R","a3964a8d323b0f9cca52b55a56ac03619366ee45a4ecdfda150332e380e41f3d","verified_metric_specific_flow"
"FLOW-P04-METRIC-GLASSES-D09","PREP04-R461-ac0325716421","glasses","primary_rule_A_metric_specific","l10_onset","ALL",141,809,,809,0,2,,2,"low_tie_resultant=2","scripts/pipeline/build_metric_derivation.R","a3964a8d323b0f9cca52b55a56ac03619366ee45a4ecdfda150332e380e41f3d","verified_metric_specific_flow"
"FLOW-P04-METRIC-GLASSES-D10","PREP04-R461-ac0325716421","glasses","primary_rule_A_metric_specific","l10_offset","ALL",141,809,,809,0,2,,2,"low_tie_resultant=2","scripts/pipeline/build_metric_derivation.R","a3964a8d323b0f9cca52b55a56ac03619366ee45a4ecdfda150332e380e41f3d","verified_metric_specific_flow"
"FLOW-P04-METRIC-GLASSES-D11","PREP04-R461-ac0325716421","glasses","primary_rule_A_metric_specific","duration_above_1000","ALL",141,811,,811,0,0,,0,"no metric-specific non-finite participant-days","scripts/pipeline/build_metric_derivation.R","a3964a8d323b0f9cca52b55a56ac03619366ee45a4ecdfda150332e380e41f3d","verified_metric_specific_flow"
"FLOW-P04-METRIC-GLASSES-D12","PREP04-R461-ac0325716421","glasses","primary_rule_A_metric_specific","duration_above_250_full_day","ALL",141,811,,811,0,0,,0,"no metric-specific non-finite participant-days","scripts/pipeline/build_metric_derivation.R","a3964a8d323b0f9cca52b55a56ac03619366ee45a4ecdfda150332e380e41f3d","verified_metric_specific_flow"
"FLOW-P04-METRIC-GLASSES-D13","PREP04-R461-ac0325716421","glasses","primary_rule_A_metric_specific","longest_bout_above_250","ALL",141,811,,811,0,0,,0,"no metric-specific non-finite participant-days","scripts/pipeline/build_metric_derivation.R","a3964a8d323b0f9cca52b55a56ac03619366ee45a4ecdfda150332e380e41f3d","verified_metric_specific_flow"
"FLOW-P04-METRIC-GLASSES-D14","PREP04-R461-ac0325716421","glasses","primary_rule_A_metric_specific","mean_timing_above_250","ALL",141,714,,714,0,97,,97,"insufficient_relevance_support=64|no_threshold_event=33","scripts/pipeline/build_metric_derivation.R","a3964a8d323b0f9cca52b55a56ac03619366ee45a4ecdfda150332e380e41f3d","verified_metric_specific_flow"
"FLOW-P04-METRIC-GLASSES-D15","PREP04-R461-ac0325716421","glasses","primary_rule_A_metric_specific","first_timing_above_250","ALL",140,717,,717,1,94,,94,"insufficient_relevance_support=61|no_threshold_event=33","scripts/pipeline/build_metric_derivation.R","a3964a8d323b0f9cca52b55a56ac03619366ee45a4ecdfda150332e380e41f3d","verified_metric_specific_flow"
"FLOW-P04-METRIC-GLASSES-D16","PREP04-R461-ac0325716421","glasses","primary_rule_A_metric_specific","last_timing_above_250","ALL",141,679,,679,0,132,,132,"insufficient_relevance_support=99|no_threshold_event=33","scripts/pipeline/build_metric_derivation.R","a3964a8d323b0f9cca52b55a56ac03619366ee45a4ecdfda150332e380e41f3d","verified_metric_specific_flow"
"FLOW-P04-METRIC-GLASSES-D17","PREP04-R461-ac0325716421","glasses","primary_rule_A_metric_specific","dose_observed_medi","ALL",141,811,,811,0,0,,0,"no metric-specific non-finite participant-days","scripts/pipeline/build_metric_derivation.R","a3964a8d323b0f9cca52b55a56ac03619366ee45a4ecdfda150332e380e41f3d","verified_metric_specific_flow"
"FLOW-P04-METRIC-GLASSES-D18","PREP04-R461-ac0325716421","glasses","primary_rule_A_metric_specific","dose_time_sensitive_corrected_medi","ALL",141,736,,736,0,75,,75,"low_relevance_coverage=75","scripts/pipeline/build_metric_derivation.R","a3964a8d323b0f9cca52b55a56ac03619366ee45a4ecdfda150332e380e41f3d","verified_metric_specific_flow"
"FLOW-P04-METRIC-GLASSES-D19","PREP04-R461-ac0325716421","glasses","primary_rule_A_metric_specific","duration_above_250_wake","ALL",141,714,,714,0,97,,97,"insufficient_state_support=57|incomplete_state_domain=40","scripts/pipeline/build_metric_derivation.R","a3964a8d323b0f9cca52b55a56ac03619366ee45a4ecdfda150332e380e41f3d","verified_metric_specific_flow"
"FLOW-P04-METRIC-GLASSES-D20","PREP04-R461-ac0325716421","glasses","primary_rule_A_metric_specific","duration_below_10_pre_sleep","ALL",139,645,,645,2,166,,166,"insufficient_state_support=112|incomplete_state_domain=40|no_state_window=14","scripts/pipeline/build_metric_derivation.R","a3964a8d323b0f9cca52b55a56ac03619366ee45a4ecdfda150332e380e41f3d","verified_metric_specific_flow"
"FLOW-P04-METRIC-GLASSES-D21","PREP04-R461-ac0325716421","glasses","primary_rule_A_metric_specific","duration_below_1_sleep_environment","ALL",141,771,,771,0,40,,40,"incomplete_state_domain=40","scripts/pipeline/build_metric_derivation.R","a3964a8d323b0f9cca52b55a56ac03619366ee45a4ecdfda150332e380e41f3d","verified_metric_specific_flow"
"FLOW-P04-METRIC-CHEST-D01","PREP04-R461-ac0325716421","chest","primary_rule_A_metric_specific","mder_ratio_of_integrals","ALL",154,825,,825,0,72,,72,"below_medi_profile_support=70|nonpositive_paired_light_integral=2; METRIC-008 primary retention approved; 90pct_support|exact_two_day_exclusion|waking_only pending","scripts/pipeline/build_metric_derivation.R","35c86b572fcb9105c7c82dbdb9e6e15e1d2158870face66ff4c5a939072b7297","approved_primary_disposition_sensitivities_pending"
"FLOW-P04-METRIC-CHEST-D02","PREP04-R461-ac0325716421","chest","primary_rule_A_metric_specific","daily_geometric_mean_medi","ALL",154,897,,897,0,0,,0,"no metric-specific non-finite participant-days","scripts/pipeline/build_metric_derivation.R","35c86b572fcb9105c7c82dbdb9e6e15e1d2158870face66ff4c5a939072b7297","verified_metric_specific_flow"
"FLOW-P04-METRIC-CHEST-D03","PREP04-R461-ac0325716421","chest","primary_rule_A_metric_specific","m10_mean_medi","ALL",154,897,,897,0,0,,0,"no metric-specific non-finite participant-days","scripts/pipeline/build_metric_derivation.R","35c86b572fcb9105c7c82dbdb9e6e15e1d2158870face66ff4c5a939072b7297","verified_metric_specific_flow"
"FLOW-P04-METRIC-CHEST-D04","PREP04-R461-ac0325716421","chest","primary_rule_A_metric_specific","m10_midpoint","ALL",154,894,,894,0,3,,3,"all_candidates_tied=3; METRIC-007 verified: 3 all-841-candidate ties are timing-only missing","scripts/pipeline/build_metric_derivation.R","35c86b572fcb9105c7c82dbdb9e6e15e1d2158870face66ff4c5a939072b7297","verified_m10_all_candidate_tie_repair"
"FLOW-P04-METRIC-CHEST-D05","PREP04-R461-ac0325716421","chest","primary_rule_A_metric_specific","m10_onset","ALL",154,894,,894,0,3,,3,"all_candidates_tied=3; METRIC-007 verified: 3 all-841-candidate ties are timing-only missing","scripts/pipeline/build_metric_derivation.R","35c86b572fcb9105c7c82dbdb9e6e15e1d2158870face66ff4c5a939072b7297","verified_m10_all_candidate_tie_repair"
"FLOW-P04-METRIC-CHEST-D06","PREP04-R461-ac0325716421","chest","primary_rule_A_metric_specific","m10_offset","ALL",154,894,,894,0,3,,3,"all_candidates_tied=3; METRIC-007 verified: 3 all-841-candidate ties are timing-only missing","scripts/pipeline/build_metric_derivation.R","35c86b572fcb9105c7c82dbdb9e6e15e1d2158870face66ff4c5a939072b7297","verified_m10_all_candidate_tie_repair"
"FLOW-P04-METRIC-CHEST-D07","PREP04-R461-ac0325716421","chest","primary_rule_A_metric_specific","l10_mean_medi","ALL",154,897,,897,0,0,,0,"no metric-specific non-finite participant-days","scripts/pipeline/build_metric_derivation.R","35c86b572fcb9105c7c82dbdb9e6e15e1d2158870face66ff4c5a939072b7297","verified_metric_specific_flow"
"FLOW-P04-METRIC-CHEST-D08","PREP04-R461-ac0325716421","chest","primary_rule_A_metric_specific","l10_midpoint","ALL",154,894,,894,0,3,,3,"low_tie_resultant=3","scripts/pipeline/build_metric_derivation.R","35c86b572fcb9105c7c82dbdb9e6e15e1d2158870face66ff4c5a939072b7297","verified_metric_specific_flow"
"FLOW-P04-METRIC-CHEST-D09","PREP04-R461-ac0325716421","chest","primary_rule_A_metric_specific","l10_onset","ALL",154,894,,894,0,3,,3,"low_tie_resultant=3","scripts/pipeline/build_metric_derivation.R","35c86b572fcb9105c7c82dbdb9e6e15e1d2158870face66ff4c5a939072b7297","verified_metric_specific_flow"
"FLOW-P04-METRIC-CHEST-D10","PREP04-R461-ac0325716421","chest","primary_rule_A_metric_specific","l10_offset","ALL",154,894,,894,0,3,,3,"low_tie_resultant=3","scripts/pipeline/build_metric_derivation.R","35c86b572fcb9105c7c82dbdb9e6e15e1d2158870face66ff4c5a939072b7297","verified_metric_specific_flow"
"FLOW-P04-METRIC-CHEST-D11","PREP04-R461-ac0325716421","chest","primary_rule_A_metric_specific","duration_above_1000","ALL",154,897,,897,0,0,,0,"no metric-specific non-finite participant-days","scripts/pipeline/build_metric_derivation.R","35c86b572fcb9105c7c82dbdb9e6e15e1d2158870face66ff4c5a939072b7297","verified_metric_specific_flow"
"FLOW-P04-METRIC-CHEST-D12","PREP04-R461-ac0325716421","chest","primary_rule_A_metric_specific","duration_above_250_full_day","ALL",154,897,,897,0,0,,0,"no metric-specific non-finite participant-days","scripts/pipeline/build_metric_derivation.R","35c86b572fcb9105c7c82dbdb9e6e15e1d2158870face66ff4c5a939072b7297","verified_metric_specific_flow"
