change_id,date,status,category,files,description,rationale,verification,result_effect,decision_id
CHG-011,2026-07-30,unit_verified,state_metric_support,"scripts/pipeline/state_interval_projection.R; scripts/pipeline/metric_derivation.R; scripts/pipeline/build_metric_derivation.R; notebooks/preparation/04_metric_derivation.qmd; tests/test_build_metric_derivation.R; audit/findings/state_interval_projection.md","Made canonical sleep/wear interval artifacts explicit checksummed metric inputs, projected them with true-UTC half-open semantics before joining light values, verified all source-present state/context values, and separated incomplete_state_domain from no_state_window and insufficient_state_support","State denominators must include source-absent minutes inside known intervals without inferring genuinely unsupported diary spans or deleting otherwise valid days","Warning-as-error synthetic Preparation 04 suite passed; BAUA near-eye projection reconciled 152640 minutes and classified 36 state-metric instances on 12 days as incomplete without running final metrics","State-specific estimable denominators can change; full-day metrics and participant-days are retained; full-cohort result comparison remains pending","STATE-004; METRIC-002"
CHG-012,2026-07-30,in_progress,artifact_provenance,"scripts/pipeline/paths_io.R; scripts/pipeline/reconcile_pinned_download_hashes.R; tests/test_paths_io.R; audit/reconciliation/pinned_download_hash_reconciliation.csv; audit/baseline/pinned_source_hashes.csv","Replaced text-connection pseudo-hashes with exact bytewise SHA-256, reconciled all 35 pinned cached sources locally with zero downloads, and recorded the complete old-to-new mapping","Make checksums externally verifiable and prevent stale binary-input provenance from entering later artifacts","Binary/text regression tests and idempotent no-download reconciliation pass; 101 affected binary artifacts and 17 CSVs with embedded stale digests were inventoried; canonical downstream regeneration is in progress","No scientific value effect expected; any count or value mismatch during regeneration becomes a major scientific gate",""
CHG-013,2026-07-30,verified,audit_documentation,"audit/ledgers/deviation_register.csv; audit/ledgers/deviation_hypothesis_crosswalk.csv; audit/ledgers/decision_register.csv","Completed preregistration-deviation traceability through H11, added explicit implemented and unresolved deviations, created a deviation-to-hypothesis crosswalk, recorded the daily coverage-denominator gate, and added the approved metric-validity decision","Prevent undocumented adaptations from being inherited silently and distinguish approved repairs from unresolved estimand, model, inclusion, and multiplicity choices","The 80 deviation IDs and 19 decision IDs are unique; the crosswalk covers every deviation and H01–H11 with matching statuses; 167 path/line locators resolve","Documentation only; unresolved scientific choices remain gated within their affected hypothesis units","METRIC-001"
CHG-014,2026-07-30,verified,inclusion_diagnostic,"scripts/pipeline/daily_coverage_rule_diagnostic.R; scripts/pipeline/build_daily_coverage_rule_diagnostic.R; tests/test_daily_coverage_rule_diagnostic.R; audit/findings/daily_coverage_denominator.md; audit/decisions/daily_coverage_denominator.md","Compared the canonical fixed-1440 whole-cycle rule with two fixed sleep-excluded alternatives, documented Rule A as primary, and registered Rules B and C as sensitivities without changing canonical eligibility","Rule A operationalizes the intended hybrid 24-hour coverage question across waking near-eye and bedside diary-sleep measurements; the literal preregistration wording excludes sleep and remains disclosed as DEV-055","Rule A exactly reproduced canonical eligibility; 5/5 output hashes and 2/2 input hashes pass; synthetic DST/state/boundary tests pass with warnings as errors; COVERAGE-001 records the approved choice","Primary flow remains 811 near-eye and 897 chest participant-days; Rule B yields 758 and 838, Rule C yields 757 and 837, no scenario loses an eligible participant, and hypothesis-result effects remain sensitivity work","COVERAGE-001; DEV-055"
CHG-015,2026-07-30,verified,audit_unit_repair,"scripts/pipeline/aggregation_coverage.R; scripts/pipeline/verify_coverage_artifacts.R; tests/test_aggregation_coverage.R; tests/test_verify_coverage_artifacts.R; audit/findings/day_eligible_hours_unit.md","Corrected day_eligible_hours from a minute-row sum to a distinct eligible clock-hour count and added an independent Preparation 02 artifact verifier","The daily audit column was exactly 60 times too large because each hourly flag was repeated across 60 grid rows","Synthetic corruption tests pass; the full verifier independently reconstructs all coverage fields and reports 10/10 artifact hashes and byte counts with exact input-row and sample-flow reconciliation","None: Rule A retains 811 near-eye and 897 chest participant-days and all eligibility flags and signal values are unchanged",""
CHG-016,2026-07-30,verified,artifact_metadata,"scripts/pipeline/reference_profiles.R; scripts/pipeline/verify_reference_profile_artifacts.R; tests/test_reference_profiles.R; tests/test_verify_reference_profile_artifacts.R; audit/findings/reference_profile_training_site_count.md; artifacts/12_manifests/reference_profile_artifacts.csv","Corrected training_site_count so it records the distinct sites used to learn each fixed profile and added an independent profile-artifact verifier","The prior sequential mutate expression counted the 48 clock-bin rows instead of the explicit training-site vector","The warning-as-errors canonical audit passed 190 of 190 checks with 48 independently reconstructed strata all 288 site-metadata groups exact and deliberate corruption controls detected","None: training membership scientific profile values support and relevance formulas were independently reproduced and accepted","METRIC-002"
CHG-017,2026-07-30,verified,author_gate_robustness,"scripts/pipeline/metric_derivation.R; scripts/pipeline/build_metric_derivation.R; scripts/pipeline/verify_state_support_gate_artifacts.R; notebooks/preparation/04_metric_derivation.qmd; tests/test_build_metric_derivation.R; tests/test_verify_state_support_gate_artifacts.R; artifacts/05_metrics/state_support_gate_daily.csv; artifacts/05_metrics/state_support_candidate_diagnostics.csv; artifacts/05_metrics/state_support_candidate_by_site.csv","Locked the state-support candidate registry to 0.70/0.80/0.90 used explicit diary-domain completeness and added site participant quantile marginal-loss and classification-reconciliation diagnostics","The author gate must be cutoff-neutral auditable and unable to substitute an unregistered candidate or infer completeness from a missing failure label","Independent reconstruction exactly matched 5124 daily rows 18 overall summaries and 153 site summaries and detected deliberate registry completeness count and hash corruptions; the author approved 0.80 primary with 0.70/0.90 sensitivities before final metric values or hypothesis results were inspected","No participant-day eligibility change; only the affected state-duration metric becomes reason-coded unavailable below 0.80 and the 0.70/0.90 scenarios remain fixed sensitivities","STATE-004; STATE-005; METRIC-002"
CHG-018,2026-07-30,in_progress,mder_support,"scripts/pipeline/mder_support_gate.R; scripts/pipeline/build_mder_support_gate.R; scripts/pipeline/verify_mder_support_gate_artifacts.R; scripts/pipeline/metric_derivation.R; scripts/pipeline/build_metric_derivation.R; notebooks/preparation/04_metric_derivation.qmd; tests/test_mder_support_gate.R; tests/test_verify_mder_support_gate_artifacts.R; tests/test_build_metric_derivation.R; audit/findings/mder_support_cutoff_gate.md; audit/decisions/metric_validity.md; audit/decisions/metric_implementation_parameters.md; audit/ledgers/decision_register.csv; audit/ledgers/deviation_register.csv; audit/ledgers/metric_validity.csv","Fixed MDER support candidates at 0.70/0.80/0.90 and approved 0.80 primary for ordinary paired fixed MEDI-profile and fixed LIGHT-profile support with a positive paired LIGHT denominator; failures become reason-coded MDER NA without removing the day and the ratio is never scaled or profile-weighted","MDER requires an adequately observed common signal domain while preserving otherwise useful participant-days and avoiding result-driven support choices","The independent R 4.6.1 verifier exactly reconstructed 2650/2650 daily site participant and overall rows confirmed five artifact hashes input immutability and absence of ratio calculation or scaling; manifest SHA-256 c4ecfab41892e44b38dd78097277ccef5f94a379b44c7b309de281e9215a7b3c; canonical Preparation 04 rerun and value/result comparison remain pending","At the support gate 0.80 retains 733/811 near-eye and 825/897 chest MDER instances with all 141/9 and 154/8 participants/sites represented; repaired MDER values model samples and conclusions remain pending","METRIC-001; METRIC-002; METRIC-003; DEV-051; IMP-013"
CHG-019,2026-07-30,upstream_verified,threshold_timing_support,"scripts/pipeline/reference_profiles.R; scripts/pipeline/build_reference_profiles.R; scripts/pipeline/verify_reference_profile_artifacts.R; tests/test_reference_profiles.R; tests/test_build_reference_profiles.R; tests/test_verify_reference_profile_artifacts.R; audit/findings/threshold_timing_zero_relevance_map.md; audit/decisions/metric_implementation_parameters.md; notebooks/preparation/03_reference_profiles.qmd; notebooks/preparation/04_metric_derivation.qmd; audit/ledgers/decision_register.csv; audit/ledgers/finding_register.csv","Replaced the zero-mass median-excess timing map with a fixed 30-minute strict MEDI >250 lx distribution balanced first across participant-days and then participants; pooled is primary and site/leave-one-site-out variants are retained; the map is support-only with 0.80 primary and 0.70/0.90 sensitivities","The prior pooled median profiles never exceeded 250 lx and made every repaired timing non-estimable despite observed threshold events","The canonical Preparation 03 manifest c8e02302521360d3a5cb18f49e0a97aed4a1f0ea64343ead68bde274cddce10d passed 394/394 independent checks with all 288 median-profile and 36 exceedance-distribution groups reconstructed and all 11 hashes exact; Preparation 04 result verification remains pending","All 36 timing maps are now estimable; final timing denominators values models and claims remain gated on Preparation 04 comparison","METRIC-004"
CHG-020,2026-07-30,unit_verified,rolling_window_grid,"scripts/pipeline/time_support.R; scripts/pipeline/build_metric_derivation.R; scripts/pipeline/verify_rolling_windows.R; tests/test_time_support.R; tests/test_build_metric_derivation.R; tests/test_verify_rolling_windows.R; audit/findings/rolling_window_candidate_grid.md; audit/decisions/metric_implementation_parameters.md; notebooks/preparation/04_metric_derivation.qmd; audit/ledgers/decision_register.csv; audit/ledgers/finding_register.csv","Changed M10/L10 from 30-minute-spaced starts to every wall-clock minute while retaining fixed 30-minute support profiles expanded to minutes; M10 remains non-wrapping L10 wraps and L5 is absent","The one-minute target-window search must not inherit the learning resolution of its support profile","Focused R 4.6.1 tests pass; an independent literal verifier reproduced 841 M10 and 1440 L10 candidates across ten synthetic and sixteen fixed project-data comparisons with maximum candidate and summary differences of 3.93e-14 and 3.69e-13; canonical rebuild pending","M10/L10 levels and timings can change relative to the intermediate 30-minute-grid artifacts; final model and claim effects remain pending","METRIC-005"
CHG-021,2026-07-30,unit_verified,longest_period_bounds,"scripts/pipeline/metric_derivation.R; scripts/pipeline/build_metric_derivation.R; tests/test_build_metric_derivation.R; audit/decisions/metric_implementation_parameters.md; notebooks/preparation/04_metric_derivation.qmd; audit/ledgers/decision_register.csv","Changed the primary longest period above 250 lx from exactly identifiable missingness to the observed uninterrupted lower bound; retained the possible upper bound censor flag and exactly identifiable sensitivity without deleting days","Bounds preserve the information actually observed while distinguishing partial identification from a known no-event day","The R 4.6.1 synthetic Preparation 04 suite passes cases with hidden longer periods wholly missing records day-boundary contact strict endpoints context breaks and exact identification; full-data rebuild and result comparison remain pending","Primary period values will remain available as lower bounds on partly observed days that were missing in the intermediate repair; exactly identifiable sensitivity samples and downstream effects remain pending","METRIC-006"
CHG-022,2026-07-30,verified,minute_aggregation_support_audit,"audit/findings/minute_aggregation_support.md; audit/decisions/minute_aggregation.md; audit/ledgers/finding_register.csv; audit/ledgers/decision_register.csv","Quantified complete and partial native-epoch support in every canonical one-minute import artifact retained complete-native-epoch support as primary and fixed a >=50%-within-minute sensitivity with site-specific reporting","Determine whether the strict per-minute rule throws away enough finite data to warrant a primary change without inspecting downstream hypothesis results","The read-only R 4.6.1 audit reconciled all 17 one-minute RDS hashes and found only 727 recoverable chest minutes per signal and 2314 MEDI or 2387 LIGHT glasses minutes; 93.0% and 98.2% of additions were at KNUST","No primary sample-definition change; the relaxed sensitivity may add 0.040%-0.146% of represented minutes and its downstream stability remains pending","PREP-001"
CHG-023,2026-07-30,verified,clean_session_dependency,"scripts/pipeline/build_metric_derivation.R; notebooks/preparation/04_metric_derivation.qmd; tests/test_metric_entrypoint_dependencies.R; audit/findings/preparation04_entrypoint_dependency.md; audit/ledgers/finding_register.csv","Added the missing reference_profiles.R dependency to both Preparation 04 entrypoints and a regression test for exact dependency presence and order","The distribution-profile validator was available in the focused test session but absent from a clean canonical session","The dependency regression passes and the builder parses and completes canonically under R 4.6.1 for 897 chest and 811 glasses participant-days; the failed pre-repair attempt stopped before deriving or writing metric artifacts","No scientific output effect; restores clean-session execution of the approved timing-support validation","METRIC-004"
CHG-024,2026-07-30,verified,longest_period_tie_diagnostic,"scripts/pipeline/metric_derivation.R; scripts/pipeline/build_metric_derivation.R; tests/test_build_metric_derivation.R; audit/decisions/metric_implementation_parameters.md; notebooks/preparation/04_metric_derivation.qmd; audit/findings/longest_bout_tie_diagnostic.md","Aligned the selected-longest-period boundary-contact flag with the reported onset and offset retained a separate any-longest-run flag and completed per-artifact bound and failure metadata","The prior diagnostic label could refer to a different tied maximum run from the selected timestamps","Focused tied-run tests pass; all shared columns across 32 frozen pre-repair and final analysis tables are identical and only explanatory columns and metadata were added","No scientific-value effect","METRIC-006"
CHG-025,2026-07-30,verified,preparation04_independent_verifier,"scripts/pipeline/verify_metric_derivation_core.R; tests/test_verify_metric_derivation_core.R; audit/reconciliation/preparation04/core_verification.md","Added an independent verifier for the exact metric artifact contract whole-cohort cross-table invariants fixed timing-map linkage and minute-level state timing and longest-period reconstruction","Producer-side validation cannot independently establish that written outputs implement the approved scientific contract","Synthetic corruption tests pass and the complete run independently reconstructed all 1708 eligible participant-days and all 36 timing-map groups; 29-artifact manifest SHA-256 4612189042c7efb030a67809ea0e76d52ff24470db37c06e4dfdbcb91ddfb1dc","Establishes artifact integrity but leaves the conceptual all-candidate M10 timing gate open","METRIC-002; METRIC-004; METRIC-006"
CHG-026,2026-07-30,verified,preparation04_result_reconciliation,"audit/scripts/compare_preparation04_baseline.R; audit/scripts/finalize_preparation04_reconciliation.R; audit/reconciliation/preparation04/*; audit/findings/m10_all_candidates_tied.md; audit/findings/mder_upper_tail.md","Reconciled all mapped participant-day metrics against the pre-repair baseline attributed material differences to approved method changes verified the approved M10 timing repair and recorded the approved MDER primary disposition with mandatory sensitivity obligations","Prevent large but expected method effects and resolved versus sensitivity-pending issues from being mixed or silently carried into models and claims","All 1708 participant-day keys reconcile; the independent verifier passes the exact 29-artifact manifest ac0325716421f2d90bb83b445ffb6ad965b131e382373e45f4ad6157eac5937d; M10 timing is 809 near-eye and 894 chest with exactly two and three all-candidate ties missing","Preparation 04 primary artifacts and dispositions are closed; MDER conclusions remain pending 90% support exact two-day exclusion and waking-only sensitivities","METRIC-003; METRIC-005; METRIC-007; METRIC-008"
CHG-027,2026-07-30,verified,temporal_sequence_provenance_audit,"audit/findings/h02_h11_true_time_sequence_provenance.md; audit/ledgers/finding_register.csv","Documented that the flattened pseudo-local 30-minute and one-hour grids cannot by themselves prove true elapsed adjacency and fixed the required two-plane provenance contract for H02/H11","Prevent wall-clock ordering from being used as an autocorrelation index after approved daylight-saving fold averaging","A read-only R 4.6.1 audit of hashed canonical inputs found fold content on four near-eye and two chest participant-days and confirmed that the aggregated schemas contain fold counts but no true-UTC source-bin key","No metric value or sample changed; H02/H11 temporal fitting now explicitly waits for a true-time sequence provenance artifact","TIME-001; TIME-002; TIME-003"
CHG-028,2026-07-30,verified,preparation04_audit_ledgers,"audit/scripts/finalize_preparation04_reconciliation.R; audit/ledgers/result_differences.csv; audit/ledgers/sample_flow.csv","Populated reproducible Preparation 04 before-and-after result-difference and sample-flow ledgers from the current canonical reconciliation and hashed Rule A and metric artifacts","Keep every metric change denominator exclusion resolved repair and sensitivity obligation machine-readable before hypothesis migration","R 4.6.1 validation passes 42 unique metric-placement differences and 75 unique flow rows including 16 overall Rule A stages 17 site-final stages and 42 metric-specific rows; six M10 timing rows are repair-verified and two MDER rows have approved primary disposition with sensitivities pending; result and flow ledger SHA-256 are a1853dcb3a9b8f865e45e9fc477df564ed74379dffbd9d425d159ca6bd968953 and f605446cefc38144da7c21f01b546ade3c5cb40a961b03bf4bf97f08c8b5c1dc","No primary day was deleted; M10 timing excludes exactly two near-eye and three chest all-candidate ties while MDER retains the approved primary values and records the three pending sensitivities","METRIC-001; METRIC-002; METRIC-003; METRIC-004; METRIC-005; METRIC-006; METRIC-007; METRIC-008; STATE-004; STATE-005"
CHG-029,2026-07-30,verified,preparation05_input_inventory,"audit/findings/preparation05_input_provenance_gaps.md; audit/ledgers/finding_register.csv","Inventoried canonical and missing Preparation 05 inputs and prohibited moving-main questionnaire and diary retrieval in executable hypothesis notebooks","Establish immutable predictor context and site/solar provenance before any model-ready join changes a sample or result","R 4.6.1 reconciled 35 pinned files across nine sites all canonical metric-grid dimensions and the empty model-data directory; installed melidosData 1.0.6 was inspected to confirm dynamic main-branch URL construction","No model sample or value changed; source pinning and normalization are now explicit prerequisites for H01-H11","SOURCE-001"
CHG-030,2026-07-30,verified,m10_all_candidate_tie,"scripts/pipeline/time_support.R; scripts/pipeline/verify_rolling_windows.R; tests/test_time_support.R; tests/test_verify_rolling_windows.R; tests/test_build_metric_derivation.R; audit/findings/m10_all_candidates_tied.md; audit/reconciliation/preparation04/core_verification.md; audit/reconciliation/preparation04/result_gate.md; audit/ledgers/decision_register.csv; audit/ledgers/finding_register.csv; audit/ledgers/change_log.csv","Implemented and canonically verified the approved all-841-candidate M10 tie rule so the level and day remain while onset midpoint and offset are missing timing_estimable is FALSE and the reason is all_candidates_tied","A circular mean over the partial non-wrapping M10 start domain otherwise creates an artificial noon-centred timing from candidate-domain geometry","R 4.6.1 direct support tests independent literal-verifier tests synthetic integration tests and the all-1708-day independent core verifier pass; current manifest SHA-256 is ac0325716421f2d90bb83b445ffb6ad965b131e382373e45f4ad6157eac5937d","No level or participant-day change; canonical timing samples are 809 near-eye and 894 chest after exactly two and three timing-only exclusions","METRIC-005; METRIC-007"
CHG-031,2026-07-30,verified_registered_sensitivities_pending,mder_device_qc,"audit/scripts/audit_mder_device_assignment.R; audit/reconciliation/preparation04/mder_device_qc/*; audit/findings/mder_device_provenance.md; audit/findings/mder_upper_tail.md; audit/ledgers/decision_register.csv; audit/ledgers/finding_register.csv; audit/ledgers/change_log.csv","Linked all KNUST participant-position records to device serials and established that both preidentified MDER maxima share serial 2962; checked available device reports metadata and pinned bedside context; registered the author-approved influence scenarios","Distinguish arithmetic validity support sensitivity persistent calibration bias and unresolved intermittent device or exposure episodes before modelling or deleting data","R 4.6.1 verified 30 unique assignments and 163 KNUST participant-days; both target rows map to serial 2962; outside those rows serial 2962 mean/max are 0.864/0.989 versus serial 3333 0.851/0.998; reports show no error or corruption flag and no adjudicating calibration record","No primary value or participant-day changed; MDER conclusions require 90% support exact two-day exclusion and waking-only sensitivity classification","METRIC-003; METRIC-008"
CHG-032,2026-07-30,verified,preparation06_site_solar_context,"config/site_metadata.csv; scripts/pipeline/site_solar_context.R; scripts/pipeline/build_site_solar_context.R; scripts/pipeline/verify_site_solar_context_artifacts.R; tests/test_site_solar_context.R; tests/test_build_site_solar_context.R; tests/test_verify_site_solar_context_artifacts.R; notebooks/preparation/06_model_ready_datasets.qmd; audit/findings/lightlogr_solar_noon_local_date.md; artifacts/06_model_data/context/*; artifacts/12_manifests/site_solar_context_artifacts.csv; audit/ledgers/finding_register.csv; audit/ledgers/change_log.csv","Added exact versioned nine-site metadata and canonical civil-twilight/solar-context artifacts with separate true-UTC and local-wall planes and a corrected site-local solar-noon calculation","Provide immutable environmental context without relying on the moving melidosData loader or the LightLogR Date-conversion defect and without mistaking pseudo-local clock coordinates for absolute instants","R 4.6.1 with LightLogR 0.10.3 and suntools 1.1.0 passed focused builder and adversarial verifier tests; independent canonical reconstruction matched 616 of 616 site-date rows across nine sites including four DST-transition dates and six daily/30-minute/hourly many-to-one joins with zero unmatched rows","No existing metric model sample or claim changed; photoperiod context is now canonical and solar noon remains contextual_metadata_only","SOURCE-001; TIME-001"
CHG-033,2026-07-30,verified,preparation06_model_input_normalization,"config/model_input_availability.csv; config/model_input_source_pins.csv; scripts/pipeline/model_input_acquisition.R; scripts/pipeline/build_model_input_acquisition.R; scripts/pipeline/verify_model_input_acquisition.R; scripts/pipeline/model_input_normalization.R; scripts/pipeline/build_model_input_normalization.R; scripts/pipeline/verify_model_input_normalization.R; tests/test_model_input_acquisition.R; tests/test_model_input_normalization.R; notebooks/preparation/05_model_input_acquisition.qmd; notebooks/preparation/06_model_ready_datasets.qmd; audit/findings/preparation05_input_provenance_gaps.md; audit/reconciliation/preparation06/normalization_gate.md; artifacts/01_imported/model_inputs/*; artifacts/06_model_data/normalized_inputs/*; artifacts/12_manifests/model_input_acquisition.csv; artifacts/12_manifests/model_input_normalization.csv; audit/ledgers/finding_register.csv; audit/ledgers/change_log.csv","Acquired all seven questionnaire and diary modalities from exact immutable site or modality pins and normalized them into one-object analytical RDS files with separate true-UTC local-label and wall-clock coordinates full source audits and no free-text content","Eliminate moving-main inputs and preserve every source value score factor unit label interval issue participant key and release provenance before any hypothesis-specific join","R 4.6.1 focused tests and independent production verifiers passed all source reconstructions; acquisition manifest SHA-256 ac79a83c2d60dde1ac563f6e2cb09c58d4d7d3b06549d9b9262e4acd5a50a58b and deterministic normalization manifest SHA-256 e3d484711abb54f69d63ff302e5a0329efda3fd0a8c85feaf9cc4f850005c9ab verify; 30172/30199 light intervals and 1275/1276 sleep intervals are eligible while all 28 incomplete intervals remain retained and reason coded","No questionnaire score or diary row was removed; corrected upstream source identity assigns seven TUM exercise records to S001 rather than S101; light metrics are unchanged and H06 model effects remain pending","SOURCE-001; SOURCE-002; DEV-056"
CHG-034,2026-07-30,verified,preparation06_true_time_sequence_provenance,"scripts/pipeline/temporal_sequence_provenance.R; scripts/pipeline/build_temporal_sequence_provenance.R; scripts/pipeline/verify_temporal_sequence_provenance_artifacts.R; tests/test_temporal_sequence_provenance.R; tests/test_build_temporal_sequence_provenance.R; notebooks/preparation/06_model_ready_datasets.qmd; audit/findings/h02_h11_true_time_sequence_provenance.md; artifacts/06_model_data/temporal_provenance/*; artifacts/06_model_data/temporal_provenance/artifact_manifest.csv; audit/ledgers/finding_register.csv; audit/ledgers/change_log.csv","Created a separate true-UTC source-bin to pseudo-local wall-outcome mapping with explicit DST-fold spring-gap sequence-eligibility and sequence-start provenance without recalculating outcomes","Preserve the shared local-clock estimand while ensuring elapsed-time ordering gaps adjacency and correlation structures use true time","R 4.6.1 canonical verifier passed 122982 source bins 122976 wall outcomes six fall-back and four spring-forward participant-days 118635 sequence-eligible bins and 2583 elapsed sequences; deterministic manifest SHA-256 4627501e20a944d537d2f5cc2ba49ac895ed6b9e89e1ff101c03241c43e0515a","No clock-aligned outcome value changed; later H02/H11 correlation structures must use the verified elapsed sequence coordinate","TIME-001; TIME-002; TIME-003"
