deviation_id,date_recorded,scope,record_type,status,preregistered_or_expected,observed_or_approved,rationale_or_evidence,likely_consequence,source_locator,next_action
IMP-002,2026-07-29,"Preprocessing saturation boundary","approved_new_deviation","approved","Set melanopic EDI values above 120000 lx to missing","Retain only values below the ActLumus maximum operating range: MEDI <100000 lx; values >=100000 lx are invalid","The companion dosimeter-placement manuscript states <100000 lx melEDI per the manufacturer; author approved this device-based boundary on 2026-07-30","Changes the preregistered threshold and can alter affected participant-day metrics; the saved stage-1 baseline contains 37 near-eye and 84 chest minutes in [100000,120000)","audit/decisions/saturation_boundary.md; AsPredicted #273407 Q6","Implement >=100000 masking after one-minute aggregation, report affected flow and result differences, and retain the preregistration deviation"
IMP-003,2026-07-29,"Sample flow","newly_discovered_implementation_discrepancy","open","All exclusions reported transparently with compatible denominators","Reported participant-day totals mix pipeline stages and do not reconcile with saved artifacts","Read-only sample-flow audit","Headline sample and placement counts may be misleading","index.qmd:233; data artifacts; audit finding","Rebuild one stage-labelled sample-flow table in R and update every dependent artifact"
IMP-004,2026-07-29,"H01 model R2","newly_discovered_implementation_discrepancy","open","Conditional R2 drawn from the selected model","The implementation selects the null-model conditional R2 in both branches","Direct code inspection","Reported H01 model-fit summary can be wrong","RQ1.qmd:376-377; audit finding","Repair after approval and regenerate the H01 R2 table and claims"
IMP-005,2026-07-29,"H02 and H11 variance interpretation","newly_discovered_implementation_discrepancy","open","H02 compares within- versus between-site variance components; H11 tests sex-specific patterns","Variance of prediction terms was described as variance explained","Model-code and claim audit","The main participant-versus-site claim overstates what the calculation identifies","RQ1.qmd; RQ3.qmd; index.qmd; audit finding","Define and compute a valid variance estimand or narrow the claim"
IMP-006,2026-07-29,"H05 correlation inference","newly_discovered_implementation_discrepancy","open","Correlation coefficient and p-value come from the same registered correlation method","Displayed Spearman coefficients were paired with Pearson p-values","Model-code audit","H05 evidence and multiplicity inputs are internally inconsistent","RQ2.qmd; audit finding","Choose the registered/justified method, recompute coefficients and p-values together, then adjust the full vector"
IMP-007,2026-07-29,"H06 reporting","newly_discovered_implementation_discrepancy","open","H06 reports statistics produced by the H06 model","A reported H06 site p-value is a stale value from H04","Claim-provenance audit","A manuscript result is not produced by its stated model","RQ2.qmd; index.qmd; audit finding","Replace only after the H06 estimand and model are approved and rerun"
IMP-008,2026-07-29,"H07 ceiling claim and display","newly_discovered_implementation_discrepancy","open","Registered nonlinear analysis must identify a ceiling effect for eligible metrics","Current procedure does not identify a ceiling; the display duplicates one metric and omits another","Model and display audit","The plateau/ceiling claim and visual evidence are unsupported","RQ2.qmd; figures/Fig14.*; index.qmd; audit finding","Define a plateau estimand, repair the figure manifest, and rerun or remove the ceiling claim"
IMP-009,2026-07-29,"H09 site adjustment and estimate provenance","newly_discovered_implementation_discrepancy","open","Metric ~ chronotype * Site + participant nested in site","The primary chronotype test omits site and reported estimates come from a different model","Model and claim-provenance audit","H09 estimates do not correspond to the registered or reported model","RQ3.qmd; index.qmd; audit finding","Specify the H09 model and multiplicity family, then regenerate estimates and claims"
IMP-010,2026-07-29,"Mixed-model comparison","newly_discovered_implementation_discrepancy","open","Likelihood-based model comparison must be valid for the compared fixed-effect structures","REML AIC values were compared across models with different fixed effects","Model-code audit","Model preference and downstream interpretation may be invalid","RQ1.qmd and related mixed-model notebooks; audit finding","Refit comparable models with ML where appropriate and reserve REML for final estimation"
IMP-011,2026-07-29,"H10 output provenance","newly_discovered_implementation_discrepancy","open","Primary and chest outputs have distinct deterministic targets","The chest H10 notebook writes tables/H10.png, the same path as the primary notebook","Direct code and render-order inspection","A chest render can overwrite the primary H10 table","RQ3.qmd:811; RQ3_chest.qmd:807; _quarto.yml:10-13","Create placement-specific targets and verify the manuscript consumes the intended artifact"
IMP-012,2026-07-30,"Metric construct; full-day and sleep","clarified_intended_behavior","approved","The intended 24-hour environmental-light record combines worn near-eye waking measurements with bedside sleep-environment measurements during the diary-defined sleep window","Retain the hybrid record as a practical way to characterize the full day, while stating clearly that sleep values are bedside environmental measurements and not ocular exposure","Metric-validity audit and author clarification 2026-07-30","No intended estimand change; full-day metrics require explicit hybrid-construct language and state-aware support diagnostics","audit/decisions/metric_validity.md; audit/decisions/metric_implementation_parameters.md","Preserve the hybrid construction, label it consistently, and do not infer continuous 24-hour ocular exposure"
IMP-013,2026-07-29,"MDER metric","newly_discovered_implementation_discrepancy","in_progress","MDER remains defined and comparable over its analytic sample","The approved METRIC-003 rule requires a positive paired LIGHT integral and at least 0.80 ordinary paired fixed MEDI-profile and fixed LIGHT-profile support; failure produces reason-coded MDER NA without deleting the participant-day; 0.70 and 0.90 are fixed sensitivities","The independently verified support gate defines denominator support and admissibility without calculating a ratio or selecting a cutoff from repaired results","Changes MDER estimability and model samples but prevents nonpositive denominators and poorly supported common signal domains from producing an interpreted ratio","metric_preparation.qmd; audit/findings/mder_support_cutoff_gate.md; audit/decisions/metric_implementation_parameters.md; audit/ledgers/metric_validity.csv:19","Apply the approved rule in canonical Preparation 04 then compare repaired MDER values denominators model samples and downstream conclusions before closing this discrepancy"
IMP-014,2026-07-29,"IS IV and continuous-period metrics","newly_discovered_implementation_discrepancy","open","Temporal metrics preserve observed continuity and do not bridge unobserved gaps","Current IS, IV, and period computations can bridge missing intervals","Metric-validity audit","Regularity, fragmentation, and continuous-duration metrics may be artifacts of gaps","data_preparation.qmd; audit finding","Implement gap-aware definitions or exclude affected metrics"
IMP-015,2026-07-29,"Brightest/darkest windows and 30-minute bins","newly_discovered_implementation_discrepancy","open","Window and bin summaries have sufficient support for their intended duration","Many 10-hour windows fail window-specific coverage and 30-minute model bins lack a bin-level coverage rule","Coverage audit","Window means, timings, and time-series outcomes can represent incomplete intervals","data_preparation.qmd; RQ1.qmd; audit finding","Declare and test window/bin coverage rules in R before model entry"
IMP-016,2026-07-29,"Melanopic EDI dose","newly_discovered_implementation_discrepancy","open","Daily dose represents a defined integration interval with adequate coverage","Dose currently sums observed partial exposure when hours are missing","Metric-validity audit","Values can be misinterpreted as complete-day dose","data_preparation.qmd; audit finding","Use coverage-normalized or explicitly partial-dose definition only if scientifically approved"
IMP-017,2026-07-29,"Timestamp integrity; DST fall-back","newly_discovered_implementation_discrepancy","approved","International site-local timestamps retain their absolute instants and remain uniquely keyed through daylight-saving transitions","Use dual time axes: true datetime_utc preserves instants; datetime_wall preserves cross-site local-clock labels. Average repeated fall-back minutes only for clock-aligned profiles/cutoffs/models and retain both real intervals for elapsed-time and sequential metrics","R 4.6.1 audit of LightLogR 0.10.3-era saved stage-1 and stage-2 artifacts; direct inspection of melidosData 1.0.6 flatten_data(); author decision 2026-07-30","Can change affected participant-day aggregation, temporal metrics, model inputs, and reported results","audit/findings/timestamp_dst_fallback.md; melidosData::flatten_data","Implement dual-axis repair, rerun all affected units, and report result differences"
IMP-018,2026-07-30,"State precedence; measurement context","clarified_intended_behavior","approved","The sleep diary defines the relevant sleepprep-to-wake bedside window; wear logs are not sufficiently consistent to define sleep","Retain the already implemented diary-authoritative rule: wear='sleep' is provenance only and has no analytical precedence; only wear='off' outside diary sleep is invalid non-wear; retain off during diary sleep, missing wear, and site_leave","R 4.6.1 audit of saved stage-1 artifacts; author clarification 2026-07-30; data_preparation.qmd:189-221","No intended MEDI estimand change; makes existing precedence explicit, tested, and consistently described","audit/findings/state_precedence_and_channel_mask.md","Preserve current precedence in the canonical implementation and verify all state-specific denominators"
IMP-019,2026-07-30,"Non-wear channel validity","newly_discovered_implementation_discrepancy","approved","Analytical MEDI and LIGHT channels use compatible validity masks when a metric requires paired support","Current non-wear masking sets MEDI to missing but leaves finite LIGHT in 59,627 near-eye and 64,240 chest minutes marked off outside diary sleep","R 4.6.1 audit of saved stage-1 artifacts; author decision 2026-07-30","Photopic summaries and paired MEDI/LIGHT metrics otherwise use incompatible state denominators","audit/findings/state_precedence_and_channel_mask.md; data_preparation.qmd","Preserve raw channels, derive explicit channel-validity flags, and apply the same invalid-nonwear mask to analytical MEDI and LIGHT before paired metrics"
REP-001,2026-07-29,"Placement pooling","approved_new_repair","approved","No pooled placement model was preregistered; chest was primary and glasses a robustness repeat","Reject simple glasses/chest pooling and retain separate primary and complementary estimands","Companion-paper evidence and site-confounded placement availability","Prevents an unsupported sample-size increase and fixed-position invariance assumption","audit/decisions/placement_decision.md","Implement in hypothesis templates and sensitivity registry"
REP-002,2026-07-29,"Chest complementary analysis","approved_new_repair","approved","Registered glasses analysis was a robustness repeat","Use paired/common-sample chest comparisons with participant and participant-day pairing and explicit sample flow","Placement differences vary across context and metric","Produces interpretable complementary evidence without treating positions as interchangeable","audit/decisions/placement_decision.md","Implement after canonical near-eye primary models are stable"
REP-003,2026-07-29,"Sleep-period construct language","approved_new_repair","approved","Registered outcomes referred to chest-mounted measurements, including sleep metrics","Describe retained sleep-period values as bedside sleep-environment exposure","Devices are placed at bedside during sleep","Narrows claims and separates sleep-environment from worn ocular exposure","audit/decisions/placement_decision.md","Apply consistently to metrics, tables, figures, and prose"
IMP-020,2026-07-30,"Source epoch and one-minute aggregation","newly_discovered_source_discrepancy","approved","Every participant stream is aggregated according to its verified regular source epoch without silently discarding supported data","The pinned releases include one 60-second near-eye stream and one 1-second near-eye stream in addition to the predominant 10-second streams; a universal six-subepoch rule is invalid","R 4.6.1 full-source epoch audit on the 35 pinned files","A hard-coded six-row rule would remove FUSPCEU_S014 and fail on RISE_S011","audit/findings/heterogeneous_source_epochs.md; artifacts/01_imported/raw_stream_audit.csv","Infer a per-stream epoch that divides 60 seconds, require the corresponding complete subepoch count, rerun alignment, and compare all downstream samples/results"
DEV-017,2026-07-30,"H01 predictor scope","implemented_deviation","approved","Photoperiod adjustment was explicitly registered only for metrics with a day/night-duration component","Use photoperiod in all 17 primary H01 models and retain the narrower literal preregistration scope as a named sensitivity","This preserves the recognizable common adjusted site comparison while making the expanded predictor scope explicit","Site, latitude, and photoperiod estimates and the H01 multiplicity interpretation can differ from the narrower sensitivity","audit/evidence/preregistration_contract.md:101-107; audit/hypotheses/H01-H04_migration_map.md:334-339; audit/decisions/h01_model_specification.md; notebooks/hypotheses/H01.qmd","Implement the approved primary and preregistration-faithful sensitivity with identical metric-specific response models"
DEV-018,2026-07-30,"H01 response models","implemented_deviation","approved","H01 registered linear mixed models for the metric outcomes","Use the approved metric-specific package of Gaussian transformed Gaussian and Tweedie models with fixed diagnostics and common predefined alternatives across both data scenarios","The response choices are adapted to each outcome's support and distribution and were approved before any rebuilt H01 effect was examined","Changes the conditional mean effect scale likelihood diagnostics and model comparisons relative to a single linear-model family","audit/evidence/preregistration_contract.md:101-107; audit/hypotheses/H01-H04_migration_map.md:215-226; audit/decisions/h01_prefit_gate.md; audit/decisions/h01_model_specification.md","Implement the approved 17-metric package; report non-estimable results or reopen a major common-replacement gate if required diagnostics fail"
DEV-019,2026-07-30,"H02 and H11 participant-day inclusion","implemented_deviation","in_progress","The registration excludes days using the declared coverage rules and does not exclude a day because its binned outcome is constant","The current shared H02/H11 producer removes every 30-minute row from a participant-day when all arithmetic bin means equal the first value","The rule conflates genuine constant exposure, insufficient support, and device artefact; METRIC-001 instead preserves the day and reason-codes unsupported bins","Can change H02 and H11 participant-days, model rows, temporal dependence, and estimates","audit/hypotheses/H01-H04_migration_map.md:496-519; audit/decisions/metric_validity.md; audit/ledgers/metric_validity.csv:2","Complete the approved metric-specific support repair, compare retained days and results, and do not silently delete static days"
DEV-020,2026-07-30,"H02 photoperiod representation","implemented_deviation","pending_author_decision","H02 registered time, site, participant pattern, and an AR(1) correction; it did not register a categorical photoperiod-state temporal deviation","The selected current H02 model adds s(Time, photoperiod.state, bs='sz') and interprets it as photoperiod although it represents within-day day/night state rather than daily photoperiod duration","The added smooth can describe state-associated temporal shape but answers a different predictor question","Changes the selected mean structure and the attribution of temporal pattern to photoperiod","audit/evidence/preregistration_contract.md:109-118; audit/hypotheses/H01-H04_migration_map.md:536-570","Decide whether the state smooth is retained as an adapted adjustment, renamed as day/night state, or moved to sensitivity analysis"
DEV-021,2026-07-30,"H02 hierarchy","implemented_deviation","open_reaudit","H02 registered a participant-time factor smooth within sites","The current model adds a participant-day random effect and uses participant-specific time curves without a separately documented H02 hierarchy decision","The added day term can protect repeated-day inference, but the site, participant, and day variance targets must remain identifiable","Changes covariance structure, effective weighting, variance interpretation, and uncertainty","audit/evidence/preregistration_contract.md:109-118; audit/hypotheses/H01-H04_migration_map.md:536-570","Re-audit hierarchy, identifiability, and temporal dependence on the exact repaired frame before retaining any added component"
DEV-022,2026-07-30,"H03 light-source categories","implemented_deviation","pending_author_decision","H03 registered all prespecified hourly primary light-source categories","The current near-eye analysis manually removes light entering from outside during sleep and uses row-count filters that also remove outdoor electric light; the chest analysis removes outdoor electric light for consistency","Sparse-cell handling is placement-dependent and was applied after observing category support rather than through one preregistered estimability rule","Changes the predictor construct, reference contrasts, support, and scope of the H03 conclusion","audit/evidence/preregistration_contract.md:120-129; audit/hypotheses/H01-H04_migration_map.md:792-817","Fix a placement-independent category dictionary and estimability rule before examining repaired exposure estimates; preserve non-estimable categories in flow tables"
DEV-023,2026-07-30,"H03 primary test estimand","implemented_deviation","pending_author_decision","H03 registered a light-source association with predictor variation by site","The current primary likelihood-ratio comparison removes both the light-source main effect and every site-by-light-source interaction, so it is a joint association-plus-heterogeneity test","The fixed-site interaction was introduced with the stability adaptation already recorded in DEV-013","The reported omnibus p-value does not isolate the cross-site average light-source association","audit/hypotheses/H01-H04_migration_map.md:819-842; audit/ledgers/deviation_register.csv:14","Decide and predeclare separate main-association and site-heterogeneity estimands on identical model frames"
DEV-024,2026-07-30,"H03 multiplicity and contrasts","implemented_deviation","pending_author_decision","H03 requires FDR control within a declared hypothesis family","Current category contrasts use Dunnett-X while labelled BH; site contrasts use BH separately within light-source groups; no complete cross-category heterogeneity vector is declared","Default contrast adjustments and hidden by-groups do not reproduce a declared within-hypothesis BH family","Adjusted inferences and which category/site contrasts are highlighted can change","audit/hypotheses/H01-H04_migration_map.md:855-869","Declare the omnibus, category-contrast, interaction, and site-contrast families before vector-wide adjustment"
DEV-025,2026-07-30,"H04 activity categories","implemented_deviation","pending_author_decision","H04 registered all prespecified hourly activity categories","The current implementation combines outdoor free time, outdoor work, and bike/on-foot travel into one outdoor level, keeps vehicle travel separate, removes other, and does not assert one activity per participant-hour","The recoding creates a five-level construct and can duplicate an hourly outcome if multiple flags are true","Changes the activity construct, sample weighting, reference contrasts, and scope of H04","audit/evidence/preregistration_contract.md:131-139; audit/hypotheses/H01-H04_migration_map.md:1094-1117","Approve a versioned category dictionary and a unique-hour or multi-label strategy before fitting H04"
DEV-026,2026-07-30,"H04 primary test estimand","implemented_deviation","pending_author_decision","H04 registered an activity association with predictor variation by site","The current primary comparison removes both the activity main effect and every site-by-activity interaction, producing a joint association-plus-heterogeneity test","The fixed-site interaction is part of the DEV-013 adaptation but the joint test was not separately documented","The displayed omnibus result does not isolate the cross-site average activity association","audit/hypotheses/H01-H04_migration_map.md:1127-1160; audit/ledgers/deviation_register.csv:14","Decide and predeclare separate activity-association and site-heterogeneity tests on identical frames"
DEV-027,2026-07-30,"H04 multiplicity and contrasts","implemented_deviation","pending_author_decision","H04 requires FDR control within a declared hypothesis family","Current activity contrasts use Dunnett-X while labelled BH and site contrasts use BH separately within activity groups","The displayed adjustment description does not match the implemented families","Adjusted inferences and selected activity/site contrasts can change","audit/hypotheses/H01-H04_migration_map.md:1141-1160","Declare the omnibus, activity-contrast, interaction, and site-contrast families before vector-wide adjustment"
IMP-021,2026-07-30,"H04 activity-by-site screen","newly_discovered_implementation_discrepancy","open_reaudit","A descriptive activity-by-site screen must use the activity variable named by H04","The current code overwrites activity with the H03 light-source factor before the multinomial and chi-squared site screens","Direct inspection of the H04 preparation block","The displayed screen does not test the construct it claims to test and cannot justify H04 category/site handling","audit/hypotheses/H01-H04_migration_map.md:1145-1155; RQ2.qmd:913-926; RQ2_chest.qmd:914-927","Repair the variable mapping, assert category provenance, rerun the descriptive screen, and remove any dependent claim until verified"
DEV-028,2026-07-30,"H05 registered model","implemented_deviation","pending_author_decision","H05 registered correlation matrices plus a site-adjusted Metric ~ LEBA + (1|Site) model","The current implementation reports participant-level pooled bivariate correlations and does not fit the registered site-adjusted metric model","A preliminary LEBA-by-site screen was used to justify omitting site, but failure to reject predictor differences does not establish absence of confounding","Changes the primary estimand from a site-adjusted association to a pooled correlation","audit/evidence/preregistration_contract.md:141-151; audit/hypotheses/H05-H08_migration_map.md:263-283","Decide whether the registered site-adjusted model is primary or the pooled correlation remains primary as an explicit estimand deviation"
DEV-029,2026-07-30,"H05 metric-factor set and multiplicity","implemented_deviation","pending_author_decision","The registration refers to selected metrics and LEBA factors with FDR within H05 but does not enumerate the complete family","The current implementation crosses four LEBA factors with 17 metrics for 68 correlations and adjusts p-values individually rather than defining the full family and primary analysis","The 68-member set preserves the current analysis but its status and relation to the registered site model remain unresolved","Changes multiplicity, metric support, and the interpretation of the reported two associations","audit/hypotheses/H05-H08_migration_map.md:263-283; audit/hypotheses/H05-H08_migration_map.md:328-372","Fix the metric/factor manifest and choose the H05 primary estimand before assembling one complete vector"
DEV-030,2026-07-30,"H06 predictor scope","implemented_deviation","pending_author_decision","H06 registered weekday/weekend and free/work day, daily exercise, and sleep onset, wake time, and duration as predictors of daily exposure metrics","The current hourly adaptation jointly uses free/work day, a four-level exercise-intensity factor, and previous-night sleep duration; weekday/weekend is post hoc and other sleep/exercise predictors are omitted","The predictor set was narrowed for parsimony without a complete deviation record","Changes the hypothesis, predictor family, reference levels, and explanatory scope","audit/evidence/preregistration_contract.md:153-159; audit/hypotheses/H05-H08_migration_map.md:565-635","At the H06 estimand gate, fix the primary day-type definition and exact exercise and sleep predictor set"
DEV-031,2026-07-30,"H06 model and site structure","implemented_deviation","pending_author_decision","H06 registered metric-specific daily models with measure random slopes by site and participant nested in site","The current adapted model repeats day-level predictors across hourly outcomes, fits fixed site interactions, and includes a participant intercept but no participant-day or within-day correlation structure","This accompanies the DEV-015 outcome change but adds separate weighting and dependence deviations","Changes the unit contribution, uncertainty, site interpretation, and main-versus-heterogeneity estimands","audit/evidence/preregistration_contract.md:153-159; audit/hypotheses/H05-H08_migration_map.md:640-685","Decide the daily-versus-hourly estimand and then specify site, participant-day, and temporal dependence on one exact frame"
DEV-032,2026-07-30,"H06 multiplicity and contrasts","implemented_deviation","pending_author_decision","H06 requires FDR control within a declared hypothesis family","The three predictor-block p-values are unadjusted although labelled FDR; each block jointly removes a main effect and site interactions; treatment contrasts use shared-control defaults and site contrasts are split by hidden groups","The current table does not implement its stated adjustment or isolate main associations","Adjusted predictor and site conclusions can change","audit/hypotheses/H05-H08_migration_map.md:677-705","After the H06 estimand gate, declare separate main, heterogeneity, predictor-contrast, and site-contrast vectors before adjustment"
DEV-033,2026-07-30,"H07 outcome selection and multiplicity","implemented_deviation","pending_author_decision","H07 registered all nine eligible level, duration, and exposure-history outcomes with FDR within H07","The current implementation first selects outcomes using H01 photoperiod significance and then retains H07 models by delta AIC, with no nine-outcome family or derivative/plateau family","The analysis is doubly selected using upstream results and does not preserve non-estimable planned members","Changes the tested outcome set, false-discovery control, and apparent evidence for a plateau","audit/evidence/preregistration_contract.md:161-169; audit/hypotheses/H05-H08_migration_map.md:996-1078","Decide the H07 estimand and include all nine planned outcomes in a prespecified manifest without H01 significance screening"
DEV-034,2026-07-30,"H07 response model","implemented_deviation","open_reaudit","The registered H07 GAMM applies to metrics with different units and support properties","The current implementation applies one zero-aware log-Gaussian response specification to every selected level, duration, and dose metric","The common transformation was not justified separately for zero mass, bounds, units, or tail behaviour","Can change fit, plateau diagnostics, uncertainty, and cross-metric comparability","audit/hypotheses/H05-H08_migration_map.md:1028-1067; audit/hypotheses/H05-H08_migration_map.md:1139-1143","Recheck a metric-specific admissible response distribution on fixed common samples and document any retained adaptation"
DEV-035,2026-07-30,"H08 primary test estimand","implemented_deviation","pending_author_decision","H08 registered Metric ~ VLSQ8 * Site with the VLSQ-8 association and site heterogeneity distinguishable","The current displayed comparison adds VLSQ-8 and every VLSQ-8-by-site interaction together and reports the joint test as the VLSQ-8 association","The joint block does not estimate the cross-site average association claimed in the manuscript","Changes the null hypothesis and the meaning of an absence-of-association claim","audit/evidence/preregistration_contract.md:171-177; audit/hypotheses/H05-H08_migration_map.md:1289-1304","Confirm site-adjusted average association as primary or approve a different joint estimand, and report heterogeneity separately"
DEV-036,2026-07-30,"H08 multiplicity","implemented_deviation","pending_author_decision","H08 requires FDR within a declared family across nine outcomes","Current code adjusts each scalar p-value with n=9 separately for joint, interaction, and site comparisons and displays only the joint comparison","No vector is assembled and the main-association and interaction families are not predeclared","Adjusted p-values and the all-p>0.9 claim can change","audit/hypotheses/H05-H08_migration_map.md:1390-1419","Declare separate nine-member main and interaction vectors before vector-wide BH; treat site contrasts as a distinct declared family"
