finding_id,date,status,severity,scope,expected,observed,evidence_locator,potential_impact,decision_id,affected_units,resolution,reopening_condition
FIND-011,2026-07-30,repair_verified,low,"Reference-profile training-site provenance","training_site_count should equal the number of distinct identifiers stored in training_sites","Sequential dplyr mutate evaluation made length(training_sites) count the 48 profile-bin rows rather than the local vector of training sites","audit/findings/reference_profile_training_site_count.md; scripts/pipeline/verify_reference_profile_artifacts.R; tests/test_reference_profiles.R; tests/test_verify_reference_profile_artifacts.R","Could misstate profile provenance but does not affect training membership profile values support or metric relevance weights","METRIC-002","Preparation 03 profile metadata and all downstream provenance hashes","Stored the scalar site count before mutate regenerated canonical artifacts and independently passed 190 of 190 checks including all 288 site-metadata groups and 48 reconstructed scientific strata","Any stored count/site-set mismatch scientific-value mismatch after regeneration or downstream use of a pre-repair profile hash"
FIND-012,2026-07-30,upstream_repair_verified,high,"Threshold-timing relevance support","A fixed support map should represent when strict MEDI >250 lx events occur and retain positive relevance mass when participant-days contain such events","The median-excess map had zero mass because pooled median profiles peaked at 173.628 lx near eye and 138.158 lx at chest; the pre-repair reconciliation returned zero finite first last or mean timings on all 811 near-eye and 897 chest days","audit/findings/threshold_timing_zero_relevance_map.md; audit/reconciliation/preparation04/metric_distribution_summary.csv; tests/test_reference_profiles.R; scripts/pipeline/verify_reference_profile_artifacts.R","Would make every threshold-timing model non-estimable and could be mistaken for absence of threshold events","METRIC-004","Preparation 03-04; H09; all models and claims using threshold timing","The fixed participant-day-then-participant-balanced strict-exceedance distributions and timing-map linkage passed 394/394 complete canonical checks across all 36 groups; Preparation 04 result verification remains pending","Any change to threshold profile learning support cutoffs or value-scaling prohibition or any zero-mass or material result finding in the canonical Preparation 04 rebuild"
FIND-013,2026-07-30,repair_unit_verified,high,"M10/L10 candidate-grid resolution","A 600-minute window on one-minute exposure data should be evaluated at every eligible wall-clock minute","The first support-aware implementation evaluated starts only at 30-minute profile bins and therefore coupled the target-window search to support-profile resolution","audit/findings/rolling_window_candidate_grid.md; scripts/pipeline/verify_rolling_windows.R; tests/test_verify_rolling_windows.R","Can miss the true brightest or darkest 10-hour interval and alter its level or timing","METRIC-005","Preparation 04; all models and claims using M10 or L10","Evaluate 841 non-wrapping M10 starts and 1440 wrapping L10 starts while expanding rather than relearning the fixed 30-minute maps; canonical rebuild pending","Any change to minute grid window width wrapping profile expansion tie handling candidate support or a material canonical result change"
FIND-014,2026-07-30,support_audit_verified,medium,"Native-epoch support within one-minute means","The primary one-minute value should have a complete native-epoch interpretation while a lean sensitivity tests whether partial finite subepochs matter","A >=50%-within-minute alternative would recover 727 chest minutes per signal and 2314 MEDI or 2387 LIGHT glasses minutes; 93.0% and 98.2% of recoverable chest and glasses minutes arise at KNUST","audit/findings/minute_aggregation_support.md; audit/decisions/minute_aggregation.md","The overall addition is only 0.040%-0.146% of represented rows but its site concentration could produce a localized support effect","PREP-001","Preparation; all downstream units","Retain complete-native-epoch minutes as primary and register a >=50%-within-minute sensitivity with site-specific support reporting","Any material result instability in the relaxed sensitivity or any source-version or epoch-schedule change"
FIND-015,2026-07-30,repair_unit_verified,medium,"Preparation 04 clean-session dependencies","The notebook and standalone builder should run from a clean R session using only declared dependencies","The new distribution-profile validation called a function from reference_profiles.R but both Preparation 04 entrypoints omitted that file; the focused unit test had already loaded it and masked the omission","audit/findings/preparation04_entrypoint_dependency.md; tests/test_metric_entrypoint_dependencies.R","Blocked the canonical clean run before metric derivation but wrote no scientific output","METRIC-004","Preparation 04; reproducibility","Declare reference_profiles.R in both entrypoints before metric_derivation.R and enforce exact dependency order with a regression test","Any new implicit dependency or clean-session entrypoint failure"
FIND-016,2026-07-30,repair_verified,low,"Longest-period tied-winner boundary diagnostic","A diagnostic labelled for the selected longest period should describe the same run as its reported onset and offset","The prior flag described boundary contact by any tied longest run while onset and offset selected the earliest tied run","audit/findings/longest_bout_tie_diagnostic.md; tests/test_build_metric_derivation.R","Could misdescribe censoring context but did not change a scientific value","METRIC-006","Preparation 04; longest-period diagnostics","Align the selected-period flag with reported timestamps retain a separate any-longest-run flag and propagate tie/bound metadata","Any change to longest-run selection period adjacency boundary definitions or lower/upper-bound contract"
FIND-017,2026-07-30,repair_verified,high,"M10 timing with all candidate starts tied","When all 841 possible M10 windows have the same optimum the level is identified but no clock timing is identified","Two glasses and three chest participant-days have M10=0 lx full support and all 841 starts tied; regenerated canonical artifacts retain the level but make all three timing fields reason-coded missing instead of assigning the artificial 07:00/12:00/17:00 window","audit/findings/m10_all_candidates_tied.md; audit/reconciliation/preparation04/core_verification.md; audit/reconciliation/preparation04/result_gate.md; scripts/pipeline/time_support.R; scripts/pipeline/verify_rolling_windows.R; tests/test_time_support.R; tests/test_verify_rolling_windows.R; tests/test_build_metric_derivation.R","Artificial times would otherwise enter H01 H09 H10 and possibly H05 model samples and claims","METRIC-005; METRIC-007","Preparation 04; H01; H05; H09; H10","Canonical R 4.6.1 artifacts and the independent all-1708-day verifier reproduce 809 near-eye and 894 chest timing samples while retaining M10 level on all 811 and 897 days; the author gate is closed","Reopen after any change to M10 candidate domain tie rule or timing estimability or if canonical regeneration does not yield the expected 809 near-eye and 894 chest timing samples"
FIND-018,2026-07-30,historical_reopened_under_METRIC_010,high,"MDER upper-tail device-days","Extreme ratios should be arithmetically reproducible and distinguished from channel device placement or support artifacts before modelling","The historical ratio-of-integrals maxima were arithmetically exact and shared serial 2962; METRIC-010 changes the estimand and produces new maxima of 1.857 near eye and 3.574 at the chest so the former two-day selection no longer defines the current upper tail","audit/findings/mder_upper_tail.md; audit/findings/mder_device_provenance.md; audit/reconciliation/preparation04/mder_device_qc/; artifacts/08_diagnostics/mder_METRIC-010/distribution_summary.csv","The historical device evidence remains valid but cannot be transferred automatically to new-estimand influence or stability claims","METRIC-003; METRIC-008; METRIC-010","Preparation 04; H01; H05; daily H06 variant; H10; all current MDER models and claims","Retain the historical audit and require each MDER-dependent task to identify and assess the new-estimand upper tail and influence from its actual fitted sample without preselecting the former two device-days","New-estimand diagnostics identify influential records a measurement problem is established or a sensitivity changes a substantive conclusion"
FIND-019,2026-07-30,repair_verified,high,"H02/H11 true-time sequence provenance","Clock time may define the within-day estimand but true elapsed time must define ordering sequence starts gaps and autocorrelation","A separate verified mapping now retains 122982 true-UTC source bins and links them to 122976 clock-aligned wall outcomes; six fall-back participant-days produce 18 two-to-one wall rows and four spring-forward participant-days produce 12 zero-link wall rows; only 118635 one-to-one usable bins enter 2583 elapsed sequences","audit/findings/h02_h11_true_time_sequence_provenance.md; scripts/pipeline/temporal_sequence_provenance.R; scripts/pipeline/build_temporal_sequence_provenance.R; scripts/pipeline/verify_temporal_sequence_provenance_artifacts.R; tests/test_temporal_sequence_provenance.R; tests/test_build_temporal_sequence_provenance.R; artifacts/06_model_data/temporal_provenance/artifact_manifest.csv","The repaired provenance prevents elapsed-time models from bridging true gaps or treating averaged repeated wall bins as a continuous sequence without changing clock-aligned outcome values","TIME-001; TIME-002; TIME-003","Preparation 05; H02; H11; optional H03/H04 temporal analyses","Use the verified true-UTC mapping for ordering gaps adjacency sequence starts and correlation indices while retaining pseudo-local wall time for the declared clock-time estimand","Any change to fall-back averaging temporal aggregation sequence construction outcome grid or autocorrelation strategy"
FIND-020,2026-07-30,repair_verified,high,"Preparation 05 external input provenance","Every questionnaire diary context and site/solar input must be tied to an immutable source revision schema and key before joining","The required seven questionnaire and diary modalities are now pinned at exact site commits and normalized without value or score changes; canonical site/solar context is separately verified","audit/findings/preparation05_input_provenance_gaps.md; audit/reconciliation/preparation06/normalization_gate.md; config/model_input_availability.csv; artifacts/12_manifests/model_input_acquisition.csv; artifacts/12_manifests/model_input_normalization.csv; artifacts/12_manifests/site_solar_context_artifacts.csv","Moving or undocumented inputs can change participants predictor values categories joins model samples and every downstream result without a traceable source change","SOURCE-001","Preparation 05; H01-H11; descriptives; placement decision","Use only verified normalized RDS inputs and canonical site context; prohibit dynamic main-branch loading and require separately audited hypothesis-specific joins","Any source commit repository layout object schema scoring rule site/solar producer normalization policy or model-data join change"
FIND-021,2026-07-30,historical_device_provenance_verified,high,"Shared-device provenance of historical MDER upper-tail records","Measurement-suspicious MDER values should be linked to their physical logger and compared with that logger's other assignments before any exclusion or claim","Both historical ratio-of-integrals maxima came from ActLumus serial 2962 at different participants positions and dates; the serial mapping and device evidence remain verified but those dates were selected under a superseded estimand","audit/findings/mder_device_provenance.md; audit/scripts/audit_mder_device_assignment.R; audit/reconciliation/preparation04/mder_device_qc/","Preserves relevant device provenance without treating the two dates as preselected exclusions for the mean-of-momentary-ratios estimand","METRIC-008; METRIC-010","Preparation 04; H01; H05; daily H06 variant; H10; current MDER influence audit","Do not silently exclude or automatically retest the historical two dates; use current-estimand diagnostics to select any influence cases and retain the serial evidence if those cases overlap","New calibration or device evidence or current-estimand influence diagnostics identify a serial-linked pattern"
FIND-022,2026-07-30,repair_verified,medium,"Preparation 06 solar-noon local-date and time-plane provenance","Each site/local_date must produce civil-twilight and solar-noon context for that same local date while storing true instants in UTC separately from pseudo-local wall-clock labels","LightLogR 0.10.3 passed Date through as.POSIXct(Date, tz) and returned 2024-06-14 11:36:39.711617 for UCR's requested 2024-06-15; direct suntools calculation from explicit local midnight returned 2024-06-15 11:36:52.567345","audit/findings/lightlogr_solar_noon_local_date.md; config/site_metadata.csv; scripts/pipeline/site_solar_context.R; scripts/pipeline/build_site_solar_context.R; scripts/pipeline/verify_site_solar_context_artifacts.R; tests/test_site_solar_context.R; tests/test_build_site_solar_context.R; tests/test_verify_site_solar_context_artifacts.R; artifacts/12_manifests/site_solar_context_artifacts.csv","Could attach solar-noon context to the wrong local date west of UTC or conflate local wall labels with absolute instants; no existing metric or model value was affected because solar noon remains contextual metadata","SOURCE-001; TIME-001","Preparation 06; descriptives; H02 contextual solar annotation","Pinned exact nine-site metadata; retained LightLogR civil dawn/dusk and photoperiod at solar altitude -6 degrees; calculated solar noon with suntools from explicit site-local midnight; stored POSIXct UTC instants separately from local labels wall minutes offsets and DST flags; tagged solar noon contextual_metadata_only; canonical artifacts and all six metric joins independently passed for 616 site-dates","Any change to coordinates time zones site-date domain solar-depression definition LightLogR suntools or time-zone database versions event time representation or any proposal to use solar noon as a predictor outcome or estimand"
FIND-023,2026-07-30,repair_verified,high,"TUM exercise-diary participant identity","Every exercise record must retain the correct site-participant key from an immutable upstream release before H06 joins","The earlier pinned TUM exercise object assigned seven 2024-05-13 through 2024-05-19 records to TUM_S101; upstream commit 618fda8521f3cf581661ceb2c026e3de7cd9ba82 corrects those exact records to TUM_S001 with no TUM_S101 rows and no duplicate participant-date keys","audit/findings/preparation05_input_provenance_gaps.md; audit/reconciliation/preparation06/normalization_gate.md; audit/reconciliation/preparation06/tum_exercise_source_transition_columns.csv; config/model_input_source_pins.csv; tests/test_tum_exercise_source_transition.R; artifacts/12_manifests/model_input_acquisition.csv; artifacts/12_manifests/model_input_normalization.csv","An incorrect participant key would misassign H06 exercise exposure and participant availability even though light metrics are unchanged","SOURCE-002; DEV-056","Preparation 05; Preparation 06; H06","Pin only TUM exercisediary to the corrected immutable upstream commit with exact byte and SHA-256 validation; preserve the upstream object without a local identifier rewrite; rebuild acquisition normalization and base-model artifacts","Any change to the TUM exercise source commit object hash participant-date keys or upstream release status"
FIND-024,2026-07-30,repair_verified,medium,"Preparation 06 base-model manifest portability","The deterministic base-data builder must record complete input byte sizes and hashes from any working directory","Sequential tibble evaluation shadowed the input path while constructing provenance rows so input byte sizes could become missing outside the project working directory although scientific data values were unchanged","scripts/pipeline/build_base_model_data.R; tests/test_base_model_data.R; audit/reconciliation/preparation06/base_model_gate.md; artifacts/12_manifests/base_model_data_artifacts.csv","Missing provenance fields weaken independent tamper and input-identity verification and make reproduction depend on the caller's working directory","SOURCE-001","Preparation 06; reproducibility package","Capture all input byte sizes before constructing the provenance tibble and verify the builder and manifest under an alternate working directory with deterministic-byte and tamper-rejection tests","Any change to manifest construction path resolution input-provenance schema or builder working-directory assumptions"
FIND-025,2026-07-30,open_manuscript_repair,medium,"Manuscript timing-metric inventory","The Methods metric inventory should name every registered and analyzed timing-based outcome and exclude internal rolling-window boundaries","The Results report M10 and L10 midpoints but the current Methods inventory lists only first last and mean timing above 250 lx; M10/L10 onset and offset appear only as internal or disabled implementation fields and are not registered or reported outcomes","audit/findings/manuscript_metric_inventory.md; audit/evidence/preregistration_contract.md; data_preparation.qmd:25-45; index.qmd:269-289; index.qmd:367; index.qmd:516-518; audit/hypotheses/H01-H04_migration_map.md","An incomplete outcome inventory obscures the tested metric family and multiplicity scope while exposing convenience boundaries as metrics would expand the analysis without protocol support","METRIC-009; REPORT-001","Manuscript Methods; metric glossary; H01 H05 H09 H10 registries; pre-analysis comparison","Add the two 10-hour midpoints to the Methods timing-metric inventory; retain only levels and midpoints as analytical window outcomes; use the central manuscript-facing display registry throughout","Any change to the analytical metric set manuscript taxonomy or M10/L10 estimand"
FIND-026,2026-07-30,support_audit_verified,low,"Pre-analysis frozen-baseline versus canonical comparison gate","Every registered light metric and key prepared variable should have a reproducible aggregate comparison of observation participant and participant-day support plus appropriate location and distribution summaries before H01-H11 modelling","The verified comparison contains 72 variables in 120 variable-placement rows including all 22 registered light metrics; 26 mappings are field/key compatible and 46 are explicitly not applicable; no mapping is presented as proof of estimand equivalence","audit/reconciliation/preparation06/preanalysis_comparison_gate.md; artifacts/08_diagnostics/preanalysis_comparison/comparison_overview.csv; artifacts/08_diagnostics/preanalysis_comparison/numeric_quantiles.csv; artifacts/08_diagnostics/preanalysis_comparison/categorical_levels.csv; artifacts/12_manifests/preanalysis_comparison_artifacts.csv; tests/test_preanalysis_comparison.R","Without this gate unintended support changes or descriptive shifts could propagate into hypothesis models and prose without a common-key reconciliation","METRIC-009; REPORT-001","Preparation 06; H01-H11; placement decision; claim provenance","Pin the verified normalization and base-model hashes; retain explicit comparability classes; export exact source data for both audit figures; independently verify deterministic rebuilding tamper rejection terminology endpoint exclusion and privacy","Any change to a pinned input hash baseline artifact canonical metric or predictor metric registry transformation estimand crosswalk summary implementation or privacy rule"
FIND-027,2026-07-30,repair_verified,medium,"Normalization-manifest deterministic identity","A content-addressed manifest should remain byte-identical when every input and output artifact is byte-identical","A clean Preparation 06 render changed the normalization manifest solely because each row copied a runtime written_utc value; this propagated a false input-bundle change into the base manifest and correctly stopped the pinned comparison gate","audit/findings/nondeterministic_normalization_manifest.md; scripts/pipeline/model_input_normalization.R; tests/test_model_input_normalization.R; artifacts/12_manifests/model_input_normalization.csv; audit/reconciliation/preparation06/normalization_gate.md; audit/reconciliation/preparation06/base_model_gate.md; audit/reconciliation/preparation06/preanalysis_comparison_gate.md","Execution-time metadata could cause irreproducible checksums repeated false gate reopenings and failed clean renders despite unchanged scientific data","SOURCE-001","Preparation 06; H01-H11; H03/H04 category-support audit; pre-analysis comparison; reproducibility package","Exclude runtime write timestamps from the deterministic manifest while retaining hashes byte sizes dimensions producer R version and exact upstream identity; verify two consecutive builds and all downstream scientific artifacts","Any runtime timestamp random identifier temporary path or execution-specific value entering a content-addressed manifest or deterministic output"
FIND-028,2026-07-30,repair_verified,medium,"Site/solar-context manifest deterministic and portable identity","A content-addressed context manifest should remain byte-identical across repeated builds and checkout roots whenever all inputs and scientific outputs are identical","A clean Preparation 06 render changed the site/solar manifest solely because each row copied written_utc and absolute project paths; the pinned downstream gates correctly stopped despite byte-identical context artifacts","audit/findings/nondeterministic_site_solar_manifest.md; audit/reconciliation/preparation06/site_solar_context_gate.md; scripts/pipeline/build_site_solar_context.R; scripts/pipeline/verify_site_solar_context_artifacts.R; tests/test_build_site_solar_context.R; tests/test_verify_site_solar_context_artifacts.R; artifacts/12_manifests/site_solar_context_artifacts.csv","Execution-time and checkout-root metadata could cause irreproducible hashes false gate reopenings failed isolated renders and machine-specific provenance without changing scientific data","SOURCE-001","Preparation 06; H01-H11; pre-analysis comparison; reproducibility package","Use an exact stable schema without written_utc; store only root-relative paths; fail closed for paths outside the declared root; independently reconstruct paths and verify two consecutive builds plus downstream byte identity","Any runtime timestamp absolute checkout path random identifier temporary path or execution-specific value entering a deterministic site/solar artifact or manifest"
FIND-029,2026-07-30,repair_verified,medium,"Temporal-provenance manifest deterministic and portable identity","The content-addressed true-time sequence manifest should remain byte-identical across repeated builds and output roots whenever all inputs and scientific outputs are identical","A clean Preparation 06 render changed the temporal manifest solely because each row copied written_utc and an absolute output path while all four source-bin and wall-link artifacts remained byte-identical","audit/findings/nondeterministic_temporal_provenance_manifest.md; audit/findings/h02_h11_true_time_sequence_provenance.md; scripts/pipeline/build_temporal_sequence_provenance.R; scripts/pipeline/verify_temporal_sequence_provenance_artifacts.R; tests/test_build_temporal_sequence_provenance.R; artifacts/06_model_data/temporal_provenance/artifact_manifest.csv","Execution-time and checkout-root metadata could prevent identical clean or isolated reproduction despite unchanged elapsed-time provenance and scientific data","SOURCE-001; TIME-001; TIME-002; TIME-003","Preparation 06; H02; H11; reproducibility package","Use an exact 20-column schema without written_utc; record output and analytical input/upstream-manifest paths relative to explicit roots; fail closed outside those roots; independently verify same-root and alternate-root builds plus scientific byte identity","Any runtime timestamp absolute checkout path random identifier temporary path or execution-specific value entering a deterministic temporal-provenance artifact or manifest"
FIND-030,2026-07-30,repair_verified,low,"Preparation 06 HTML resource resolution","Every diagnostic figure referenced by the executable notebook should resolve from the author-facing HTML to a copied resource that is byte-identical to its authoritative source figure","Earlier path handling exposed that an apparently successful render can replace unavailable figures with descriptions; the HTML render now contains both expected relative image references and exact copied resources","notebooks/preparation/06_model_ready_datasets.qmd; audit/scripts/verify_preparation06_html.R; audit/reconciliation/preparation06/clean_render_gate.md; _build/nathealth/notebooks/preparation/06_model_ready_datasets.html; _build/nathealth/artifacts/08_diagnostics/preanalysis_comparison","An apparently successful render could omit the distributions needed for author audit even though the scientific figure files remain intact","REPORT-001; REPORT-002","Preparation 06; author-facing pre-analysis comparison","Prevalidate source figures; emit output-relative image references; require expected HTML tables and panels; hash-check both copied resources against their authoritative figure files","Any change to project execute directory notebook path output format Quarto or knitr path semantics diagnostic figure locations or copied-resource behavior"
FIND-031,2026-07-30,repair_verified,low,"Central decision-register completeness","Every decision identifier cited by a change or finding ledger should appear exactly once in the centralized decision register and resolve to its full decision record","INPUT-001 was fully documented in audit/decisions/input_source_selection.md and cited by CHG-010 and FIND-007 but was absent from decision_register.csv","audit/decisions/input_source_selection.md; audit/ledgers/decision_register.csv; audit/ledgers/change_log.csv; audit/ledgers/finding_register.csv","A missing central row weakens automated audit navigation but does not affect the implemented source choice or any scientific result","INPUT-001","Audit chain; Preparation 01","Add the existing approved INPUT-001 decision to the central register without changing its substance and validate unique IDs and cited references","Any decision identifier cited by a finding change deviation or claim without exactly one central register row and one resolvable evidence record"
"FIND-032","2026-07-30","audit_record_reconciled","low","Temporal-provenance expected checksum","The recorded expected checksum must identify the deterministic current 20-column manifest whose four scientific artifacts pass independent reconstruction and remain byte-stable across repeated and relocated builds","A clean render produced deterministic manifest SHA-256 37f868fb4bc9d387f7a10a32d15646f165162a7bca1daf9a6538d0485311148b rather than the stale recorded 4627501e20a944d537d2f5cc2ba49ac895ed6b9e89e1ff101c03241c43e0515a while all four scientific artifact hashes remained unchanged","audit/findings/temporal_manifest_hash_reconciliation.md; audit/scripts/verify_preparation06_html.R; tests/test_build_temporal_sequence_provenance.R; artifacts/06_model_data/temporal_provenance/artifact_manifest.csv","A stale expected hash correctly blocks a clean render but does not imply a scientific change once the manifest and underlying artifacts are independently verified","SOURCE-001; TIME-001; TIME-002; TIME-003","Preparation 06; H02; H11; reproducibility package","Reconcile the current verifier and reports to the deterministic 37f868fb4bc9d387f7a10a32d15646f165162a7bca1daf9a6538d0485311148b manifest only after full reconstruction stability portability and corruption-rejection tests pass","Any scientific artifact hash change manifest instability portability failure or independent reconstruction failure"
"FIND-033","2026-07-30","repair_verified","low","Darkest 10-hour mean numerical roundoff","A zero-aware geometric mean of non-negative melEDI must be non-negative and exact numerical zeros must not appear as negative exposure","Three near-eye and one chest participant-day were approximately -5.55e-17 lx after subtracting the 0.1-lx zero offset; these values were floating-point representations of zero","audit/findings/l10_geometric_mean_roundoff.md; scripts/pipeline/time_support.R; tests/test_time_support.R; artifacts/12_manifests/metric_artifacts.csv; artifacts/12_manifests/H01_model_data_artifacts.csv","Impossible negative values could fail non-negative response checks or be misinterpreted despite having no practical magnitude","METRIC-005","Preparation 04; Preparation 06; H01; every analysis using darkest 10-hour mean melEDI","Clamp only negative back-transformed values within a scale-aware machine-precision tolerance to zero and reject materially negative values; regenerate and independently verify all metric and downstream H01 inputs","Any change to the zero offset logarithm base rolling-window calculation tolerance non-negative outcome contract or any materially negative exposure value"
"FIND-034","2026-07-30","repair_verified","high","Repeated fall-back hours in the manuscript-prepared-data sensitivity","The sensitivity reconstruction must reproduce the manuscript's local-hour aggregation while retaining occurrence counts only as provenance","The first reconstruction kept four near-eye and two chest fall-back hours as extra analytical rows: 19180 versus 19176 near-eye and 21290 versus 21288 chest","audit/findings/manuscript_prepared_dst_hour_reconstruction.md; scripts/pipeline/manuscript_prepared_data.R; scripts/pipeline/build_manuscript_prepared_data.R; scripts/pipeline/verify_manuscript_prepared_data_artifacts.R; tests/test_manuscript_prepared_data.R","The formal sensitivity would contain an undeclared data-preparation difference and inconsistent daylight-saving handling across 30-minute and one-hour inputs","REPORT-006; TIME-001","Preparation 06; H01-H11 manuscript-prepared-data sensitivity","Average repeated occurrences within the shared site-participant-local-hour key exactly as in manuscript preparation; R 4.6.1 verifies unique keys and 19176 near-eye plus 21288 chest rows","Any extra local-hour row occurrence-specific analytical key changed expected row count or mismatch with the manuscript aggregation"
