run_id,run_order,run_label,placement_label,metric_order,metric_id,manuscript_category,manuscript_name,response_family,response_transform,assessment,residual_assessment,bound_assessment,residual_status,diagnostic_status,shapiro_p,residual_variance_ratio,standardized_residual_over_3_fraction,standardized_residual_over_4_fraction,dharma_uniformity_p,dharma_dispersion_p,dharma_zero_inflation_p,dharma_outlier_p,observed_zero_fraction,simulated_zero_fraction,zero_fraction_ratio,prediction_bound_status,predicted_below_bound_n,predicted_above_bound_n
main__glasses__all_available,1,Main near-eye,Near eye,17,mder_mean_of_viable_ratios,spectrum-based,Melanopic daylight efficacy ratio,gaussian,identity,Acceptable with limitations,Gaussian residual-shape warning,No verified upper bound available,WARN_GAUSSIAN_DIAGNOSTIC,WARN_REVIEW,8.331430370472915e-30,4.958227277031284,0.00997150997150997,0.00427350427350427,,,,,,,,UPPER_BOUND_UNAVAILABLE,0,
main__chest__all_available,2,Main chest,Chest,1,interdaily_stability,dynamics-based,Interdaily stability,gaussian,logit,Acceptable,No flagged residual issue,Prediction bounds passed,PASS,PASS,0.29954915533075077,1.5091142451971558,0,0,,,,,,,,PASS,0,0
main__chest__all_available,2,Main chest,Chest,2,intradaily_variability,dynamics-based,Intradaily variability,gaussian,identity,Acceptable,No flagged residual issue,No verified upper bound available,PASS,PASS,0.1228187017084855,1.6386609525862257,0,0,,,,,,,,UPPER_BOUND_UNAVAILABLE,0,
main__chest__all_available,2,Main chest,Chest,3,daily_geometric_mean_medi,level-based,Mean melEDI,gaussian,log10_offset_0.1,Acceptable with limitations,Gaussian residual-shape warning,No verified upper bound available,WARN_GAUSSIAN_DIAGNOSTIC,WARN_REVIEW,2.1302100466837636e-16,2.1839514600123415,0.01441241685144124,0.00554323725055432,,,,,,,,UPPER_BOUND_UNAVAILABLE,0,
main__chest__all_available,2,Main chest,Chest,4,m10_mean_medi,level-based,Brightest 10 h mean,gaussian,log10_offset_0.1,Acceptable with limitations,Gaussian residual-shape warning,No verified upper bound available,WARN_GAUSSIAN_DIAGNOSTIC,WARN_REVIEW,1.810060413577653e-18,2.6791896819632197,0.01330376940133037,0.00665188470066518,,,,,,,,UPPER_BOUND_UNAVAILABLE,0,
main__chest__all_available,2,Main chest,Chest,5,l10_mean_medi,level-based,Darkest 10 h mean,gaussian,log10_offset_0.1,Acceptable with limitations,Strong Gaussian residual-shape warning,No verified upper bound available,WARN_STRONG_GAUSSIAN_MISFIT,WARN_REVIEW,4.686163539079507e-21,12.737051025854695,0.01108647450110864,0.00443458980044345,,,,,,,,UPPER_BOUND_UNAVAILABLE,0,
main__chest__all_available,2,Main chest,Chest,6,duration_above_1000,duration-based,"Time above 1,000 lx melEDI",tweedie_log,identity,Acceptable,No flagged residual issue,Prediction bounds passed,PASS,PASS,,,,,0.12945005568831824,0.368,0.88,0.705652711243911,0.0942350332594235,0.09274057649667404,1.016114378616172,PASS,0,0
main__chest__all_available,2,Main chest,Chest,7,duration_above_250_wake,duration-based,Time above 250 lx melEDI during wake,tweedie_log,identity,Acceptable,No flagged residual issue,Prediction bounds passed,PASS,PASS,,,,,0.01254562258656381,0.336,0.896,0.4304084578713345,0.02444987775061125,0.02317359413202934,1.0550749103186323,PASS,0,0
main__chest__all_available,2,Main chest,Chest,8,duration_below_10_pre_sleep,duration-based,Time below 10 lx melEDI before sleep,gaussian,identity,Acceptable with limitations,Gaussian residual-shape warning,Prediction bounds passed,WARN_GAUSSIAN_DIAGNOSTIC,WARN_REVIEW,3.2882161670220777e-7,1.617949747493,0.00807537012113055,0.00269179004037685,,,,,,,,PASS,0,0
main__chest__all_available,2,Main chest,Chest,9,duration_below_1_sleep_environment,duration-based,Time below 1 lx melEDI during sleep,tweedie_log,identity,Acceptable with limitations,Strong Tweedie simulation-diagnostic warning,Predicted values crossed a physical bound,WARN_STRONG_TWEEDIE_MISFIT,WARN_REVIEW,,,,,3.818468422047134e-11,0.568,0,0.00291001137325345,0.00464576074332171,0,Inf,WARN_PREDICTED_BOUND,0,242
main__chest__all_available,2,Main chest,Chest,10,longest_bout_above_250,duration-based,Longest continuous period above 250 lx melEDI,gaussian,log10_offset_0.1,Acceptable with limitations,Gaussian residual-shape warning,Prediction bounds passed,WARN_GAUSSIAN_DIAGNOSTIC,WARN_REVIEW,8.988976837653204e-5,1.0747888139874144,0.00554323725055432,0,,,,,,,,PASS,0,0
main__chest__all_available,2,Main chest,Chest,11,m10_midpoint,timing-based,Midpoint of the brightest 10 hours,gaussian,clock_hours,Acceptable with limitations,Gaussian residual-shape warning,Prediction bounds passed,WARN_GAUSSIAN_DIAGNOSTIC,WARN_REVIEW,1.8167679433962255e-14,1.2560396916655174,0.00997782705099778,0.00110864745011086,,,,,,,,PASS,0,0
main__chest__all_available,2,Main chest,Chest,12,l10_midpoint,timing-based,Midpoint of the darkest 10 hours,gaussian,clock_hours_midnight_after_16,Acceptable with limitations,Gaussian residual-shape warning,Prediction bounds passed,WARN_GAUSSIAN_DIAGNOSTIC,WARN_REVIEW,3.789201093632631e-21,2.1493636053998473,0.01219512195121951,0.00776053215077605,,,,,,,,PASS,0,0
main__chest__all_available,2,Main chest,Chest,13,mean_timing_above_250,timing-based,Mean timing of exposure above 250 lx melEDI,gaussian,clock_hours,Acceptable with limitations,Gaussian residual-shape warning,Prediction bounds passed,WARN_GAUSSIAN_DIAGNOSTIC,WARN_REVIEW,1.349536640699642e-8,1.7074920158759936,0.00601684717208182,0.00120336943441636,,,,,,,,PASS,0,0
main__chest__all_available,2,Main chest,Chest,14,first_timing_above_250,timing-based,First light timing above 250 lx melEDI,gaussian,clock_hours,Acceptable with limitations,Gaussian residual-shape warning,Prediction bounds passed,WARN_GAUSSIAN_DIAGNOSTIC,WARN_REVIEW,3.9109923948820605e-19,2.0661336138378603,0.01870324189526184,0.00623441396508728,,,,,,,,PASS,0,0
main__chest__all_available,2,Main chest,Chest,15,last_timing_above_250,timing-based,Last light timing above 250 lx melEDI,gaussian,clock_hours,Acceptable with limitations,Gaussian residual-shape warning,Prediction bounds passed,WARN_GAUSSIAN_DIAGNOSTIC,WARN_REVIEW,2.912171592605512e-14,2.144101554097076,0.01143583227445997,0.00508259212198221,,,,,,,,PASS,0,0
main__chest__all_available,2,Main chest,Chest,16,dose_time_sensitive_corrected_medi,exposure-history-based,melEDI dose,gaussian,log10_offset_0.1,Acceptable with limitations,Gaussian residual-shape warning,No verified upper bound available,WARN_GAUSSIAN_DIAGNOSTIC,WARN_REVIEW,4.144325595299156e-20,2.575177973147523,0.00822561692126909,0.00587544065804935,,,,,,,,UPPER_BOUND_UNAVAILABLE,0,
main__chest__all_available,2,Main chest,Chest,17,mder_mean_of_viable_ratios,spectrum-based,Melanopic daylight efficacy ratio,gaussian,identity,Acceptable with limitations,Gaussian residual-shape warning,No verified upper bound available,WARN_GAUSSIAN_DIAGNOSTIC,WARN_REVIEW,1.7893222162427048e-22,3.5305516043620595,0.01229508196721311,0.00546448087431694,,,,,,,,UPPER_BOUND_UNAVAILABLE,0,
