route,duplicate_multiset,ids
notebooks/descriptives.html,"{""a::stub"": 8, ""stub_1_1"": 8, ""stub_1_2"": 8, ""stub_1_3"": 8, ""stub_1_4"": 8, ""stub_1_5"": 8, ""stub_1_6"": 8, ""stub_1_7"": 6, ""stub_1_8"": 6, ""Overall"": 3, ""RISE"": 3, ""THUAS"": 3, ""BAUA"": 3, ""MPI"": 3, ""TUM"": 3, ""FUSPCEU"": 3, ""IZTECH"": 3, ""UCR"": 3, ""KNUST"": 3, ""Site specifics"": 2, ""Data collection"": 2, ""stub_1_9"": 5, ""stub_1_10"": 5, ""stub_1_11"": 4, ""stub_1_12"": 3, ""stub_1_13"": 3, ""Participant information"": 2, ""stub_1_14"": 3, ""stub_1_15"": 3, ""stub_1_16"": 2, ""stub_1_17"": 2}",989
notebooks/hypotheses/H01 2.html,{},3340
notebooks/hypotheses/H01 3.html,{},3677
notebooks/hypotheses/H01.html,{},3678
notebooks/hypotheses/H02.html,{},274
notebooks/hypotheses/H03.html,{},209
notebooks/hypotheses/H04.html,{},257
notebooks/hypotheses/H05.html,{},645
notebooks/hypotheses/H06.html,{},1911
notebooks/hypotheses/H06_daily.html,{},232
notebooks/hypotheses/H07.html,{},244
notebooks/hypotheses/H08.html,{},282
notebooks/hypotheses/H09.html,{},143
notebooks/hypotheses/H10.html,{},215
notebooks/hypotheses/H11.html,{},272
notebooks/placement_decision.html,{},79
notebooks/preparation/01_import_state_alignment.html,"{""Site"": 3, ""Stored-outcome"": 3, ""Chest"": 3, ""Near-eye"": 3, ""Check"": 2}",1184
notebooks/preparation/02_coverage_sample_flow.html,"{""Stored-outcome"": 2, ""Chest"": 3, ""Near-eye"": 3, ""Placement"": 2, ""Participant-days"": 3, ""Check"": 2}",919
notebooks/preparation/03_reference_profiles.html,"{""Placement"": 2, ""Supported-half-hour-periods"": 2}",1383
notebooks/preparation/04_metric_derivation.html,"{""Placement"": 7, ""Eligible-days"": 2, ""Participant-days"": 2}",2402
notebooks/preparation/05_model_input_acquisition.html,{},1083
notebooks/preparation/06_model_ready_datasets.html,"{""Rows"": 2, ""Columns"": 2, ""Stored-file"": 2, ""Site"": 3, ""Placement"": 3, ""Check"": 2, ""Value"": 2, ""Metric"": 2, ""Participants"": 2, ""Rows-in-prepared-frame"": 2, ""Contributing-participant-days"": 2, ""Valid-measurement-hours"": 2, ""Sites"": 2, ""Stored-record"": 2}",2630
notebooks/preparation/07_example_days.html,"{""Site"": 2, ""Path"": 2}",1239
notebooks/preregistration_deviations.html,{},136
supplementary_information.html,{},414
