sequence,target,action,pre_bytes,pre_sha256,post_bytes,post_sha256,backup,candidate
13,_build/nathealth/audit/hypotheses/H09/H09_analysis_preparation.html,replace,630059,cdf9aaed6c594b365b048ee4d9256c492a1e5f41f88f33df47e829dc2eca422c,629907,d36ea2ffcd0a0965cd0aac0ce438a77028bac80cd71c2820ce5ee5405766cf28,preimages/_build/nathealth/audit/hypotheses/H09/H09_analysis_preparation.html,candidate_build/audit/hypotheses/H09/H09_analysis_preparation.html
14,_build/nathealth/audit/hypotheses/H10/H10_analysis_preparation.html,replace,650688,c679d369c1e38a2f8479a2a2bef7b2d17fee6ba6bbf17c0d1d27c180ab97693d,650536,eacba5195461bbabdc9724ae3b62f2123df7f197c518df3acb9cd755788da3a0,preimages/_build/nathealth/audit/hypotheses/H10/H10_analysis_preparation.html,candidate_build/audit/hypotheses/H10/H10_analysis_preparation.html
15,_build/nathealth/audit/hypotheses/H11/H11_analysis_preparation.html,replace,769879,8eaf3fa9ee561f90a18ab5980c12447e33a0955d17eb6a7ebc3183c5d089517c,769384,c4de331621681c71cca4b5a3b433d75f73d2e2427521f95c709601c4225c1b11,preimages/_build/nathealth/audit/hypotheses/H11/H11_analysis_preparation.html,candidate_build/audit/hypotheses/H11/H11_analysis_preparation.html
16,_build/nathealth/audit/hypotheses/implementation_result_comparison_contract.html,replace,52485,f866ce43ee767c92cde2fb39f88fa2f89925b34dff3936666f377841dbac8e7d,52257,3b3fbc5c676a254656c7b86dabba386fb8ce8d1f36cf87ceff78649f325f6b81,preimages/_build/nathealth/audit/hypotheses/implementation_result_comparison_contract.html,candidate_build/audit/hypotheses/implementation_result_comparison_contract.html
17,_build/nathealth/index.html,replace,25367739,af87852a1a5e2e5739eb87870fafcf0166e6c79e262c6e1f1f0eb9f3eed7e651,25365194,56d2d707fe817c6b53db48100339b8afb99a3d665ab78b74ee0b1aeba106df7c,preimages/_build/nathealth/index.html,candidate_build/index.html
18,_build/nathealth/notebooks/descriptives 2.html,replace,2070226,676d74983b992db194845f4ffd98c461212c0f26174131fc0c93d64eabeab66d,2070001,dcebb1fd55e7c18b0b7339cc841ba4ed7c012b33b9af8233f13bcda2e5baa600,preimages/_build/nathealth/notebooks/descriptives 2.html,candidate_build/notebooks/descriptives 2.html
19,_build/nathealth/notebooks/descriptives.html,replace,2261513,75ce099e8b94c4d6e67d2186ffdb62337c05071c769998ffe67c3e5d8419c2af,2261367,03f9a46f1e9a13484853960c06f37189fdf259a234978e246dbae89d76c2e953,preimages/_build/nathealth/notebooks/descriptives.html,candidate_build/notebooks/descriptives.html
20,_build/nathealth/notebooks/hypotheses/H01 2.html,replace,1642479,eab336d8cde80608968679d68cfc4ed67828c4f60969d51f90d3738b59e63839,1642330,cfb11accce35c67b78c9b7ea22e7ce4fa822ccc0385cec2d61a4c9baa6b92fea,preimages/_build/nathealth/notebooks/hypotheses/H01 2.html,candidate_build/notebooks/hypotheses/H01 2.html
21,_build/nathealth/notebooks/hypotheses/H01 3.html,replace,4577844,4b3ee0d424f5f5eb3c49664d1e2954e89ef1d5c0146978073c2bdaf1c33ab6ef,4577695,23625502242b92ea8ba18668f154a002002ccca7f46e388d1c7ea936c2306f4a,preimages/_build/nathealth/notebooks/hypotheses/H01 3.html,candidate_build/notebooks/hypotheses/H01 3.html
22,_build/nathealth/notebooks/hypotheses/H01.html,replace,4581370,421ac96ce2739b238d6e8d2e20430a7468a8c0a96aa065b3661615f4245cae41,4581221,3a6908eee199e747d7c42e966fe16883fafd058cb16903f6fbc37c6047cf0244,preimages/_build/nathealth/notebooks/hypotheses/H01.html,candidate_build/notebooks/hypotheses/H01.html
23,_build/nathealth/notebooks/hypotheses/H02.html,replace,295148,2f8ea6ded87b5ff9f43aec445c096369b47315c474752c06f856e68e725c7143,294999,95e428566695e9f681b9988a754bfb69f1f90bdb332cc2c984cf79ab95638bf9,preimages/_build/nathealth/notebooks/hypotheses/H02.html,candidate_build/notebooks/hypotheses/H02.html
24,_build/nathealth/notebooks/hypotheses/H03.html,replace,334228,8751090b4d38794c8ff24606a3c92ec2895880c97108074595dfcaf78edf551c,334079,68bc4ae581cf58cdb82690f0053751bbbf14f6a4669b7d9ee4bf5224633326f0,preimages/_build/nathealth/notebooks/hypotheses/H03.html,candidate_build/notebooks/hypotheses/H03.html
25,_build/nathealth/notebooks/hypotheses/H04.html,replace,386671,9f56f3c5bda2058c7e97f524e12f4b9734c9a61b0fafee3e5a810f2444229543,386522,92c26e8504b3a46b3ce3397daa96b6fc1abbc54c48e08ba37c7a53f53456465d,preimages/_build/nathealth/notebooks/hypotheses/H04.html,candidate_build/notebooks/hypotheses/H04.html
26,_build/nathealth/notebooks/hypotheses/H05.html,replace,639578,d643cf7e51a357c64e46d52e72a1607491d70ad9626bc45f06d497fd46663dda,639429,9abab1848432f1b5acf17a89c46cbc224880fffc008b6899d1e09df49422daac,preimages/_build/nathealth/notebooks/hypotheses/H05.html,candidate_build/notebooks/hypotheses/H05.html
27,_build/nathealth/notebooks/hypotheses/H06.html,replace,4898816,4883b77a2e225c8bad8628f1a04274f5d19d81aeb7cc493949707cdc6cd98e2f,4898667,5e202881e6cc87bbd2b0e7fe3abdc1a23badf86f0baa1ec6b41e2bbab1a0e3b6,preimages/_build/nathealth/notebooks/hypotheses/H06.html,candidate_build/notebooks/hypotheses/H06.html
28,_build/nathealth/notebooks/hypotheses/H06_daily.html,replace,10476929,e10dbaa356c63c808465a3a0b28963a0c84d97b03f1798f22315ee258f9cb180,10476780,5498aa6c59769ba2da6bc368cc287479b7303d96e79aa259de82ca99e8097c3f,preimages/_build/nathealth/notebooks/hypotheses/H06_daily.html,candidate_build/notebooks/hypotheses/H06_daily.html
29,_build/nathealth/notebooks/hypotheses/H07.html,replace,264449,851a301c400e771cee6e9d6dff4360f2842f3fa3055190405342853563a2b284,264300,32bef622afb37422d851715394cd142426c347fa4af00d64280fe9a5542766c2,preimages/_build/nathealth/notebooks/hypotheses/H07.html,candidate_build/notebooks/hypotheses/H07.html
30,_build/nathealth/notebooks/hypotheses/H08.html,replace,338769,4943ccbb186ddc292a169513f3752da15bc29765acb5f3c33ef0f585f7d96a20,338620,f79dc80d1db29f6347dac86a9d1be9eaffadcd46ad2b5882835fd3376dc45d76,preimages/_build/nathealth/notebooks/hypotheses/H08.html,candidate_build/notebooks/hypotheses/H08.html
31,_build/nathealth/notebooks/hypotheses/H09.html,replace,242853,37c06994b2eb992d924b266a6ac930090170a68642f956b9690dada379300ced,242704,4247723a952cd6e7a61035907657d8e8ae75c2ecc28df5318a341ffeb318b537,preimages/_build/nathealth/notebooks/hypotheses/H09.html,candidate_build/notebooks/hypotheses/H09.html
32,_build/nathealth/notebooks/hypotheses/H10.html,replace,358429,9eccd8f7b2156aca725c884298b17111b3945ff14b8070cf131d8c7ea2fc6cb8,358280,b76b9aed88790065650acbbebc622f28a43d207b369f831cbe53755211dc5e14,preimages/_build/nathealth/notebooks/hypotheses/H10.html,candidate_build/notebooks/hypotheses/H10.html
33,_build/nathealth/notebooks/hypotheses/H11.html,replace,304992,5e18bb94d0ad84d0e6916a12c1eb819b224b87c9030eb2bd8dba49422d1c4d53,304843,80657c3de784597924393e3d28b3b0d8f3a9c1b621b25b5ee032869303a6ed8c,preimages/_build/nathealth/notebooks/hypotheses/H11.html,candidate_build/notebooks/hypotheses/H11.html
34,_build/nathealth/notebooks/placement_decision.html,replace,47749,5a2cf8da79f913ac8cb90153aa648fa367eb9e7d9073d4351951c03cd76b5e3d,47603,569c11f9b7e710e8713d7316e3668a93bdf1367924849760c82835cc1df6fdbf,preimages/_build/nathealth/notebooks/placement_decision.html,candidate_build/notebooks/placement_decision.html
35,_build/nathealth/notebooks/preparation/01_import_state_alignment.html,replace,370501,c484d5bbe2f05cc4d8893b9daf379a00563ab73cd53b533a7544aa9f01020589,370352,e06e045282cb1ad98eb2844403f3537f09d8a44564c157783becef2f48df6373,preimages/_build/nathealth/notebooks/preparation/01_import_state_alignment.html,candidate_build/notebooks/preparation/01_import_state_alignment.html
36,_build/nathealth/notebooks/preparation/02_coverage_sample_flow.html,replace,313099,c0f79f9191135222d69c4361922f49030a2458332daa3d73cc90ccb2618d0541,312950,98bb9540c6249ff745e5d73ca5979b623d24738121a50000fbe5785d7238129d,preimages/_build/nathealth/notebooks/preparation/02_coverage_sample_flow.html,candidate_build/notebooks/preparation/02_coverage_sample_flow.html
37,_build/nathealth/notebooks/preparation/03_reference_profiles.html,replace,357446,8746cb53e2cc596533e719caa3a1bbdd69a80693d470628b55eeb85d30a77353,357297,50e0801b86bbc3e83f975ca1e1f226038bb8a1de40f9a0880afbaa39513f9263,preimages/_build/nathealth/notebooks/preparation/03_reference_profiles.html,candidate_build/notebooks/preparation/03_reference_profiles.html
38,_build/nathealth/notebooks/preparation/04_metric_derivation.html,replace,556902,008ffdb7044c5d45e5aa7c9343c2e0162616fa35bf4d37febd1703fed37978f8,556753,30b0e3b21c489f7ed7cb4f89b6f1b50e608b857d756ff5d9e7a3444f2f1b83a6,preimages/_build/nathealth/notebooks/preparation/04_metric_derivation.html,candidate_build/notebooks/preparation/04_metric_derivation.html
39,_build/nathealth/notebooks/preparation/05_model_input_acquisition.html,replace,285970,0c93060ba00e7be8ea4137410d8749c12898d7faf9c988e10b9132ebe4d632d8,285821,631750334df0c2ffbc120ef631659fb6bd86dd5612af3f3585b87ce8f6fcad5b,preimages/_build/nathealth/notebooks/preparation/05_model_input_acquisition.html,candidate_build/notebooks/preparation/05_model_input_acquisition.html
40,_build/nathealth/notebooks/preparation/06_model_ready_datasets.html,replace,664400,9888891089f5a59f02f01a7d72bb8e5fc86d8a84d8d767cf4b2107159a6ce87f,664251,e2ce93f288ea2fbf527624cd07d360da2da303a89c802e98a5d09f9e1e78440e,preimages/_build/nathealth/notebooks/preparation/06_model_ready_datasets.html,candidate_build/notebooks/preparation/06_model_ready_datasets.html
41,_build/nathealth/notebooks/preparation/07_example_days.html,replace,295772,ffa14bf01a9d583180b5ec92a541ce252b167f256b254688023ce1c088a4967a,295623,0380fe40dfee16bcb457a65ae445fb45e9970e73b5bcee4bc2c3b45d66a0b449,preimages/_build/nathealth/notebooks/preparation/07_example_days.html,candidate_build/notebooks/preparation/07_example_days.html
42,_build/nathealth/notebooks/preregistration_deviations.html,replace,160062,623cbd4f769b547afe8d846e7c0f7145467e4610197182a651fed48db94bf636,159916,422412caec90ee4365544b7c3515958172ca45502b0b493c8ef3847ae653ec3b,preimages/_build/nathealth/notebooks/preregistration_deviations.html,candidate_build/notebooks/preregistration_deviations.html
43,_build/nathealth/search.json,replace,2350116,aef05e5b12417168a526ee35250cfc894fd3fb069769e4687b8a26bf477ef0cd,2345151,7e1ad6a522d130e9990195adb05018e4a6c5fe19c4673834ee5c4f524deb36b3,preimages/_build/nathealth/search.json,candidate_build/search.json
44,_build/nathealth/sitemap.xml,replace,6809,a45815103a7aafca2de8782f6b84a5a48651c38585647482dc1f782ef7ebe74b,6647,7edc14e5c61c9ef9436263c57cc3550b602bfc04063c5e0fc16b33229f237b32,preimages/_build/nathealth/sitemap.xml,candidate_build/sitemap.xml
45,_build/nathealth/supplementary_information.html,replace,15674831,0a1da925d6bb63d2be7139ddcf0c511fb2c5ba10eacf2d340cfed6e61ee8b286,15631621,47d0b7beecf5947a6ea262bf8ab2ffc2031579502ba095c33ecad17a871eb286,preimages/_build/nathealth/supplementary_information.html,candidate_build/supplementary_information.html
46,_build/nathealth/notebooks/sensitivity_battery.html,retire,53303,977bc8dab6ee4b28ec506c0e1b4d4f1bd27339311ce78972cd6fefe08a2fc219,0,,preimages/_build/nathealth/notebooks/sensitivity_battery.html,
47,_build/nathealth/manuscript_changes.csv,retire,39396,abaa25cc7f25ecfc8a54895d6e375030ed08dbbd63fac8b7eccf68bd23b298d8,0,,preimages/_build/nathealth/manuscript_changes.csv,
48,_build/nathealth/manuscript_changes.md,retire,38124,341a8d7a92843c5d8188a433a628bc943eeae7572c54af248f5ce8559e58ff24,0,,preimages/_build/nathealth/manuscript_changes.md,
49,_build/nathealth/notebooks/sensitivity_battery_files/libs/bootstrap/bootstrap-81c0645bc19072abdb8a90de0bee1110.min.css,retire,420753,a8ba243ed1f123a9f7a6b30867e44cf72cf3f616b19ee090cf7bf39c0dae4352,0,,preimages/_build/nathealth/notebooks/sensitivity_battery_files/libs/bootstrap/bootstrap-81c0645bc19072abdb8a90de0bee1110.min.css,
50,_build/nathealth/notebooks/sensitivity_battery_files/libs/bootstrap/bootstrap-icons.css,retire,99464,01253947f506e030589e4f33fc7ec7ccdfb9505e2e596dedf16445f12e243c0a,0,,preimages/_build/nathealth/notebooks/sensitivity_battery_files/libs/bootstrap/bootstrap-icons.css,
51,_build/nathealth/notebooks/sensitivity_battery_files/libs/bootstrap/bootstrap-icons.woff,retire,180288,f55513b7b591cb84a3b87ff0e34ea24d4831d6fedc22e54b911ca64b5b544a15,0,,preimages/_build/nathealth/notebooks/sensitivity_battery_files/libs/bootstrap/bootstrap-icons.woff,
52,_build/nathealth/notebooks/sensitivity_battery_files/libs/bootstrap/bootstrap.min.js,retire,80668,d2ea6c1e0cabca20d18e924b25a1cd0187c38ba7c33f60ab06e1b0402b9bcdb5,0,,preimages/_build/nathealth/notebooks/sensitivity_battery_files/libs/bootstrap/bootstrap.min.js,
53,_build/nathealth/notebooks/sensitivity_battery_files/libs/clipboard/clipboard.min.js,retire,9160,e17a1d816e13c0826e0ed7febfabc3277f45571234bde0bf9120829a7169edc9,0,,preimages/_build/nathealth/notebooks/sensitivity_battery_files/libs/clipboard/clipboard.min.js,
54,_build/nathealth/notebooks/sensitivity_battery_files/libs/quarto-html/anchor.min.js,retire,5888,69098e105d990f834cff1b7886d873444228ff63c590e5ff834d568f1115ed8b,0,,preimages/_build/nathealth/notebooks/sensitivity_battery_files/libs/quarto-html/anchor.min.js,
55,_build/nathealth/notebooks/sensitivity_battery_files/libs/quarto-html/popper.min.js,retire,20084,4d50586b184724d39ddfe0f6582861664eddd5e806e5a79e0dbaa832361414d0,0,,preimages/_build/nathealth/notebooks/sensitivity_battery_files/libs/quarto-html/popper.min.js,
56,_build/nathealth/notebooks/sensitivity_battery_files/libs/quarto-html/quarto-syntax-highlighting-7f8f88aac4f3542376d5c11b86a4c14d.css,retire,3678,96d688dbd4c2de66404fd9b0e75d5b62573cbece9ee7011ca24d8bce1bbe044c,0,,preimages/_build/nathealth/notebooks/sensitivity_battery_files/libs/quarto-html/quarto-syntax-highlighting-7f8f88aac4f3542376d5c11b86a4c14d.css,
57,_build/nathealth/notebooks/sensitivity_battery_files/libs/quarto-html/quarto.js,retire,26830,4ecb60f215d96b2af0fe9d985c71e32863b1c993a64725a416ac18b5991c59c6,0,,preimages/_build/nathealth/notebooks/sensitivity_battery_files/libs/quarto-html/quarto.js,
58,_build/nathealth/notebooks/sensitivity_battery_files/libs/quarto-html/tabsets/tabsets.js,retire,2882,a9c226bf70e82eaf5476f619cecfb70b4446b87ce4d1634d6404b0b2ba006d15,0,,preimages/_build/nathealth/notebooks/sensitivity_battery_files/libs/quarto-html/tabsets/tabsets.js,
59,_build/nathealth/notebooks/sensitivity_battery_files/libs/quarto-html/tippy.css,retire,1409,5969f497d9158d7682f8219c6f13fa67269cdf5bf50a3931d95327151dee5678,0,,preimages/_build/nathealth/notebooks/sensitivity_battery_files/libs/quarto-html/tippy.css,
60,_build/nathealth/notebooks/sensitivity_battery_files/libs/quarto-html/tippy.umd.min.js,retire,24033,41181eeec6d7ba64cb9165f0e95563e34e026bde79e7c13aeec83270429b6fae,0,,preimages/_build/nathealth/notebooks/sensitivity_battery_files/libs/quarto-html/tippy.umd.min.js,
61,_quarto-nathealth.yml,replace,10042,e54c71794f4f763a8b50417ab83ff3db37bc9af3fef3f4d1910576ab12c61bc7,9623,d6ce26fda76bc1ab23b9117f9ca1c9b1d1915d24fc9a181eb355f9f81eb7ed2a,preimages/_quarto-nathealth.yml,postimages/_quarto-nathealth.yml
62,audit/report_harmonization/phase4_corpus_manifest.csv,replace,11479,642161dfc1ec18572b8b8c124546060c8f889683ebf7ceb8e5e43dc785f77669,11215,31acf761e8a8d27f2d515d4fb0b1dddfab0586fef3d470927080674b8dbda95a,preimages/audit/report_harmonization/phase4_corpus_manifest.csv,postimages/audit/report_harmonization/phase4_corpus_manifest.csv
