route,attribute,target,valid
audit/hypotheses/H01/H01_analysis_preparation 2.html,aria-labelledby,quarto-navigation-tool-dropdown-0,True
audit/hypotheses/H01/H01_analysis_preparation 2.html,aria-describedby,tbl-h01-prep-boundary-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H01/H01_analysis_preparation 2.html,aria-describedby,tbl-h01-prep-inputs-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H01/H01_analysis_preparation 2.html,aria-describedby,tbl-h01-prep-exclusions-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H01/H01_analysis_preparation 2.html,aria-describedby,tbl-h01-prep-metric-contract-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H01/H01_analysis_preparation 2.html,aria-describedby,tbl-h01-prep-construct-rules-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H01/H01_analysis_preparation 2.html,aria-describedby,tbl-h01-prep-scenarios-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H01/H01_analysis_preparation 2.html,aria-labelledby,tabset-1-1-tab,True
audit/hypotheses/H01/H01_analysis_preparation 2.html,aria-describedby,tbl-h01-prep-primary-near-samples-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H01/H01_analysis_preparation 2.html,aria-labelledby,tabset-1-2-tab,True
audit/hypotheses/H01/H01_analysis_preparation 2.html,aria-describedby,tbl-h01-prep-primary-chest-samples-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H01/H01_analysis_preparation 2.html,aria-describedby,fig-h01-prep-sample-support-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H01/H01_analysis_preparation 2.html,aria-describedby,fig-h01-prep-model-frame-retention-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H01/H01_analysis_preparation 2.html,aria-describedby,tbl-h01-prep-site-sample-ranges-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H01/H01_analysis_preparation 2.html,aria-describedby,tbl-h01-prep-formulas-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H01/H01_analysis_preparation 2.html,aria-describedby,tbl-h01-prep-model-settings-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H01/H01_analysis_preparation 2.html,aria-describedby,tbl-h01-prep-estimands-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H01/H01_analysis_preparation 2.html,aria-describedby,tbl-h01-prep-multiplicity-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H01/H01_analysis_preparation 2.html,aria-describedby,tbl-h01-prep-bootstrap-audit-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H01/H01_analysis_preparation 2.html,aria-describedby,tbl-h01-prep-diagnostic-map-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H01/H01_analysis_preparation 2.html,aria-describedby,tbl-h01-prep-sensitivity-map-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H01/H01_analysis_preparation 2.html,aria-describedby,tbl-h01-prep-module-map-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H01/H01_analysis_preparation 2.html,aria-describedby,tbl-h01-prep-script-map-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H01/H01_analysis_preparation 2.html,aria-describedby,tbl-h01-prep-manifests-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H01/H01_analysis_preparation 2.html,aria-describedby,tbl-h01-prep-environment-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H01/H01_analysis_preparation 2.html,aria-labelledby,quarto-embedded-source-code-modal-label,True
audit/hypotheses/H01/H01_analysis_preparation.html,aria-labelledby,nav-menu-study--data,True
audit/hypotheses/H01/H01_analysis_preparation.html,aria-labelledby,nav-menu-environment,True
audit/hypotheses/H01/H01_analysis_preparation.html,aria-labelledby,nav-menu-behaviour--time,True
audit/hypotheses/H01/H01_analysis_preparation.html,aria-labelledby,nav-menu-individual-factors,True
audit/hypotheses/H01/H01_analysis_preparation.html,aria-labelledby,nav-menu-supporting-material,True
audit/hypotheses/H01/H01_analysis_preparation.html,aria-labelledby,quarto-navigation-tool-dropdown-0,True
audit/hypotheses/H01/H01_analysis_preparation.html,aria-describedby,tbl-h01-prep-boundary-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H01/H01_analysis_preparation.html,aria-describedby,tbl-h01-prep-inputs-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H01/H01_analysis_preparation.html,aria-describedby,tbl-h01-prep-exclusions-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H01/H01_analysis_preparation.html,aria-describedby,tbl-h01-prep-metric-contract-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H01/H01_analysis_preparation.html,aria-describedby,tbl-h01-prep-construct-rules-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H01/H01_analysis_preparation.html,aria-describedby,tbl-h01-prep-scenarios-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H01/H01_analysis_preparation.html,aria-labelledby,tabset-1-1-tab,True
audit/hypotheses/H01/H01_analysis_preparation.html,aria-describedby,tbl-h01-prep-primary-near-samples-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H01/H01_analysis_preparation.html,aria-labelledby,tabset-1-2-tab,True
audit/hypotheses/H01/H01_analysis_preparation.html,aria-describedby,tbl-h01-prep-primary-chest-samples-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H01/H01_analysis_preparation.html,aria-describedby,fig-h01-prep-sample-support-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H01/H01_analysis_preparation.html,aria-describedby,fig-h01-prep-model-frame-retention-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H01/H01_analysis_preparation.html,aria-describedby,tbl-h01-prep-site-sample-ranges-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H01/H01_analysis_preparation.html,aria-describedby,tbl-h01-prep-formulas-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H01/H01_analysis_preparation.html,aria-describedby,tbl-h01-prep-model-settings-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H01/H01_analysis_preparation.html,aria-describedby,tbl-h01-prep-estimands-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H01/H01_analysis_preparation.html,aria-describedby,tbl-h01-prep-multiplicity-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H01/H01_analysis_preparation.html,aria-describedby,tbl-h01-prep-bootstrap-audit-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H01/H01_analysis_preparation.html,aria-describedby,tbl-h01-prep-diagnostic-map-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H01/H01_analysis_preparation.html,aria-describedby,tbl-h01-prep-sensitivity-map-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H01/H01_analysis_preparation.html,aria-describedby,tbl-h01-prep-module-map-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H01/H01_analysis_preparation.html,aria-describedby,tbl-h01-prep-script-map-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H01/H01_analysis_preparation.html,aria-describedby,tbl-h01-prep-manifests-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H01/H01_analysis_preparation.html,aria-describedby,tbl-h01-prep-environment-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H01/H01_analysis_preparation.html,aria-labelledby,quarto-embedded-source-code-modal-label,True
audit/hypotheses/H02/H02_analysis_preparation.html,aria-labelledby,nav-menu-study--data,True
audit/hypotheses/H02/H02_analysis_preparation.html,aria-labelledby,nav-menu-environment,True
audit/hypotheses/H02/H02_analysis_preparation.html,aria-labelledby,nav-menu-behaviour--time,True
audit/hypotheses/H02/H02_analysis_preparation.html,aria-labelledby,nav-menu-individual-factors,True
audit/hypotheses/H02/H02_analysis_preparation.html,aria-labelledby,nav-menu-supporting-material,True
audit/hypotheses/H02/H02_analysis_preparation.html,aria-labelledby,quarto-navigation-tool-dropdown-0,True
audit/hypotheses/H02/H02_analysis_preparation.html,aria-describedby,tbl-h02-prep-boundary-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H02/H02_analysis_preparation.html,aria-describedby,tbl-h02-prep-inputs-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H02/H02_analysis_preparation.html,aria-describedby,tbl-h02-prep-support-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H02/H02_analysis_preparation.html,aria-describedby,tbl-h02-prep-scenarios-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H02/H02_analysis_preparation.html,aria-describedby,tbl-h02-prep-near-site-sample-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H02/H02_analysis_preparation.html,aria-describedby,tbl-h02-prep-chest-site-sample-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H02/H02_analysis_preparation.html,aria-describedby,fig-h02-prep-response-distribution-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H02/H02_analysis_preparation.html,aria-describedby,fig-h02-prep-clock-support-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H02/H02_analysis_preparation.html,aria-describedby,fig-h02-prep-day-support-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H02/H02_analysis_preparation.html,aria-describedby,tbl-h02-prep-parameters-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H02/H02_analysis_preparation.html,aria-describedby,tbl-h02-prep-primary-fits-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H02/H02_analysis_preparation.html,aria-describedby,tbl-h02-prep-structure-checks-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H02/H02_analysis_preparation.html,aria-describedby,tbl-h02-prep-ar-boundaries-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H02/H02_analysis_preparation.html,aria-describedby,fig-h02-prep-ar-change-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H02/H02_analysis_preparation.html,aria-describedby,tbl-h02-prep-diagnostic-map-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H02/H02_analysis_preparation.html,aria-describedby,tbl-h02-prep-sensitivity-map-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H02/H02_analysis_preparation.html,aria-describedby,tbl-h02-prep-module-map-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H02/H02_analysis_preparation.html,aria-describedby,tbl-h02-prep-script-map-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H02/H02_analysis_preparation.html,aria-describedby,tbl-h02-prep-manifests-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H02/H02_analysis_preparation.html,aria-describedby,tbl-h02-prep-environment-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H02/H02_analysis_preparation.html,aria-labelledby,quarto-embedded-source-code-modal-label,True
audit/hypotheses/H03/H03_analysis_preparation 2.html,aria-describedby,tbl-h03-prep-boundary-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation 2.html,aria-describedby,tbl-h03-prep-input-identities-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation 2.html,aria-describedby,tbl-h03-prep-integrity-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation 2.html,aria-describedby,tbl-h03-prep-zero-support-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation 2.html,aria-describedby,fig-h03-prep-positive-distribution-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation 2.html,aria-describedby,tbl-h03-prep-primary-samples-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation 2.html,aria-describedby,tbl-h03-prep-participant-day-support-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation 2.html,aria-describedby,tbl-h03-prep-category-support-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation 2.html,aria-describedby,fig-h03-prep-category-support-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation 2.html,aria-describedby,tbl-h03-prep-site-cell-support-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation 2.html,aria-describedby,fig-h03-prep-site-category-support-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation 2.html,aria-describedby,fig-h03-prep-clock-category-support-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation 2.html,aria-describedby,tbl-h03-prep-primary-specification-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation 2.html,aria-describedby,tbl-h03-prep-primary-tests-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation 2.html,aria-describedby,tbl-h03-prep-estimand-contract-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation 2.html,aria-describedby,tbl-h03-prep-interaction-gate-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation 2.html,aria-describedby,tbl-h03-prep-multiplicity-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation 2.html,aria-describedby,tbl-h03-prep-glm-r-squared-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation 2.html,aria-describedby,tbl-h03-prep-primary-diagnostics-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation 2.html,aria-describedby,tbl-h03-prep-zero-diagnostics-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation 2.html,aria-describedby,tbl-h03-prep-residual-acf-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation 2.html,aria-describedby,tbl-h03-prep-influence-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation 2.html,aria-describedby,tbl-h03-prep-sensitivity-samples-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation 2.html,aria-describedby,tbl-h03-prep-sensitivity-tests-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation 2.html,aria-describedby,tbl-h03-prep-temporal-models-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation 2.html,aria-describedby,tbl-h03-prep-temporal-performance-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation 2.html,aria-describedby,tbl-h03-prep-latitude-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation 2.html,aria-describedby,tbl-h03-prep-script-map-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation 2.html,aria-describedby,tbl-h03-prep-output-map-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation 2.html,aria-describedby,tbl-h03-prep-environment-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation 2.html,aria-labelledby,quarto-embedded-source-code-modal-label,True
audit/hypotheses/H03/H03_analysis_preparation.html,aria-labelledby,nav-menu-study--data,True
audit/hypotheses/H03/H03_analysis_preparation.html,aria-labelledby,nav-menu-environment,True
audit/hypotheses/H03/H03_analysis_preparation.html,aria-labelledby,nav-menu-behaviour--time,True
audit/hypotheses/H03/H03_analysis_preparation.html,aria-labelledby,nav-menu-individual-factors,True
audit/hypotheses/H03/H03_analysis_preparation.html,aria-labelledby,nav-menu-supporting-material,True
audit/hypotheses/H03/H03_analysis_preparation.html,aria-labelledby,quarto-navigation-tool-dropdown-0,True
audit/hypotheses/H03/H03_analysis_preparation.html,aria-describedby,tbl-h03-prep-input-identities-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation.html,aria-describedby,tbl-h03-prep-integrity-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation.html,aria-describedby,tbl-h03-prep-zero-support-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation.html,aria-describedby,fig-h03-prep-positive-distribution-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation.html,aria-describedby,tbl-h03-prep-primary-samples-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation.html,aria-describedby,tbl-h03-prep-participant-day-support-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation.html,aria-describedby,tbl-h03-prep-category-support-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation.html,aria-describedby,fig-h03-prep-category-support-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation.html,aria-describedby,tbl-h03-prep-site-cell-support-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation.html,aria-describedby,fig-h03-prep-site-category-support-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation.html,aria-describedby,fig-h03-prep-clock-category-support-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation.html,aria-describedby,tbl-h03-prep-primary-specification-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation.html,aria-describedby,tbl-h03-prep-primary-tests-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation.html,aria-describedby,tbl-h03-prep-estimand-contract-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation.html,aria-describedby,tbl-h03-prep-interaction-gate-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation.html,aria-describedby,tbl-h03-prep-multiplicity-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation.html,aria-describedby,tbl-h03-prep-glm-r-squared-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation.html,aria-describedby,tbl-h03-prep-participant-random-intercept-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation.html,aria-describedby,tbl-h03-prep-primary-diagnostics-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation.html,aria-describedby,tbl-h03-prep-zero-diagnostics-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation.html,aria-describedby,tbl-h03-prep-residual-acf-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation.html,aria-describedby,tbl-h03-prep-influence-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation.html,aria-describedby,tbl-h03-prep-sensitivity-samples-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation.html,aria-describedby,tbl-h03-prep-sensitivity-tests-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation.html,aria-describedby,tbl-h03-prep-temporal-models-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation.html,aria-describedby,tbl-h03-prep-temporal-performance-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation.html,aria-describedby,tbl-h03-prep-latitude-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation.html,aria-describedby,tbl-h03-prep-script-map-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation.html,aria-describedby,tbl-h03-prep-output-map-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation.html,aria-describedby,tbl-h03-prep-boundary-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation.html,aria-describedby,tbl-h03-prep-environment-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H03/H03_analysis_preparation.html,aria-labelledby,quarto-embedded-source-code-modal-label,True
audit/hypotheses/H04/H04_analysis_preparation.html,aria-labelledby,nav-menu-study--data,True
audit/hypotheses/H04/H04_analysis_preparation.html,aria-labelledby,nav-menu-environment,True
audit/hypotheses/H04/H04_analysis_preparation.html,aria-labelledby,nav-menu-behaviour--time,True
audit/hypotheses/H04/H04_analysis_preparation.html,aria-labelledby,nav-menu-individual-factors,True
audit/hypotheses/H04/H04_analysis_preparation.html,aria-labelledby,nav-menu-supporting-material,True
audit/hypotheses/H04/H04_analysis_preparation.html,aria-labelledby,quarto-navigation-tool-dropdown-0,True
audit/hypotheses/H04/H04_analysis_preparation.html,aria-describedby,tbl-h04-prep-input-identities-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H04/H04_analysis_preparation.html,aria-describedby,tbl-h04-prep-transformation-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H04/H04_analysis_preparation.html,aria-describedby,tbl-h04-prep-sample-flow-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H04/H04_analysis_preparation.html,aria-describedby,tbl-h04-prep-zero-support-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
audit/hypotheses/H04/H04_analysis_preparation.html,aria-describedby,fig-h04-prep-positive-distribution-caption-0ceaefa1-69ba-4598-a22c-09a6ac19f8ca,True
