check,pass_,detail
Exact transition postimage or absence,True,_build/nathealth/notebooks/preregistration_deviations.html
Recoverable exact preimage,True,_build/nathealth/search.json
Exact transition postimage or absence,True,_build/nathealth/search.json
Recoverable exact preimage,True,_build/nathealth/sitemap.xml
Exact transition postimage or absence,True,_build/nathealth/sitemap.xml
Recoverable exact preimage,True,_build/nathealth/supplementary_information.html
Exact transition postimage or absence,True,_build/nathealth/supplementary_information.html
Recoverable exact preimage,True,_build/nathealth/notebooks/sensitivity_battery.html
Exact transition postimage or absence,True,_build/nathealth/notebooks/sensitivity_battery.html
Recoverable exact preimage,True,_build/nathealth/manuscript_changes.csv
Exact transition postimage or absence,True,_build/nathealth/manuscript_changes.csv
Recoverable exact preimage,True,_build/nathealth/manuscript_changes.md
Exact transition postimage or absence,True,_build/nathealth/manuscript_changes.md
Recoverable exact preimage,True,_build/nathealth/notebooks/sensitivity_battery_files/libs/bootstrap/bootstrap-81c0645bc19072abdb8a90de0bee1110.min.css
Exact transition postimage or absence,True,_build/nathealth/notebooks/sensitivity_battery_files/libs/bootstrap/bootstrap-81c0645bc19072abdb8a90de0bee1110.min.css
Recoverable exact preimage,True,_build/nathealth/notebooks/sensitivity_battery_files/libs/bootstrap/bootstrap-icons.css
Exact transition postimage or absence,True,_build/nathealth/notebooks/sensitivity_battery_files/libs/bootstrap/bootstrap-icons.css
Recoverable exact preimage,True,_build/nathealth/notebooks/sensitivity_battery_files/libs/bootstrap/bootstrap-icons.woff
Exact transition postimage or absence,True,_build/nathealth/notebooks/sensitivity_battery_files/libs/bootstrap/bootstrap-icons.woff
Recoverable exact preimage,True,_build/nathealth/notebooks/sensitivity_battery_files/libs/bootstrap/bootstrap.min.js
Exact transition postimage or absence,True,_build/nathealth/notebooks/sensitivity_battery_files/libs/bootstrap/bootstrap.min.js
Recoverable exact preimage,True,_build/nathealth/notebooks/sensitivity_battery_files/libs/clipboard/clipboard.min.js
Exact transition postimage or absence,True,_build/nathealth/notebooks/sensitivity_battery_files/libs/clipboard/clipboard.min.js
Recoverable exact preimage,True,_build/nathealth/notebooks/sensitivity_battery_files/libs/quarto-html/anchor.min.js
Exact transition postimage or absence,True,_build/nathealth/notebooks/sensitivity_battery_files/libs/quarto-html/anchor.min.js
Recoverable exact preimage,True,_build/nathealth/notebooks/sensitivity_battery_files/libs/quarto-html/popper.min.js
Exact transition postimage or absence,True,_build/nathealth/notebooks/sensitivity_battery_files/libs/quarto-html/popper.min.js
Recoverable exact preimage,True,_build/nathealth/notebooks/sensitivity_battery_files/libs/quarto-html/quarto-syntax-highlighting-7f8f88aac4f3542376d5c11b86a4c14d.css
Exact transition postimage or absence,True,_build/nathealth/notebooks/sensitivity_battery_files/libs/quarto-html/quarto-syntax-highlighting-7f8f88aac4f3542376d5c11b86a4c14d.css
Recoverable exact preimage,True,_build/nathealth/notebooks/sensitivity_battery_files/libs/quarto-html/quarto.js
Exact transition postimage or absence,True,_build/nathealth/notebooks/sensitivity_battery_files/libs/quarto-html/quarto.js
Recoverable exact preimage,True,_build/nathealth/notebooks/sensitivity_battery_files/libs/quarto-html/tabsets/tabsets.js
Exact transition postimage or absence,True,_build/nathealth/notebooks/sensitivity_battery_files/libs/quarto-html/tabsets/tabsets.js
Recoverable exact preimage,True,_build/nathealth/notebooks/sensitivity_battery_files/libs/quarto-html/tippy.css
Exact transition postimage or absence,True,_build/nathealth/notebooks/sensitivity_battery_files/libs/quarto-html/tippy.css
Recoverable exact preimage,True,_build/nathealth/notebooks/sensitivity_battery_files/libs/quarto-html/tippy.umd.min.js
Exact transition postimage or absence,True,_build/nathealth/notebooks/sensitivity_battery_files/libs/quarto-html/tippy.umd.min.js
Recoverable exact preimage,True,_quarto-nathealth.yml
Exact transition postimage or absence,True,_quarto-nathealth.yml
Recoverable exact preimage,True,audit/report_harmonization/phase4_corpus_manifest.csv
Exact transition postimage or absence,True,audit/report_harmonization/phase4_corpus_manifest.csv
47 reversible file ledgers,True,
Exact forward raw-span replay,True,_build/nathealth/audit/H01/02_implementation_and_v0_comparison.html
Exact whole-file raw-span reversal,True,_build/nathealth/audit/H01/02_implementation_and_v0_comparison.html
Independent stripped DOM equals candidate,True,audit/H01/02_implementation_and_v0_comparison.html
Exact forward raw-span replay,True,_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation 2.html
Exact whole-file raw-span reversal,True,_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation 2.html
Independent stripped DOM equals candidate,True,audit/hypotheses/H01/H01_analysis_preparation 2.html
Exact forward raw-span replay,True,_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html
Exact whole-file raw-span reversal,True,_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html
Independent stripped DOM equals candidate,True,audit/hypotheses/H01/H01_analysis_preparation.html
Exact forward raw-span replay,True,_build/nathealth/audit/hypotheses/H02/H02_analysis_preparation.html
Exact whole-file raw-span reversal,True,_build/nathealth/audit/hypotheses/H02/H02_analysis_preparation.html
Independent stripped DOM equals candidate,True,audit/hypotheses/H02/H02_analysis_preparation.html
Exact forward raw-span replay,True,_build/nathealth/audit/hypotheses/H03-H11_gated_workflow.html
Exact whole-file raw-span reversal,True,_build/nathealth/audit/hypotheses/H03-H11_gated_workflow.html
Independent stripped DOM equals candidate,True,audit/hypotheses/H03-H11_gated_workflow.html
Exact forward raw-span replay,True,_build/nathealth/audit/hypotheses/H03/H03_analysis_preparation.html
Exact whole-file raw-span reversal,True,_build/nathealth/audit/hypotheses/H03/H03_analysis_preparation.html
Independent stripped DOM equals candidate,True,audit/hypotheses/H03/H03_analysis_preparation.html
Exact forward raw-span replay,True,_build/nathealth/audit/hypotheses/H04/H04_analysis_preparation.html
Exact whole-file raw-span reversal,True,_build/nathealth/audit/hypotheses/H04/H04_analysis_preparation.html
Independent stripped DOM equals candidate,True,audit/hypotheses/H04/H04_analysis_preparation.html
Exact forward raw-span replay,True,_build/nathealth/audit/hypotheses/H05/H05_analysis_preparation.html
Exact whole-file raw-span reversal,True,_build/nathealth/audit/hypotheses/H05/H05_analysis_preparation.html
Independent stripped DOM equals candidate,True,audit/hypotheses/H05/H05_analysis_preparation.html
Exact forward raw-span replay,True,_build/nathealth/audit/hypotheses/H06/H06_analysis_preparation.html
Exact whole-file raw-span reversal,True,_build/nathealth/audit/hypotheses/H06/H06_analysis_preparation.html
Independent stripped DOM equals candidate,True,audit/hypotheses/H06/H06_analysis_preparation.html
Exact forward raw-span replay,True,_build/nathealth/audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html
Exact whole-file raw-span reversal,True,_build/nathealth/audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html
Independent stripped DOM equals candidate,True,audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html
Exact forward raw-span replay,True,_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.html
Exact whole-file raw-span reversal,True,_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.html
Independent stripped DOM equals candidate,True,audit/hypotheses/H07/H07_analysis_preparation.html
Exact forward raw-span replay,True,_build/nathealth/audit/hypotheses/H08/H08_analysis_preparation.html
Exact whole-file raw-span reversal,True,_build/nathealth/audit/hypotheses/H08/H08_analysis_preparation.html
Independent stripped DOM equals candidate,True,audit/hypotheses/H08/H08_analysis_preparation.html
Exact forward raw-span replay,True,_build/nathealth/audit/hypotheses/H09/H09_analysis_preparation.html
Exact whole-file raw-span reversal,True,_build/nathealth/audit/hypotheses/H09/H09_analysis_preparation.html
Independent stripped DOM equals candidate,True,audit/hypotheses/H09/H09_analysis_preparation.html
Exact forward raw-span replay,True,_build/nathealth/audit/hypotheses/H10/H10_analysis_preparation.html
Exact whole-file raw-span reversal,True,_build/nathealth/audit/hypotheses/H10/H10_analysis_preparation.html
Independent stripped DOM equals candidate,True,audit/hypotheses/H10/H10_analysis_preparation.html
Exact forward raw-span replay,True,_build/nathealth/audit/hypotheses/H11/H11_analysis_preparation.html
Exact whole-file raw-span reversal,True,_build/nathealth/audit/hypotheses/H11/H11_analysis_preparation.html
Independent stripped DOM equals candidate,True,audit/hypotheses/H11/H11_analysis_preparation.html
Exact forward raw-span replay,True,_build/nathealth/audit/hypotheses/implementation_result_comparison_contract.html
Exact whole-file raw-span reversal,True,_build/nathealth/audit/hypotheses/implementation_result_comparison_contract.html
Independent stripped DOM equals candidate,True,audit/hypotheses/implementation_result_comparison_contract.html
Exact forward raw-span replay,True,_build/nathealth/index.html
Exact whole-file raw-span reversal,True,_build/nathealth/index.html
Independent stripped DOM equals candidate,True,index.html
Exact forward raw-span replay,True,_build/nathealth/notebooks/descriptives 2.html
Exact whole-file raw-span reversal,True,_build/nathealth/notebooks/descriptives 2.html
Independent stripped DOM equals candidate,True,notebooks/descriptives 2.html
Exact forward raw-span replay,True,_build/nathealth/notebooks/descriptives.html
Exact whole-file raw-span reversal,True,_build/nathealth/notebooks/descriptives.html
Independent stripped DOM equals candidate,True,notebooks/descriptives.html
Exact forward raw-span replay,True,_build/nathealth/notebooks/hypotheses/H01 2.html
Exact whole-file raw-span reversal,True,_build/nathealth/notebooks/hypotheses/H01 2.html
Independent stripped DOM equals candidate,True,notebooks/hypotheses/H01 2.html
Exact forward raw-span replay,True,_build/nathealth/notebooks/hypotheses/H01 3.html
Exact whole-file raw-span reversal,True,_build/nathealth/notebooks/hypotheses/H01 3.html
Independent stripped DOM equals candidate,True,notebooks/hypotheses/H01 3.html
Exact forward raw-span replay,True,_build/nathealth/notebooks/hypotheses/H01.html
Exact whole-file raw-span reversal,True,_build/nathealth/notebooks/hypotheses/H01.html
Independent stripped DOM equals candidate,True,notebooks/hypotheses/H01.html
Exact forward raw-span replay,True,_build/nathealth/notebooks/hypotheses/H02.html
Exact whole-file raw-span reversal,True,_build/nathealth/notebooks/hypotheses/H02.html
Independent stripped DOM equals candidate,True,notebooks/hypotheses/H02.html
Exact forward raw-span replay,True,_build/nathealth/notebooks/hypotheses/H03.html
Exact whole-file raw-span reversal,True,_build/nathealth/notebooks/hypotheses/H03.html
Independent stripped DOM equals candidate,True,notebooks/hypotheses/H03.html
Exact forward raw-span replay,True,_build/nathealth/notebooks/hypotheses/H04.html
Exact whole-file raw-span reversal,True,_build/nathealth/notebooks/hypotheses/H04.html
Independent stripped DOM equals candidate,True,notebooks/hypotheses/H04.html
Exact forward raw-span replay,True,_build/nathealth/notebooks/hypotheses/H05.html
Exact whole-file raw-span reversal,True,_build/nathealth/notebooks/hypotheses/H05.html
Independent stripped DOM equals candidate,True,notebooks/hypotheses/H05.html
Exact forward raw-span replay,True,_build/nathealth/notebooks/hypotheses/H06.html
Exact whole-file raw-span reversal,True,_build/nathealth/notebooks/hypotheses/H06.html
Independent stripped DOM equals candidate,True,notebooks/hypotheses/H06.html
Exact forward raw-span replay,True,_build/nathealth/notebooks/hypotheses/H06_daily.html
Exact whole-file raw-span reversal,True,_build/nathealth/notebooks/hypotheses/H06_daily.html
Independent stripped DOM equals candidate,True,notebooks/hypotheses/H06_daily.html
Exact forward raw-span replay,True,_build/nathealth/notebooks/hypotheses/H07.html
Exact whole-file raw-span reversal,True,_build/nathealth/notebooks/hypotheses/H07.html
Independent stripped DOM equals candidate,True,notebooks/hypotheses/H07.html
Exact forward raw-span replay,True,_build/nathealth/notebooks/hypotheses/H08.html
Exact whole-file raw-span reversal,True,_build/nathealth/notebooks/hypotheses/H08.html
Independent stripped DOM equals candidate,True,notebooks/hypotheses/H08.html
Exact forward raw-span replay,True,_build/nathealth/notebooks/hypotheses/H09.html
Exact whole-file raw-span reversal,True,_build/nathealth/notebooks/hypotheses/H09.html
Independent stripped DOM equals candidate,True,notebooks/hypotheses/H09.html
Exact forward raw-span replay,True,_build/nathealth/notebooks/hypotheses/H10.html
Exact whole-file raw-span reversal,True,_build/nathealth/notebooks/hypotheses/H10.html
Independent stripped DOM equals candidate,True,notebooks/hypotheses/H10.html
Exact forward raw-span replay,True,_build/nathealth/notebooks/hypotheses/H11.html
Exact whole-file raw-span reversal,True,_build/nathealth/notebooks/hypotheses/H11.html
Independent stripped DOM equals candidate,True,notebooks/hypotheses/H11.html
Exact forward raw-span replay,True,_build/nathealth/notebooks/placement_decision.html
Exact whole-file raw-span reversal,True,_build/nathealth/notebooks/placement_decision.html
Independent stripped DOM equals candidate,True,notebooks/placement_decision.html
Exact forward raw-span replay,True,_build/nathealth/notebooks/preparation/01_import_state_alignment.html
Exact whole-file raw-span reversal,True,_build/nathealth/notebooks/preparation/01_import_state_alignment.html
Independent stripped DOM equals candidate,True,notebooks/preparation/01_import_state_alignment.html
Exact forward raw-span replay,True,_build/nathealth/notebooks/preparation/02_coverage_sample_flow.html
Exact whole-file raw-span reversal,True,_build/nathealth/notebooks/preparation/02_coverage_sample_flow.html
Independent stripped DOM equals candidate,True,notebooks/preparation/02_coverage_sample_flow.html
Exact forward raw-span replay,True,_build/nathealth/notebooks/preparation/03_reference_profiles.html
Exact whole-file raw-span reversal,True,_build/nathealth/notebooks/preparation/03_reference_profiles.html
Independent stripped DOM equals candidate,True,notebooks/preparation/03_reference_profiles.html
Exact forward raw-span replay,True,_build/nathealth/notebooks/preparation/04_metric_derivation.html
Exact whole-file raw-span reversal,True,_build/nathealth/notebooks/preparation/04_metric_derivation.html
Independent stripped DOM equals candidate,True,notebooks/preparation/04_metric_derivation.html
Exact forward raw-span replay,True,_build/nathealth/notebooks/preparation/05_model_input_acquisition.html
Exact whole-file raw-span reversal,True,_build/nathealth/notebooks/preparation/05_model_input_acquisition.html
Independent stripped DOM equals candidate,True,notebooks/preparation/05_model_input_acquisition.html
Exact forward raw-span replay,True,_build/nathealth/notebooks/preparation/06_model_ready_datasets.html
Exact whole-file raw-span reversal,True,_build/nathealth/notebooks/preparation/06_model_ready_datasets.html
Independent stripped DOM equals candidate,True,notebooks/preparation/06_model_ready_datasets.html
Exact forward raw-span replay,True,_build/nathealth/notebooks/preparation/07_example_days.html
Exact whole-file raw-span reversal,True,_build/nathealth/notebooks/preparation/07_example_days.html
Independent stripped DOM equals candidate,True,notebooks/preparation/07_example_days.html
Exact forward raw-span replay,True,_build/nathealth/notebooks/preregistration_deviations.html
Exact whole-file raw-span reversal,True,_build/nathealth/notebooks/preregistration_deviations.html
Independent stripped DOM equals candidate,True,notebooks/preregistration_deviations.html
Exact forward raw-span replay,True,_build/nathealth/search.json
Exact whole-file raw-span reversal,True,_build/nathealth/search.json
Exact forward raw-span replay,True,_build/nathealth/sitemap.xml
Exact whole-file raw-span reversal,True,_build/nathealth/sitemap.xml
Exact forward raw-span replay,True,_build/nathealth/supplementary_information.html
Exact whole-file raw-span reversal,True,_build/nathealth/supplementary_information.html
Independent stripped DOM equals candidate,True,supplementary_information.html
Exact forward raw-span replay,True,_quarto-nathealth.yml
Exact whole-file raw-span reversal,True,_quarto-nathealth.yml
Exact forward raw-span replay,True,audit/report_harmonization/phase4_corpus_manifest.csv
Exact whole-file raw-span reversal,True,audit/report_harmonization/phase4_corpus_manifest.csv
36 corpus routes; exact sensitivity withdrawal,True,
36 unique routes,True,
Exact allowed corpus cells,True,index.qmd
Historical source/hash/title/order retained,True,index.qmd
Current corpus HTML identity,True,
Only affected render position reduced,True,
Exact allowed corpus cells,True,supplementary_information.qmd
Historical source/hash/title/order retained,True,supplementary_information.qmd
Current corpus HTML identity,True,
Only affected render position reduced,True,
Exact allowed corpus cells,True,notebooks/preparation/01_import_state_alignment.qmd
Historical source/hash/title/order retained,True,notebooks/preparation/01_import_state_alignment.qmd
Current corpus HTML identity,True,
Exact allowed corpus cells,True,notebooks/preparation/02_coverage_sample_flow.qmd
Historical source/hash/title/order retained,True,notebooks/preparation/02_coverage_sample_flow.qmd
Current corpus HTML identity,True,
Exact allowed corpus cells,True,notebooks/preparation/03_reference_profiles.qmd
Historical source/hash/title/order retained,True,notebooks/preparation/03_reference_profiles.qmd
Current corpus HTML identity,True,
Exact allowed corpus cells,True,notebooks/preparation/04_metric_derivation.qmd
Historical source/hash/title/order retained,True,notebooks/preparation/04_metric_derivation.qmd
Current corpus HTML identity,True,
Exact allowed corpus cells,True,notebooks/preparation/05_model_input_acquisition.qmd
Historical source/hash/title/order retained,True,notebooks/preparation/05_model_input_acquisition.qmd
Current corpus HTML identity,True,
Exact allowed corpus cells,True,notebooks/preparation/06_model_ready_datasets.qmd
Historical source/hash/title/order retained,True,notebooks/preparation/06_model_ready_datasets.qmd
Current corpus HTML identity,True,
Exact allowed corpus cells,True,notebooks/preparation/07_example_days.qmd
Historical source/hash/title/order retained,True,notebooks/preparation/07_example_days.qmd
Current corpus HTML identity,True,
Exact allowed corpus cells,True,notebooks/placement_decision.qmd
Historical source/hash/title/order retained,True,notebooks/placement_decision.qmd
Current corpus HTML identity,True,
Exact allowed corpus cells,True,notebooks/descriptives.qmd
Historical source/hash/title/order retained,True,notebooks/descriptives.qmd
Current corpus HTML identity,True,
Exact allowed corpus cells,True,notebooks/preregistration_deviations.qmd
Historical source/hash/title/order retained,True,notebooks/preregistration_deviations.qmd
Current corpus HTML identity,True,
Exact allowed corpus cells,True,notebooks/hypotheses/H01.qmd
Historical source/hash/title/order retained,True,notebooks/hypotheses/H01.qmd
Current corpus HTML identity,True,
Exact allowed corpus cells,True,audit/hypotheses/H01/H01_analysis_preparation.qmd
Historical source/hash/title/order retained,True,audit/hypotheses/H01/H01_analysis_preparation.qmd
Current corpus HTML identity,True,
Exact allowed corpus cells,True,notebooks/hypotheses/H02.qmd
Historical source/hash/title/order retained,True,notebooks/hypotheses/H02.qmd
Current corpus HTML identity,True,
Exact allowed corpus cells,True,audit/hypotheses/H02/H02_analysis_preparation.qmd
Historical source/hash/title/order retained,True,audit/hypotheses/H02/H02_analysis_preparation.qmd
Current corpus HTML identity,True,
Exact allowed corpus cells,True,notebooks/hypotheses/H03.qmd
Historical source/hash/title/order retained,True,notebooks/hypotheses/H03.qmd
Current corpus HTML identity,True,
Exact allowed corpus cells,True,audit/hypotheses/H03/H03_analysis_preparation.qmd
Historical source/hash/title/order retained,True,audit/hypotheses/H03/H03_analysis_preparation.qmd
Current corpus HTML identity,True,
Exact allowed corpus cells,True,notebooks/hypotheses/H04.qmd
Historical source/hash/title/order retained,True,notebooks/hypotheses/H04.qmd
Current corpus HTML identity,True,
Exact allowed corpus cells,True,audit/hypotheses/H04/H04_analysis_preparation.qmd
Historical source/hash/title/order retained,True,audit/hypotheses/H04/H04_analysis_preparation.qmd
Current corpus HTML identity,True,
Exact allowed corpus cells,True,notebooks/hypotheses/H05.qmd
Historical source/hash/title/order retained,True,notebooks/hypotheses/H05.qmd
Current corpus HTML identity,True,
Exact allowed corpus cells,True,audit/hypotheses/H05/H05_analysis_preparation.qmd
Historical source/hash/title/order retained,True,audit/hypotheses/H05/H05_analysis_preparation.qmd
Current corpus HTML identity,True,
Exact allowed corpus cells,True,notebooks/hypotheses/H06.qmd
Historical source/hash/title/order retained,True,notebooks/hypotheses/H06.qmd
Current corpus HTML identity,True,
Exact allowed corpus cells,True,audit/hypotheses/H06/H06_analysis_preparation.qmd
Historical source/hash/title/order retained,True,audit/hypotheses/H06/H06_analysis_preparation.qmd
Current corpus HTML identity,True,
Exact allowed corpus cells,True,notebooks/hypotheses/H06_daily.qmd
Historical source/hash/title/order retained,True,notebooks/hypotheses/H06_daily.qmd
Current corpus HTML identity,True,
Exact allowed corpus cells,True,audit/hypotheses/H06_daily/H06_daily_analysis_preparation.qmd
Historical source/hash/title/order retained,True,audit/hypotheses/H06_daily/H06_daily_analysis_preparation.qmd
Current corpus HTML identity,True,
Exact allowed corpus cells,True,notebooks/hypotheses/H07.qmd
Historical source/hash/title/order retained,True,notebooks/hypotheses/H07.qmd
Current corpus HTML identity,True,
Exact allowed corpus cells,True,audit/hypotheses/H07/H07_analysis_preparation.qmd
Historical source/hash/title/order retained,True,audit/hypotheses/H07/H07_analysis_preparation.qmd
Current corpus HTML identity,True,
Exact allowed corpus cells,True,notebooks/hypotheses/H08.qmd
Historical source/hash/title/order retained,True,notebooks/hypotheses/H08.qmd
Current corpus HTML identity,True,
Exact allowed corpus cells,True,audit/hypotheses/H08/H08_analysis_preparation.qmd
Historical source/hash/title/order retained,True,audit/hypotheses/H08/H08_analysis_preparation.qmd
Current corpus HTML identity,True,
Exact allowed corpus cells,True,notebooks/hypotheses/H09.qmd
Historical source/hash/title/order retained,True,notebooks/hypotheses/H09.qmd
Current corpus HTML identity,True,
Exact allowed corpus cells,True,audit/hypotheses/H09/H09_analysis_preparation.qmd
Historical source/hash/title/order retained,True,audit/hypotheses/H09/H09_analysis_preparation.qmd
Current corpus HTML identity,True,
Exact allowed corpus cells,True,notebooks/hypotheses/H10.qmd
