"endpoint","source_path","source_sha256","rows","columns","row_shape","column_shape","all_cells_match","input_unchanged"
"tbl-implementation-weighting","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage3/source_data/table_weighting_source.csv","0df7664de94db808b4fd9b70c04eac1062dd574be43758b3a071ea3c282b77dc",3,4,TRUE,TRUE,TRUE,TRUE
"tbl-implementation-grouping","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage3/source_data/table_grouping_source.csv","760633872c038a071ce374f2b403c5f97cefa1c3362c057a8c6374bba5e49d97",6,7,TRUE,TRUE,TRUE,TRUE
"tbl-implementation-temporal-routes","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage3/source_data/table_temporal_routes_source.csv","7651fc008eea4bd3c8958def79c894ef211d4a4d7e98266fdc2a45fd456a2ab5",4,5,TRUE,TRUE,TRUE,TRUE
"tbl-implementation-temporal-residuals","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage3/source_data/table_temporal_residuals_source.csv","196dc93d454fbcaa58e21292dcf6f3397a54bb41f7b32fdf2691867bac164bfc",24,6,TRUE,TRUE,TRUE,TRUE
"tbl-implementation-chest","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage3/source_data/table_chest_source.csv","411d49ccd65715678ebaee7277fcc90b18100ee65ea0e49b3d43a82b3a07e6a4",2,6,TRUE,TRUE,TRUE,TRUE
"tbl-implementation-random","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage3/source_data/table_random_source.csv","3d13e5411fc5249c34bd74494a13d7c7efa8153af1665512b436b8fb8a7143f7",2,3,TRUE,TRUE,TRUE,TRUE
"tbl-implementation-r2","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage3/source_data/table_r2_source.csv","ac0da78c29216a6ef56ade1821df3d6b4fd0ed22d487471797df38d94562e17b",8,6,TRUE,TRUE,TRUE,TRUE
"tbl-implementation-shapley-global","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage3/source_data/table_shapley_global_source.csv","6efed04e3f71283549d577f8b4177b122280e78f2c5dfdc6165c58c0403a45d5",6,5,TRUE,TRUE,TRUE,TRUE
"tbl-implementation-shapley-within","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage3/source_data/table_shapley_within_source.csv","725cfb003f9ca5ba46dc5af0cccccb33d146756f2a2ce665656cb14c64be6f21",12,5,TRUE,TRUE,TRUE,TRUE
"tbl-implementation-reuse","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage3/source_data/table_pair_eligibility_source.csv","6205e6812fea5beface21af3a1861fce74e4ac5b21c05a7be80c0352876f946e",4,5,TRUE,TRUE,TRUE,TRUE
"tbl-implementation-artifacts","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage3/source_data/table_artifacts_source.csv","bc69aa833e8cb15a2b1ded8deb187fa7bafb447e220612490342ed63a53d41f7",4,4,TRUE,TRUE,TRUE,TRUE
"tbl-implementation-environment","/Users/zauner/.codex/worktrees/82ab/ZaunerEtAl_bioRxiv_2026/audit/analyses/brown_adherence/main_linkage_b_amendment/stage3/source_data/table_environment_source.csv","899fac2630467dde517a504d7649aa7da50e1e5c8fdef8d67d5c3c262a6719d6",8,2,TRUE,TRUE,TRUE,TRUE
