logical_order,role,source,historical_source_sha256,current_source_sha256,source_matches_historical,source_matches_12sep_audit,expected_html,historical_html_sha256,current_html_sha256,html_matches_historical,prior_authority_class,prior_authority_record,prior_authority_gap,candidate_html_sha256,delivery_authority,fresh_source_render,source_gap_preserved
11,shared,notebooks/descriptives.qmd,b631936d9e47c4988dd453ea22184090b076705e3716e8f037e1953e3309cd4c,c17fef3ca932fa8cf195f6ae6604e822e3b46235cefd6a081d4eef69b88546bc,False,True,_build/nathealth/notebooks/descriptives.html,75ce099e8b94c4d6e67d2186ffdb62337c05071c769998ffe67c3e5d8419c2af,75ce099e8b94c4d6e67d2186ffdb62337c05071c769998ffe67c3e5d8419c2af,True,UNRESOLVED_OLD_TO_LIVE_AUTHORITY,,Coordinator must supply or commission a bounded source-transition acceptance; do not regenerate from current source yet.,75ce099e8b94c4d6e67d2186ffdb62337c05071c769998ffe67c3e5d8419c2af,Exact historical accepted delivered HTML,False,True
12,shared,notebooks/preregistration_deviations.qmd,b542018a0e127b280fc5a106928d8689307c420f2e62913f4047d5c4c292bc6d,b542018a0e127b280fc5a106928d8689307c420f2e62913f4047d5c4c292bc6d,True,True,_build/nathealth/notebooks/preregistration_deviations.html,623cbd4f769b547afe8d846e7c0f7145467e4610197182a651fed48db94bf636,623cbd4f769b547afe8d846e7c0f7145467e4610197182a651fed48db94bf636,True,,,,623cbd4f769b547afe8d846e7c0f7145467e4610197182a651fed48db94bf636,Exact historical accepted delivered HTML,False,False
13,hypothesis_result,notebooks/hypotheses/H01.qmd,9448eacc1345a2b0bf73c988be588308d191e42d90c49d68c7f92db36ba83eeb,4618b80ed84518d94b8e8fe8b80db1fc43d272c2781c5294b3cc48b019348d43,False,True,_build/nathealth/notebooks/hypotheses/H01.html,421ac96ce2739b238d6e8d2e20430a7468a8c0a96aa065b3661615f4245cae41,421ac96ce2739b238d6e8d2e20430a7468a8c0a96aa065b3661615f4245cae41,True,OLDER_ACCEPTANCE_DOES_NOT_PIN_LIVE_SOURCE,audit/report_harmonization/report018_h01_metric010_final_independent_acceptance.md,Resolve transition from accepted 5e0bcf31 to live 4618b80e and the earlier corpus baseline; do not equate an inventory pin with acceptance.,421ac96ce2739b238d6e8d2e20430a7468a8c0a96aa065b3661615f4245cae41,Exact historical accepted delivered HTML,False,True
14,hypothesis_companion,audit/hypotheses/H01/H01_analysis_preparation.qmd,ed12b6232ef60905b648707240309e6574e627995d0436a19f671fdc033ecc5f,c6435a5f482df40c20f3d4d6e4f77d07f2a4f0bb3f1f2687efd2ebf92829e044,False,True,_build/nathealth/audit/hypotheses/H01/H01_analysis_preparation.html,5479794d71b6030381f0cb25b298ece94e95a9e0a696dc41077fa77fbe0eced1,5479794d71b6030381f0cb25b298ece94e95a9e0a696dc41077fa77fbe0eced1,True,CURRENT_ENDPOINT_IN_INDEPENDENT_ACCEPTANCE,audit/report_harmonization/report018_h01_metric010_final_independent_acceptance_manifest.csv,"Source-only endpoint accepted, but current transitive input contracts and serial render permission still required.",5479794d71b6030381f0cb25b298ece94e95a9e0a696dc41077fa77fbe0eced1,Exact historical accepted delivered HTML,False,True
15,hypothesis_result,notebooks/hypotheses/H02.qmd,4f431eaba1fd449837186497dc988f95c30a9ece7ae83d57b2f0c377690f0f6d,b50b55eebb75f120928707821dc3b8e8d6f16905418c56d8d689744926ff3de8,False,True,_build/nathealth/notebooks/hypotheses/H02.html,2f8ea6ded87b5ff9f43aec445c096369b47315c474752c06f856e68e725c7143,2f8ea6ded87b5ff9f43aec445c096369b47315c474752c06f856e68e725c7143,True,UNRESOLVED_OLD_TO_LIVE_AUTHORITY,,Coordinator must supply or commission a bounded source-transition acceptance; do not regenerate from current source yet.,2f8ea6ded87b5ff9f43aec445c096369b47315c474752c06f856e68e725c7143,Exact historical accepted delivered HTML,False,True
16,hypothesis_companion,audit/hypotheses/H02/H02_analysis_preparation.qmd,92424e41a7f54d05b816ff79144850a27aabc8181aa705384b22f4c7cdc3b9a1,92424e41a7f54d05b816ff79144850a27aabc8181aa705384b22f4c7cdc3b9a1,True,True,_build/nathealth/audit/hypotheses/H02/H02_analysis_preparation.html,79459f44495fc28bba2d678a788192402f5ca6244aae2c1bc397901a4a53173f,79459f44495fc28bba2d678a788192402f5ca6244aae2c1bc397901a4a53173f,True,,,,79459f44495fc28bba2d678a788192402f5ca6244aae2c1bc397901a4a53173f,Exact historical accepted delivered HTML,False,False
17,hypothesis_result,notebooks/hypotheses/H03.qmd,45ea5a009efd3b451c392dfc23bef584c7b16e087bf4093780b051cfde42ae41,27c1fea54e5f32570613df80768d1fb5b668f3033aee90069820e951001c2513,False,True,_build/nathealth/notebooks/hypotheses/H03.html,8751090b4d38794c8ff24606a3c92ec2895880c97108074595dfcaf78edf551c,8751090b4d38794c8ff24606a3c92ec2895880c97108074595dfcaf78edf551c,True,UNRESOLVED_OLD_TO_LIVE_AUTHORITY,,Coordinator must supply or commission a bounded source-transition acceptance; do not regenerate from current source yet.,8751090b4d38794c8ff24606a3c92ec2895880c97108074595dfcaf78edf551c,Exact historical accepted delivered HTML,False,True
18,hypothesis_companion,audit/hypotheses/H03/H03_analysis_preparation.qmd,59270288388e48ceef880ffa4a2ba0e87b8deeb9a8046b49510c4e525ff8c131,59270288388e48ceef880ffa4a2ba0e87b8deeb9a8046b49510c4e525ff8c131,True,True,_build/nathealth/audit/hypotheses/H03/H03_analysis_preparation.html,01958106e0363f7f449e234eabde65d0246f4ca864d895a57909d4cd46dde59a,01958106e0363f7f449e234eabde65d0246f4ca864d895a57909d4cd46dde59a,True,,,,01958106e0363f7f449e234eabde65d0246f4ca864d895a57909d4cd46dde59a,Exact historical accepted delivered HTML,False,False
19,hypothesis_result,notebooks/hypotheses/H04.qmd,f8adb6d78be041ce296dd7e89eb92769b128631c1b4227ce5d8ab3d526daf1d5,243896d4c22f68d23027f77f3721882e0a3d55274e67014e75d6ff55e2e243af,False,True,_build/nathealth/notebooks/hypotheses/H04.html,9f56f3c5bda2058c7e97f524e12f4b9734c9a61b0fafee3e5a810f2444229543,9f56f3c5bda2058c7e97f524e12f4b9734c9a61b0fafee3e5a810f2444229543,True,OWNER_SOURCE_ONLY_ACCEPTANCE_EXACT_ENDPOINT,audit/handoffs/H04_worker_handoff.md,Coordinator reconciliation of owner acceptance and complete corpus-baseline bridge; no render release inferred.,9f56f3c5bda2058c7e97f524e12f4b9734c9a61b0fafee3e5a810f2444229543,Exact historical accepted delivered HTML,False,True
20,hypothesis_companion,audit/hypotheses/H04/H04_analysis_preparation.qmd,efdb5be8dc194695f40c50249fab14905ec337bc63079ae589557de860188474,5b6255184ab1988f2b89dfc363e1eb7d010d6f85436c7ff32754289af6e6de48,False,True,_build/nathealth/audit/hypotheses/H04/H04_analysis_preparation.html,a7ae510b6f7b5c990699bacc3d2a60d2bdf55464996ca31c5653dd6f3bf6bcb9,a7ae510b6f7b5c990699bacc3d2a60d2bdf55464996ca31c5653dd6f3bf6bcb9,True,OWNER_SOURCE_ONLY_ACCEPTANCE_EXACT_ENDPOINT,audit/handoffs/H04_worker_handoff.md,Coordinator reconciliation of owner acceptance and complete corpus-baseline bridge; no render release inferred.,a7ae510b6f7b5c990699bacc3d2a60d2bdf55464996ca31c5653dd6f3bf6bcb9,Exact historical accepted delivered HTML,False,True
21,hypothesis_result,notebooks/hypotheses/H05.qmd,7c20e16629729de433d1ab400038e9d32c73aeb25c95ecd44d581b876755d5e0,f748873f5f68198665fc3cb3d7047f586c619408f86e5e22bd9814593f9f2780,False,True,_build/nathealth/notebooks/hypotheses/H05.html,d643cf7e51a357c64e46d52e72a1607491d70ad9626bc45f06d497fd46663dda,d643cf7e51a357c64e46d52e72a1607491d70ad9626bc45f06d497fd46663dda,True,UNRESOLVED_OLD_TO_LIVE_AUTHORITY,,Coordinator must supply or commission a bounded source-transition acceptance; do not regenerate from current source yet.,d643cf7e51a357c64e46d52e72a1607491d70ad9626bc45f06d497fd46663dda,Exact historical accepted delivered HTML,False,True
22,hypothesis_companion,audit/hypotheses/H05/H05_analysis_preparation.qmd,843f60f890daac0e41c6655bc365ab0325e3f582e011610469a799946b2f2811,843f60f890daac0e41c6655bc365ab0325e3f582e011610469a799946b2f2811,True,True,_build/nathealth/audit/hypotheses/H05/H05_analysis_preparation.html,c88614a3c17b604817a5f08e8c8310adb702d40edd7da67bc1238c737d3cdbb8,c88614a3c17b604817a5f08e8c8310adb702d40edd7da67bc1238c737d3cdbb8,True,,,,c88614a3c17b604817a5f08e8c8310adb702d40edd7da67bc1238c737d3cdbb8,Exact historical accepted delivered HTML,False,False
23,hypothesis_result,notebooks/hypotheses/H06.qmd,d65c197cb37db32101d8a43fcdc80198ab599a95cb73259abd187c9b2b58d350,5f8ec988d680e1a3e3dbf2410f0d4e6a49ded80a9990b3a09661aebdc98cbd4e,False,True,_build/nathealth/notebooks/hypotheses/H06.html,4883b77a2e225c8bad8628f1a04274f5d19d81aeb7cc493949707cdc6cd98e2f,4883b77a2e225c8bad8628f1a04274f5d19d81aeb7cc493949707cdc6cd98e2f,True,INDEPENDENT_SOURCE_ONLY_ACCEPTANCE_EXACT_ENDPOINT,audit/report_harmonization/report018_h06_employment_eligibility_reader_source_independent_acceptance.md,Reconcile older corpus-to-013496ae bridge and obtain separately sealed serial report-only execution allowance.,4883b77a2e225c8bad8628f1a04274f5d19d81aeb7cc493949707cdc6cd98e2f,Exact historical accepted delivered HTML,False,True
24,hypothesis_companion,audit/hypotheses/H06/H06_analysis_preparation.qmd,f952d5ec72066ee86fded4888aaa815bdf763c11f466806ebc7391c79e22918b,5b128499a1f1a9312089ec47dfd1ba30cebb2a31059608659c0aa464753abfa0,False,True,_build/nathealth/audit/hypotheses/H06/H06_analysis_preparation.html,aeac00b6806ae10368e133e904784e7c2fcc79747bb8c8e2dc95fe2d721a944e,aeac00b6806ae10368e133e904784e7c2fcc79747bb8c8e2dc95fe2d721a944e,True,INDEPENDENT_SOURCE_ONLY_ACCEPTANCE_EXACT_ENDPOINT,audit/report_harmonization/report018_h06_employment_eligibility_reader_source_independent_acceptance.md,Companion remains held until independently accepted result render; no new execution allowance.,aeac00b6806ae10368e133e904784e7c2fcc79747bb8c8e2dc95fe2d721a944e,Exact historical accepted delivered HTML,False,True
25,shared,notebooks/hypotheses/H06_daily.qmd,8f696f3f89fe9ea18c8066b756a01fc5da6b41e86f8ac7d37d1e16f9c10ba639,ddf7e8af287831b80243b4d35e83546fa6ee8f7f3794c9874d4712648b3eb2e7,False,True,_build/nathealth/notebooks/hypotheses/H06_daily.html,e10dbaa356c63c808465a3a0b28963a0c84d97b03f1798f22315ee258f9cb180,e10dbaa356c63c808465a3a0b28963a0c84d97b03f1798f22315ee258f9cb180,True,UNRESOLVED_OLD_TO_LIVE_AUTHORITY,,Coordinator must supply or commission a bounded source-transition acceptance; do not regenerate from current source yet.,e10dbaa356c63c808465a3a0b28963a0c84d97b03f1798f22315ee258f9cb180,Exact historical accepted delivered HTML,False,True
26,shared,audit/hypotheses/H06_daily/H06_daily_analysis_preparation.qmd,b1d2c9ec6184e9c537af04119d94040b581ae691069e38e0a713935ab1582536,b1d2c9ec6184e9c537af04119d94040b581ae691069e38e0a713935ab1582536,True,True,_build/nathealth/audit/hypotheses/H06_daily/H06_daily_analysis_preparation.html,46c1b40edeecb6fe980aa2a9500b47d68d4e26d2b1202a7c0e0bd1564d935c2e,46c1b40edeecb6fe980aa2a9500b47d68d4e26d2b1202a7c0e0bd1564d935c2e,True,,,,46c1b40edeecb6fe980aa2a9500b47d68d4e26d2b1202a7c0e0bd1564d935c2e,Exact historical accepted delivered HTML,False,False
27,hypothesis_result,notebooks/hypotheses/H07.qmd,c779c57ffc64a15c82e519ef38e865a39108a6563d82e408e4522253c61e8226,c2d24ee7199fc8399e7edfa1192a21de7c31bd7854a89d356386c5e669ff55ca,False,True,_build/nathealth/notebooks/hypotheses/H07.html,851a301c400e771cee6e9d6dff4360f2842f3fa3055190405342853563a2b284,851a301c400e771cee6e9d6dff4360f2842f3fa3055190405342853563a2b284,True,UNRESOLVED_OLD_TO_LIVE_AUTHORITY,,Coordinator must supply or commission a bounded source-transition acceptance; do not regenerate from current source yet.,851a301c400e771cee6e9d6dff4360f2842f3fa3055190405342853563a2b284,Exact historical accepted delivered HTML,False,True
28,hypothesis_companion,audit/hypotheses/H07/H07_analysis_preparation.qmd,a6c05e81333bb612e99ef431f42f47860ac26b6d5c0f0f44ecbce019ee470d1b,a6c05e81333bb612e99ef431f42f47860ac26b6d5c0f0f44ecbce019ee470d1b,True,True,_build/nathealth/audit/hypotheses/H07/H07_analysis_preparation.html,fdff004d7cb1bfd249b8bf0c26a3ced61a989fa6373a732c40849e1fad94be5f,fdff004d7cb1bfd249b8bf0c26a3ced61a989fa6373a732c40849e1fad94be5f,True,,,,fdff004d7cb1bfd249b8bf0c26a3ced61a989fa6373a732c40849e1fad94be5f,Exact historical accepted delivered HTML,False,False
29,hypothesis_result,notebooks/hypotheses/H08.qmd,1b6b50b21e22d60909a65b125ce74be54829e5efc10de33f888fcd294c7374b1,56cdd3382ff933f20706d50e75af00160ebdc3c503307f9fdf02fb7c2ae6e859,False,True,_build/nathealth/notebooks/hypotheses/H08.html,4943ccbb186ddc292a169513f3752da15bc29765acb5f3c33ef0f585f7d96a20,4943ccbb186ddc292a169513f3752da15bc29765acb5f3c33ef0f585f7d96a20,True,UNRESOLVED_OLD_TO_LIVE_AUTHORITY,,Coordinator must supply or commission a bounded source-transition acceptance; do not regenerate from current source yet.,4943ccbb186ddc292a169513f3752da15bc29765acb5f3c33ef0f585f7d96a20,Exact historical accepted delivered HTML,False,True
30,hypothesis_companion,audit/hypotheses/H08/H08_analysis_preparation.qmd,3eeeda47c909be2ca32bf234af18f2d690f1c3e7b26e854f7311c0d8300f6f2d,3eeeda47c909be2ca32bf234af18f2d690f1c3e7b26e854f7311c0d8300f6f2d,True,True,_build/nathealth/audit/hypotheses/H08/H08_analysis_preparation.html,524107d84b907fd830bcc31fa0b2340c10608923a4d5f99208c40b3adf5af4ba,524107d84b907fd830bcc31fa0b2340c10608923a4d5f99208c40b3adf5af4ba,True,,,,524107d84b907fd830bcc31fa0b2340c10608923a4d5f99208c40b3adf5af4ba,Exact historical accepted delivered HTML,False,False
31,hypothesis_result,notebooks/hypotheses/H09.qmd,c738a4365d01497030a260691ceff35fd5c2dab478148fd28676e27981e203c6,ae5b23d11e2c623b7150df7fe14292df4380e6417028630c30a30ae7dff1b34c,False,True,_build/nathealth/notebooks/hypotheses/H09.html,37c06994b2eb992d924b266a6ac930090170a68642f956b9690dada379300ced,37c06994b2eb992d924b266a6ac930090170a68642f956b9690dada379300ced,True,UNRESOLVED_OLD_TO_LIVE_AUTHORITY,,Coordinator must supply or commission a bounded source-transition acceptance; do not regenerate from current source yet.,37c06994b2eb992d924b266a6ac930090170a68642f956b9690dada379300ced,Exact historical accepted delivered HTML,False,True
32,hypothesis_companion,audit/hypotheses/H09/H09_analysis_preparation.qmd,394a976e52faf002cb2034a13353a053aae8bfda8942a79c2eb007017cae014f,394a976e52faf002cb2034a13353a053aae8bfda8942a79c2eb007017cae014f,True,True,_build/nathealth/audit/hypotheses/H09/H09_analysis_preparation.html,cdf9aaed6c594b365b048ee4d9256c492a1e5f41f88f33df47e829dc2eca422c,cdf9aaed6c594b365b048ee4d9256c492a1e5f41f88f33df47e829dc2eca422c,True,,,,cdf9aaed6c594b365b048ee4d9256c492a1e5f41f88f33df47e829dc2eca422c,Exact historical accepted delivered HTML,False,False
33,hypothesis_result,notebooks/hypotheses/H10.qmd,0cf302f74c482168c5f5d4c640bbc6a80ef451333f7d76f3c3be204ac1b5f64d,0b2daad24e16ad62a87c2b74d5989cb2ff3738dca47d5dd3fda0af366e93c855,False,True,_build/nathealth/notebooks/hypotheses/H10.html,9eccd8f7b2156aca725c884298b17111b3945ff14b8070cf131d8c7ea2fc6cb8,9eccd8f7b2156aca725c884298b17111b3945ff14b8070cf131d8c7ea2fc6cb8,True,UNRESOLVED_OLD_TO_LIVE_AUTHORITY,,Coordinator must supply or commission a bounded source-transition acceptance; do not regenerate from current source yet.,9eccd8f7b2156aca725c884298b17111b3945ff14b8070cf131d8c7ea2fc6cb8,Exact historical accepted delivered HTML,False,True
34,hypothesis_companion,audit/hypotheses/H10/H10_analysis_preparation.qmd,706fe46f293bd09bfd3cb75c14bc3082410a452acfff666d76219f266fded1a6,706fe46f293bd09bfd3cb75c14bc3082410a452acfff666d76219f266fded1a6,True,True,_build/nathealth/audit/hypotheses/H10/H10_analysis_preparation.html,c679d369c1e38a2f8479a2a2bef7b2d17fee6ba6bbf17c0d1d27c180ab97693d,c679d369c1e38a2f8479a2a2bef7b2d17fee6ba6bbf17c0d1d27c180ab97693d,True,,,,c679d369c1e38a2f8479a2a2bef7b2d17fee6ba6bbf17c0d1d27c180ab97693d,Exact historical accepted delivered HTML,False,False
35,hypothesis_result,notebooks/hypotheses/H11.qmd,7909ba06782c84223197ab7fcd16493d7ee6e6d8b63c750aa81f17cb97977867,a30520f117d65cf13b0cd87fce56395307582c9dfefa1b016332c6a695b80fb5,False,True,_build/nathealth/notebooks/hypotheses/H11.html,5e18bb94d0ad84d0e6916a12c1eb819b224b87c9030eb2bd8dba49422d1c4d53,5e18bb94d0ad84d0e6916a12c1eb819b224b87c9030eb2bd8dba49422d1c4d53,True,UNRESOLVED_OLD_TO_LIVE_AUTHORITY,,Coordinator must supply or commission a bounded source-transition acceptance; do not regenerate from current source yet.,5e18bb94d0ad84d0e6916a12c1eb819b224b87c9030eb2bd8dba49422d1c4d53,Exact historical accepted delivered HTML,False,True
36,hypothesis_companion,audit/hypotheses/H11/H11_analysis_preparation.qmd,3f5a0d2ead03d2cb149451709110b59ba1387401f9ff633dfba1a0663f4b0816,3f5a0d2ead03d2cb149451709110b59ba1387401f9ff633dfba1a0663f4b0816,True,True,_build/nathealth/audit/hypotheses/H11/H11_analysis_preparation.html,8eaf3fa9ee561f90a18ab5980c12447e33a0955d17eb6a7ebc3183c5d089517c,8eaf3fa9ee561f90a18ab5980c12447e33a0955d17eb6a7ebc3183c5d089517c,True,,,,8eaf3fa9ee561f90a18ab5980c12447e33a0955d17eb6a7ebc3183c5d089517c,Exact historical accepted delivered HTML,False,False
37,shared,notebooks/sensitivity_battery.qmd,d2d1777062dbf58eca69cc58eadd6ad17a7ce80f4a8f335b6828f54ffcbfeb70,d2d1777062dbf58eca69cc58eadd6ad17a7ce80f4a8f335b6828f54ffcbfeb70,True,True,_build/nathealth/notebooks/sensitivity_battery.html,977bc8dab6ee4b28ec506c0e1b4d4f1bd27339311ce78972cd6fefe08a2fc219,977bc8dab6ee4b28ec506c0e1b4d4f1bd27339311ce78972cd6fefe08a2fc219,True,,,,977bc8dab6ee4b28ec506c0e1b4d4f1bd27339311ce78972cd6fefe08a2fc219,Exact historical accepted delivered HTML,False,False
